q0 (),q1,q2,q3
-9.238795325112867385e-01,-0.000000000000000000e+00,0.000000000000000000e+00,3.826834323650898928e-01
9.238784916553565152e-01,8.139679823593969935e-07,-1.124334644713492189e-07,-3.826859452030453301e-01
9.238802561516044065e-01,5.131479433674212130e-06,8.510376046241044831e-07,-3.826816853027976140e-01
9.238804258927226787e-01,1.001461271095982169e-05,-7.919483758629709598e-07,-3.826812754125313853e-01
9.238791205730946254e-01,9.873954525277060169e-06,3.101051031522485682e-06,-3.826844267303985969e-01
9.238777488959044604e-01,1.283477427564235282e-05,5.885742810998353163e-06,-3.826877381046625004e-01
9.238790354339636579e-01,6.988451974592750845e-06,1.125198386658114310e-05,-3.826846321844704080e-01
9.238772740069852718e-01,5.158283536018831249e-07,1.478124521143133949e-06,-3.826888848280950994e-01
9.238766264905429182e-01,-1.879540809777327725e-06,9.047355790812632305e-06,-3.826904479328775421e-01
9.238759120553966531e-01,-1.826399565566506653e-06,7.326681452981392422e-06,-3.826921727273672746e-01
9.238755443391485356e-01,-4.444699011921250710e-06,7.696297502418032729e-06,-3.826930604192523844e-01
9.238756324575254641e-01,-1.375261944430322600e-05,-1.254021130728198008e-06,-3.826928475429089982e-01
9.238769762876256619e-01,-1.217883265760998184e-05,-3.824999525369722771e-07,-3.826896033826419630e-01
9.238751845323549539e-01,-1.628316365850228747e-05,-5.269164347450313884e-06,-3.826939287634459896e-01
9.238759591312337704e-01,-1.667757601552865711e-05,1.130602305999911405e-06,-3.826920587886859515e-01
9.238766011993991834e-01,-1.503451121973678562e-05,-4.573776979764222531e-06,-3.826905087786867665e-01
9.238780561971632332e-01,-1.299360531526329882e-05,-7.959408375418843362e-06,-3.826869961798610165e-01
9.238780131051882449e-01,-1.414105102777802213e-05,-7.297177095967433403e-06,-3.826871001844609488e-01
9.238758433948728310e-01,-1.194996683390422398e-05,-1.117113225551218757e-05,-3.826923382089279513e-01
9.238753195589198830e-01,-1.526070332823944569e-05,-1.301396545869390982e-05,-3.826936026479296760e-01
9.238746781813848008e-01,-1.330580540649816640e-05,-9.467782638754161000e-06,-3.826951511955165586e-01
9.238753031761871570e-01,-1.373032034210562412e-05,-1.104881733947101162e-05,-3.826936423178600721e-01
9.238750365098233885e-01,-1.622152422149346373e-05,-1.013822403518195181e-05,-3.826942860143733305e-01
9.238745987634865431e-01,-1.332198677362811715e-05,-4.552712073969285753e-06,-3.826953430098204434e-01
9.238747835047350643e-01,-1.295521908871559785e-05,-2.267740378987211868e-06,-3.826948970539043038e-01
9.238743290274400444e-01,-1.171860443051741187e-05,-1.836102459375623335e-06,-3.826959942609806653e-01
9.238746893349855105e-01,-1.301321412238801347e-05,-4.626276671250112569e-06,-3.826951243685208781e-01
9.238756935155445493e-01,-1.757209117855743815e-05,-6.958226326102163746e-06,-3.826926999225048753e-01
9.238771812666959349e-01,-2.201907771127967922e-05,-8.377359353428691716e-06,-3.826891079971898035e-01
9.238798100600258412e-01,-2.262775696744498269e-05,-5.008676526611357655e-06,-3.826827616007135724e-01
9.238785405395766315e-01,-2.280259348621801812e-05,-6.704676755224334144e-06,-3.826858264497798867e-01
9.238792351118827462e-01,-2.474593569381273943e-05,-1.023220708750520606e-05,-3.826841494130935883e-01
9.238810346468520063e-01,-2.214763675512018885e-05,-1.142475228860462483e-05,-3.826798050574649057e-01
9.238804695376352516e-01,-2.521791198723976111e-05,-1.203618999102575474e-05,-3.826811691553501094e-01
9.238802818595178712e-01,-2.933840851432897525e-05,-7.443089900552203795e-06,-3.826816220764149290e-01
9.238792961169336460e-01,-3.338436942774663098e-05,-7.413536502100825614e-06,-3.826840015430519881e-01
9.238779069324370985e-01,-3.355330205578324013e-05,-2.348681342251529328e-06,-3.826873553578673537e-01
9.238762983412581731e-01,-2.860806160183345807e-05,-3.909097344479530846e-06,-3.826912391596551943e-01
9.238781250037729764e-01,-2.392949651450784710e-05,7.452341389481238271e-07,-3.826868296222603050e-01
9.238776008318936306e-01,-1.928329599395675999e-05,7.131730854183315033e-06,-3.826880952661019242e-01
9.238790709703739168e-01,-1.958317233474215141e-05,6.462732369532338157e-06,-3.826845460658833131e-01
9.238803549839216256e-01,-1.469628531015669144e-05,1.651009570723338754e-05,-3.826814460961217579e-01
9.238807398921513592e-01,-1.072049095202755599e-05,1.901924070759131912e-05,-3.826805168540339253e-01
9.238811258636333568e-01,-1.215171916634676376e-05,2.099370437079235848e-05,-3.826795848808051681e-01
9.238796021473861808e-01,-1.381786785466664367e-05,1.855271913846987799e-05,-3.826832635494401558e-01
9.238819373157937109e-01,-1.477698537551771853e-05,1.581879191749788964e-05,-3.826776259895817711e-01
9.238815118325112152e-01,-9.971216080166263483e-06,1.457566607345290864e-05,-3.826786534185022126e-01
9.238810793908909247e-01,-1.166230011606205715e-05,1.582139549154703304e-05,-3.826796973412574521e-01
9.238811090174330332e-01,-1.189378727031897666e-05,1.305347372803379580e-05,-3.826796259129333078e-01
9.238841811471768528e-01,-9.816085290624154572e-06,1.897143709121968237e-05,-3.826722087763094748e-01
9.238842912475723201e-01,-5.372898089757559162e-06,2.342868662199258995e-05,-3.826719428024474845e-01
9.238838182030169044e-01,6.166289028505525518e-07,1.802402552095969338e-05,-3.826730852011534512e-01
9.238827258668839137e-01,4.885068268211184496e-07,2.370823123062154120e-05,-3.826757220969961293e-01
9.238800322500233531e-01,-7.538451207408443144e-07,2.470233258215198867e-05,-3.826822250888096688e-01
9.238791085419041371e-01,-2.212181751593510215e-06,2.616810214969342551e-05,-3.826844550150337310e-01
9.238799563724490183e-01,-2.013718467577538463e-06,2.426639225653374018e-05,-3.826824082974403241e-01
9.238791056308822691e-01,7.097200266472293193e-06,2.121551281076989798e-05,-3.826844622900342219e-01
9.238802709270802493e-01,8.879726276054954547e-06,2.555200424663572263e-05,-3.826816487107141951e-01
9.238802914354486973e-01,4.722241075957077245e-06,2.917094275762225039e-05,-3.826815990139936230e-01
9.238819460023250940e-01,2.594865131670640203e-07,2.962163189473769978e-05,-3.826776044837850721e-01
9.238812052499359995e-01,-1.605961353984631173e-06,2.251082361579466462e-05,-3.826793933263317182e-01
9.238812543866857796e-01,-1.194340771492842233e-06,2.251451997123417569e-05,-3.826792746995241745e-01
9.238828699383921927e-01,-7.288486743553132475e-07,2.112992696926664239e-05,-3.826753744198790885e-01
9.238834800349478016e-01,1.548816835807324547e-06,2.232893857139139703e-05,-3.826739014063200717e-01
9.238830893263184629e-01,-5.245003317877841055e-08,2.413309613204240434e-05,-3.826748445801586018e-01
9.238840291297490959e-01,-4.419835863884920504e-06,2.504074349569890355e-05,-3.826725755426004238e-01
9.238868605551402435e-01,-1.023798487196832714e-05,2.884037995929228214e-05,-3.826657391993474322e-01
9.238850227466134379e-01,-8.605387005590290478e-06,3.019375073456368082e-05,-3.826701762076242797e-01
9.238860194147400229e-01,-6.920970058079512583e-06,2.940718505031237224e-05,-3.826677700268269477e-01
9.238864238284368868e-01,-1.007525357084283319e-05,2.998424855014682991e-05,-3.826667935226886752e-01
9.238858071241808911e-01,-8.941832817011926668e-06,3.300200045406736653e-05,-3.826682822307235221e-01
9.238849634385724041e-01,-1.488154220146525639e-05,3.415534279529274230e-05,-3.826703188699902558e-01
9.238852343423491487e-01,-1.108044139077904187e-05,3.062849916157049505e-05,-3.826696652509855023e-01
9.238857806884116508e-01,-5.679797602600551238e-06,2.917780570416482575e-05,-3.826683464282875091e-01
9.238873343027433904e-01,-6.616816076606170857e-06,2.504899223824100821e-05,-3.826645957542149645e-01
9.238888238299365341e-01,-1.055587858248411706e-05,2.001224714610292396e-05,-3.826609996984535189e-01
9.238854622042577125e-01,-5.531175548841202295e-06,1.797220092076214797e-05,-3.826691160441766382e-01
9.238856610344468034e-01,-9.400670987650764770e-06,1.711851526454809128e-05,-3.826686359678919125e-01
9.238864989992935373e-01,-6.457673797402908742e-06,2.018927628058745749e-05,-3.826666127551763830e-01
9.238860255122695042e-01,-1.181437515154440595e-05,1.861974583503845290e-05,-3.826677558625337094e-01
9.238887357632584729e-01,-1.910701350378868566e-05,1.640151220897812382e-05,-3.826612121651217224e-01
9.238836054450326740e-01,-1.309257353548198466e-05,1.742264693196185837e-05,-3.826735986646102594e-01
9.238808483636986590e-01,-5.454031731465795079e-06,1.947556159405661034e-05,-3.826802550664570313e-01
9.238784965106997538e-01,-9.229693598626090100e-06,1.635011291541396862e-05,-3.826859330216036970e-01
9.238776512672001173e-01,-7.098074212575420726e-06,1.413055696020961991e-05,-3.826879737317943619e-01
9.238761461256561613e-01,-2.767404634756189980e-06,1.490239060977346979e-05,-3.826916074207344365e-01
9.238778988822026195e-01,1.728573444766011148e-06,9.227643109592052271e-06,-3.826873761556153219e-01
9.238774720408637897e-01,-2.127685542556541983e-06,9.893942674409442013e-06,-3.826884066090401326e-01
9.238779522756219720e-01,9.777302807560009996e-06,8.248227745259869100e-06,-3.826872471553954269e-01
9.238798563540610020e-01,9.736643813941519990e-06,9.293264311017422890e-06,-3.826826503018297410e-01
9.238781635111993351e-01,1.161524670494744891e-05,1.561197775340992399e-05,-3.826867369122241014e-01
9.238797092937466315e-01,1.246308905003247358e-05,1.621833099545810601e-05,-3.826830050275804584e-01
9.238801621310028800e-01,4.305010332878796756e-06,1.530599005257903637e-05,-3.826819119947866277e-01
9.238811940620359486e-01,1.332837236652312932e-06,1.892006350098443066e-05,-3.826794205320706577e-01
9.238822648580506947e-01,-1.598180848626270102e-06,1.844176812265920971e-05,-3.826768353821612956e-01
9.238832551184283925e-01,-2.560888485934431462e-06,1.259741881764793600e-05,-3.826744448568832335e-01
9.238840262042795626e-01,-5.704174775119010704e-06,1.491287284169809071e-05,-3.826725831172630432e-01
9.238825701333343021e-01,2.969970456691774268e-06,2.265293521173580092e-05,-3.826760981324131561e-01
9.238827857598213011e-01,5.946974411267999121e-06,2.382988329704233235e-05,-3.826755774457551995e-01
9.238842778317025717e-01,2.065392890172694767e-06,2.520051184179233794e-05,-3.826719751119251334e-01
9.238835618754461798e-01,6.117398679923366760e-06,2.130707526478813678e-05,-3.826737038325532247e-01
9.239354011196890815e-01,1.518060161282560417e-05,2.522116836289172773e-05,-3.825485246230096448e-01
9.240326852397116042e-01,1.838966859478279533e-05,2.457893942644078994e-05,-3.823134782693174416e-01
9.241692372365040153e-01,1.922155640662237308e-05,2.483011960735446820e-05,-3.819832718322820342e-01
9.243426317702085893e-01,2.544702027275653203e-05,2.653409740091604123e-05,-3.815634911001253848e-01
9.245483928624790293e-01,3.015005259031244646e-05,2.365495772119468199e-05,-3.810646504030836823e-01
