gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
9.110421056812853524e-03,2.379141321210444509e-03,-3.116750272196836327e-02
4.148397663962192367e-02,2.913339267693362475e-02,5.283686225750456461e-02
5.890200942769646675e-02,4.019448383192328680e-03,5.083977485482869992e-03
-1.856074811067360761e-02,4.059750416291513925e-02,-3.908725970813706208e-02
1.913440570962591028e-02,4.246483279829432744e-02,-4.107237834583132158e-02
-8.542694597896886843e-02,3.117454426872229289e-02,3.852235131345188579e-02
-2.566280683205879667e-02,-1.318588745388418748e-01,-5.274624342408606309e-02
-5.855279669688428362e-02,6.962985461329133929e-02,-1.938835119030794807e-02
8.108484717874429176e-03,-1.798334758492722840e-02,-2.139319767062879823e-02
-2.934032633943908785e-02,-7.569018662046236683e-03,-1.101059981589767173e-02
-5.929126776552715028e-02,-1.355739322544246006e-01,2.639540203574618216e-03
1.283982185063883667e-02,1.612769922930951810e-02,4.023866982161963812e-02
-2.202239192652240621e-02,-6.973261378672704347e-02,-5.365007315191464010e-02
-3.224039821714378556e-02,6.602336727428539942e-02,2.319502338298494101e-02
4.241044927828944988e-02,-5.318634079392366848e-02,1.922411952564560475e-02
3.645413295470333742e-02,-2.689382023564069329e-02,4.356718359150175274e-02
-1.505192924778816881e-02,1.979102276205979907e-03,-1.289851701525836399e-03
4.018443863638103408e-02,-3.140363590144673589e-02,-6.496993230469788605e-02
-2.696898183269034674e-02,-3.402838208887828259e-02,-1.568335260383253368e-02
5.144516733200527221e-03,4.611592623584866157e-02,-1.920652496689764788e-02
2.439375435475372479e-03,-1.859995457065078545e-02,1.871485250784396884e-02
-3.036734415590574415e-02,-1.284447340151686091e-03,-7.983668501445268309e-03
6.202173742155001578e-03,7.184850423699268296e-02,-1.310916120269858473e-02
-6.137467759541866651e-03,2.579894594569347860e-02,5.531730162026617277e-03
1.119882747210157632e-02,9.992840633579599605e-03,-1.360894456481206993e-02
-1.469811387142251321e-03,-3.521652638500920307e-02,1.078913494736985154e-02
-3.803742251403161717e-02,-4.468048047556144597e-02,3.007092212825179106e-02
-4.085568944302502697e-02,-3.452610093782801370e-02,4.455160240932606180e-02
-2.121516350210229593e-02,3.299330793494870129e-02,7.871724371835894796e-02
5.585919834112188127e-03,-1.872131209163414162e-02,-3.801476493361828635e-02
-5.104555319109941799e-03,-4.586792852498706996e-02,2.079969217505113141e-02
3.273847679376087200e-02,-1.232345749529848485e-03,5.388389674733603391e-02
-2.982371063677374118e-02,-1.993673239360257976e-02,-1.691937479050904455e-02
-6.376505366022743038e-02,3.055750623859352852e-02,-5.616306745949922220e-03
-4.296422305988566864e-02,-1.742889789865288697e-02,-2.951341349142522913e-02
-2.400006059081821741e-02,5.288126655556628364e-02,-4.159648471374576689e-02
