accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
5.745741809125248095e-03,-6.608328789953279991e-03,-9.779930662672704500e+00
3.459387145008275752e-03,5.273773492483971835e-03,-9.790094377207015697e+00
-2.136830796599906417e-03,-1.652716842137498662e-03,-9.803915103364902350e+00
-4.911462247434249424e-03,-5.502074524865130552e-03,-9.785402786565166267e+00
5.063092926175978732e-03,-2.327438657613790929e-03,-9.781245112654969986e+00
-2.406932547333939538e-03,-1.895805849624712354e-03,-9.801635935480192074e+00
7.371440520454127648e-03,3.559610678606326458e-03,-9.807032680188861207e+00
9.090110451628692981e-03,9.363442195977906678e-04,-9.803717134244697817e+00
1.548916378013129053e-03,3.092130973679245096e-04,-9.785781333541963889e+00
-5.448302112816169954e-03,4.700038624822188912e-03,-9.803543981466063428e+00
-4.755937618827968914e-03,3.313794161458683885e-04,-9.783471152492873912e+00
8.937118552974738020e-03,1.875406946308528534e-03,-9.784496166384846205e+00
-2.136186418949523064e-03,1.644029250715121817e-03,-9.794264813361460043e+00
3.540653759081220132e-03,-6.412302927866101593e-03,-9.789484431292640565e+00
7.467640430317589069e-03,6.641244104863330616e-04,-9.789600145756491401e+00
2.339049827731528447e-03,-9.933198224234374846e-03,-9.800374152783554393e+00
-1.435059027431630132e-03,7.413217579861870049e-03,-9.787480113148344429e+00
-1.042345452009701794e-02,2.051847682716830424e-03,-9.800987319737144432e+00
-1.355278546541860939e-03,6.222573838183849057e-03,-9.798293965824777629e+00
-1.622988618903971380e-03,-2.086614420163042036e-03,-9.789815705780855026e+00
-2.191130539612689936e-03,4.628064208722213434e-03,-9.794123177006461844e+00
-8.084559693981216086e-03,-9.700965889037392945e-03,-9.796802397764606596e+00
-4.773659538352202636e-03,-9.140514197339778824e-03,-9.821104948571676374e+00
-8.311468772315977471e-03,-3.324766030216565194e-03,-9.803939210501606993e+00
1.680107608883734532e-02,5.746688064985541917e-03,-9.791271404630323971e+00
8.770054713795176829e-03,4.720479214509861778e-03,-9.785272048558532276e+00
6.390196503424300407e-03,5.059022387546512067e-03,-9.789178774230117952e+00
1.410959200680265979e-02,7.546395604460266575e-03,-9.797556098496436050e+00
-5.176394594546972379e-03,-1.838239072191932095e-03,-9.799338956926140654e+00
8.086867287702640544e-04,-2.145397908808842694e-03,-9.794133569870343337e+00
-1.093630555856754495e-05,2.690367543867643561e-03,-9.796817055735113300e+00
4.776997273740462430e-03,4.636413377306290197e-03,-9.809562047942554486e+00
8.439948675231905830e-04,5.147599571115980994e-03,-9.796558828826311682e+00
-2.709636004122865536e-04,-1.100756198237997502e-02,-9.804263226209393167e+00
-3.706965688288486535e-03,-7.792345455838683640e-03,-9.787725687849258449e+00
6.172291887408014148e-03,7.093210381089370097e-03,-9.804327125519648689e+00
5.384641346749886523e-03,-8.174755175296456733e-05,-9.785636431941581392e+00
2.020079499917097014e-03,5.698796860283005970e-04,-9.811851229642668315e+00
3.711502949801783434e-03,3.757910677634043652e-03,-9.795969613754619942e+00
-7.491536857638235632e-03,2.217673094690105016e-03,-9.796531612898123242e+00
-2.506192427954934913e-03,9.261052687931519561e-03,-9.815611139283742403e+00
2.973928462175228892e-03,9.571978271627298862e-03,-9.804560998060578569e+00
-6.927011572480550224e-03,2.112470185640265286e-03,-9.802540712614637997e+00
4.142932314043282042e-03,7.543041717748891033e-03,-9.785903286256989020e+00
6.849490983120406877e-03,-2.935758132486053062e-03,-9.795394981292682601e+00
-2.351931867104841735e-03,3.085092663484734817e-03,-9.788932329260807919e+00
-4.692509493627918145e-03,8.326161254232765808e-04,-9.785714785405165372e+00
5.640213946486761186e-03,-2.098739747366236245e-03,-9.791658096436513858e+00
7.350912683229091603e-03,-7.479009273093001125e-04,-9.805851572963391050e+00
-3.530804312902149304e-03,3.977532868778480132e-04,-9.795788946555104459e+00
-1.589896878383514130e-04,8.479913178389562184e-03,-9.785771597606975902e+00
6.520915650705386667e-03,-2.113043484829647128e-03,-9.797693003985193272e+00
