vel_x (m/s),vel_y (m/s),vel_z (m/s)
7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
7.071061713781890745e+00,-7.071155170315906346e+00,1.490836090432200406e-04
7.071123231215205251e+00,-7.071141522515154598e+00,1.965309500387240314e-04
7.071095807099403885e+00,-7.071137002252255499e+00,1.057717102586097125e-04
7.071021429304515493e+00,-7.071141563010809428e+00,2.001359652555185207e-04
7.071039755614638267e+00,-7.071193829347713233e+00,3.360758312855131056e-04
7.071007893253834276e+00,-7.071190357035687768e+00,2.681086126107488877e-04
7.071083834255754041e+00,-7.071216695759718007e+00,1.461724064290866975e-04
7.071153766407103802e+00,-7.071273874271663651e+00,5.739094263328771471e-05
7.071165659570203488e+00,-7.071281780620825685e+00,1.479687398728316786e-04
7.071159598874857899e+00,-7.071209843506265358e+00,6.092084186913674640e-05
7.071127424538746098e+00,-7.071172982652249139e+00,1.746020877546202409e-04
7.071202106172563617e+00,-7.071222977619966876e+00,2.780305997571750959e-04
7.071197026655755558e+00,-7.071196040795126869e+00,2.837737139882234925e-04
7.071175140199432718e+00,-7.071265794439581143e+00,3.373218776333299605e-04
7.071230608152824892e+00,-7.071313822555109319e+00,3.897110964286413810e-04
7.071175623241160224e+00,-7.071400949251208878e+00,3.343612635051858577e-04
7.071217341214642182e+00,-7.071338922126149562e+00,4.079496089825480985e-04
7.071156552863475220e+00,-7.071251827776644738e+00,3.464687077330524511e-04
7.071188312227312700e+00,-7.071199433667167078e+00,3.119181581846702279e-04
7.071158737201820976e+00,-7.071204780375981436e+00,3.621522993464675608e-04
7.071173690124036071e+00,-7.071158793028273770e+00,3.693102991879966155e-04
7.071046029113672304e+00,-7.071172686239322047e+00,3.496784067478348715e-04
7.070946177427752666e+00,-7.071204431289424441e+00,8.702236716270137353e-05
7.070862398415643568e+00,-7.071170751635444063e+00,-3.977156707261532843e-06
7.071020082029198406e+00,-7.071251239751857653e+00,3.170015003873726466e-05
7.071115055989301013e+00,-7.071281995639895790e+00,1.273720302057378129e-04
7.071196240340120731e+00,-7.071294128839683779e+00,1.839755783551932857e-04
7.071349861989667751e+00,-7.071341674543120348e+00,1.568094342351489734e-04
7.071301678724928763e+00,-7.071319561257958242e+00,1.118104248313161238e-04
7.071293958030037352e+00,-7.071341075162459688e+00,1.188657835658369244e-04
7.071314591431876018e+00,-7.071322359147153236e+00,9.908645942987552460e-05
7.071382138090716474e+00,-7.071324177237489295e+00,-4.814240924565436051e-05
7.071426430626979176e+00,-7.071293976824952310e+00,-6.534054831221390515e-05
7.071347343097446725e+00,-7.071370682796120910e+00,-1.595807905480321070e-04
7.071265401935591832e+00,-7.071399974291686874e+00,-8.844496601582045928e-05
7.071358135759167496e+00,-7.071395044443406164e+00,-1.833266877501746133e-04
7.071394372218567703e+00,-7.071434400188437053e+00,-9.129896775197417083e-05
7.071412325325874271e+00,-7.071444997997387460e+00,-2.614198569356412471e-04
7.071464844366389002e+00,-7.071444866118029360e+00,-2.727250821520529845e-04
7.071426812314732580e+00,-7.071376067086251105e+00,-2.896492899931392070e-04
7.071473836154479997e+00,-7.071292509267270709e+00,-4.973696436015766567e-04
7.071562356435649122e+00,-7.071246056241011324e+00,-5.945887618780213444e-04
7.071528289923278976e+00,-7.071182861223722860e+00,-6.716046366978971121e-04
7.071609679680958216e+00,-7.071159640095094900e+00,-5.822476874599158544e-04
7.071635845472432180e+00,-7.071228699407452467e+00,-5.878070247458196292e-04
7.071638999020123606e+00,-7.071188679647574027e+00,-5.287388682453442786e-04
7.071609633101560100e+00,-7.071147152664845059e+00,-4.374936083250805831e-04
7.071632077934346228e+00,-7.071199011288496372e+00,-4.056857755974471909e-04
7.071675629504668770e+00,-7.071253418903006072e+00,-5.158132537300817071e-04
7.071650626261374306e+00,-7.071222465289475068e+00,-5.253097945275473322e-04
7.071706087223770254e+00,-7.071158087931692648e+00,-4.346344509398309807e-04
7.071733820929710035e+00,-7.071215958531178458e+00,-4.631760581101246614e-04
7.071740353218172181e+00,-7.071237926607425450e+00,-3.540436766655182801e-04
7.071750513289094542e+00,-7.071115545590670237e+00,-4.163603464169574617e-04
7.071735908143370608e+00,-7.071102569571390717e+00,-3.448125283991030688e-04
7.071606698020003634e+00,-7.071029641631529472e+00,-3.486847968139108979e-04
7.071526323300795447e+00,-7.071012434579422745e+00,-2.711904524056848380e-04
7.071564251539369295e+00,-7.071003317164527679e+00,-2.591388253625642756e-04
7.071601688012942866e+00,-7.071103249370492172e+00,-7.694982043115247000e-05
7.071612923751779967e+00,-7.071020376591124368e+00,5.795519253833894720e-06
7.071630064203204391e+00,-7.070997212799067455e+00,5.083988985107504690e-05
7.071597472440664056e+00,-7.071072746813934273e+00,9.361548443864758018e-05
7.071557574437105309e+00,-7.071038008672271502e+00,4.724696848483467531e-05
7.071552053796008153e+00,-7.071058303794061750e+00,-5.484305343977439171e-05
7.071582300393225218e+00,-7.071087104780132471e+00,1.247588042901844616e-05
7.071551813794817676e+00,-7.071146600048515474e+00,8.534664105357446040e-05
7.071577047679063810e+00,-7.071123786824549562e+00,7.195051031398696411e-05
7.071535511128333340e+00,-7.071175488803397968e+00,6.376134930243318455e-05
7.071486910343613097e+00,-7.071084834826478982e+00,7.466219210990147079e-05
7.071468909566487326e+00,-7.071116266750557600e+00,1.065684001217404551e-04
7.071465522155383709e+00,-7.071033260645674723e+00,-6.375047481182560382e-05
7.071416373473862649e+00,-7.070999001080313207e+00,1.711345961734106382e-05
7.071477744117686370e+00,-7.071019549670103821e+00,-1.916055013789709667e-05
7.071388534518198377e+00,-7.070969562051412360e+00,4.321329673259320311e-05
7.071353710096675016e+00,-7.071055858504430525e+00,1.481036147318420511e-04
7.071381792300293512e+00,-7.071034264583697215e+00,5.817433836694310949e-05
7.071449075135727291e+00,-7.071101461511453579e+00,1.134961252970795005e-04
7.071403686276203970e+00,-7.071029998318018706e+00,1.024142284758166612e-04
7.071426151550939565e+00,-7.071035229161032554e+00,2.279307869054190212e-04
7.071378352200638595e+00,-7.070961242511811129e+00,2.608077386911668272e-04
7.071406631798913267e+00,-7.070941571180536123e+00,3.442269446826203721e-04
7.071387231207381774e+00,-7.070929389636022577e+00,2.680673948432647801e-04
7.071416938619779380e+00,-7.070953684154521746e+00,2.300915345231028934e-04
7.071391652407124973e+00,-7.071036572592116265e+00,3.041894380777417908e-04
7.071310984868476091e+00,-7.071043861222936933e+00,2.366960977781258180e-04
7.071456587128760241e+00,-7.071042547860372451e+00,3.860698267536441758e-04
7.071452092337211504e+00,-7.070927998265452707e+00,3.987726422458027467e-04
7.071507468386027284e+00,-7.071027905752559128e+00,5.241881738374421385e-04
7.071474798736227640e+00,-7.071004363269659976e+00,4.950055658526622201e-04
7.071500727237386208e+00,-7.070945459693554369e+00,5.403173061848937477e-04
7.071578761294428972e+00,-7.070904455926540599e+00,4.299721339383408151e-04
7.071589435045492422e+00,-7.070962197282381290e+00,3.838550477828867004e-04
7.071556978502571589e+00,-7.070967167238033646e+00,4.688652466689536592e-04
7.071510118339554118e+00,-7.070960324266443386e+00,3.695904636999811804e-04
7.071532110465120979e+00,-7.071008318122631309e+00,3.770006694178796918e-04
7.071552644282143696e+00,-7.071055551605324396e+00,2.906788035143863182e-04
7.071534759532637437e+00,-7.071065971846165255e+00,2.775424937085433741e-04
7.071488607857094877e+00,-7.071099841844111111e+00,2.818721745088158324e-04
7.071588531132817046e+00,-7.071185586406130597e+00,2.881824122191695516e-04
