Yaw (deg),Pitch (deg),Roll (deg)
3.150000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.499992243550093463e+01,5.140175216743187283e-04,-5.933287182079335096e-04
-4.500042224808978375e+01,3.524815831021472167e-04,-8.597306667866041856e-04
-4.500029828903247875e+01,5.690929520649796883e-04,-1.187772753901030279e-03
-4.500013266951506807e+01,6.991076881079326399e-04,-9.004251327257666287e-04
-4.500003295548487614e+01,1.244056536781702315e-03,-5.093254686842638504e-04
-4.499947949183617624e+01,1.685882655664798805e-03,-7.966012570527899409e-04
-4.499926898926067054e+01,1.152897616537248071e-03,-8.823627633642035879e-04
-4.500005073507160347e+01,1.432017732302253614e-03,-3.892447293305605332e-04
-4.500021963235093381e+01,1.724065630120175108e-03,-6.094183794312388412e-04
-4.499996814842316439e+01,1.413848253953537987e-03,-8.622223823588811556e-04
-4.499976908802742059e+01,2.010662320350201093e-03,-1.260715998634652545e-03
-4.499976210847368208e+01,1.273717820425358891e-03,-1.492450465319159272e-03
-4.499970701290060759e+01,1.169478571362934016e-03,-1.783090211674354889e-03
-4.499962953972740820e+01,8.090530384992770160e-04,-1.175091024364391000e-03
-4.499940365684037857e+01,2.803794362315437062e-04,-7.209630919050976023e-04
-4.499931327149765536e+01,-4.414484532118287353e-04,2.523435337726091538e-04
-4.499932689856953516e+01,-9.440436347798036594e-05,-1.887553958896584082e-04
-4.499869447783392218e+01,1.166701466530964857e-05,-9.318488394990283308e-04
-4.499786577331089177e+01,3.781117808921266631e-04,-1.413297761098771671e-03
-4.499765958237616559e+01,7.748540093267638942e-05,-1.605077010498233469e-03
-4.499732221793046705e+01,3.061598135291612125e-04,-1.880426253362159307e-03
-4.499771974174105083e+01,5.516022456664900755e-04,-1.593855146022631194e-03
-4.499782793364528999e+01,9.588406782200570213e-04,-1.986309279438066774e-03
-4.499802917808442970e+01,7.897146241494087601e-04,-1.981967509322938269e-03
-4.499823537525740846e+01,1.198875951232883982e-03,-2.578970803318993230e-03
-4.499768231667224683e+01,9.057107485977261259e-04,-2.413795421246396535e-03
-4.499785182369763703e+01,1.309836841203082004e-03,-2.223914721035390261e-03
-4.499853478491126424e+01,1.611665945551417302e-03,-2.595977259827060221e-03
-4.499858469495304547e+01,1.665990403426870041e-03,-2.641864043286122361e-03
-4.499877720387593172e+01,2.196032439018964083e-03,-2.715941891125344017e-03
-4.499895637082362754e+01,2.234151431371316030e-03,-3.048746711759635353e-03
-4.499929037795877917e+01,2.110434079998739845e-03,-3.257859646200107415e-03
-4.499875205766198860e+01,2.463372096555968647e-03,-3.298942398917769931e-03
-4.499865740996800412e+01,2.854285284489443096e-03,-3.257491048811937510e-03
-4.499907700178686554e+01,3.383635740003342746e-03,-3.660544793584959850e-03
-4.499914649089741658e+01,4.008397918751276795e-03,-3.282504853408096685e-03
-4.499931842301842977e+01,3.836869714378063779e-03,-2.541388534398596882e-03
-4.499955323869702539e+01,3.636434974021540961e-03,-3.100544329245900291e-03
-4.499966073956412771e+01,4.081423860976738510e-03,-2.689360647405181128e-03
-4.499948144833307850e+01,4.129015566388049077e-03,-2.288711195294525040e-03
-4.499919235818145324e+01,4.292666317293551345e-03,-2.390140923658457244e-03
-4.499868822266444823e+01,4.732304553992257995e-03,-2.133230955488634242e-03
-4.499842823305826300e+01,5.072713019035097678e-03,-1.838945584456543958e-03
-4.499792728657299534e+01,5.674233568939711196e-03,-2.122443550178131251e-03
-4.499787018010227513e+01,5.225239929131222059e-03,-1.724791144945307751e-03
-4.499785472882999215e+01,4.467824763196393684e-03,-1.037747935264288430e-03
-4.499774838800626497e+01,4.233210774031629861e-03,-6.691144668461648662e-04
-4.499823168406479112e+01,3.731222232466352342e-03,-7.280552657399262878e-04
-4.499858808008009703e+01,3.227353102106147401e-03,-8.189950790490834560e-04
-4.499963745377348801e+01,2.739211435659140784e-03,-8.841147124172543930e-04
-4.499986690787956434e+01,3.110362876362361782e-03,-1.581941689839959798e-03
-4.500028587668299451e+01,3.342986938183200446e-03,-2.408549073778775470e-03
-4.500033014986027524e+01,2.206208478275413064e-03,-2.754287767463985386e-03
-4.500047449684475254e+01,2.747187175577464786e-03,-2.350273678775180539e-03
-4.500058208887512023e+01,2.602301981133977021e-03,-2.906639352040388084e-03
-4.500012866635758968e+01,2.676658767212490315e-03,-3.322040964235217775e-03
-4.499987905286073442e+01,2.428100840715568219e-03,-2.741933772588335972e-03
-4.499983505385527849e+01,2.696777037134896315e-03,-3.347563220285892840e-03
-4.500040261523895424e+01,1.545645120263152740e-03,-3.121795303571466701e-03
-4.500029544709122575e+01,1.717667702514409471e-03,-3.142841411597104007e-03
-4.500114001797373220e+01,2.459501936592777514e-03,-2.302464972715151208e-03
-4.500131502871939659e+01,2.690946530720060830e-03,-2.025308812763296738e-03
-4.500109703111689186e+01,1.676558686895080830e-03,-1.735079589868562897e-03
-4.500103810696053586e+01,1.538611021275947208e-03,-2.132478537007470761e-03
-4.500108185198754285e+01,2.295021614052678884e-03,-1.791263812952777765e-03
-4.500079841337269926e+01,2.307878014829099940e-03,-2.002513110594485862e-03
-4.500080604206861068e+01,2.370645719056836860e-03,-2.502456528638769603e-03
-4.500078337065437495e+01,1.694673962101915336e-03,-2.236618679945527512e-03
-4.500002163575547343e+01,1.583629875323686173e-03,-1.791435957013082138e-03
-4.499988976764962700e+01,1.845554703209375614e-03,-2.242369706946563054e-03
-4.499989782926311221e+01,1.874853728866981636e-03,-2.035685171546354998e-03
-4.500013625671675754e+01,2.079645593269998857e-03,-2.067474515355533990e-03
-4.500062550321655408e+01,1.313619899934114019e-03,-1.974889593286215366e-03
-4.500056100205603116e+01,1.644832155402312698e-03,-1.660427207285362613e-03
-4.500065291721995209e+01,9.722791782435339118e-04,-1.028135186999568291e-03
-4.500086859503780090e+01,9.728457822346354240e-04,-6.164919111823940123e-04
-4.500047171112566957e+01,3.152617177673089160e-04,-8.814519371820010859e-05
-4.500057609189047270e+01,-6.085434248637536394e-05,5.543486966698587095e-04
-4.500048945463241523e+01,-3.957936405925829631e-04,1.039588431613804520e-03
-4.500105522732143015e+01,-3.385249669269297729e-05,6.810437930731859987e-04
-4.500082821332049576e+01,3.763529629435756170e-04,7.384890368337467155e-04
-4.500094540289775580e+01,-9.241110520487955061e-05,1.317666782648832134e-03
-4.500068666414827590e+01,-9.137989194934783817e-04,1.600733075337389556e-03
-4.500083870767443273e+01,-1.045260068565941015e-03,1.442894243406982841e-03
-4.500152838411474931e+01,-1.000710326966632946e-03,7.058513727836176295e-04
-4.500131647312131378e+01,-5.174414592098900518e-04,1.148147094439420663e-03
-4.500163854660313945e+01,-6.376410206592116351e-04,1.142885413618747494e-03
-4.500149264734319132e+01,-4.835638058676915933e-04,1.235902652793487979e-03
-4.500119779416042576e+01,2.390846864245262722e-04,1.397142788246886905e-03
-4.500075035384622879e+01,2.923455472986112775e-04,1.172235269624388341e-03
-4.500049430681074369e+01,4.000507283143624258e-04,1.368731303504042845e-03
-4.500014977902053914e+01,8.036113423603033837e-04,1.035942201298054163e-03
-4.499971612732092296e+01,5.888348456609219248e-04,1.273446064547682430e-03
-4.500005072601786793e+01,6.708528098401507706e-04,1.019484820730567247e-03
-4.500008202911036648e+01,2.489429664952396240e-04,1.019181579121961403e-03
-4.500001767502545391e+01,1.146881150635839725e-03,5.587850430323205563e-04
-4.499999431425578678e+01,1.064960811380416842e-03,3.231077915400084460e-04
-4.500028644171887748e+01,4.055005745709067935e-04,2.457024384334735947e-04
-4.500087041868945192e+01,-4.797786055504500745e-05,1.577556022094526978e-04
-4.500127215815128068e+01,-3.346276291151930389e-04,-1.955012855907561735e-04
-4.498613506584972299e+01,-2.295898109753780926e-04,-2.214735123280886433e-04
-4.495776360136109417e+01,-6.106284798408636531e-04,-4.183474401447614694e-04
-4.491756864692879958e+01,-8.880311027540733256e-04,3.398110564878155946e-04
-4.486529884109223332e+01,-1.054300850371384188e-03,1.378549369520672271e-04
-4.480384728969962538e+01,-9.249825950696766684e-04,8.402856798152552728e-04
-4.473304355489998585e+01,-1.177693440634415513e-03,1.426250080189735928e-03
-4.465465342573840246e+01,-1.275890949065481596e-03,1.502698686557987773e-03
-4.456935772051781441e+01,-5.960174750226897040e-04,1.752257522546294766e-03
-4.447730083613237895e+01,-9.413841701583386705e-04,1.940613133127398315e-03
-4.437919910950755309e+01,-9.671507243623372104e-04,2.287837657410029223e-03
-4.427635675415312022e+01,-1.418525897121160470e-03,2.927355595109532808e-03
-4.416930838940528758e+01,-8.009908146582768321e-04,2.181448110452339443e-03
-4.405652324167617451e+01,-1.535000808033492453e-03,2.562407372869377354e-03
-4.394136975839901993e+01,-1.693113673908615974e-03,1.230911818637359838e-03
-4.382316761524280224e+01,-2.687422904942569739e-03,1.106881125786390082e-03
-4.370073345070590420e+01,-2.610013411298263680e-03,1.265375994566893042e-03
-4.357549199066606604e+01,-2.925208106305832514e-03,7.930744665629507664e-04
-4.344818645231396914e+01,-2.728667198159736608e-03,8.854391361375272673e-04
-4.331850119981141489e+01,-3.161632066647025729e-03,8.447847587539037903e-04
-4.318738061497607816e+01,-2.942763733510892366e-03,6.313446727795599730e-04
-4.305332951785145923e+01,-3.307754467264997951e-03,5.642693522976999655e-04
-4.291850626158301907e+01,-3.205034834810641456e-03,4.374312740757180197e-04
-4.278129719238533113e+01,-3.190310620029828282e-03,-1.335374630248261957e-04
-4.264351725462400822e+01,-2.909326851177411379e-03,2.586831451771845676e-04
-4.250401041516462897e+01,-1.858513955477458009e-03,1.060445963643102301e-03
-4.236351231148309182e+01,-2.087331250526372646e-03,1.557755114307310439e-03
-4.222264875600565404e+01,-1.328479351653161483e-03,1.876565595972172398e-03
-4.207989337096292815e+01,-9.705951704946075677e-04,1.382710951801815200e-03
-4.193691049525401127e+01,-7.400137899669310395e-04,6.455055149032279047e-04
-4.179353987956130112e+01,-6.905571742777713139e-04,-5.027245244695901193e-04
-4.164932341372077218e+01,-9.952391269354892225e-04,-6.306296683967153177e-04
-4.150423125543505876e+01,-2.081948875617941675e-04,5.411971872564933677e-05
-4.135895282103774662e+01,-3.119010825334499713e-04,4.582520225971597420e-04
-4.121284522987029675e+01,-1.200746064333025031e-04,-1.735453836428817783e-04
-4.106673982069695938e+01,5.433263160326145830e-04,3.430379977621560205e-04
-4.091952073409144219e+01,2.369376415009744367e-04,-1.365619486600356137e-04
-4.077305459384521669e+01,-1.495966699624789629e-04,4.154637662269716585e-04
-4.062588282705492304e+01,-3.930293622944321195e-04,6.000343030571385697e-04
-4.047832327070958769e+01,-9.072515190493554487e-04,2.867652026533944686e-04
-4.033090142302009440e+01,-8.529256520716798923e-04,2.596363218526560640e-04
-4.018349787501843906e+01,-1.293668870580236795e-03,4.185221522495594245e-04
