pos_x (m),pos_y (m),pos_z (m)
-2.707459276231147349e+06,4.688701052007361315e+06,3.360102297215144616e+06
-2.707459205520469230e+06,4.688700981296683662e+06,3.360102297215144616e+06
-2.707459134810778778e+06,4.688700910585997626e+06,3.360102297215369530e+06
-2.707459064101316035e+06,4.688700839874385856e+06,3.360102297214866616e+06
-2.707458993392185308e+06,4.688700769162117504e+06,3.360102297214583028e+06
-2.707458922682713252e+06,4.688700698449915275e+06,3.360102297214293387e+06
-2.707458851973035373e+06,4.688700627737284638e+06,3.360102297214383259e+06
-2.707458781263416167e+06,4.688700557023659348e+06,3.360102297215273604e+06
-2.707458710553791840e+06,4.688700486310259439e+06,3.360102297214780468e+06
-2.707458639844802208e+06,4.688700415597037412e+06,3.360102297214636579e+06
-2.707458569135618862e+06,4.688700344883607700e+06,3.360102297214908060e+06
-2.707458498426914681e+06,4.688700274170735851e+06,3.360102297213499434e+06
-2.707458427718536463e+06,4.688700203457819298e+06,3.360102297212524805e+06
-2.707458357009598520e+06,4.688700132744125091e+06,3.360102297210811637e+06
-2.707458286300814245e+06,4.688700062029934488e+06,3.360102297209386714e+06
-2.707458215592306107e+06,4.688699991315494291e+06,3.360102297207273077e+06
-2.707458144883770030e+06,4.688699920601100661e+06,3.360102297204979230e+06
-2.707458074175616261e+06,4.688699849886657670e+06,3.360102297202396207e+06
-2.707458003467613366e+06,4.688699779172021896e+06,3.360102297201483510e+06
-2.707457932760125492e+06,4.688699708457149565e+06,3.360102297201011796e+06
-2.707457862053172663e+06,4.688699637742550112e+06,3.360102297200349625e+06
-2.707457791346290149e+06,4.688699567028061487e+06,3.360102297198995948e+06
-2.707457720639203209e+06,4.688699496313577518e+06,3.360102297197653446e+06
-2.707457649932405446e+06,4.688699425599412061e+06,3.360102297195380088e+06
-2.707457579224720132e+06,4.688699354886018671e+06,3.360102297192132100e+06
-2.707457508516610134e+06,4.688699284172045067e+06,3.360102297188045923e+06
-2.707457437808542512e+06,4.688699213457446545e+06,3.360102297183535527e+06
-2.707457367100772914e+06,4.688699142742865719e+06,3.360102297178643756e+06
-2.707457296393516473e+06,4.688699072027800605e+06,3.360102297173456289e+06
-2.707457225686336868e+06,4.688699001313305460e+06,3.360102297169813886e+06
-2.707457154978974722e+06,4.688698930598244071e+06,3.360102297166772652e+06
-2.707457084271949250e+06,4.688698859883407131e+06,3.360102297163585667e+06
-2.707457013564984780e+06,4.688698789168555290e+06,3.360102297160864342e+06
-2.707456942857747898e+06,4.688698718453444541e+06,3.360102297159238253e+06
-2.707456872150383890e+06,4.688698647737777792e+06,3.360102297157132998e+06
-2.707456801443313248e+06,4.688698577021621168e+06,3.360102297155929729e+06
-2.707456730736233294e+06,4.688698506305877119e+06,3.360102297156468499e+06
-2.707456660029396880e+06,4.688698435590451583e+06,3.360102297156326938e+06
-2.707456589322397020e+06,4.688698364874820225e+06,3.360102297156640328e+06
-2.707456518615638837e+06,4.688698294158902019e+06,3.360102297156793065e+06
-2.707456447909160517e+06,4.688698223442242481e+06,3.360102297156749759e+06
-2.707456377203077544e+06,4.688698152726308443e+06,3.360102297157266643e+06
-2.707456306496964768e+06,4.688698082010619342e+06,3.360102297157752793e+06
-2.707456235790864099e+06,4.688698011294511147e+06,3.360102297156512272e+06
-2.707456165085056331e+06,4.688697940578809008e+06,3.360102297154530417e+06
-2.707456094379340764e+06,4.688697869862683117e+06,3.360102297151487786e+06
-2.707456023673105985e+06,4.688697799146459438e+06,3.360102297147306614e+06
-2.707455952967730816e+06,4.688697728430995718e+06,3.360102297143682837e+06
-2.707455882261597551e+06,4.688697657716104761e+06,3.360102297140654642e+06
-2.707455811554676853e+06,4.688697587000478990e+06,3.360102297137652989e+06
-2.707455740848108660e+06,4.688697516283813864e+06,3.360102297135408502e+06
-2.707455670141944662e+06,4.688697445567342453e+06,3.360102297133519780e+06
-2.707455599436172284e+06,4.688697374851018190e+06,3.360102297131449450e+06
-2.707455528729274403e+06,4.688697304135033861e+06,3.360102297128533013e+06
-2.707455458021531813e+06,4.688697233418687247e+06,3.360102297125348356e+06
-2.707455387313254643e+06,4.688697162702432834e+06,3.360102297122220043e+06
-2.707455316605211701e+06,4.688697091984922998e+06,3.360102297119632363e+06
-2.707455245897753630e+06,4.688697021267866716e+06,3.360102297116501257e+06
-2.707455175190013833e+06,4.688696950551467948e+06,3.360102297113073058e+06
-2.707455104482600000e+06,4.688696879835675471e+06,3.360102297109352890e+06
-2.707455033775658812e+06,4.688696809119034559e+06,3.360102297104883473e+06
-2.707454963068788871e+06,4.688696738402963616e+06,3.360102297100177035e+06
-2.707454892362378538e+06,4.688696667686749250e+06,3.360102297095153481e+06
-2.707454821655692067e+06,4.688696596969186328e+06,3.360102297089769039e+06
-2.707454750949423760e+06,4.688696526252195239e+06,3.360102297084136866e+06
-2.707454680243323557e+06,4.688696455535416491e+06,3.360102297079681884e+06
-2.707454609537473414e+06,4.688696384818543680e+06,3.360102297074751463e+06
-2.707454538831716869e+06,4.688696314102296717e+06,3.360102297068520915e+06
-2.707454468125906307e+06,4.688696243386237882e+06,3.360102297062150203e+06
-2.707454397419871762e+06,4.688696172670439817e+06,3.360102297056186479e+06
-2.707454326714179013e+06,4.688696101954665035e+06,3.360102297051101923e+06
-2.707454256008078810e+06,4.688696031238328665e+06,3.360102297045595944e+06
-2.707454185302260797e+06,4.688695960522676818e+06,3.360102297039136756e+06
-2.707454114596384577e+06,4.688695889807681553e+06,3.360102297032986302e+06
-2.707454043890583795e+06,4.688695819091879763e+06,3.360102297026369255e+06
-2.707453973185228184e+06,4.688695748375756666e+06,3.360102297019592952e+06
-2.707453902479957324e+06,4.688695677659554407e+06,3.360102297012533527e+06
-2.707453831774407066e+06,4.688695606943461113e+06,3.360102297004766297e+06
-2.707453761068896856e+06,4.688695536227435805e+06,3.360102296995814424e+06
-2.707453690362330992e+06,4.688695465511562303e+06,3.360102296987114009e+06
-2.707453619655536488e+06,4.688695394797307439e+06,3.360102296979070175e+06
-2.707453548948633019e+06,4.688695324083651416e+06,3.360102296971496660e+06
-2.707453478241550736e+06,4.688695253370208666e+06,3.360102296964021400e+06
-2.707453407534415834e+06,4.688695182657380588e+06,3.360102296955921687e+06
-2.707453336826838087e+06,4.688695111944268458e+06,3.360102296947093215e+06
-2.707453266119041014e+06,4.688695041231096722e+06,3.360102296939426567e+06
-2.707453195411240682e+06,4.688694970517477021e+06,3.360102296932655852e+06
-2.707453124702879228e+06,4.688694899803422391e+06,3.360102296925671864e+06
-2.707453053993586451e+06,4.688694829089541920e+06,3.360102296917395201e+06
-2.707452983285089489e+06,4.688694758375761099e+06,3.360102296908165328e+06
-2.707452912576488219e+06,4.688694687661762349e+06,3.360102296899243724e+06
-2.707452841868147720e+06,4.688694616948050447e+06,3.360102296888910234e+06
-2.707452771159422118e+06,4.688694546234181151e+06,3.360102296878801659e+06
-2.707452700450886507e+06,4.688694475520965643e+06,3.360102296867701691e+06
-2.707452629741962999e+06,4.688694404807769693e+06,3.360102296855482738e+06
-2.707452559032595251e+06,4.688694334094472229e+06,3.360102296842894517e+06
-2.707452488323436584e+06,4.688694263381456956e+06,3.360102296829546802e+06
-2.707452417613746598e+06,4.688694192668078467e+06,3.360102296815873589e+06
-2.707452346903849859e+06,4.688694121954479255e+06,3.360102296801732853e+06
-2.707452276194402948e+06,4.688694051240523346e+06,3.360102296786638908e+06
-2.707452205485332292e+06,4.688693980526528321e+06,3.360102296771469992e+06
-2.707452134776907507e+06,4.688693909812022932e+06,3.360102296755485237e+06
-2.707452064049477223e+06,4.688693839116018265e+06,3.360102296740941703e+06
-2.707451993286792189e+06,4.688693768454745412e+06,3.360102296727344394e+06
-2.707451922474553343e+06,4.688693697844648734e+06,3.360102296712966170e+06
-2.707451851598641835e+06,4.688693627298219129e+06,3.360102296696818899e+06
-2.707451780647404492e+06,4.688693556827129796e+06,3.360102296680342406e+06
-2.707451709609775804e+06,4.688693486443554983e+06,3.360102296664414927e+06
-2.707451638475788757e+06,4.688693416156515479e+06,3.360102296647574287e+06
-2.707451567236597184e+06,4.688693345975630917e+06,3.360102296630835161e+06
-2.707451495885580778e+06,4.688693275908779353e+06,3.360102296613520011e+06
-2.707451424414534587e+06,4.688693205964449793e+06,3.360102296594182961e+06
-2.707451352819009218e+06,4.688693136148902588e+06,3.360102296575522982e+06
-2.707451281091723125e+06,4.688693066468488425e+06,3.360102296558030881e+06
-2.707451209229475819e+06,4.688692996927428991e+06,3.360102296539509669e+06
-2.707451137228588574e+06,4.688692927531420253e+06,3.360102296521500219e+06
-2.707451065084382426e+06,4.688692858285315335e+06,3.360102296502898447e+06
-2.707450992792645004e+06,4.688692789192825556e+06,3.360102296484564431e+06
-2.707450920349800959e+06,4.688692720258337446e+06,3.360102296466356143e+06
-2.707450847752741072e+06,4.688692651484395377e+06,3.360102296448291279e+06
-2.707450774999811780e+06,4.688692582874578424e+06,3.360102296428455040e+06
