accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.077247107851457031e+01,-9.899420597630334551e-02,-9.941362580410041672e-02
-1.077232085189594812e+01,-9.232604139198348492e-02,-9.128778720034162741e-02
-1.077092922358431260e+01,-9.363924102548380757e-02,-9.453666419546567778e-02
-1.077237154050409984e+01,-9.793081591819589871e-02,-9.907265967823054853e-02
-1.077676346892674175e+01,-9.376459795826412591e-02,-9.789333003305671077e-02
-1.077156101448068171e+01,-9.463685931052481792e-02,-1.024315343951284069e-01
-1.077773049749717416e+01,-1.020732671149280762e-01,-9.877848009850465072e-02
-1.077894705184531610e+01,-9.658192509651726543e-02,-8.397338862123189529e-02
-1.077404668525257847e+01,-9.342878346012212232e-02,-9.215107307342979004e-02
-1.076613799611640765e+01,-8.603002030174126957e-02,-9.639165454868807437e-02
-1.077705879771020570e+01,-9.997963407893327437e-02,-9.608915920287981749e-02
-1.077139351310534821e+01,-1.069417443693894132e-01,-1.052306205155369434e-01
-1.077209353762554933e+01,-9.712520029601430516e-02,-1.016018412400206683e-01
-1.077187501726203678e+01,-9.035014741760802326e-02,-1.012129217936772602e-01
-1.077893184682101158e+01,-9.991752725078127673e-02,-1.001362469972076341e-01
-1.077377250259213959e+01,-9.689635581718825108e-02,-9.774298097184104528e-02
-1.077828449315553350e+01,-9.498771716374468377e-02,-1.019511307180222814e-01
-1.078396113532006950e+01,-9.865473376480765610e-02,-1.045167158770530513e-01
-1.077441963510616318e+01,-9.589110334180400708e-02,-1.067085489886801797e-01
-1.077092655538711341e+01,-1.023887923628436641e-01,-1.046831572766750845e-01
-1.077210624305475051e+01,-1.042893864212932897e-01,-9.600426550082445665e-02
-1.077182589766883147e+01,-9.032523675637918470e-02,-9.555938394282530168e-02
-1.076979803302667982e+01,-9.453697189468457385e-02,-1.008359956559111842e-01
-1.077969296673713373e+01,-1.025351308889586310e-01,-9.998274967300915805e-02
-1.077123792525282475e+01,-8.670094530498030638e-02,-9.571282450572270173e-02
-1.077306987250256043e+01,-8.903534675938483411e-02,-9.380318870144675747e-02
-1.077370604870290371e+01,-9.466263902496273308e-02,-9.820000655486069152e-02
-1.078087121960916228e+01,-9.584548762054351245e-02,-9.158484037393521682e-02
-1.076873612203879382e+01,-9.034342665699859887e-02,-9.167128414525807512e-02
-1.077145374676227796e+01,-1.000876066624340061e-01,-1.012107859424067474e-01
-1.077188696516037680e+01,-9.392483993126257702e-02,-9.576308447443770966e-02
-1.077302524292312214e+01,-9.368984798671223246e-02,-9.704526793655304795e-02
-1.078045361171013106e+01,-1.077575996328839769e-01,-9.376595879615018392e-02
-1.077348017169972039e+01,-8.907330793980169914e-02,-9.124609111356105084e-02
-1.077454771368738484e+01,-9.879687068616593848e-02,-1.006414212165592376e-01
-1.077418057846260524e+01,-9.404282456129482715e-02,-9.088622015993458314e-02
-1.078126598737708264e+01,-9.739342902619732567e-02,-1.034667897320766805e-01
-1.077453923522541501e+01,-9.370741805094000287e-02,-1.032413326690591743e-01
-1.077277718668029038e+01,-8.695937141762623279e-02,-9.999220824653161366e-02
-1.076808331056898815e+01,-1.049903095103859874e-01,-1.007231235362406885e-01
-1.076884747310167612e+01,-9.631727934281517078e-02,-1.002721403930384170e-01
-1.076074693251742254e+01,-9.328321192901514736e-02,-8.811535233463581307e-02
-1.077213398722024706e+01,-8.764040769376232887e-02,-9.635167456788958085e-02
-1.077181581741647776e+01,-1.025091935082792227e-01,-1.002755202298634823e-01
-1.077509482338932401e+01,-1.056645346299084354e-01,-1.006198314507687624e-01
-1.077028252837988376e+01,-1.023726179061354713e-01,-1.005361207243728044e-01
-1.076994616793698789e+01,-1.026843410699549153e-01,-9.353535902346882258e-02
-1.076555560450067439e+01,-1.010928842871560568e-01,-1.015931718777864090e-01
-1.077636146146801188e+01,-9.573907085727001443e-02,-9.796427672852503488e-02
-1.076702267006427327e+01,-1.062137552068768698e-01,-1.040670344565949590e-01
-1.077515846244891051e+01,-9.560536969011985964e-02,-9.184734321512688648e-02
-1.077022537386801204e+01,-9.926486443147926331e-02,-9.245742612625987289e-02
-1.076997573462338309e+01,-9.897525297543932621e-02,-1.074607265826581642e-01
-1.076921074577487758e+01,-9.710799787114642034e-02,-9.097861030588517972e-02
-1.078209713485757426e+01,-1.036574625098327235e-01,-9.974705506069977967e-02
-1.078287565887276322e+01,-9.234667072019626943e-02,-9.086805188902435937e-02
-1.077368204861728884e+01,-9.978265368016105141e-02,-9.454150338855535352e-02
-1.077722070542798605e+01,-1.003734852413894069e-01,-1.008160056017338158e-01
-1.077392264333345828e+01,-9.615693931298667507e-02,-1.001140186261174070e-01
-1.077837653358285586e+01,-9.661828930408578042e-02,-1.015138539720403521e-01
-1.077674397442575227e+01,-9.641544671103564890e-02,-9.399884457467300169e-02
-1.077154273166490839e+01,-1.029981501130912136e-01,-9.768148246504354537e-02
-1.077071583769164320e+01,-9.862008695230019273e-02,-9.682792888801063091e-02
-1.078090378175591191e+01,-1.080958426737392286e-01,-9.967545621971972414e-02
-1.077730074444072450e+01,-9.375547444106788197e-02,-9.355191581325179861e-02
-1.077117622470446356e+01,-9.813744840100055433e-02,-8.629955794934061897e-02
-1.077339018944166327e+01,-9.861620418046904146e-02,-9.485947810360695343e-02
-1.076299473709316068e+01,-1.023076033494449699e-01,-9.101235218493700097e-02
-1.077812405632264436e+01,-9.437952298607378554e-02,-1.084439673659342296e-01
-1.078132943265699417e+01,-9.041923636739254699e-02,-9.656749634524054715e-02
-1.077411886924753048e+01,-1.071808451820064206e-01,-9.236752200908962540e-02
-1.077451005494139835e+01,-9.884405449541447397e-02,-9.235428854159546952e-02
-1.077310907775191851e+01,-9.697327105565908822e-02,-9.670077262169320120e-02
-1.076807674523356795e+01,-9.398701391566409435e-02,-9.636819919614970920e-02
-1.078007957031570463e+01,-9.330112834812583078e-02,-1.006517044208442291e-01
-1.076677624076531714e+01,-9.719825620565389346e-02,-9.351258202028604749e-02
-1.077112391421983695e+01,-9.812355114483263530e-02,-1.013874026287343300e-01
-1.077367993769649068e+01,-1.051513351508742422e-01,-9.361579813395475014e-02
-1.076899510765669099e+01,-9.862436520606275570e-02,-9.559870741403504735e-02
-1.076803135670484401e+01,-9.835543772127536277e-02,-8.644788993845142766e-02
-1.077871778119768109e+01,-1.050506498868203492e-01,-1.006599342601999653e-01
-1.076941427346206659e+01,-1.050353101378943832e-01,-9.453916180311729145e-02
-1.078508886222748764e+01,-9.592940217285862714e-02,-1.035557432341538131e-01
-1.077519895849573039e+01,-9.451364385797196566e-02,-9.496710991045444195e-02
-1.077287983510878533e+01,-1.037321612194996856e-01,-9.452358565951576863e-02
-1.076585255982441147e+01,-9.716305443113185114e-02,-9.727494617091209106e-02
-1.077186803414536165e+01,-9.097336429786637146e-02,-8.846573221721627800e-02
-1.076106594393149152e+01,-9.403285483022025271e-02,-9.603660720667492323e-02
-1.077222413940302914e+01,-9.419442368064190330e-02,-1.011498210001543496e-01
-1.078061734978596498e+01,-9.515338400203400548e-02,-9.496117609313182995e-02
-1.077542899545107069e+01,-9.817522836390338292e-02,-1.047443458216612694e-01
-1.077774522353911735e+01,-9.718996305111141099e-02,-9.516525323079740029e-02
-1.076290955043512731e+01,-1.022438135866650943e-01,-9.960533665841045381e-02
-1.076936774397906227e+01,-9.921885272800053113e-02,-9.287235117426377584e-02
-1.077823772681217207e+01,-1.055078667697159911e-01,-9.098761808454586264e-02
-1.076594144470285563e+01,-9.635091941609982835e-02,-9.356148222946049364e-02
-1.076937517639412434e+01,-1.058594470754208317e-01,-9.356299034024445627e-02
-1.076864000346508909e+01,-9.113786811149782174e-02,-9.377755012442581806e-02
-1.077338705217986714e+01,-9.392836564979438474e-02,-9.700108966579948366e-02
-1.077215532564647482e+01,-1.052260087612754969e-01,-9.683449739202337758e-02
-1.077416839957469996e+01,-1.062929210124025914e-01,-1.037417926900333076e-01
-1.077075700642327938e+01,-9.105058357621934051e-02,-9.678251208719651499e-02
-1.076859920138301163e+01,-9.588276148344365701e-02,-9.227378728499835425e-02
-1.078181865612003421e+01,-1.020748837170663281e-01,-9.688867854923198519e-02
-1.077380918521067343e+01,-8.899178696042188419e-02,-1.037058777771589502e-01
-1.077485900202187885e+01,-9.259949308839870996e-02,-9.233457763764782444e-02
-1.078432591497633020e+01,-9.897218965546218661e-02,-9.723563820947345171e-02
-1.077331866285250328e+01,-1.026388677695414253e-01,-1.006687059556496538e-01
-1.077185236414358371e+01,-9.300892773011852632e-02,-9.576947478017092119e-02
-1.076453116033935054e+01,-9.069889344774120787e-02,-9.819698687959210748e-02
-1.077545453887255356e+01,-9.239777172310847941e-02,-9.854219437756250866e-02
-1.077755118364959763e+01,-9.436478010719101528e-02,-1.005493639516852888e-01
-1.077356657998966583e+01,-9.705095447493064520e-02,-9.387615367391925758e-02
-1.077266986370278445e+01,-9.973847227410723160e-02,-9.769314165641036773e-02
-1.077575447452608870e+01,-1.055800460843815541e-01,-1.061508835973383469e-01
-1.077084387155261069e+01,-9.834020432386145205e-02,-1.044596472969039902e-01
-1.076890767183305186e+01,-1.047528774038643529e-01,-1.038385356551373706e-01
-1.076429301054673360e+01,-1.019171161002747628e-01,-9.714394059542431903e-02
-1.077528057095591230e+01,-9.119827457153571737e-02,-1.022468539373183744e-01
-1.077617555395510607e+01,-9.677562765511756038e-02,-1.005813726409030967e-01
-1.076569863127636317e+01,-9.564922820740315301e-02,-9.291309110489091860e-02
-1.077120072665830186e+01,-8.851836121190459483e-02,-1.072609573749491590e-01
-1.077548285570805220e+01,-9.567485273897997911e-02,-9.706345774563382434e-02
-1.078100056528257333e+01,-9.727412866541192138e-02,-1.087604518592376474e-01
-1.078056131889061575e+01,-9.993248959721323654e-02,-9.394896446261286060e-02
-1.077826321396530140e+01,-9.355513425526182369e-02,-9.833327181402400086e-02
-1.077631416826524458e+01,-1.001100044334812394e-01,-9.950925324486527279e-02
-1.077726630201857105e+01,-9.323700180982759378e-02,-1.003627264992837109e-01
-1.077778839535169197e+01,-9.807788782329049382e-02,-9.763739902228973921e-02
-1.077274713007794560e+01,-9.718251844664785311e-02,-1.051734252247913393e-01
-1.076936476949894761e+01,-9.933969960013118439e-02,-9.028825287989247772e-02
-1.077824177995754518e+01,-9.909144080055820591e-02,-9.393288338551451788e-02
