accel_only_with_bias_x (m/s^2),accel_only_with_bias_y (m/s^2),accel_only_with_bias_z (m/s^2)
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
-1.077382616949154404e+01,-9.744841972265040619e-02,-9.744841972265107233e-02
