gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707030939396503847e+06,4.688707065278901719e+06,3.360424810828698799e+06,-5.999271547702803020e-02,-4.568319080811604309e-03,7.972309152920596664e-02
-2.707030676951509900e+06,4.688708097274295054e+06,3.360436877365862951e+06,-1.939507918558057431e-02,5.081303705247219166e-02,-2.635183460018897250e-02
-2.707039104941232596e+06,4.688711130506905727e+06,3.360419613850108813e+06,-4.239622786196747643e-03,3.068245627209065240e-02,9.904089486234507120e-03
-2.707029511765305419e+06,4.688712818275215104e+06,3.360435777642013971e+06,4.302682548187161671e-02,-5.597007320577257646e-03,3.616017232671964871e-02
-2.707035485792648047e+06,4.688713077477601357e+06,3.360435447644596454e+06,-2.088925584069336455e-02,-2.013602233740259539e-02,-5.277181084389258531e-04
-2.707030167907624971e+06,4.688706242017253302e+06,3.360429497547267005e+06,-5.319879651114169323e-04,1.089111064400615815e-02,-3.616463950554525686e-02
-2.707029383562162984e+06,4.688707373660583049e+06,3.360427979582766537e+06,8.162070438759166588e-03,1.598359772225027842e-01,1.852625559887230433e-02
-2.707030138273260556e+06,4.688716813329725526e+06,3.360446845754503738e+06,1.153912332198527707e-01,-3.350295704319924267e-02,2.503026515389774817e-02
-2.707030721070693806e+06,4.688722225827936083e+06,3.360435892398694064e+06,-3.189754602840617209e-03,-9.622517484667042487e-02,-7.585321944195554111e-02
-2.707048348110697698e+06,4.688701901151711121e+06,3.360427164415334817e+06,-4.431239870434303119e-02,2.064167684116557239e-02,6.386754190236956785e-02
-2.707028363925324287e+06,4.688710192662047222e+06,3.360439679571622051e+06,-5.678597704219965486e-02,-6.299523934128055391e-02,-8.401930977236327092e-02
-2.707023569881640375e+06,4.688715483326133341e+06,3.360430481987386942e+06,6.311118636170993945e-02,3.919217744699571293e-02,5.079748066958111180e-02
-2.707023487427866552e+06,4.688712585795245133e+06,3.360445569520866498e+06,2.535248704745173345e-02,5.419300267930542842e-02,-2.159800426891109529e-02
-2.707025359180029482e+06,4.688708710753518157e+06,3.360440378717241809e+06,5.595400284318824066e-03,-6.932021865165859109e-02,-4.493300704587172012e-02
