gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
4.855968643695150466e-01,4.994311645728297111e-01,4.574764332978817905e-01
4.871749312494753625e-01,4.663969978074267719e-01,5.523919917059515461e-01
5.628247409507289856e-01,5.358895660119056270e-01,4.835279888644061219e-01
4.731398429471117550e-01,5.519823942634396463e-01,4.685740674366241643e-01
5.750482359933283272e-01,5.189973046976935622e-01,4.991195488853010231e-01
4.721979334080307344e-01,4.274329487318168086e-01,4.933180788557415264e-01
4.662851328952365426e-01,5.251680135332659205e-01,5.190487701640775775e-01
4.461114187939805853e-01,4.909840907493764894e-01,5.297432189452531137e-01
5.061013494742914176e-01,4.816801051286135338e-01,4.636698562500368159e-01
4.123539034606584774e-01,4.796181364961735194e-01,5.586967857270480620e-01
4.760699765094537628e-01,5.041696028970227283e-01,5.965459380274474865e-01
5.332749946924761897e-01,5.345922586007170185e-01,5.536885985348333206e-01
4.651463286087105242e-01,4.880130044049788007e-01,5.454703693065857673e-01
4.640465918778710064e-01,5.371878003079471053e-01,4.608682905006608599e-01
5.057397048910182713e-01,5.213600579597253981e-01,5.041447581287479274e-01
4.974859866941019337e-01,5.190777697050318329e-01,5.078953664270396962e-01
4.906376721246660799e-01,4.632757929270163721e-01,5.031901774376703607e-01
4.061451539434782210e-01,5.213124056848849053e-01,5.327591697638619506e-01
5.135260320090633268e-01,5.555008110018373468e-01,4.870213033705944605e-01
5.344410128659662362e-01,4.739862065194396235e-01,4.707785151553364744e-01
4.668956973897554485e-01,4.772604006793276232e-01,4.623346554275032938e-01
5.298518592058309995e-01,5.226348603869979126e-01,4.686972327578861619e-01
5.542621369570581713e-01,4.482469440805808003e-01,4.945871717678782531e-01
5.091836073942732632e-01,4.529527892444267789e-01,4.903601951125144409e-01
5.314325411701618096e-01,4.994698026779292310e-01,4.911454909808699032e-01
5.146512394727923434e-01,4.900457819506227608e-01,4.856131216759087543e-01
5.697002969614444190e-01,4.314560091478202852e-01,4.731050041904361625e-01
5.305074162146022898e-01,5.252742703252605283e-01,4.579575961896897307e-01
4.908715970600717182e-01,4.849534070678169217e-01,5.294784036642993241e-01
5.140541743938752406e-01,5.609692474961822661e-01,4.685476120566282598e-01
5.065297232375419734e-01,5.331370625659574980e-01,5.182847915627941671e-01
4.745279950924015111e-01,4.521041100364321941e-01,4.603118415379155448e-01
4.930775189092110877e-01,4.784759672300810673e-01,5.320233139506805875e-01
5.179985929175160431e-01,5.485250828457547412e-01,4.920827787297195055e-01
5.063219790804600606e-01,4.797581894190429130e-01,6.167318068850177193e-01
4.363045837949600658e-01,5.364717598332781057e-01,5.047947862885849846e-01
5.502587471878813696e-01,5.671439729364968763e-01,5.226095596899319462e-01
4.486491104017032994e-01,4.712681248295083614e-01,5.135746112880195113e-01
4.973023916456937310e-01,4.692313140149338979e-01,4.800309930189075036e-01
5.340507765220042780e-01,4.792161070426410041e-01,4.808913140327210067e-01
5.315413899457422930e-01,5.138900754041825225e-01,5.241208363173298634e-01
5.477984814286581683e-01,4.499940212612423829e-01,5.619909677620986699e-01
5.471348187404845298e-01,4.714090527466644476e-01,5.690838591464104645e-01
5.728073834650710960e-01,5.324224640925724339e-01,5.430389912565816157e-01
5.186011491366663284e-01,4.940318585246866179e-01,4.390191596624468673e-01
5.390902233419117007e-01,5.346385621264989618e-01,4.707287956556560071e-01
4.229246569664578126e-01,5.158805486022508546e-01,4.953151061358401774e-01
5.084709799419048215e-01,4.697431213282181051e-01,4.939963960248643371e-01
4.865758465057603011e-01,5.243945898733320954e-01,4.932558661120989285e-01
4.147987326827093368e-01,5.284292175233625821e-01,4.698941271527090624e-01
4.560659871866589166e-01,4.962357045532780342e-01,5.205702550306631204e-01
5.154163967089556708e-01,4.942137840916237534e-01,5.165294036014297374e-01
4.992958714339818527e-01,5.106282943140041386e-01,5.098582539505978062e-01
