mag_x (uT),mag_y (uT),mag_z (uT)
3.744841617958469726e+01,-4.870163899118511684e-03,-3.281653056781253497e+01
3.741626941662095618e+01,6.256559539196859983e-03,-3.280411683047545779e+01
3.742025268552152539e+01,2.571568479516963667e-03,-3.280384195152184645e+01
3.742212482950449015e+01,-3.046642367667625959e-03,-3.282495233308534210e+01
3.740327485179277289e+01,1.482973044998304145e-02,-3.280274241484819697e+01
3.742596390303573628e+01,1.255193572171789482e-03,-3.279907774421521083e+01
3.740082788744695819e+01,-1.143265356723248561e-05,-3.282818005071069223e+01
3.742779608380905643e+01,-1.303468349159260693e-02,-3.280916701939958813e+01
3.742155324545684181e+01,-1.603834024628902205e-02,-3.280507553647938579e+01
3.741503344720940305e+01,-4.093163766746709883e-03,-3.280550968828164571e+01
3.742756382622724942e+01,4.194172035906036308e-04,-3.281658747050200731e+01
3.741323007025408032e+01,-1.520070633417594172e-02,-3.280679293835042643e+01
3.741138133389750919e+01,-6.529410885739861913e-03,-3.280127160382517815e+01
3.742107466084799228e+01,8.934820500714200572e-03,-3.282856047044837311e+01
3.741918000813421941e+01,-5.813176369163104359e-03,-3.281561626282467614e+01
3.741695120253314144e+01,1.541051253293503932e-02,-3.281299581969748402e+01
3.741473584898367477e+01,-3.133594379040990918e-02,-3.282190140060067307e+01
3.743759290838631415e+01,1.189630610039315098e-02,-3.279355646741134933e+01
3.743698034938821451e+01,-2.437091956424750603e-04,-3.279452531745548782e+01
3.744812929329537354e+01,-1.226258050681065933e-03,-3.281149388014964075e+01
3.743961886497794467e+01,-3.344265217621685774e-03,-3.282418597227238166e+01
3.743302542793168897e+01,-1.962396148064672260e-02,-3.282055947281458685e+01
3.741879612173286063e+01,-3.804379782890918420e-03,-3.282277968391861123e+01
3.743402141497916347e+01,4.173575880048183313e-03,-3.281319959179626267e+01
3.742628388962889829e+01,-4.411927209525895281e-03,-3.281057550301441950e+01
3.741855836941169855e+01,-5.987179923600633065e-03,-3.282061194986977881e+01
3.742419313741737597e+01,7.513835383678726769e-03,-3.280345231034660713e+01
3.744008794362051162e+01,1.995375820061985606e-02,-3.282190204457252491e+01
3.741374113710745064e+01,1.282404328913649277e-02,-3.279617741787745899e+01
3.742768135184469003e+01,-2.140255705934716868e-02,-3.282160889452521957e+01
3.742562032853328446e+01,1.720837599108400798e-02,-3.281515127008044885e+01
3.742518595393637781e+01,-9.392606655342326805e-03,-3.280662209264025364e+01
3.742551351197273135e+01,-1.501805600681192007e-03,-3.281213591355376735e+01
3.742615865842375911e+01,1.756452815281141569e-03,-3.282034536981635853e+01
3.742755990381093767e+01,3.502672968019308886e-03,-3.279298618572919821e+01
3.741972461851610632e+01,-1.182300269366878473e-02,-3.281111638858111235e+01
