accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
8.911611055394171033e-02,8.818309013268887497e+00,1.006023909324273435e-01
9.525268033854972227e-02,8.806295873898019266e+00,9.428601789892711305e-02
1.051352854792329261e-01,8.810522581015680643e+00,9.802150753575437914e-02
1.047976030327929381e-01,8.812739578957543785e+00,1.048135835502011642e-01
9.048174813326866073e-02,8.820975115515071963e+00,1.024288133668610767e-01
1.064709232415549101e-01,8.819269904052667641e+00,1.024554523457007482e-01
1.082126522860552553e-01,8.819656132499819279e+00,1.008963896464643573e-01
9.285593738564161537e-02,8.812217173825423799e+00,9.973059137711391686e-02
1.050794399456156936e-01,8.816228893909467956e+00,1.112723607728655223e-01
9.518498327668682701e-02,8.807563719930483259e+00,1.032391074827590377e-01
1.002301577192494936e-01,8.814599834890989527e+00,9.047207424436046197e-02
9.856172760599180016e-02,8.818527592057654019e+00,9.129964758210395992e-02
9.721338540657895044e-02,8.816363865012736056e+00,9.290968721512593564e-02
1.014041218841859882e-01,8.813506555490164374e+00,9.535644959487268868e-02
1.029569360294190355e-01,8.825525656628618876e+00,1.002211796930320559e-01
9.289501145060982679e-02,8.814410778704928617e+00,9.659455688819071351e-02
1.030202334332738501e-01,8.814817959680103954e+00,9.619122864950255258e-02
9.285944179099717144e-02,8.812054304489135959e+00,1.051330544341170375e-01
8.645542801534433774e-02,8.819933489729100629e+00,9.888821632576898224e-02
9.994337220710537706e-02,8.818324210727627843e+00,1.091317059663125533e-01
1.023674271100996763e-01,8.801516947013032777e+00,1.032795666785182309e-01
9.948104248189471033e-02,8.815126965123500469e+00,9.854836593687182900e-02
9.960952807303918854e-02,8.810294098085151404e+00,9.792932270457599397e-02
9.053116914888058309e-02,8.811742030720251861e+00,1.010583827625701620e-01
9.742564431199374209e-02,8.814931781755673157e+00,9.598540606199612579e-02
9.599340891549354438e-02,8.819426685243797692e+00,9.483041879377948624e-02
9.687753281283384421e-02,8.810489562827436671e+00,9.409791925633040344e-02
9.376810333863030977e-02,8.816346600523681687e+00,1.016040341099147398e-01
1.030182049742655592e-01,8.820792178352197865e+00,9.660987195816876649e-02
1.051166215487521899e-01,8.815605482808035021e+00,9.450784926649291595e-02
9.557425642684617972e-02,8.820501764392888688e+00,9.120379625503294285e-02
1.037578657572040819e-01,8.812580816142553175e+00,9.071162448158578973e-02
9.950932868083116334e-02,8.817931762471921786e+00,9.951061614214141982e-02
9.724573105968396802e-02,8.822931858974047969e+00,9.565743817345200017e-02
9.800369989918426838e-02,8.816874901848466450e+00,1.055336089184747833e-01
8.697793232597847424e-02,8.814849457107269970e+00,9.794042982975458000e-02
