gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707026576905743685e+06,4.688715725447324105e+06,3.360435249026111327e+06,-4.467160296490472332e-02,-3.201544067418222311e-02,-8.070334665245458561e-02
-2.707021844449116383e+06,4.688713822670366615e+06,3.360439235107560642e+06,-6.490522033017452619e-02,-1.295086346358106759e-02,-7.409087402989723847e-02
-2.707032595716864802e+06,4.688706332391547039e+06,3.360426302279520314e+06,-4.413782660910525041e-02,1.015497068629342062e-04,-7.987724643257346560e-03
-2.707017018158668652e+06,4.688711682738216594e+06,3.360427978243545629e+06,4.461170559233818694e-02,-1.956181374721381941e-02,1.231084363070245324e-01
-2.707027209789317567e+06,4.688709408711707219e+06,3.360417845307570882e+06,2.588838417725557173e-02,-2.623489210665064936e-02,-8.666451858532261965e-02
-2.707033997259630822e+06,4.688714635246110149e+06,3.360428568742640782e+06,6.411250387824794783e-02,2.495744200039473268e-02,2.995488680922566219e-02
-2.707031433711778373e+06,4.688707620586317033e+06,3.360434405385534279e+06,8.179171314847357224e-03,1.304339012956436811e-02,1.102596685663662091e-02
-2.707031629370341543e+06,4.688711379436421208e+06,3.360423846483639907e+06,2.833121326393745615e-02,4.472211176394758070e-02,8.917505167872925853e-02
-2.707024813467109110e+06,4.688706902103868313e+06,3.360420223956144881e+06,4.345757086367046246e-02,6.500891727571228573e-02,-3.914664150032671174e-03
-2.707038896228693891e+06,4.688714219875023700e+06,3.360429364441234153e+06,-4.068024169926928724e-02,2.299667872648875414e-02,-2.722793178387145074e-02
-2.707032884422774892e+06,4.688713795728129335e+06,3.360431994190301280e+06,-5.732763226956319284e-03,4.313208685721062891e-02,4.437748661844991699e-02
-2.707029901684506331e+06,4.688711054159679450e+06,3.360440424802282825e+06,7.916895528891819411e-02,5.365372960455505602e-02,-3.060411223109493761e-02
-2.707034779361071065e+06,4.688702276265547611e+06,3.360431897481295280e+06,-1.864402401711402410e-02,1.049215057056285261e-01,1.605581879598067798e-03
-2.707033880814713892e+06,4.688701694308325648e+06,3.360435424676788040e+06,6.533614350023686512e-02,1.055600078927921709e-01,-2.596668673691373067e-02
-2.707039052850357722e+06,4.688721875804756768e+06,3.360432807858044747e+06,-2.441089190578726864e-03,-2.011838428068696630e-02,-4.406265047058799920e-03
-2.707026433156359941e+06,4.688717292187856510e+06,3.360435720793994144e+06,6.367287568299998327e-03,3.567463444448585458e-02,3.550637540235297013e-02
-2.707029129426050000e+06,4.688702391348144971e+06,3.360441463559883181e+06,3.110944276438180889e-02,6.908648892623953791e-03,4.518520402046381779e-02
-2.707029330376178958e+06,4.688712049615108408e+06,3.360430725642419886e+06,1.192632697302013767e-02,2.794976550667236520e-02,1.393702106693576193e-01
-2.707034908900777344e+06,4.688709232712553814e+06,3.360432002215761226e+06,3.747635103888612845e-02,-2.875131028708195063e-02,3.835090086668169196e-02
-2.707025625165218022e+06,4.688711456252719276e+06,3.360431333450252656e+06,-4.928336981704761061e-02,-5.495827475737378315e-02,2.546746701319331507e-03
-2.707026920555166434e+06,4.688720457882528193e+06,3.360442846518567298e+06,5.525230937446741486e-02,-3.696074050614283485e-02,-3.852601047542919543e-02
-2.707020783068935387e+06,4.688720917388275266e+06,3.360423248106979765e+06,2.527449619302494892e-03,-4.761615887754483932e-03,4.063958862422295537e-02
-2.707028399553216528e+06,4.688712056571282446e+06,3.360435783286855090e+06,2.285635760671081776e-02,-3.241797425038068364e-02,-7.522966512144716247e-04
-2.707016358507242054e+06,4.688716499811882153e+06,3.360439801368352491e+06,8.956316658056087676e-02,-3.160669289846896463e-02,-1.182408679982380542e-02
-2.707025178183487616e+06,4.688715774654935114e+06,3.360422552670537028e+06,9.361331181564953863e-02,2.125074627566128638e-02,-2.758627711475588815e-02
-2.707030206424233504e+06,4.688719769636156969e+06,3.360428965873707086e+06,5.127226529586620569e-03,-1.264668018476648725e-01,5.416665823840887545e-02
-2.707028271861968562e+06,4.688703768966619857e+06,3.360440808419458102e+06,-1.759633094873035847e-02,-1.451630467900183810e-02,2.834831605658973477e-02
-2.707034332292662933e+06,4.688708835815367289e+06,3.360431679415696301e+06,4.041849994485263026e-02,2.650469977203809540e-03,-9.199031423098691373e-02
-2.707024339284635615e+06,4.688714609004864469e+06,3.360425488684785552e+06,-1.004701729963100587e-01,-8.008567711284536594e-02,1.114669773606801612e-02
-2.707025505313800648e+06,4.688718061748778448e+06,3.360439456323302817e+06,-4.131895823576097609e-02,-3.392247067618427842e-02,-8.628632353303029856e-02
-2.707039055712494068e+06,4.688719689629729837e+06,3.360448950115983374e+06,-3.565591525400780420e-02,4.274530807817236711e-02,-2.476170708396406833e-03
-2.707021435349111911e+06,4.688711429124362767e+06,3.360437143493244890e+06,1.276022388354543582e-02,2.746594311721800227e-02,-8.105725304790577235e-02
-2.707024441885768902e+06,4.688701907982070930e+06,3.360434601595872082e+06,2.055384578844359281e-02,2.055573235935810594e-02,1.980516535886959681e-03
-2.707030845132566523e+06,4.688713382945663296e+06,3.360429181918390095e+06,-2.298923273706491958e-03,-1.180942711228993303e-01,-5.428759414093500824e-02
-2.707027151158332359e+06,4.688713498012618162e+06,3.360432226974266116e+06,-5.968264410844258822e-02,3.305850046358988631e-02,-4.747737551550903351e-02
-2.707035578991991468e+06,4.688710404056946747e+06,3.360432069812772796e+06,-1.582017053734242062e-01,3.823709617538956912e-02,4.061138623410445042e-02
-2.707026974434895441e+06,4.688702589574925601e+06,3.360438640532378573e+06,-2.968085404229264465e-02,7.623065454423566534e-02,-7.307665898971710261e-02
-2.707026430816615000e+06,4.688705233996731229e+06,3.360427712990443222e+06,-2.003545811981256863e-02,-1.115310949111125022e-02,-3.068210253436472190e-02
-2.707023999191044830e+06,4.688719206808906049e+06,3.360433776692818385e+06,1.100937671258161304e-02,3.558370085549255463e-02,1.313644289486946663e-03
-2.707026848514189478e+06,4.688716946922421455e+06,3.360428045526272617e+06,3.461703246718223631e-02,4.215220637536493814e-02,-2.253804033369911867e-05
-2.707028963565718383e+06,4.688707627873806283e+06,3.360438421980609652e+06,6.370811155602278120e-02,-2.384169731429703135e-02,2.837871921358975022e-02
-2.707028487611126155e+06,4.688715136318968609e+06,3.360430510759809520e+06,1.597702483126648559e-02,4.832678468098324659e-02,3.059704203240544429e-02
-2.707019303090736270e+06,4.688714563538153656e+06,3.360439985194935929e+06,-5.072804277451062327e-03,-7.210848082771353917e-02,8.315852718732827040e-03
-2.707033591035419609e+06,4.688717308623915538e+06,3.360433098746254575e+06,4.211781829281177614e-02,3.367481113022942341e-02,3.560201372780442269e-02
-2.707023925530013163e+06,4.688708357914689928e+06,3.360420573568302672e+06,6.849687643785211388e-02,-7.979967239694582548e-02,1.703070592494391675e-02
-2.707028016607542057e+06,4.688710463568359613e+06,3.360417353182533756e+06,-2.749413121424436682e-02,-6.568688225200920716e-02,2.988242010292059894e-02
-2.707030111240537371e+06,4.688708867718049325e+06,3.360435570514845662e+06,1.530935874038236513e-02,-1.944977330640607072e-02,-6.689673829482023493e-02
-2.707031756937043741e+06,4.688712903910283931e+06,3.360437096068859566e+06,2.136192562848005655e-02,-2.269023351496221239e-02,-1.128280960573707983e-02
-2.707034871503555682e+06,4.688717647719070315e+06,3.360422794879989699e+06,6.419817076516708132e-02,6.792216103248387149e-02,7.053621025226561661e-03
-2.707024279501743149e+06,4.688713874566202983e+06,3.360444611634394620e+06,1.115316527946300443e-02,1.353566349267041995e-02,7.371569396297364407e-03
-2.707023801910757087e+06,4.688708314724702388e+06,3.360437440382381435e+06,-1.239974186982840607e-02,-7.213820164909405530e-02,-1.473724144354896307e-02
-2.707032068791957106e+06,4.688714905650318600e+06,3.360434212703100406e+06,6.770984540346518255e-02,-8.181410143680471758e-02,-8.756310788731600653e-03
-2.707025015136098024e+06,4.688709892721652053e+06,3.360443248111004476e+06,-2.714582205879326193e-02,4.830332123667823579e-02,3.892572084864685811e-02
-2.707026452217744198e+06,4.688707078114234842e+06,3.360433106344496831e+06,7.145448785992440655e-02,-2.529330435301629931e-02,-3.718483213559897055e-02
-2.707037931753032841e+06,4.688714241151617840e+06,3.360429906408416573e+06,1.980612529289500767e-02,-1.811004064670875338e-02,-8.020531518450584041e-02
-2.707024773009325378e+06,4.688708940497737378e+06,3.360430398341037333e+06,2.623182460040651698e-02,-7.617685964508703889e-02,9.221705534580432184e-03
-2.707029455746164080e+06,4.688716447140095755e+06,3.360422018223995343e+06,-2.230877929970380771e-02,2.499640537241587870e-02,-3.955516550896218814e-02
-2.707033367475893814e+06,4.688702232000962831e+06,3.360428595708594192e+06,-6.029257197906375855e-03,-1.083670316070950435e-02,-3.326893339592332938e-02
-2.707029653038722463e+06,4.688713202708281577e+06,3.360421862926360220e+06,4.541360678175586363e-02,5.734755444783147527e-02,-4.181462253898562964e-02
-2.707037140263988636e+06,4.688711076826063916e+06,3.360425217284297571e+06,1.686728870634953900e-02,-5.738658554420381780e-03,3.193823931785715747e-02
-2.707024179015043657e+06,4.688707159543760121e+06,3.360430462038491853e+06,-4.170255421100130949e-02,-4.810321222795774232e-02,7.459554058375665597e-02
-2.707031803634749725e+06,4.688715691782312468e+06,3.360434071968824603e+06,3.181873390884899094e-02,-1.123827675400694559e-02,-6.053678443809177440e-02
-2.707034082952219527e+06,4.688709208225697279e+06,3.360427776235952973e+06,-3.692520637169804248e-02,-5.478384292185828341e-02,4.311670524620638684e-03
-2.707030481918091886e+06,4.688710142630554736e+06,3.360437181673665065e+06,4.420336993029663070e-02,1.341411997610040575e-02,-5.315937416558694922e-02
-2.707024275139572565e+06,4.688716721757155843e+06,3.360421868743603583e+06,5.184266160625652931e-02,-1.333546933223971748e-02,-9.709588438004908284e-02
-2.707024127044131514e+06,4.688713528316202573e+06,3.360422451200278942e+06,-4.311351660532413560e-02,-2.365194268317659908e-03,-2.750560702359339943e-02
-2.707038318092392758e+06,4.688719102342332713e+06,3.360434035262334626e+06,4.447681265182587551e-02,-3.638493680435978678e-02,1.292047638699981606e-02
-2.707026294439406134e+06,4.688706413474360481e+06,3.360433041141964961e+06,8.433109905582983346e-02,-5.602192000203232158e-02,3.348497419641938838e-02
