gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
4.908806288078024216e-01,5.558252739010783872e-01,4.531400838284905253e-01
4.025092849898621039e-01,5.503578039673031608e-01,4.962792721841267074e-01
4.579896735948446596e-01,5.074084842344914748e-01,3.749269059500737189e-01
5.286438724716638893e-01,4.146641351185752500e-01,4.884938562400517048e-01
4.989853953625451588e-01,4.693322145304140713e-01,4.445992007077717023e-01
5.636980851984070284e-01,5.044871439672240498e-01,4.885088075218285142e-01
5.278056486073127163e-01,4.613263851592805387e-01,4.982989829604774767e-01
4.606444967308932492e-01,5.227677030558300908e-01,4.387840192194604749e-01
4.223597199055278972e-01,5.529523711991670698e-01,5.159076804304739694e-01
5.277350816140002898e-01,5.130988313156609193e-01,4.217987102983685177e-01
5.465989696132693698e-01,5.168485534396739522e-01,4.553197713528934210e-01
5.236470493784625146e-01,4.756273353895772993e-01,5.263694408124441892e-01
5.824365091636359848e-01,5.513942828154069220e-01,4.780284969584316923e-01
3.903038895385775864e-01,4.380764015184309135e-01,4.726707590148311877e-01
4.613907861917159736e-01,4.537547238382520498e-01,3.652303339150204109e-01
5.169469120691740915e-01,5.189965979432477061e-01,5.291845688640809398e-01
5.338526713099784882e-01,4.212981209379356717e-01,5.301445194504940117e-01
4.985991697851707150e-01,4.991777696645585127e-01,4.936789340189714492e-01
5.074318680094265233e-01,5.096997496764233970e-01,5.115302142305807598e-01
4.934306544450419718e-01,4.462401777241268852e-01,4.919730377328174753e-01
4.330427076497571082e-01,4.367055750415025916e-01,4.894221249799853291e-01
5.063329825175129084e-01,5.329088537841315532e-01,4.994355336895673902e-01
4.590959865816193197e-01,4.360611276029726646e-01,5.289131246989883239e-01
4.786175321247257419e-01,5.527904584066963833e-01,4.882252958170371637e-01
5.045415437362028577e-01,4.551444592737577399e-01,5.208737406570380646e-01
4.990942226949252047e-01,5.196723500431654763e-01,5.395576598590129391e-01
5.158778692512118180e-01,4.973169364766688583e-01,4.693704899763253002e-01
5.323034273401339167e-01,4.591819546143303676e-01,4.585037572103676240e-01
5.359322443635504696e-01,5.067648652876669546e-01,4.892316593902255595e-01
5.059773308698404248e-01,4.642018860931870217e-01,4.601074963790689476e-01
5.008412235724096773e-01,4.534699109410992302e-01,5.309149375922183056e-01
5.924265619754408574e-01,4.662365968527290017e-01,4.778517631720807790e-01
5.743105298930567537e-01,5.386993091542700007e-01,4.727434645346798581e-01
4.431120282803404087e-01,4.344664150287100290e-01,4.970970929634246915e-01
5.737841367433624828e-01,4.919933501276121945e-01,4.601773878842639331e-01
5.214863305190424736e-01,5.276935965514615301e-01,4.754927966693588415e-01
5.019524241325834524e-01,5.342197828947677918e-01,4.169447653971113943e-01
5.597268664369896563e-01,5.152140579703197165e-01,5.034350746240923158e-01
5.163485193855420485e-01,5.348609342454363480e-01,5.501027294133410406e-01
5.140136278891647148e-01,4.917355249800798300e-01,4.393408656365476173e-01
5.133132509344654482e-01,5.862134766075887127e-01,4.325825714081936724e-01
5.264680133067203283e-01,5.621099550666786016e-01,5.171753353303651934e-01
4.556809873552712942e-01,5.273574696818157381e-01,5.384645491777068083e-01
5.439269150446411905e-01,4.796725507083046680e-01,5.294853728404336213e-01
5.148685586907002509e-01,4.457413056073336044e-01,5.590491328175863917e-01
5.240492775931849811e-01,5.348367245945508941e-01,5.146721290184669284e-01
4.707757689454368788e-01,4.727513946120963650e-01,4.255912373013620020e-01
4.571198292338939928e-01,4.492850492896790504e-01,4.441508233462455046e-01
4.974091390014871439e-01,5.563983953137581207e-01,5.355168210671473750e-01
4.569530526210483501e-01,5.511692027452527176e-01,4.820152284430115897e-01
5.070803767302781706e-01,3.997029629516803961e-01,5.166803519030789271e-01
4.898827064473540438e-01,5.424046424998245630e-01,4.337715742015513243e-01
4.827955334122118192e-01,4.922891894597395401e-01,4.807371005073504677e-01
4.153891246550947547e-01,4.576226979773541648e-01,4.709940704402103551e-01
4.914459524342483232e-01,4.727427760214461538e-01,5.638775688354163984e-01
4.595230741894422710e-01,4.536149327458153246e-01,4.885613869954218424e-01
4.396889762816529879e-01,4.860234555851325466e-01,4.166772079369935322e-01
4.075393951452627173e-01,4.846775056590479358e-01,5.155290709212646538e-01
5.276480275402123388e-01,5.065262597660332711e-01,5.389094263115462580e-01
4.955103489947718098e-01,4.818331915522320319e-01,5.572452854389552401e-01
5.328455344247371439e-01,5.107728974651952747e-01,5.421484248601228240e-01
5.685231207526388886e-01,4.786974103290331795e-01,5.408567153088524870e-01
5.551051848983875603e-01,5.185011990582341079e-01,5.545487553912767931e-01
5.704486144273936965e-01,5.063548805601435499e-01,4.489767960435078198e-01
5.105498085522359730e-01,5.103951808377533705e-01,4.840507934893065745e-01
4.454995876873035221e-01,5.011500025558066618e-01,4.729270650222339722e-01
4.605413349219895092e-01,5.147971040034140522e-01,5.334921821464784220e-01
5.174803269796596217e-01,5.150780440754965106e-01,4.943169947895704186e-01
5.237100727683394741e-01,4.897478990166712620e-01,4.992659781317981271e-01
5.083400294786348805e-01,5.488609708855107794e-01,4.721388909645431453e-01
5.205929766830358352e-01,4.643071187536143563e-01,5.020438189160028042e-01
5.201477745255888019e-01,4.610082409540538495e-01,4.801385289205701845e-01
5.498789235701891931e-01,5.648039021359335665e-01,4.970850784817704149e-01
4.732328795656359777e-01,5.174696841947943327e-01,4.653035648704122451e-01
4.546627285219249082e-01,4.692017608792173888e-01,4.991642969022014320e-01
4.854861235852804824e-01,5.773175529393258509e-01,5.387824367008010595e-01
5.064392226487939297e-01,5.044620300004990510e-01,4.454417706156887369e-01
5.675409521253083067e-01,4.544827790138994406e-01,4.859901080512944449e-01
4.800292239968291796e-01,5.150324873822269556e-01,4.764994614434168163e-01
4.619833592482603390e-01,5.299446961477911611e-01,5.119352977328975873e-01
4.394722748021015479e-01,5.360567121847470418e-01,4.804410023400580432e-01
4.639375884674369899e-01,4.705876190053156494e-01,4.190054704946525321e-01
4.265479709291762900e-01,5.389600303386190561e-01,4.835857289553092131e-01
4.652085615376574945e-01,4.539382013361866752e-01,4.701165214706807260e-01
5.342904487745613329e-01,5.254021359535477886e-01,5.459167276065296504e-01
5.041120980839588483e-01,4.654728064012046418e-01,4.708519789486986240e-01
5.172675710519611947e-01,4.852594580081778797e-01,5.228330155446750949e-01
4.568866445046578240e-01,4.762367647330017495e-01,5.073253393966961067e-01
4.481866819128968449e-01,4.552808238485541170e-01,4.925836158215972094e-01
4.966500329713876005e-01,4.676725139839153500e-01,5.182249886495641222e-01
4.748492950662471235e-01,5.370022089411756738e-01,4.448682631834594559e-01
5.043973814010448420e-01,5.475609950766257006e-01,4.266490538184557479e-01
5.204518194470711956e-01,5.590332840842838769e-01,4.940237916868677748e-01
5.728464863286492070e-01,4.332891298996414120e-01,4.683446404807143360e-01
5.572070921276204292e-01,4.501171668678561333e-01,5.400442056925950363e-01
4.865470171279901446e-01,5.287922855747585471e-01,4.688665157553433827e-01
4.571369769222244361e-01,4.311185881430063538e-01,4.872154750531848544e-01
4.996463886262236254e-01,4.546006882409815431e-01,4.564210875223657649e-01
4.745474071960028017e-01,5.542778579962606145e-01,5.048962531452023672e-01
5.216435642951393614e-01,4.450843104590646027e-01,4.922038066792934208e-01
5.012810174669296570e-01,4.496589060515985836e-01,4.980901237310585428e-01
4.559786683077371450e-01,4.823255320454162831e-01,5.183589727487730725e-01
5.215274897509279972e-01,5.350999252895637381e-01,5.154710669943342038e-01
5.003049478092954638e-01,5.042199001586618046e-01,5.568552304042893031e-01
4.394231906685518441e-01,4.476329606544707240e-01,4.642813705653239809e-01
4.681372592255060860e-01,4.575027837097903061e-01,5.681675472176443975e-01
5.125642188636069241e-01,5.645256015088656598e-01,4.570846193547987157e-01
5.151423220046559281e-01,4.551526283225578173e-01,5.083103635945394050e-01
5.196925674052855770e-01,5.037873372383128157e-01,5.061928440069252133e-01
3.575699085206561767e-01,4.809463034041887575e-01,4.860952079506678514e-01
4.376528762336548417e-01,4.689020380371458074e-01,4.713887836154271316e-01
5.346596712102590354e-01,5.789063110273342527e-01,4.863130578515698632e-01
4.282477569108766313e-01,4.198821773713410921e-01,5.424068625102956842e-01
4.895350999081651833e-01,5.002912211609326087e-01,5.274882097342998843e-01
5.467519380477262603e-01,4.739199985058950015e-01,5.162719759207013981e-01
5.011501689094015610e-01,5.250710442745573081e-01,4.749804550745827525e-01
5.263068328440823063e-01,4.181737331163442040e-01,5.037452742094895575e-01
5.409545546799575666e-01,5.246464895903678594e-01,4.969414441393047444e-01
5.087220956851011833e-01,5.275950247873408827e-01,4.941201234783390572e-01
5.208666121733829257e-01,4.982048367965197233e-01,4.414118097589431189e-01
4.679063249928214208e-01,5.342259594743814510e-01,4.589817548065139863e-01
5.022010294355623294e-01,5.675949518029076435e-01,4.849216668315825540e-01
5.242100934223278275e-01,4.763283514331353996e-01,5.787921335170569392e-01
4.999851143532648146e-01,4.674447895814656251e-01,5.505523835145457179e-01
5.211534837247702168e-01,4.469001819988025481e-01,5.303531352283185063e-01
5.461793123267317807e-01,4.978342454307377873e-01,5.133157546545472627e-01
4.771895962206217368e-01,4.785031680755277850e-01,4.744694643883791696e-01
5.269299363029529282e-01,5.292046216180390505e-01,4.866871081628476592e-01
5.629274973703940477e-01,5.356004898540381864e-01,4.586381358638737527e-01
5.318737788032343872e-01,5.051241012520804041e-01,4.588596074514020295e-01
5.573240110341433073e-01,4.681867400760829079e-01,4.402471217594345898e-01
4.970011337940030693e-01,4.154085561523081505e-01,4.846426963251129760e-01
5.509350902457382793e-01,5.172770800103685396e-01,5.393017798882361324e-01
4.568704562789003831e-01,5.141424702109134159e-01,5.375805215869736697e-01
5.682922269525078063e-01,5.166656738143923233e-01,4.838889335628458466e-01
5.102253832287287905e-01,4.983460478442839903e-01,5.123017296101178841e-01
5.714635784291102194e-01,4.830619533803144905e-01,5.035771149733380136e-01
4.966945615855472007e-01,5.817011713791426786e-01,5.606437003916183714e-01
5.739230654488656214e-01,5.002514848635332134e-01,5.153458322087920429e-01
4.924887231126020559e-01,4.551963585680569579e-01,4.531506823806247253e-01
4.849899289708227146e-01,4.931855964324881603e-01,4.697639606003380375e-01
5.208876080613978887e-01,5.456149547754427509e-01,4.922963555122498169e-01
5.563532904989588745e-01,4.712191864726905099e-01,4.435636108921137688e-01
5.132141981033392364e-01,4.882039975845917090e-01,3.831401811657892398e-01
5.688425105274776961e-01,5.186108343987154701e-01,3.725305265794793264e-01
5.298896753250678104e-01,4.993752597045715280e-01,5.604545607891596726e-01
4.858466456864971583e-01,6.045296489560422204e-01,4.719038531627038902e-01
4.619730642421024935e-01,5.116851847959248412e-01,4.628952870426999433e-01
4.449928260076833064e-01,4.491441411587754895e-01,5.631740238748799143e-01
5.559897953721617547e-01,5.083255475324646167e-01,4.977460728453808048e-01
4.862335095484701664e-01,4.612991193078872509e-01,4.171530187118899224e-01
4.671407653293486173e-01,5.393836471641938468e-01,4.972776975576608804e-01
4.659484154525985744e-01,4.107724984920710365e-01,4.685380277995668252e-01
5.766610180626743354e-01,5.366984694527922040e-01,4.391319224076887795e-01
4.548277656960389992e-01,4.990563152465185559e-01,4.767975118071328122e-01
5.721805071408256893e-01,4.712835541915075810e-01,4.592925645771310239e-01
4.904977604385408751e-01,5.627554114906005989e-01,4.871424698919958329e-01
5.289006408967454886e-01,5.490430453891922413e-01,5.127133185262906512e-01
5.088445874908333888e-01,5.049777964738080271e-01,5.132421543101386430e-01
4.857327717222977848e-01,5.013154196583832212e-01,5.047817045584769291e-01
5.743729743045270508e-01,5.649528308660107800e-01,4.349492531001313278e-01
5.294392462463131110e-01,4.475912759276546304e-01,4.841776450749086247e-01
4.787449088317606849e-01,4.793444070281609459e-01,5.099089197414403696e-01
4.290237876906150549e-01,4.782757005809913919e-01,5.095984181488265596e-01
5.027926906587786293e-01,5.113744476596163713e-01,4.389135097619601966e-01
5.066736016380635199e-01,5.244768392885850172e-01,5.066013374939573044e-01
5.252744209091998462e-01,5.556634611030863979e-01,4.626940406239016812e-01
5.234881521781685754e-01,5.422324896446761855e-01,4.701832615098421320e-01
4.407449266141146849e-01,4.459462315501681595e-01,4.759947995917465646e-01
5.249132113015327894e-01,4.880137458552875063e-01,5.218658512441344266e-01
5.215799254869500912e-01,5.171564267886306077e-01,4.331520960358398731e-01
5.585684110472731723e-01,4.672617811821064282e-01,3.980101814124885617e-01
5.275131661054107690e-01,4.903877225813549345e-01,5.245653199217941154e-01
4.754264987966050904e-01,5.015081293990281130e-01,5.362550099703615736e-01
4.971760067371110980e-01,5.163806830066007825e-01,5.611725772749326380e-01
4.466414576081007004e-01,4.854003460309043727e-01,4.877126838987148605e-01
4.662350436384504193e-01,5.085026128626612962e-01,4.988091429800057819e-01
4.610081783375673536e-01,4.513617645629810493e-01,5.953772707851225920e-01
5.443377442367425267e-01,5.297929792167302976e-01,5.165356030250273234e-01
5.147203706397350809e-01,5.033850685420935278e-01,5.130686237265664751e-01
5.002399824324261779e-01,5.808913485422220191e-01,4.520499448229139960e-01
