mag_x (uT),mag_y (uT),mag_z (uT)
3.278970165522800784e+01,-3.743791746769116457e+01,2.351958767578634681e-03
3.281745967713631984e+01,-3.740358349112215564e+01,4.128519486739646617e-03
3.280858458702812896e+01,-3.742846796944073162e+01,-2.013020577241589402e-04
3.281576614764333755e+01,-3.743093888162747618e+01,8.135199296845906439e-03
3.281522753361803524e+01,-3.744277261281905567e+01,-8.277414789492480371e-03
3.280234053478968548e+01,-3.741345118184312923e+01,-5.482389677294618666e-03
3.281923917847969108e+01,-3.743814179568507683e+01,-1.045474316149041898e-02
3.280414763336402473e+01,-3.743158166060567993e+01,-1.020749020891133230e-02
3.281845067395382642e+01,-3.741242109776527514e+01,-8.726364513362575015e-03
3.282081920573629930e+01,-3.742220960561778753e+01,5.427598119367918819e-03
3.280373666473779792e+01,-3.742025116573068999e+01,-1.544339244545428480e-02
3.281990341440167924e+01,-3.742815245846308869e+01,1.082760636540942324e-02
3.281164202962193599e+01,-3.740511260688041517e+01,3.936240299276067174e-03
3.279469592748463924e+01,-3.742434059217476516e+01,2.094330014665391447e-03
3.281287947526055859e+01,-3.742673550708327923e+01,1.111090974127506431e-02
3.281090538910346766e+01,-3.740404369766186932e+01,3.251935036496055704e-04
3.280768152037595797e+01,-3.743246553577554891e+01,1.570967272899216616e-02
3.281201583152775214e+01,-3.741827390147969368e+01,4.547571291401685152e-03
3.280463187044351514e+01,-3.740726736610505299e+01,1.422458907384898524e-02
3.280502290183362391e+01,-3.742887118607063002e+01,7.927299942335383834e-03
3.281560070851355704e+01,-3.743539831197624324e+01,-8.832721965160297145e-03
3.279898131961517294e+01,-3.743887747450127534e+01,-1.326996521886000292e-02
3.281432764113862532e+01,-3.741686211988845656e+01,-2.154634844291809445e-02
3.279682168219623151e+01,-3.742218412628227497e+01,8.713931220049044371e-03
3.281442465087621230e+01,-3.741646323506099492e+01,2.083873903725706658e-03
3.281528047002438342e+01,-3.742243728497615507e+01,3.006050817144096006e-03
3.281011672251923983e+01,-3.741110157239435807e+01,-1.048122830858246382e-02
3.282919045064767261e+01,-3.742360605591073153e+01,-1.012326040660894641e-02
3.280815957605197752e+01,-3.742202235855538106e+01,1.716910649159811069e-03
3.279845142489618581e+01,-3.743006942491193456e+01,6.596795946988879590e-03
3.279066557551161054e+01,-3.742326156222336664e+01,5.911834541391513577e-03
3.280562080662652846e+01,-3.742220580431787624e+01,1.073448504053087747e-02
3.280791320313373660e+01,-3.742065248518363774e+01,-1.891581451721803184e-02
3.280513384225198337e+01,-3.742389308314387364e+01,-7.457599635877500913e-04
3.280563802378014060e+01,-3.742868936679616354e+01,-1.001246502446851566e-02
3.279883305538298544e+01,-3.740309988494455240e+01,1.070126235226508821e-02
3.280980769996154578e+01,-3.741732128857862705e+01,9.050066607102840929e-03
3.281322008167439463e+01,-3.743653407666329969e+01,5.338609300654898783e-03
3.281778162748499739e+01,-3.742789102061684048e+01,-4.019030031920473034e-03
3.281588301393538387e+01,-3.741891841586770084e+01,-7.802058576554708226e-03
3.282091255124080220e+01,-3.742021735564352269e+01,-8.965717570739164047e-03
