mag_x (uT),mag_y (uT),mag_z (uT)
3.280405240656928356e+01,-4.940959212574095455e-03,3.741774258266376307e+01
3.280668423315050575e+01,9.013714555540714921e-03,3.741135126709141900e+01
3.280500075383864811e+01,-6.953883838549354199e-03,3.742204296685700626e+01
3.283107978918133796e+01,1.587800013711939198e-02,3.741549209245802388e+01
3.281374937573772144e+01,-8.897853002038796921e-03,3.741306636349369796e+01
3.280903096617167591e+01,2.550707109535802451e-03,3.741367350658265423e+01
3.281926733295217247e+01,-2.892774992252753244e-04,3.743882029030441316e+01
3.280137485157328570e+01,2.556456137504221036e-03,3.741364453741364571e+01
3.281641464907828976e+01,1.041447275298383948e-02,3.742489568162559266e+01
3.281195457766070689e+01,8.788689988991741503e-03,3.743549333899801468e+01
3.279994599615730522e+01,-6.039852728363932603e-03,3.741221662558995575e+01
3.281702570886536563e+01,-2.249990762562941067e-03,3.740978043583299240e+01
3.280939924258681373e+01,-3.887799644915493347e-03,3.741523299115171142e+01
3.281239042735167999e+01,-3.226906403996767769e-03,3.741070515027776366e+01
3.280316749838081591e+01,-1.372003879969643791e-02,3.741242113097659683e+01
3.278940709377083351e+01,6.493079022996558342e-03,3.742214412479250285e+01
3.280988587086089581e+01,-6.971765143572238727e-03,3.741167347670830878e+01
3.279848919659590933e+01,2.568332741998444885e-03,3.741935468082851912e+01
3.281253077683664543e+01,2.259247179986451342e-03,3.742608921020979551e+01
3.281218098087961721e+01,-7.200979202540384351e-03,3.743318039285187382e+01
3.278962842688444113e+01,1.028183473022481649e-03,3.742595733401748248e+01
3.282570898540911486e+01,1.009820528666820205e-02,3.740646073852702358e+01
3.280605018852134691e+01,4.253864924623233443e-04,3.743270880676078605e+01
3.280433335864764643e+01,-6.088392940865412252e-03,3.743139846201133736e+01
3.280724812200769946e+01,-9.809440017769876716e-03,3.742031401148626202e+01
3.281805606536087083e+01,1.745079488628279514e-04,3.742044791911259694e+01
3.281576260674023615e+01,3.364952571119338934e-03,3.742178604347535043e+01
3.281569624713272049e+01,-5.722491804345837020e-03,3.741789765362013043e+01
3.280767640103852045e+01,-6.463557184605617234e-03,3.741749841140855182e+01
3.281053222803236480e+01,-7.494674282807433502e-03,3.741994816742807473e+01
3.281962380541635582e+01,1.452511771896457596e-02,3.742207223530858329e+01
3.280946851276230802e+01,1.027307612216211800e-02,3.741030049916991373e+01
3.281914802935478548e+01,1.036249934888224845e-02,3.741674261815934699e+01
3.279753195283505818e+01,8.788121486654885961e-03,3.742037428208419669e+01
3.281134249664378189e+01,-1.312451778598050164e-02,3.741097981793714666e+01
3.281660838379832512e+01,5.622241794351814405e-03,3.741255201992098023e+01
3.279900364177422745e+01,-5.627267537209589346e-03,3.742320684078148219e+01
3.282507250631806528e+01,-1.656624347077370607e-02,3.742693005332603207e+01
3.280471690702322718e+01,-1.026981743310490663e-02,3.742498033673803093e+01
3.279622172702061533e+01,1.150540669512512514e-03,3.743067895941417333e+01
3.282159812941017663e+01,-1.667372952320965440e-02,3.741179487574623153e+01
3.281544239912470573e+01,1.377636759847602511e-02,3.741906509674434744e+01
3.280738737950169792e+01,1.175163007184035560e-02,3.742058546157563370e+01
3.280401142085022315e+01,-1.197494007211992624e-03,3.741665495243779560e+01
3.281481745371075931e+01,-1.388018717538243752e-04,3.744232652701879971e+01
3.281747939316157670e+01,1.409113452653559632e-02,3.743242648527068894e+01
3.278893023381361616e+01,-3.456237534382171784e-03,3.741010087947211105e+01
3.281351812170782978e+01,-6.808902624085476363e-03,3.742117863032000002e+01
3.281431822882465354e+01,9.921122274947959466e-03,3.744305777766648902e+01
3.280531200757453547e+01,-1.005050700394078712e-02,3.743345827883215549e+01
3.281293629699757020e+01,5.419229404664090664e-03,3.741224812239660480e+01
3.281406888411133593e+01,2.271658066302930171e-02,3.743078186008709451e+01
3.280332875517459001e+01,2.200008739372084649e-03,3.741424429722537326e+01
3.281022600080392237e+01,6.999473220507300766e-03,3.742596304003384233e+01
3.281173153568147427e+01,6.079918669555207413e-03,3.743428322635966765e+01
3.280124145138212555e+01,-4.269920734518871906e-03,3.742999487217382182e+01
3.281211726920327720e+01,2.451967875942910428e-04,3.742744038626078407e+01
3.281729024689998653e+01,-4.316273337400966352e-03,3.743418542110478597e+01
3.281623043349915747e+01,-9.871067337840827224e-03,3.743164090223600482e+01
