gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
4.915562702397860972e-01,4.842506762810764309e-01,5.093534274206490409e-01
5.089676524751185482e-01,4.183350373242855635e-01,4.892853131785762644e-01
5.485082581621532061e-01,5.336807840455285445e-01,4.852509013142620731e-01
4.726633011271849094e-01,4.228851200672903987e-01,5.523828895423266161e-01
4.675808344742198308e-01,4.846871417354227107e-01,4.226285123581135506e-01
4.862114331299980385e-01,5.062607467739195233e-01,5.306123130544486699e-01
5.154729653694286595e-01,5.471236867600006715e-01,4.876119638377419685e-01
4.951283357259987361e-01,4.229205435554651005e-01,4.931738951461313580e-01
5.108377500372369706e-01,5.346097558273192885e-01,4.418988586366380811e-01
4.960362448104607691e-01,4.809244908300171484e-01,4.928996085911550029e-01
4.777706090294964181e-01,5.283228481861559356e-01,5.477213001976151130e-01
5.341115525194586322e-01,5.001211504581914991e-01,5.189725173825731064e-01
4.963833830401997438e-01,5.192627862649968895e-01,5.407045022290631886e-01
5.958217273761672317e-01,4.983046038542391365e-01,6.001767563223183721e-01
5.737018817724985897e-01,5.122775073814554991e-01,4.612272579965356889e-01
4.864801655765436106e-01,5.296371612037882315e-01,4.646715718143856200e-01
4.566477215143839308e-01,5.144979346794310571e-01,4.412056099459905067e-01
5.591793176891619588e-01,5.168770473805968102e-01,4.515635251008450202e-01
5.105352196058283720e-01,4.982099414210507393e-01,5.292337238008868461e-01
5.126349220161209308e-01,5.734589693577873959e-01,4.877566699402088313e-01
5.070681521695215022e-01,4.774569191934448509e-01,4.908802637436197047e-01
5.269755841512969718e-01,5.245129558411718573e-01,5.214136671512196175e-01
4.880070759496404897e-01,5.056985693884049615e-01,4.367765729791405760e-01
5.014604271732209240e-01,3.975764802017814903e-01,5.237606961613977541e-01
5.215891700485536520e-01,5.244149161973278295e-01,4.832828107074985113e-01
5.515734113713011144e-01,5.994208313706715918e-01,5.352142974391067565e-01
4.920536870530916596e-01,4.626536940254898367e-01,5.244786248262057748e-01
5.585604793715498451e-01,5.241417639708634280e-01,4.903294394163290049e-01
4.637792927983824254e-01,5.080044107803765030e-01,5.778212270876006418e-01
4.210817771242671981e-01,4.843125973738876544e-01,5.412137415448174949e-01
5.507780265721452517e-01,4.302911396279715528e-01,4.917838319454221896e-01
4.837113622525013867e-01,4.745442726740607409e-01,5.478888610697744133e-01
5.017192132435581708e-01,5.100845489255151355e-01,5.319702613421539716e-01
5.058839736682924082e-01,5.198154373707770670e-01,4.332810987839124661e-01
5.159365291328854575e-01,4.933841480239545274e-01,5.138701716282985110e-01
4.637628840530986229e-01,5.237155357714792236e-01,4.958658895860921789e-01
4.512238487813649002e-01,4.859398100034397205e-01,5.239667891067253391e-01
5.114165884904982029e-01,5.756290928611773605e-01,5.314439747643356915e-01
4.542062626312202145e-01,5.382682754090438726e-01,4.950973874153120069e-01
5.371558504620743690e-01,4.983923746308014935e-01,5.761517950732568671e-01
5.041728919872917603e-01,5.361569903883752763e-01,4.668769109993687882e-01
5.544256892486710830e-01,4.782900455191927414e-01,5.159672148583593909e-01
5.494206280560253175e-01,5.300518816692529889e-01,4.038580685341537913e-01
5.002795924373449887e-01,4.829072810878571320e-01,4.945076805224107863e-01
5.215062326564343653e-01,4.865171608948679061e-01,5.494879632376451495e-01
4.804976140349931923e-01,4.794560005325653185e-01,4.284002891447384331e-01
5.510498545636451917e-01,4.680711078613170040e-01,4.661388361217395082e-01
4.232372501029740275e-01,4.492453968848428292e-01,5.145430809497414382e-01
