accel_only_with_bias_x (m/s^2),accel_only_with_bias_y (m/s^2),accel_only_with_bias_z (m/s^2)
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
-9.744841972265040619e-02,-8.814857775038536403e+00,-9.744841972265107233e-02
