accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.078207413666848957e+01,9.874437192645187100e-02,9.482577383461322784e-02
1.077601708384468182e+01,1.008430330470194425e-01,9.941784896402727778e-02
1.078222857264265500e+01,9.767994353168624189e-02,1.001171874823641311e-01
1.078088867869342415e+01,9.874349727226990059e-02,9.754835976397997765e-02
1.076664228205589069e+01,1.046309332050076868e-01,1.055963452388836848e-01
1.077164774112600121e+01,9.277771080852238728e-02,9.887717933645415180e-02
1.077876226152030625e+01,9.835784669196376284e-02,1.006382974141874082e-01
1.077349031493767129e+01,1.020341920560110249e-01,9.888362150735217904e-02
1.077222070398269871e+01,9.522087786157228118e-02,9.964684645919426320e-02
1.078109432000842105e+01,1.029758763700922564e-01,9.190620238676056042e-02
1.077464663638261833e+01,1.026568697316564832e-01,1.022595476018116623e-01
1.077753692005847164e+01,1.014208124887489293e-01,9.936857916623720310e-02
1.078101120143340275e+01,9.811594249717721372e-02,9.633801951717627099e-02
1.078768755584772165e+01,9.331986418241099146e-02,1.016167913879388734e-01
1.076878307333266527e+01,9.858995653752662680e-02,1.021005833821472392e-01
1.076869998862969524e+01,9.739540997679604906e-02,9.151642706943463601e-02
1.077463748983369740e+01,9.805003777590814984e-02,1.040583016148188683e-01
1.077493197397933145e+01,9.278665885519446488e-02,9.602008469956929693e-02
1.077549258462991233e+01,1.012167615946612392e-01,1.006924532617930607e-01
1.077402696388514336e+01,9.851283166033830696e-02,9.916689687784331630e-02
1.077540513505573294e+01,9.609911386079150741e-02,8.857526699966386530e-02
1.077626899203581701e+01,9.406742759406720722e-02,1.067541432215322328e-01
1.077141937765467361e+01,8.768055523261861217e-02,1.042540439359382204e-01
1.076923390714142492e+01,1.051641202103935357e-01,9.949849869455464069e-02
1.077844830861570813e+01,9.535278711355978098e-02,9.263649901514987850e-02
1.077351401749074178e+01,9.340034284742407267e-02,9.522990399385265758e-02
1.077240149012076209e+01,9.002595354979475717e-02,9.922443649903242568e-02
1.078361547497618034e+01,1.021224321636849258e-01,1.009008027821006598e-01
1.076896011736505976e+01,1.082829334508872698e-01,9.935879520862991865e-02
1.078159175778261414e+01,1.015513479125554619e-01,1.025445743001046767e-01
1.076570818078151426e+01,9.219525242356053918e-02,1.011166153449005040e-01
1.077320515943750934e+01,9.656018468767968432e-02,9.798342428061040943e-02
1.077664682302301458e+01,9.285046498880465682e-02,1.010099205376643328e-01
1.077722831740925180e+01,9.394804478434953809e-02,9.438694181227530455e-02
1.078092892007118131e+01,9.784784684005283506e-02,1.012406478007352173e-01
1.077730896227180679e+01,9.368252223122930378e-02,9.726489468480925549e-02
1.077222977585773123e+01,1.061721451438806113e-01,9.936371576758219748e-02
1.077198207023425525e+01,9.656494259387979340e-02,9.872294089093415492e-02
1.077952453832922330e+01,1.074455941460403657e-01,9.492557768428741549e-02
1.077860773209486389e+01,1.012389115733457190e-01,9.964887762863602894e-02
1.078131998215710752e+01,1.022631162859722748e-01,9.093275446399051720e-02
1.077031123430213277e+01,1.014380053347623267e-01,9.015733776963752444e-02
1.077748491768117844e+01,9.316464019895964732e-02,9.258604556434636701e-02
1.077917318911171307e+01,9.702554655748482637e-02,1.073118092711691091e-01
1.077684916032092133e+01,9.597063595300306393e-02,9.749718554710207208e-02
1.077598632252092337e+01,1.013117692080928445e-01,1.108224990362586537e-01
1.077658851787051830e+01,9.919635003826848818e-02,1.081815388313102505e-01
1.077947232155696788e+01,9.548652609887234299e-02,1.010780662150657094e-01
1.077879288166099769e+01,1.087539382559859769e-01,1.004170674758735060e-01
1.077664016985668027e+01,1.063705618536733288e-01,9.588629031953184445e-02
1.077724224929907848e+01,1.101653485204094202e-01,9.316669250692993787e-02
1.077495396115158677e+01,9.494022564377235796e-02,9.669857127253304874e-02
1.077231919967994145e+01,9.744795120770441410e-02,9.534569243830923191e-02
1.076536391809075255e+01,9.780896357645045558e-02,9.295422937779285188e-02
1.076995621096322431e+01,9.523646612074429529e-02,1.053108565916354017e-01
1.077099116868779660e+01,1.008559734058607771e-01,1.023988309331227697e-01
1.077374275233210632e+01,9.298670564035482755e-02,9.505873432856883076e-02
1.077772999282324662e+01,8.755495554099482214e-02,9.399992483669411536e-02
1.077248941799058457e+01,1.032664332266362145e-01,9.916182349816235475e-02
1.077285204695700749e+01,1.066056386111601806e-01,9.438426090724094664e-02
1.077434280781186615e+01,1.080097044183474103e-01,1.012330024004562540e-01
1.077039882368809565e+01,9.220117787168055634e-02,1.052509555901761096e-01
1.078005332349685830e+01,1.003270876007389539e-01,1.054649026920826405e-01
1.077288915013369142e+01,9.453320876074006174e-02,1.110671197303353952e-01
1.076380725841815433e+01,8.933697086006102406e-02,1.047407032636872015e-01
1.077085766301132352e+01,9.836211830615107510e-02,9.519080690070978734e-02
1.078148743554591604e+01,9.869933157476400154e-02,9.821836956558091525e-02
1.077836852096205078e+01,9.285960485036919010e-02,1.007422786840134754e-01
1.077142214899373407e+01,9.933359968287110153e-02,8.732493257566598110e-02
1.077872661222528627e+01,9.449706267763265111e-02,1.014019063419744765e-01
1.076727270677676707e+01,9.180991246813349771e-02,9.447543668904138936e-02
1.078052611937230942e+01,1.081820012959078675e-01,9.313290837325580163e-02
1.077092163641201950e+01,9.285653613232543180e-02,9.776765434528225662e-02
1.077845053980197676e+01,1.004812875250095522e-01,9.825391542011198409e-02
1.076847511357279252e+01,9.301764530765109507e-02,1.018226977765425839e-01
1.077395919867529983e+01,9.203210211158829868e-02,1.007168826395190425e-01
1.077469890826463228e+01,1.009414941683483974e-01,9.517561218187763072e-02
1.077495415029235382e+01,9.663121932271363790e-02,9.710453678906769137e-02
1.076740873949615995e+01,9.688371670273511482e-02,9.827027097909510345e-02
1.077428230014785626e+01,1.053294862414751037e-01,9.650611344666702729e-02
1.076792278774030009e+01,1.071252693310707771e-01,9.989857172973384825e-02
1.077709331915569813e+01,9.088965801040828352e-02,9.352903335955466135e-02
1.078063832026861668e+01,9.848633831453326715e-02,9.821440079978223381e-02
1.076653275912748597e+01,8.842920897441269856e-02,9.430066772685592735e-02
1.078538286652440448e+01,1.006246296248500260e-01,1.058375296448845204e-01
1.077555668956666857e+01,9.443449120115279816e-02,9.837350618387145917e-02
1.077709427250383101e+01,1.029612144412669489e-01,9.091037311859889725e-02
1.078103790263387651e+01,9.507305344526108259e-02,9.786843283960618145e-02
1.077922317438757105e+01,1.067749187603483779e-01,9.959819513338816210e-02
1.077983052504640860e+01,9.682774030883592453e-02,9.197895117276186361e-02
1.077413913789527733e+01,9.648527163335678114e-02,1.046709471901485222e-01
1.077528990430781697e+01,1.017198440245520169e-01,8.745466484784952810e-02
1.077827700377287279e+01,9.701009139609034770e-02,9.412914230698726792e-02
1.076743298640995938e+01,9.623783233138626103e-02,9.882797561913000961e-02
1.077010548917293953e+01,1.008088573229740659e-01,1.067353340716837157e-01
1.077481218721113088e+01,9.342726296494816007e-02,9.596226340094958507e-02
1.077073421379111018e+01,1.059638907969868982e-01,1.005367487906913965e-01
1.078040010759186274e+01,9.206317885214711227e-02,9.257509677333930487e-02
1.077389274854639822e+01,1.014765969415576397e-01,9.963665367740572043e-02
1.077875303400874607e+01,9.245640049716362385e-02,9.849222520771394596e-02
1.077463767141720474e+01,9.810938469270003015e-02,1.043845296553210095e-01
1.077674211297386364e+01,9.852761381921468220e-02,9.891308914094222582e-02
1.077120769637769016e+01,9.985901235316003988e-02,9.972625356505315786e-02
1.076784271326934928e+01,1.038420292555178176e-01,8.842400736853073262e-02
1.077375197375724092e+01,9.320016019548771347e-02,9.282301296578761296e-02
1.077307323990030241e+01,9.231770398581311265e-02,9.240209018679450270e-02
1.077392967366014354e+01,1.038167545728199692e-01,9.373022322032383002e-02
