gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707029725767616183e+06,4.688718562099657021e+06,3.360430936437829398e+06,2.592052732817097874e-02,1.059789540383332743e-02,-1.525611293872816514e-02
-2.707034358806150965e+06,4.688709792845631950e+06,3.360427728033939376e+06,-4.492512360232742835e-02,-3.160669098448945502e-02,1.962131151760696315e-02
-2.707030549119407777e+06,4.688714087857600302e+06,3.360428227080173325e+06,4.655901970149734642e-02,-2.519762123062370407e-02,-5.834000449420589929e-03
-2.707033859081035480e+06,4.688706601733017713e+06,3.360436941370573360e+06,-5.265081538426295144e-02,-4.293543642609021910e-03,-2.639757650061021199e-02
-2.707030351371854544e+06,4.688714487707294524e+06,3.360429634787883610e+06,-2.311071445039623862e-02,5.979788458248325340e-03,7.805893347293106632e-02
-2.707035788961960934e+06,4.688705746402801014e+06,3.360410158972079400e+06,-1.242697223583867291e-02,1.891419384547873839e-02,1.403294799361512468e-02
-2.707028064178267960e+06,4.688711113023118116e+06,3.360429488602922298e+06,1.094803173575049082e-01,-3.606740675118778362e-03,-4.397786382724822030e-02
-2.707029577347402461e+06,4.688711390905781649e+06,3.360424316759238951e+06,9.007711463197996815e-02,-2.730543062931023446e-02,-9.756026515840526825e-02
-2.707028481027889065e+06,4.688707532304462045e+06,3.360430725817579776e+06,-7.561418328634203490e-02,1.385090783916147206e-02,5.091974427947761062e-02
-2.707033565175401047e+06,4.688711283919204026e+06,3.360438274668488186e+06,-7.121261122745230210e-02,2.465507759915504249e-03,-3.297297683516699912e-02
-2.707030650823925622e+06,4.688709275625795126e+06,3.360433527805912774e+06,3.774413679822108403e-02,-4.627972505901093575e-02,-4.622922914252357990e-02
-2.707027567254679743e+06,4.688705426462137140e+06,3.360430335112346336e+06,-5.193087777600752762e-03,-1.016662619704634118e-01,8.128772552808900473e-03
-2.707026592044946738e+06,4.688706377314646728e+06,3.360418064922237303e+06,-3.008122428735152815e-02,3.151032040562154468e-02,2.297146714033473924e-02
-2.707041842166078743e+06,4.688716080161785707e+06,3.360429470941730775e+06,6.318103824662674173e-02,-1.026531810924713461e-01,-1.132688178693479729e-02
-2.707034685145144816e+06,4.688716371257201768e+06,3.360434416569105815e+06,-3.924073403324358777e-02,-6.288898929390755732e-02,-1.358616407412134401e-02
-2.707025502460432239e+06,4.688718892240687273e+06,3.360445335206259508e+06,7.317403674086782328e-02,6.035457537596398275e-02,-2.318748292638156405e-02
-2.707045532979678828e+06,4.688707417388971895e+06,3.360431371491520200e+06,-4.097474507415516110e-02,-5.106666310742051171e-03,-1.389706656424409548e-02
-2.707023860327633098e+06,4.688710782442457974e+06,3.360442051877817139e+06,-1.129816015315361910e-01,-7.151889252801130192e-02,-4.864537142265138586e-02
-2.707017645614382345e+06,4.688702615948119201e+06,3.360439872148180846e+06,-1.389265109391876057e-02,-1.475909633013058886e-02,-5.285378310626796111e-02
-2.707029341560329311e+06,4.688713811084213667e+06,3.360425058284644503e+06,6.365357889025129168e-02,2.422857015375470824e-02,3.184491835437565366e-02
-2.707038559915734455e+06,4.688709988228076138e+06,3.360429148911755532e+06,3.881647308312625305e-02,2.901342103214154047e-02,9.349812029565841842e-02
-2.707023401920670178e+06,4.688717156698593870e+06,3.360434179187383503e+06,-6.796600189144141185e-03,4.380792506061470526e-02,8.975080090339243588e-02
-2.707027230989385862e+06,4.688716550658572465e+06,3.360429813387636095e+06,-2.333145900883618756e-02,-8.430023459891419768e-02,-9.699020843750753851e-02
-2.707026225490859710e+06,4.688707884189607576e+06,3.360431258114835247e+06,9.025521653292718771e-02,-4.345946427536309664e-02,-1.054282574212418895e-02
-2.707046932017642073e+06,4.688714801330497488e+06,3.360435684544609860e+06,7.195775527058136112e-02,2.434458887131843094e-02,-1.770907678907139224e-02
-2.707030277474491857e+06,4.688713596162197180e+06,3.360432194314192515e+06,6.945324635197434870e-02,-6.396974016893046400e-02,8.172779329957996497e-02
-2.707032188953283243e+06,4.688706899923904799e+06,3.360439537915348541e+06,-3.575732560914210434e-02,-3.999717036689799665e-02,-2.502770514367284871e-02
-2.707026977785198018e+06,4.688713008509569801e+06,3.360436867714797147e+06,-7.580103272423349692e-02,1.628880718919413148e-02,7.463100965472382019e-03
-2.707024621135814581e+06,4.688707249976735562e+06,3.360420261145176832e+06,-8.223367485320244585e-04,-8.071614406011136389e-02,2.297550950703744141e-02
-2.707028278848771937e+06,4.688706844260497019e+06,3.360438236819512676e+06,5.220819832300829799e-02,-2.185322638202201462e-02,-1.845508880055838838e-02
-2.707030566408420447e+06,4.688709769908043556e+06,3.360423757146743592e+06,5.827061171580162624e-02,-1.742585903304546234e-03,-6.464912551951410014e-02
-2.707028530625346582e+06,4.688702541882478632e+06,3.360429296083919238e+06,-1.506426497933517454e-02,5.226257219304881324e-03,5.755204406574909032e-03
-2.707030155298604164e+06,4.688703241971253417e+06,3.360427504858762957e+06,-5.966822457413552272e-02,-1.232326244314888852e-01,2.745684647423097743e-03
-2.707025167336937506e+06,4.688708695057583973e+06,3.360421521916755941e+06,-5.200708873561578349e-02,-2.407534030041456104e-03,4.878664034994183857e-02
-2.707032749536455609e+06,4.688716134741934016e+06,3.360438835859964136e+06,3.835794752461230139e-02,4.062495916720003895e-03,1.966773968912024009e-02
-2.707020499431334436e+06,4.688702068840587512e+06,3.360440157242286485e+06,2.420545336085469859e-03,-5.639424367189867227e-02,-4.076864607257033729e-02
-2.707026931882869452e+06,4.688718358286464587e+06,3.360430562919297256e+06,1.960333417198620309e-02,-7.978847849798434422e-02,-1.615945927216751177e-02
-2.707029685817014426e+06,4.688721302089171484e+06,3.360435430954615586e+06,3.526098973668553155e-02,2.162975056521832320e-02,-5.052541479485601894e-02
-2.707035093385750428e+06,4.688712597055966966e+06,3.360427439360943157e+06,3.004080773314831213e-02,2.079437747598652381e-02,-3.149037772200356800e-02
-2.707027827992873732e+06,4.688710821816050448e+06,3.360436831438727211e+06,-7.073553174761990255e-03,1.539514552370079351e-02,2.459884290210666985e-03
-2.707023382774441037e+06,4.688722463999032043e+06,3.360431713982861489e+06,1.432765712441690376e-01,6.310318438251408257e-02,2.082324804203061069e-02
-2.707034464040327352e+06,4.688716176884284243e+06,3.360435399567741435e+06,-4.054660799714993741e-02,5.880436457900923078e-03,3.204885556123759222e-02
-2.707025288814562373e+06,4.688717608947347850e+06,3.360433480347588658e+06,5.731458002547615282e-02,1.278835131503191364e-02,1.244399750879033283e-02
-2.707028541173658799e+06,4.688712296075296588e+06,3.360432308387536090e+06,4.994041443185127938e-02,-3.459557482454370982e-03,-3.622030401890851802e-03
-2.707031572379637510e+06,4.688719199156144634e+06,3.360440183390873950e+06,-2.240818608473347379e-02,-2.667700547508678605e-02,1.040351558877199677e-02
-2.707039490823833272e+06,4.688705701642231084e+06,3.360423184476335533e+06,-9.074827386436692261e-03,-8.724771270283983651e-03,-3.749969227995585824e-02
-2.707024607010244392e+06,4.688718059120383114e+06,3.360431862270291429e+06,6.761556907018063250e-03,-2.275120165027486041e-02,-8.749686330289460287e-03
-2.707031048618116882e+06,4.688713956298642792e+06,3.360411251751915086e+06,-1.097404106856139372e-01,-7.039320946160486370e-02,8.228243836008275469e-02
-2.707025256558114663e+06,4.688715647209123708e+06,3.360437941372660454e+06,-3.695353789573773556e-02,1.450174422473326230e-01,-6.015616666347853303e-02
-2.707021354595052544e+06,4.688710927687870339e+06,3.360440655806789640e+06,-1.635800027672491483e-02,7.066595502643165105e-02,-2.985324169981110054e-02
-2.707023304521613754e+06,4.688717592879327014e+06,3.360446061439312994e+06,4.969340807648855302e-02,-5.606410423914908597e-02,-6.432898616220293631e-02
-2.707023705884856172e+06,4.688708492064789869e+06,3.360424468659142964e+06,-6.557308215798440809e-02,-8.596257875730759987e-03,3.129350776196648115e-02
-2.707037137989344075e+06,4.688713234287134372e+06,3.360424915989581030e+06,-1.535321034887014713e-02,1.248840564924585950e-02,4.748531349905846244e-02
-2.707034427080397028e+06,4.688717680416095071e+06,3.360434273965157103e+06,-1.639104665424089696e-02,-2.301293811735451861e-02,1.154565466479442332e-02
-2.707025637287009042e+06,4.688715922172187828e+06,3.360426623193086125e+06,4.693757534621931932e-02,-2.616291844407448667e-03,-5.924771954406139740e-03
-2.707024069678638130e+06,4.688710640435114503e+06,3.360427089911803603e+06,-1.214501110252154403e-02,7.210031945589336425e-04,-2.625194623237600555e-02
-2.707030416772717610e+06,4.688713081213967875e+06,3.360426610591918230e+06,-1.647250219722487183e-02,-7.436154343975481806e-02,-7.425330451237397225e-03
-2.707040344527715351e+06,4.688708389275221154e+06,3.360447043732378166e+06,-8.879917457193262087e-02,2.814858651762955008e-02,2.691763025661308810e-04
-2.707031378740181681e+06,4.688713163302605040e+06,3.360436537562394980e+06,7.336328906741430844e-02,-3.235026511562116847e-02,1.026757343398773843e-02
-2.707026917468829080e+06,4.688714801253923215e+06,3.360426301698596217e+06,6.952796565809602099e-03,3.502745810440926338e-02,4.929540275653072900e-02
-2.707031176468536258e+06,4.688708762347673997e+06,3.360435292788548861e+06,3.640044632143428494e-02,9.873215832785547930e-02,1.034837521471669575e-02
-2.707025902225974016e+06,4.688712449899496511e+06,3.360422214678068645e+06,7.534578645530257829e-03,-7.622317192845656786e-02,-3.514049149440291297e-03
-2.707029416964262724e+06,4.688708853736478835e+06,3.360439330932763871e+06,1.365187784452437103e-01,4.653646659608367403e-02,-2.736935514824023405e-02
-2.707021506527942140e+06,4.688708760566136800e+06,3.360420943136644550e+06,1.660834922896518850e-02,1.051405466271648423e-02,-7.553584256277870446e-02
-2.707037244067828171e+06,4.688706490740749054e+06,3.360442090958209708e+06,4.522885855914148684e-02,5.345668051334106358e-02,1.008504679388992076e-01
-2.707028468815565575e+06,4.688714062150289305e+06,3.360423159739448223e+06,-7.509934580795259162e-02,-1.883873661929304916e-02,8.771856317835614869e-02
-2.707033496330837253e+06,4.688708869748834521e+06,3.360433248648213223e+06,1.218540739327632003e-02,3.374521892134145495e-02,1.172458367651145472e-02
-2.707028004501366057e+06,4.688713482570777647e+06,3.360427792783643585e+06,5.595860980758272929e-02,-6.631503308092044635e-02,-3.865636671763061222e-02
-2.707029028739390895e+06,4.688708060829485767e+06,3.360417847923065536e+06,5.341561335840727502e-03,-9.198902369044137384e-02,-3.258186959592051374e-02
-2.707024203274655621e+06,4.688711770828874782e+06,3.360427621262332425e+06,6.182211163560023121e-02,1.427223224002868544e-02,6.779518381715267904e-03
-2.707023157852679025e+06,4.688706500353045762e+06,3.360431780927833170e+06,-4.965047886601398064e-02,-2.756378401484162188e-02,-4.545801998973811320e-02
-2.707025830772763118e+06,4.688713135158815421e+06,3.360416567841288634e+06,6.359208498058500914e-02,5.190782607905817386e-02,7.913051876172005547e-03
-2.707027174356230069e+06,4.688709583806992508e+06,3.360440184736514464e+06,2.806185007742048251e-02,-3.488013711025392261e-02,3.178965195564095042e-02
-2.707019643414169084e+06,4.688715305559879169e+06,3.360439804248964880e+06,-7.984785486333141613e-02,-6.917814605041519918e-03,-5.241250356258853049e-02
-2.707024406325966585e+06,4.688721559416034259e+06,3.360437415427288972e+06,5.134199738625691567e-02,6.451848199288076624e-02,-4.087145818259482755e-02
-2.707029883760788012e+06,4.688708421895883977e+06,3.360428699075158685e+06,9.417285728425877842e-03,2.432380401146783458e-02,-3.133749055168970343e-02
-2.707031719411297701e+06,4.688706017088322900e+06,3.360439573192737531e+06,6.123886235129498597e-03,1.581132787952816213e-02,-5.109726818252031955e-02
