gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707029554707070347e+06,4.688712886605056003e+06,3.360433430889179464e+06,4.426791192915099926e-02,4.517056537982046954e-02,5.201938144982144741e-02
-2.707035335462464020e+06,4.688706992128673010e+06,3.360427731856410857e+06,-5.717436537246948364e-02,5.714431931386984576e-02,-5.155721517011244148e-02
-2.707028197275090963e+06,4.688706232075477950e+06,3.360433078411292750e+06,-9.763733148289267805e-02,-1.005503877117997413e-03,6.979026656510220472e-02
-2.707033339221698232e+06,4.688705470987373963e+06,3.360427695044977590e+06,1.182328967851019839e-02,2.206773394462318780e-02,4.421925105787884169e-02
-2.707021104099155404e+06,4.688715937529818155e+06,3.360438324994530063e+06,-7.187703086486152415e-02,-3.717392293211112253e-02,3.148797123855503338e-02
-2.707028578416464850e+06,4.688709451553205959e+06,3.360436288259230088e+06,8.312289457793241298e-03,-2.752238177026512973e-03,1.352821380481435999e-02
-2.707028844397378154e+06,4.688711786127466708e+06,3.360435770022545476e+06,1.911813821574098737e-02,-3.323984382904241613e-02,-1.222067834483630960e-01
-2.707034505236031022e+06,4.688712249899435788e+06,3.360437820359079167e+06,-1.217401428240822425e-01,6.299876304169894914e-02,-5.527635996577756443e-03
-2.707035884745406453e+06,4.688711150883539580e+06,3.360427132462807465e+06,7.266565017304973950e-02,-4.770342345350243179e-02,-1.483495159869162652e-02
-2.707026681575077120e+06,4.688711638121387921e+06,3.360423381518711336e+06,2.440335269142664132e-02,-2.761135317006593523e-02,-1.568329449124106906e-02
-2.707030077047841158e+06,4.688711508059822954e+06,3.360418477716623340e+06,-1.744254521704664829e-02,-1.741141715573043050e-02,3.586172532511635452e-02
-2.707026827487144154e+06,4.688707512040968984e+06,3.360443906237361487e+06,-4.520637122271415481e-02,-4.741326052196288658e-03,-2.763896629863565532e-02
-2.707029121518772095e+06,4.688707563873590901e+06,3.360436104693435133e+06,-1.366962127312662360e-02,-2.704507424978678100e-04,1.881163131366019384e-02
-2.707029087682505604e+06,4.688707951495218091e+06,3.360427816391416360e+06,2.562603795927962855e-04,-1.652384233128398328e-02,8.020185063865367670e-02
-2.707041760283425450e+06,4.688715032176649198e+06,3.360430000664178748e+06,7.360784465129424636e-02,4.660914806018348622e-02,-8.105316888234034844e-02
-2.707034378449572250e+06,4.688708841161895543e+06,3.360434534433412831e+06,-2.996138834709564935e-02,5.897565616411353656e-02,5.566342486584241467e-02
-2.707026163686245214e+06,4.688717032149270177e+06,3.360435704334945884e+06,-3.941909732521042820e-02,6.293273859408372861e-04,3.760866706074877941e-02
-2.707039280463732779e+06,4.688713504614497535e+06,3.360420751515389420e+06,-1.484006908357215528e-02,-6.756928446001130018e-02,-3.668246795850724912e-02
-2.707032358307271730e+06,4.688715631256084889e+06,3.360424760213772766e+06,4.203102897505182900e-02,-4.331894346421150122e-02,5.947941019710362154e-02
-2.707026080210816115e+06,4.688714941664959304e+06,3.360438509522137698e+06,-1.077413486957864465e-02,1.243115557936250309e-01,-2.055984207375874742e-02
-2.707026912318865769e+06,4.688707844894652255e+06,3.360433580899594817e+06,-1.301119739597163261e-02,7.905024035545939534e-03,1.531051554829393480e-02
-2.707033181279129814e+06,4.688713469789488241e+06,3.360435797176877502e+06,-6.155248107452237528e-03,6.650829942445343756e-02,4.774100454502794993e-02
-2.707028444706934039e+06,4.688710485739886761e+06,3.360433219774210360e+06,9.306100256917080801e-03,7.559862083884265511e-03,2.554617766169729742e-02
-2.707019540612221230e+06,4.688712629651053809e+06,3.360420699316103943e+06,-1.829060605453338264e-03,-5.008612067167536597e-02,-8.785421624086396652e-02
-2.707030137102401815e+06,4.688723668299441226e+06,3.360436003033406567e+06,-1.847159365784913077e-02,7.056884618294863298e-02,1.883103021530734347e-02
-2.707032427768307738e+06,4.688715853349430487e+06,3.360436088252376299e+06,-3.578161838362572261e-02,-1.569249443607937874e-02,7.620234037222636814e-02
-2.707030053842660971e+06,4.688715473946141079e+06,3.360438524508594535e+06,4.552530211748004318e-02,1.404643999706278734e-02,-1.441423357729017599e-02
-2.707027888505622279e+06,4.688707254782965407e+06,3.360424742800722830e+06,2.633737588251141085e-02,5.092336997553425365e-02,9.086499953891520598e-02
-2.707038331550247036e+06,4.688702534337616526e+06,3.360431508507067803e+06,2.420204392305083663e-02,-4.667820279944773221e-02,-3.544532461998590317e-02
-2.707023009750430472e+06,4.688718360424797051e+06,3.360435680534453131e+06,-1.880938076132388989e-02,1.240277948478706593e-01,-4.125180557848191071e-02
-2.707026760529839434e+06,4.688721274209145457e+06,3.360435283498332836e+06,1.929913859824572767e-03,1.914632335246591391e-02,-1.233143072326024943e-02
-2.707035494103833567e+06,4.688714873367469758e+06,3.360436535341086332e+06,-4.550168373073093520e-02,1.691426775840767496e-03,-2.528164033477136707e-03
-2.707035939050873276e+06,4.688716090125908144e+06,3.360433476671351120e+06,-3.025843373834503219e-02,-4.566364946678143355e-02,6.124643046809076508e-03
-2.707026549272327684e+06,4.688711718681285158e+06,3.360430627791705076e+06,-1.182465046195902217e-02,3.834863463828644403e-02,1.981249571601816431e-02
-2.707035513693111483e+06,4.688709895603631623e+06,3.360430808159923181e+06,1.071013639981464038e-01,-1.525717069692280881e-01,-5.036447631124388313e-02
-2.707028602092453744e+06,4.688704740747474134e+06,3.360430820088993292e+06,5.458629975790679767e-02,2.486601169718300960e-02,5.469729880782967651e-02
-2.707027773659208789e+06,4.688706097556469031e+06,3.360427573943807278e+06,1.132841451435517843e-02,-1.792841637107927405e-02,1.407817071103527676e-02
-2.707026031946818344e+06,4.688714177442048676e+06,3.360427595883301459e+06,2.465027060923961899e-02,7.617736275831211122e-03,2.788622385295036130e-02
-2.707025050886868034e+06,4.688712777761616744e+06,3.360423379745923914e+06,2.803230819107293062e-02,-3.372907010565703162e-02,3.196678096285806431e-02
-2.707030658147236798e+06,4.688705014605227858e+06,3.360414581420917064e+06,-4.158080489233139526e-02,-5.207762857648880195e-02,-3.848335595784499463e-02
-2.707028230579096824e+06,4.688712869340238161e+06,3.360438198650146835e+06,2.570844402817289154e-03,-3.657901591508863626e-02,-5.214724944995161732e-02
-2.707025006518504117e+06,4.688705209567009471e+06,3.360444890389890410e+06,-6.045730593453416124e-02,-6.330709410196460468e-03,-3.320458414978985640e-02
-2.707028576634647325e+06,4.688714635078374296e+06,3.360426628153258003e+06,3.185576183518661932e-03,-8.416937995143560641e-03,2.772466371039837563e-02
-2.707026291614216752e+06,4.688704913596510887e+06,3.360428781118756626e+06,2.281372202866473534e-02,1.832444890528103082e-02,-2.787928371375222869e-02
-2.707031283197958488e+06,4.688707863149589859e+06,3.360432459076361265e+06,-1.208585223889995300e-02,-2.065696681197777551e-02,-5.919289455060995631e-02
-2.707032576663614251e+06,4.688715642635778524e+06,3.360437702024814673e+06,7.863077341702036024e-03,3.837263763476728498e-03,-4.117305688138531150e-02
-2.707033939905719366e+06,4.688699514614493586e+06,3.360430122755593620e+06,-9.195384001697479853e-03,4.369094534283736626e-03,-4.151904231570582859e-02
-2.707023811453308910e+06,4.688716317508679815e+06,3.360416969162425026e+06,-6.846237503552389699e-03,-2.310389833433988682e-02,-1.105907805197826367e-02
-2.707035649496359751e+06,4.688718359709850512e+06,3.360437224705158733e+06,-2.482319366232506319e-02,7.961218117441726250e-02,-1.401588779331889439e-02
-2.707025781241573859e+06,4.688708806002659723e+06,3.360418119595257565e+06,1.648743871146681958e-02,1.865345011139430201e-02,3.545435369376580964e-02
-2.707038450970319100e+06,4.688715063287126832e+06,3.360436815445329994e+06,-1.156164206949042150e-01,8.820353569910234851e-03,-7.394007878264491698e-03
-2.707029420935972128e+06,4.688714866011356935e+06,3.360433207474172115e+06,2.556789591826529040e-02,6.567992533818049761e-02,4.934906545957910839e-02
-2.707023209104129579e+06,4.688713092286307365e+06,3.360433833267375361e+06,1.010011728635484413e-01,9.557314466360966598e-02,-3.844300967533796631e-02
-2.707028179177839309e+06,4.688706893926635385e+06,3.360435677430933341e+06,-3.527352240614944900e-02,-5.504542488220183494e-02,-4.009552611088759884e-03
-2.707022309083713684e+06,4.688705409242216498e+06,3.360428759113548789e+06,-2.436254983023724424e-02,1.537454879075578554e-02,4.769333038622036031e-02
-2.707027884398809634e+06,4.688710657763518393e+06,3.360429031149147544e+06,-6.582008981549088145e-02,7.703905890918183452e-02,-5.972855805544391612e-03
-2.707027924951489083e+06,4.688707874013310298e+06,3.360419701007495169e+06,-5.332738265083797335e-02,-7.486566296203586712e-02,4.378383773599606177e-02
-2.707027554127214011e+06,4.688713529279212467e+06,3.360430984775577206e+06,4.919513447369613934e-02,1.221331831544511665e-01,-1.004171010751628706e-01
-2.707040299952560570e+06,4.688712928241194226e+06,3.360440145048030652e+06,-2.366961902969570708e-02,4.752630556059284084e-02,1.745185172948797783e-02
-2.707025490347477607e+06,4.688714189637738280e+06,3.360432768108052667e+06,-4.182543412077930484e-02,3.922718024291010214e-02,-4.788578163584339409e-02
-2.707032336950566620e+06,4.688711202559611760e+06,3.360429074942267966e+06,2.254181234537607631e-02,4.864878089086258767e-02,5.083613463131166077e-03
-2.707028939181745052e+06,4.688716905034725554e+06,3.360431074119521305e+06,-2.973534153210569825e-02,6.393660700108361183e-02,1.544687086202620879e-02
-2.707037687153875362e+06,4.688712706388011575e+06,3.360439081281727646e+06,6.753881343433693063e-02,1.810385291883413739e-02,2.105357289876052043e-02
-2.707028564180451911e+06,4.688712013199637644e+06,3.360430135963634122e+06,9.797902498841051799e-02,-2.356316074583705844e-02,-5.478472762013451326e-03
-2.707039055608856026e+06,4.688715354362460785e+06,3.360418202966955490e+06,1.370503646198247168e-03,4.553931383287979084e-02,1.261269269310796165e-02
-2.707032560637739487e+06,4.688703135055080988e+06,3.360419253413966857e+06,-3.657774128909645900e-02,-3.169081494416970540e-02,-1.355982918353266509e-01
-2.707027614980936982e+06,4.688708717416468076e+06,3.360429507875716779e+06,8.521694467968665698e-02,3.799596396068598281e-02,-5.466108873637071097e-02
-2.707026126004193444e+06,4.688717448995967396e+06,3.360447793481526896e+06,1.402735950695835690e-02,1.530574078399801058e-02,1.172889219999247445e-01
-2.707037641361439135e+06,4.688714052193121985e+06,3.360444416236499790e+06,-6.688596221904770378e-02,-4.482984864690883753e-03,-3.653715466059057754e-02
-2.707025694470152259e+06,4.688722281912894920e+06,3.360428066261933185e+06,2.221275821521639937e-02,5.641551692040765176e-02,-4.021634449093527963e-02
-2.707036210021789651e+06,4.688717984992623329e+06,3.360426211004387587e+06,-1.769312004665772251e-02,4.002482836370302444e-02,-2.742307140911295557e-02
-2.707023770732327364e+06,4.688711609325598925e+06,3.360422239818656351e+06,3.624144678389146917e-02,-7.556595049632446048e-02,3.097517307777176987e-02
-2.707026505490084179e+06,4.688713217393482104e+06,3.360430678845273796e+06,-4.336419369823363117e-03,-1.247903289006009261e-02,-2.521358109506761924e-02
-2.707020511525700334e+06,4.688712211893025786e+06,3.360420878656089306e+06,6.592453805889034180e-02,-5.040133509133681855e-02,-9.638111979345453939e-02
-2.707028246409355663e+06,4.688706774787888862e+06,3.360439707730412949e+06,-1.178731788009193537e-01,4.452708014663468890e-03,-3.848254047164702957e-02
-2.707026673653724138e+06,4.688719997144568712e+06,3.360434709010286722e+06,4.847071835269758933e-02,3.298070377729388908e-02,-8.871711593169356869e-02
-2.707030376743511297e+06,4.688707863875313662e+06,3.360438775885215495e+06,3.062794854070294975e-02,5.635283853649633579e-02,2.021092204571213122e-02
-2.707022996561091393e+06,4.688709109406615607e+06,3.360441572264422197e+06,-2.690136849450645851e-02,-2.821649073620096856e-02,-1.962282351459301161e-02
-2.707038459451322444e+06,4.688716665402865969e+06,3.360441599994616583e+06,2.769506729836252595e-02,2.382089097400342387e-02,3.885975677210153079e-02
-2.707028016147633083e+06,4.688701662098961882e+06,3.360425659887974150e+06,5.949972245562845652e-02,4.145142599975171205e-02,2.659803125854109940e-02
-2.707024425359392073e+06,4.688702750921004452e+06,3.360424765108289663e+06,4.280224994437259456e-02,-2.411117028223417821e-02,-2.916159303038298733e-02
-2.707021875183285214e+06,4.688719166797189042e+06,3.360417322227661498e+06,7.671397539059131299e-02,7.041483096008979703e-02,2.037562491397830119e-03
-2.707023211210001260e+06,4.688711733418723568e+06,3.360422269158451818e+06,-2.231497597126016683e-02,-5.138500293677773778e-02,-7.864914927792353988e-03
-2.707024970021406189e+06,4.688709745924999937e+06,3.360436985974519048e+06,5.196608967107640281e-02,7.713960700055420838e-02,2.155985287614296982e-03
-2.707029570711425040e+06,4.688712645780489780e+06,3.360439572923810221e+06,-7.034043906713770278e-02,6.185533416179467281e-02,-2.378964851571164704e-02
-2.707021607760105748e+06,4.688722329476655461e+06,3.360415613771507051e+06,-3.035143573933372224e-02,2.310430980945029494e-02,-7.562311069718317957e-02
-2.707028698646076955e+06,4.688710351121377200e+06,3.360427283980902284e+06,-5.784424003242491161e-03,-1.294663128649014422e-02,-5.724190210590401548e-03
-2.707032689672328532e+06,4.688712883494545706e+06,3.360424372338432353e+06,-1.276122306281674001e-02,-5.656661019484744701e-02,-1.025494563132047648e-02
-2.707034660635163076e+06,4.688712747513450682e+06,3.360434949100911152e+06,9.588954328133730831e-02,2.015136301674929492e-02,6.508878049263583376e-02
-2.707021403997476678e+06,4.688712100357193500e+06,3.360437525780208874e+06,-4.401668857690187869e-02,3.594795060791294156e-02,5.456549216614534070e-02
-2.707029456685017329e+06,4.688705937292072922e+06,3.360428166198526509e+06,-1.816014722468902928e-02,3.494281838934645140e-02,-3.445726579728004835e-03
-2.707032287003574427e+06,4.688709935622169636e+06,3.360421696203783154e+06,-7.518881006573563397e-02,5.194095611086544523e-02,4.636385051450790662e-02
-2.707030035114031751e+06,4.688712330013183877e+06,3.360441597176990472e+06,-1.401653889226778076e-02,-7.188944877636514741e-02,5.624565431855386294e-02
-2.707030119756511878e+06,4.688708902644849382e+06,3.360424514356750995e+06,-7.734213065728531844e-02,9.077765224970052796e-03,-1.153998564518698977e-02
-2.707021526020534802e+06,4.688716826730147935e+06,3.360437359618443996e+06,7.643033372922471147e-03,-7.905498711728457806e-02,1.270197207104844794e-01
-2.707025828710173257e+06,4.688712372957719490e+06,3.360418402266589459e+06,-4.537861450573085764e-02,-3.919274363860961868e-02,1.121763477996547478e-02
-2.707016713958959561e+06,4.688724810461791232e+06,3.360436527410848998e+06,3.055501009195255024e-02,7.754729846308675185e-03,-2.320407263965824918e-02
