accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
7.641378910595816518e-03,-7.597540789159935165e-03,9.792294841025313445e+00
-1.921892516297139938e-03,-2.134095256157131013e-03,9.794189490920674146e+00
3.201963489655938570e-03,7.251275517903803779e-03,9.803446119267414716e+00
-6.143320515223098417e-05,5.076412076522185055e-03,9.796384466853503170e+00
-1.346966890858494401e-03,3.471672254765063945e-03,9.792734214481749078e+00
2.833428513425342854e-03,5.684472471674806293e-04,9.796264467613978510e+00
9.039191236087733804e-04,6.792080763930534101e-03,9.797378875330625903e+00
-1.160708444967818980e-03,3.879768296133262462e-03,9.797077332054977106e+00
-1.039327504223563339e-03,9.379750845940779081e-04,9.795307784532971240e+00
-3.721743288409548643e-04,2.909109371359987033e-04,9.796834119483209591e+00
-1.236400754098618618e-02,3.823388760606372203e-03,9.793049999196274058e+00
9.835938180738973066e-03,1.058638308814480178e-02,9.795476801452421611e+00
-2.135530929985187017e-03,-1.371807150358197742e-03,9.795307494647252256e+00
3.754254503944811500e-03,-1.666443424084701475e-03,9.793210090141172941e+00
-3.242440133429507973e-03,1.422138625093864240e-04,9.801206691109392466e+00
1.081553855358519979e-02,-2.552836942638794012e-03,9.806845941102842801e+00
8.166027722923043658e-04,2.535057907872854000e-03,9.804379771279140954e+00
-8.067386951731200101e-04,1.434463168455089041e-04,9.789581667349905203e+00
1.982696894121090039e-03,2.906031282951542947e-04,9.797247146773644388e+00
5.976928602630796668e-04,-1.308033527770431203e-03,9.786567732728194358e+00
4.872317729878158921e-03,-1.771164161630619897e-03,9.801024206776160597e+00
-3.752909253609689692e-03,-1.158483354820737544e-03,9.796644071461244607e+00
2.540107571447254749e-03,2.669928604253159025e-03,9.794394486063268346e+00
6.923230167110954250e-03,-1.466085023478644594e-03,9.804496192672553789e+00
-1.478478246571506569e-03,-2.961243962187014647e-03,9.794214068582485666e+00
-1.690699847013291904e-03,-9.782891276090076305e-03,9.799234762131048271e+00
4.193303271430303368e-03,-6.572666343169134180e-03,9.791332892757907302e+00
2.006746775368516145e-03,-2.119360134900376714e-03,9.791235705061875905e+00
4.911666696375895612e-03,-3.190354304690443295e-03,9.800595271421236987e+00
4.558441535745556307e-03,-5.621524909850331283e-04,9.799849879682728471e+00
2.564518060619880866e-04,-8.290584509202591698e-03,9.794016811633426300e+00
-2.262186003479461742e-03,1.026375423150963605e-02,9.797895553565686200e+00
8.438888455209762537e-03,5.255581694889869225e-03,9.788857428580879372e+00
5.664648113830631111e-03,-7.431395764341675383e-03,9.790819801413631396e+00
-4.755312905094746800e-03,-2.641293001632476559e-03,9.794842019254076604e+00
-1.787589180503930397e-03,8.942693597832309304e-04,9.790779383529802260e+00
1.169314511944680862e-02,-3.292663769713289126e-03,9.800381384025504516e+00
-1.407923941623877989e-02,7.399316046704804486e-03,9.797412998240755400e+00
2.766703676827039424e-03,6.382923730191657555e-03,9.790605464563162386e+00
-7.471556556134195844e-03,-2.876418234734695600e-03,9.791656413136843540e+00
9.619240112689313865e-05,-3.777085204173930705e-03,9.798375949189550127e+00
-6.047187208472651343e-03,-1.013443417953139702e-03,9.796212406211095569e+00
6.604755023340265832e-03,1.052027206995200664e-02,9.789581778902196163e+00
-6.836455548821769677e-04,4.323092104080095621e-04,9.800182026126067925e+00
6.198544311722925526e-03,4.789385450678005501e-03,9.797459025512837982e+00
-3.666752279709607158e-03,-2.280108855575891692e-03,9.798490559104811481e+00
-3.283186768989051693e-04,-4.809694637523000312e-03,9.798864068529780980e+00
-6.114816139449181717e-03,-1.265208587950730941e-03,9.801696504207594529e+00
3.348791453471521018e-03,1.170613639971964347e-03,9.792997979730753144e+00
-4.425528167298898446e-03,8.357824361646181560e-03,9.791101565145650554e+00
-4.764458959692951905e-03,5.818129190471969803e-03,9.791244895657992942e+00
3.449231726802123345e-03,-3.376145171353267180e-04,9.790434989879518213e+00
2.200992444962319300e-03,-2.114664634284156054e-03,9.789050805626828833e+00
4.956302168117474038e-03,-5.925909534433521780e-03,9.792193820991762720e+00
-3.403535658390259696e-04,-7.325185326833234855e-04,9.798085084794971422e+00
7.120291470237399313e-03,1.220140660318814584e-03,9.790329586347077395e+00
3.420205154393775489e-03,3.235278738218008276e-03,9.798288484646516139e+00
6.141711900956405186e-03,-6.505549305038858766e-04,9.798111131291680209e+00
-9.750988179938774748e-04,2.684576006267659284e-03,9.804099536292232742e+00
1.425385662674032985e-03,-6.428265467677323798e-03,9.797968220732219180e+00
-3.240177876227543982e-03,5.834400051865199638e-03,9.801319209189609083e+00
-3.084453482594457039e-03,6.980446746874586876e-03,9.790628096085734811e+00
2.492501546049136294e-03,9.652925656573857482e-03,9.777066820273448755e+00
8.667464574572995243e-04,-1.799411795050275941e-03,9.797738278571154424e+00
8.626778208352670063e-03,3.539299200805258797e-04,9.789145450917155600e+00
1.705542093086043643e-03,4.507798260390588792e-03,9.800771915246178523e+00
-4.982670524407989063e-03,-1.580555871132647335e-03,9.794834454475388696e+00
1.511204271586610122e-04,1.363584497074625101e-03,9.795451456966951298e+00
4.119363934235854494e-03,-7.034140798048072428e-03,9.788706355215762045e+00
1.043946290056814528e-03,4.358306219426009639e-03,9.801915977102106936e+00
-2.140240341550615766e-03,1.692798855480279197e-03,9.794599574920642482e+00
3.695162942256818676e-04,6.188453533737010327e-03,9.801563229423463142e+00
-2.969888164856074493e-03,4.080483906503370832e-03,9.798778693142331520e+00
6.154180452606561151e-03,-5.159078505024760827e-03,9.799510797396859374e+00
-2.335333970160912744e-03,8.162102979004247534e-04,9.806702116282378867e+00
-1.001814279475863115e-02,-2.384286772756157458e-03,9.795574804570119198e+00
5.470056333304253171e-03,2.452458828199664907e-04,9.798305700568750609e+00
-6.508886221385185109e-04,-3.604362517370737892e-04,9.796210060878722814e+00
1.674990088852551734e-03,1.015046699100828793e-03,9.795027685220095037e+00
6.283816521054883496e-03,-1.033021435012744862e-03,9.790797452276509105e+00
-9.645318800059832567e-04,1.786618106962000688e-03,9.798427221212342886e+00
