mag_x (uT),mag_y (uT),mag_z (uT)
3.280252692661470348e+01,4.201524057194010696e-03,-3.741278047589912603e+01
3.281686044528974833e+01,-3.453225857565651608e-03,-3.740838923438897723e+01
3.281477538996260535e+01,8.529108385896367467e-03,-3.742473939764801827e+01
3.280673023565879731e+01,-8.787364602276775960e-03,-3.742035534126515017e+01
3.280842059001245303e+01,-2.775964261531777694e-03,-3.742017274142079231e+01
3.280874561483832252e+01,3.159139400284869097e-03,-3.741077975041166326e+01
3.279792982469206208e+01,1.012650905948328170e-02,-3.741950059222257607e+01
3.281690724584473173e+01,-1.252135979175050644e-03,-3.742913801761321224e+01
3.277935201098041063e+01,-1.724954134423198338e-02,-3.741697864923444428e+01
3.280550770462560450e+01,2.717260952423250064e-03,-3.742479623569519731e+01
3.280845009035330406e+01,-6.119110427383265584e-03,-3.741278444857564267e+01
3.280749571712504320e+01,2.407350570481856140e-03,-3.741210531631666925e+01
3.279981760518985823e+01,-5.738832261326850918e-03,-3.744142373714538508e+01
3.283921049401536862e+01,5.819177125882117260e-03,-3.742121539842652567e+01
3.279833402631655304e+01,-2.995392974978434725e-03,-3.741443854762099619e+01
3.280483019202569750e+01,-1.920975762357423179e-03,-3.742368703644029893e+01
3.282121019682558227e+01,2.009967067030703994e-03,-3.742020750887462555e+01
3.280540803420403506e+01,-6.338568830126242205e-03,-3.741750463740165600e+01
3.281677402880560379e+01,-6.604477985980211630e-03,-3.741441710817594668e+01
3.281793336778244452e+01,7.854235255242482741e-03,-3.741963781682981249e+01
3.280412301852100398e+01,-7.508693274479121167e-03,-3.740666240541056453e+01
3.281014600501760015e+01,-1.597607347208186701e-02,-3.740692653362496856e+01
3.281974948561440897e+01,6.585963318778176832e-03,-3.741365752528257360e+01
3.280986687710255012e+01,1.556080345127692751e-03,-3.742042959959062642e+01
3.281117072694613057e+01,6.919570013141747994e-03,-3.741034573247463868e+01
3.282699258622428573e+01,-1.311515819372318856e-02,-3.740966328176074285e+01
3.282321924138771863e+01,1.378911107496375021e-02,-3.741664095771212573e+01
3.280254491238003567e+01,9.642279099591940725e-03,-3.743262606246032220e+01
