gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
5.159518412439870749e-01,5.355219435371055825e-01,4.933085461267906480e-01
4.291953870158495832e-01,5.369287784298576449e-01,5.436525059960276574e-01
5.769530328071811320e-01,4.903406602257912028e-01,5.344675661159825619e-01
5.025049662919068849e-01,4.665441226887161452e-01,4.911619453834670801e-01
4.983828154299526636e-01,4.043882854330817511e-01,4.836991272896146721e-01
5.017845262851760024e-01,5.465240501186745536e-01,5.177833339240508481e-01
5.225922985163097279e-01,4.733934910954338826e-01,5.113874708642230926e-01
4.969636996178023458e-01,5.336437107697143967e-01,4.377040146318910696e-01
4.785285468760841487e-01,5.014750011625372927e-01,5.098165704181973901e-01
4.771348020448677452e-01,4.869698063200207372e-01,5.115596512060008871e-01
5.051032313763421655e-01,4.744308349148675941e-01,4.868880646311760096e-01
5.902460096380106602e-01,4.979944355187468363e-01,4.492317935110567984e-01
5.930573922922465213e-01,4.775386832320025476e-01,4.995341872308458053e-01
5.248600421353069034e-01,5.195958843254521176e-01,5.067497606543330813e-01
4.281022546907250481e-01,4.873470515564566896e-01,4.996946583131512964e-01
4.960290329211887728e-01,5.730310637112311367e-01,4.665489240296770701e-01
4.977264588196859130e-01,4.924513298151531604e-01,5.660263658039614842e-01
4.958968921235169525e-01,4.824518183397789040e-01,5.014844796126485260e-01
4.835831708602111867e-01,4.989978919232280208e-01,4.723905702975986221e-01
5.081524265709628230e-01,4.647868716972095027e-01,4.983710634895191505e-01
4.892169673841459954e-01,5.011914488538955492e-01,4.954564286559793307e-01
5.241194623561497012e-01,4.502063197254829174e-01,5.160172449738326117e-01
4.446161377446970486e-01,4.815409466447559406e-01,4.886133483802084232e-01
4.781700080606712810e-01,4.915380142978508782e-01,5.073467740321803143e-01
4.783553480119580037e-01,5.075062874252176393e-01,5.220039066962373075e-01
4.768065781502896505e-01,3.656360284480766332e-01,4.670637675420804547e-01
4.932488928595601951e-01,5.517086625642210196e-01,5.517955077349363524e-01
4.878299441550674742e-01,4.825730373289154884e-01,4.965150924085447448e-01
4.841062509342787257e-01,5.000759754371154608e-01,4.874708367328164371e-01
5.358313811804550353e-01,5.118423203156948764e-01,4.910119450763046900e-01
5.710810741394005685e-01,4.864442929834292828e-01,4.720614863982972587e-01
5.284175899944481003e-01,5.213740294931825670e-01,4.907377220535242834e-01
4.324555738490478141e-01,5.240338342304767805e-01,5.446187224337686317e-01
5.175277040902405146e-01,4.947477298223016406e-01,4.993243905152390805e-01
4.233660695787011541e-01,5.848957873472295788e-01,4.908398927593809469e-01
4.734992650820787907e-01,4.761667838881961101e-01,4.425745090044120311e-01
4.842270696092019211e-01,4.868616857183365454e-01,4.478237001336114465e-01
4.593404873921753118e-01,4.601342781576971963e-01,4.543343076410520931e-01
4.102850629525798265e-01,4.863215422234240526e-01,4.954459829438819241e-01
5.233261324460960484e-01,5.221367264630911720e-01,4.791187985534480775e-01
5.434470719656929738e-01,5.708865639221560873e-01,5.060097446925225784e-01
5.272990801075840839e-01,4.855048882806327071e-01,5.220028886674249469e-01
4.647323557453705289e-01,4.825151467827319962e-01,5.757903032859906789e-01
5.064043590349420754e-01,5.372253487375003855e-01,5.121096701571919985e-01
5.290006531534150458e-01,5.107723536838912892e-01,4.583496660072486351e-01
4.885502783525151882e-01,4.623530326022087245e-01,5.081091486476625452e-01
5.405673663488244074e-01,4.287047888660313055e-01,5.146241737509166247e-01
5.265123837748436619e-01,5.008326523047847978e-01,4.940480166519577443e-01
5.133931752849554275e-01,4.960497686233448777e-01,4.952408016671819291e-01
5.340094480558699175e-01,4.803644289694414260e-01,5.194512760352520964e-01
5.223232580503301969e-01,5.519921425343494725e-01,4.604121091686060874e-01
5.459107195468033691e-01,4.532059691438789506e-01,5.317651837539927318e-01
5.170246141555675523e-01,4.621935078149585485e-01,5.408643899579360648e-01
5.553329052841889935e-01,4.853193211309859145e-01,5.039164693032740505e-01
4.166039100060198730e-01,4.715515960457172251e-01,4.334530914485293929e-01
4.975886653790774772e-01,5.410777011715461882e-01,4.858061694249453111e-01
5.111425578361596944e-01,5.608551144033754321e-01,5.476908749241550245e-01
4.834542911678270660e-01,4.321067792432409238e-01,5.783078941082988589e-01
4.998210689950224328e-01,5.195457700805597989e-01,4.866903487244096937e-01
4.816472506275122356e-01,4.536603430959320060e-01,5.283460506266373091e-01
4.951473027044094866e-01,5.434781789684881570e-01,5.170291843818221045e-01
5.143421137509888164e-01,5.053908494939871598e-01,4.908204673820095176e-01
5.635566552502537796e-01,5.023047793770123448e-01,4.961941025041739506e-01
5.297350699881040459e-01,5.663029402175070448e-01,4.532172619416615089e-01
5.108002302063789912e-01,5.119106049480449672e-01,5.384346572023098743e-01
4.932122716933678430e-01,4.577465708070312944e-01,5.484677654236641553e-01
4.909928468035520965e-01,5.918703590777569801e-01,4.191094265744998437e-01
4.616691781371790593e-01,5.416138325456313352e-01,4.470653416090716870e-01
4.969115137764603118e-01,5.538282943311524376e-01,4.833194152204863814e-01
4.700660438239459005e-01,4.530973292909205585e-01,4.957191452565257173e-01
4.377250657329042616e-01,5.167903016436772301e-01,4.790843601435426646e-01
4.368659077560862469e-01,5.003060411137423280e-01,5.593635731680576262e-01
4.253693394483096246e-01,4.852351142141747564e-01,5.428732289705416880e-01
5.454625489697831897e-01,4.684870540003738815e-01,4.843407986783387353e-01
5.094458265750140269e-01,5.229789769166878211e-01,4.365953786077986787e-01
4.975081805187088757e-01,4.473038405856427091e-01,5.431168315820967818e-01
4.330530519696190739e-01,4.959854252580372380e-01,4.689397964825925968e-01
5.154016577847706504e-01,4.665395135092973988e-01,5.452983492762296658e-01
4.954755045655689916e-01,5.572727038676743572e-01,4.352640893741807071e-01
5.193885942889853169e-01,4.389917521254679267e-01,5.256007915833025290e-01
5.194227602595027360e-01,5.062598217983618198e-01,4.647071335794693003e-01
5.788523941394142502e-01,4.489177621807335927e-01,5.114934263219363952e-01
5.144820505187167603e-01,4.650554929156119899e-01,5.408889239860434905e-01
4.693761340684290406e-01,4.926420145669286876e-01,4.263840683467484127e-01
5.908491781691728173e-01,4.706715322464122830e-01,5.039039367113561374e-01
5.063629771300125482e-01,4.878430948192060690e-01,5.379196301247474166e-01
4.502894074658437273e-01,5.293552274398979351e-01,4.866783499181768224e-01
4.833938615155886631e-01,5.042874502465579667e-01,4.899021524731236310e-01
5.102911090197482791e-01,4.926372990323337198e-01,5.923333835825628224e-01
4.051192679616158476e-01,4.952774909575181073e-01,4.924617665848103898e-01
5.584975624415648987e-01,4.715328405939275269e-01,4.654595462910814385e-01
5.063995793454835193e-01,4.918778071628140403e-01,4.781037984694114784e-01
5.123823155711098032e-01,4.427864972028646706e-01,5.100181510760869452e-01
4.446760036532313443e-01,5.356732062808534645e-01,5.172679669563632343e-01
5.298375658487977091e-01,4.607752520119838269e-01,4.849077645634916611e-01
4.812269097548090846e-01,4.881941844946012243e-01,5.065175615191210845e-01
5.062775798948563333e-01,4.721770175938342362e-01,5.150543784699559424e-01
5.337717818495442135e-01,5.294708539183425877e-01,5.668768717329991658e-01
5.529646392218896533e-01,5.327049984784506531e-01,5.075793516119883053e-01
5.126558113668006067e-01,4.677539434609880864e-01,4.349872782372030677e-01
4.940091545413955454e-01,5.353527056332041401e-01,5.970548324682801722e-01
4.903243997052729175e-01,4.675410195734119312e-01,4.582813323503966418e-01
5.777704225379702851e-01,4.789021688362694595e-01,4.412542229513074510e-01
