q0 (),q1,q2,q3
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
3.749399456654644020e-33,6.123233995736766036e-17,1.000000000000000000e+00,6.123233995736766036e-17
