accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
4.224948644658884506e-03,2.150292169085367931e-03,-9.798141411570341575e+00
-4.581457222336054666e-03,7.924985201796042392e-03,-9.789849419653245732e+00
4.678132059734373366e-04,2.966079808154614781e-03,-9.795942311132856517e+00
-8.079551056208937598e-03,1.013781000052845112e-02,-9.795473802966474963e+00
-6.315848138484101565e-03,7.965138703834150763e-03,-9.791107870400470148e+00
1.692596219275368033e-03,-2.369300198375236775e-03,-9.794080082530399523e+00
-1.150321630468472290e-04,-1.480750541211415389e-03,-9.788270709006882342e+00
-1.200522897848485754e-03,-3.054539845276508722e-03,-9.804068934525709267e+00
1.394668661784750213e-03,-1.719905131141467348e-03,-9.797372525787524822e+00
2.075048225299217560e-03,5.230214096497179345e-04,-9.792635549434056230e+00
-4.414813706467787119e-03,1.120857089618979702e-02,-9.787977800830640618e+00
-8.553854455936626185e-05,-5.626416488305314989e-03,-9.790801268438906746e+00
2.491929862057774923e-03,-3.776925922720679365e-03,-9.801707048135378741e+00
2.826922622706413719e-03,6.874038762297370042e-03,-9.798868610813807223e+00
1.901332033130211183e-03,2.354137363261183356e-03,-9.792194910628394311e+00
8.597362633103485322e-03,-4.381864664046934699e-03,-9.799736759661342944e+00
-1.008163957634262628e-02,2.544493756137078400e-03,-9.791585010235966280e+00
-4.954190277988882590e-03,-8.972400658055221592e-04,-9.789897203474831500e+00
2.171298343528655500e-03,2.500038277601524667e-03,-9.788402153105492332e+00
4.571135891884802599e-03,9.613614665709821830e-03,-9.795177984515447633e+00
2.091332311926906180e-03,-9.600082430573034925e-03,-9.796906381244845363e+00
7.968254466381179037e-04,-5.557153325752467107e-03,-9.792395801207248951e+00
-5.832274061787917803e-03,9.811498047943340364e-03,-9.791022712664311456e+00
7.524838074587901667e-03,-2.733228664088092549e-03,-9.793173314298060816e+00
-3.912652995627861376e-03,1.280752993889160227e-03,-9.791892754187689007e+00
3.855533930101040421e-03,3.367280854592777893e-03,-9.791917104036906849e+00
7.822488077095351641e-03,2.460456052800493332e-03,-9.799947769840855472e+00
1.233283766004496240e-02,-6.598668388052991024e-03,-9.792653720888042201e+00
3.599841226312828178e-03,-6.734293299310141478e-03,-9.807466173870501791e+00
-6.338354463263158774e-04,7.436008402553427252e-03,-9.792143448640612036e+00
-1.515426862375622357e-03,5.102648097647014165e-03,-9.794299668203661824e+00
-5.739487449696142017e-03,5.269229889955462896e-03,-9.799636911111441862e+00
5.696832883668406875e-04,1.711623537175683066e-03,-9.790931948324363532e+00
3.649226952600621962e-04,5.159161614026248899e-03,-9.799968604843606101e+00
-7.289777851214124249e-03,2.253492964960541328e-03,-9.796870499543722133e+00
7.232805282132276879e-04,-1.110667010658155426e-03,-9.786587130785887823e+00
3.860584114424463198e-03,4.306221734813702774e-03,-9.794081128907693667e+00
2.363945080356037037e-03,-1.895527391638928468e-03,-9.792285898427085300e+00
-5.983170523242237193e-03,-1.372141475867182103e-02,-9.795054919352313760e+00
-1.067920350658716107e-02,-4.911978267469526566e-03,-9.802907420539531458e+00
-2.371220756640772878e-03,3.671362456144618234e-03,-9.794365697627622325e+00
-3.515719218035364552e-04,5.579856632348764722e-03,-9.793552994062645567e+00
1.890143648966947183e-03,5.659236161420403734e-03,-9.793349154281912661e+00
3.229672665320999954e-03,-7.523498629811462522e-03,-9.796779824990322183e+00
-4.888263736833609865e-04,4.721456537026694558e-05,-9.800988838076266418e+00
-5.829720850982118580e-05,-4.188967350339491830e-03,-9.799135740903397007e+00
5.729947435327810250e-03,1.317727289880101568e-03,-9.787228194089355071e+00
2.657291687909492817e-03,2.188345703150947584e-03,-9.789312323118638304e+00
8.335909485882046690e-04,-1.508831015928263890e-03,-9.789702724979919779e+00
2.740921338895654924e-03,-5.121085018851099114e-04,-9.798554747158975786e+00
-6.422992812103669666e-03,5.523687248773293847e-03,-9.795249815113610481e+00
5.272529782940333851e-03,-2.988379881014253947e-03,-9.789391822479039718e+00
-7.751208168458003506e-03,9.339982362479379990e-03,-9.802952847332157660e+00
5.312650763555959487e-04,1.499120572701444481e-03,-9.801001398722872793e+00
-2.890867632481576750e-03,2.934457482789048447e-03,-9.793856108453136144e+00
-9.238609819337861070e-04,1.447966462985772126e-02,-9.786970362126314882e+00
-4.194883638432199413e-03,1.104684880817409986e-04,-9.786443975013300545e+00
-4.203479731986725122e-03,-5.915116245484688994e-04,-9.795473148050113821e+00
4.101652580773936657e-03,2.415854792413039964e-03,-9.790478510949023772e+00
6.928987264092799012e-03,-5.818558521971363418e-03,-9.800794973596261173e+00
7.420315687998582828e-03,4.541964405034453790e-03,-9.789977415712765918e+00
5.581571864071022647e-03,6.419758222172129020e-03,-9.798274557462718803e+00
5.944964181781500941e-03,-2.401205580854010296e-03,-9.792802167881424324e+00
-4.428221590349136309e-03,1.449874281343226578e-04,-9.793948706164561813e+00
-2.798273909698965889e-03,-5.996060030069932326e-04,-9.799952979708058010e+00
8.425607886136322194e-03,-1.508775250588445787e-03,-9.794430150875330199e+00
3.835151302226218195e-03,6.783941461731325846e-03,-9.798267181843883122e+00
5.049264547536716843e-03,1.696790755436656042e-03,-9.795371171617395234e+00
6.372727795012880954e-03,5.077205523648487852e-03,-9.788267404621025847e+00
5.344066497052471412e-04,-6.266207159840902867e-03,-9.790883062401164239e+00
-3.080508018645314490e-03,9.711181416311403039e-03,-9.791256838790380002e+00
-5.919533861084321077e-04,-4.871579076932317735e-04,-9.797514778774829125e+00
1.648364873198474283e-03,-1.272566270879983089e-03,-9.798857152606425203e+00
2.069638949834855246e-03,-2.977925796635827807e-03,-9.798920407319412718e+00
7.706527609659733196e-04,-1.413710458246593329e-03,-9.793757098275229112e+00
-7.879589923773203108e-03,-6.657083684877821393e-03,-9.795766887578542637e+00
1.886751775391028499e-04,2.019263924778475459e-03,-9.785523637010248521e+00
1.835126485348698372e-03,2.470996935862323661e-04,-9.786688916944763506e+00
-8.929852779214928968e-03,6.679569660044494539e-03,-9.789285648936225215e+00
8.954835887636623457e-03,5.001869706244369343e-03,-9.795977530759074625e+00
6.133303492452697216e-03,7.586736003634337797e-03,-9.790310967863389280e+00
-4.058160563402229276e-03,6.208188530849612433e-03,-9.795528624332137113e+00
5.790221378237667658e-03,-4.749259187591716065e-03,-9.792801140012576511e+00
-1.719924410534297374e-03,1.070841592165656594e-02,-9.789260989642098565e+00
3.044271045070456676e-04,-3.938482957144492230e-03,-9.790744648605546274e+00
-6.680373889173314705e-03,2.256338406848524148e-03,-9.801314078367594718e+00
-2.063061422203814159e-03,2.356130691179944992e-03,-9.787020706295447070e+00
2.244928725043401387e-03,3.828688022070743466e-03,-9.801404463072818984e+00
1.133979651662839704e-04,3.098514705763577917e-03,-9.793793605114853307e+00
-1.662693216826191577e-04,-8.588439987485690236e-03,-9.805886552367171660e+00
1.157400957292895180e-03,-5.155764981798152289e-04,-9.786956288465733067e+00
8.844169199276849828e-04,1.524925699511892746e-03,-9.791293633595692825e+00
-1.857674338880522516e-03,-7.986819625096071296e-03,-9.793281858578421151e+00
-8.651529199485140679e-04,-6.916083425082864694e-03,-9.796842578928783851e+00
1.459370842566075268e-03,1.271557954447669319e-03,-9.790231005237790995e+00
1.865302969096317405e-03,-7.415122961730121441e-03,-9.791601001421726735e+00
-3.402407044596053500e-03,1.488686208087060085e-03,-9.793899722083503789e+00
6.076258402002588516e-03,-6.405853424152051570e-03,-9.793092639969589897e+00
6.475173154854829347e-03,-2.054625392859130237e-04,-9.799852641724198676e+00
-5.575106490868895689e-03,8.993313807864930509e-03,-9.792609514273788562e+00
-2.482508456013402410e-03,5.538664666515294779e-03,-9.796422351297795927e+00
7.575246856193688753e-04,5.453243837940567607e-03,-9.788905695579520838e+00
5.080815731727684331e-04,-7.264489702606591673e-03,-9.798521698563998683e+00
-4.316303034189785184e-03,-2.797095490109273788e-03,-9.787551086246011778e+00
-9.753133909963416018e-03,-1.423078968203034386e-03,-9.792470965110737779e+00
-4.160231092012123960e-03,-7.323007066397443400e-03,-9.798546769888066166e+00
1.114918881010134536e-03,-8.431902057109373887e-04,-9.793214316749700998e+00
6.229004064824462429e-04,9.748031627218760320e-03,-9.791562838470756702e+00
-1.166657646774417641e-03,4.609563563292871230e-03,-9.795859471012382969e+00
-4.869869184159185058e-03,-6.617843396780428815e-03,-9.796830718870712218e+00
-1.951028952374680905e-05,9.920900068664877461e-03,-9.803145628285438562e+00
7.424637173718677888e-03,7.160272459020881712e-03,-9.797471892360540835e+00
-4.873631432626179469e-03,9.316640032380070144e-03,-9.784464144234977567e+00
-5.879591375643386172e-03,4.771673542326315513e-03,-9.801245831973036005e+00
3.407797625526328930e-04,-8.438533456600456895e-03,-9.796713444970372109e+00
4.940297377801870261e-03,-1.088686496908118119e-03,-9.796480492896986192e+00
1.494704539192864530e-04,8.199049225829915452e-03,-9.803305829222814793e+00
6.975567396720254096e-03,5.231819205773623367e-04,-9.786013176532408764e+00
-2.585295729310232039e-03,3.390228688540567782e-03,-9.796630855426192497e+00
-3.017343313039845369e-03,3.708747228861703112e-03,-9.798250366577910597e+00
-4.031149089020465842e-03,4.632903801786105238e-03,-9.795406625968334779e+00
-1.639239441198954558e-03,-1.818924801275514230e-03,-9.791678504242264935e+00
8.676694262810806524e-03,-6.032787557834066658e-03,-9.802534665782712153e+00
1.718506044478053038e-02,-1.347389492940644432e-02,-9.804098768184058343e+00
-6.720082123378442497e-03,6.264342623611679657e-03,-9.800612760487897646e+00
7.886185823902673933e-03,-5.965423819255192411e-03,-9.800326678937471669e+00
-5.238390745218430254e-03,9.479436728392187650e-03,-9.792710879033080573e+00
-1.423399263633484506e-03,6.962408598352637194e-03,-9.788934404433774716e+00
-5.939310358966535044e-03,7.650341692917216399e-03,-9.792754790791398989e+00
7.160442624280122757e-03,3.669780268329362726e-03,-9.784578882432766633e+00
-7.959864074812192771e-04,6.684516810830163150e-03,-9.793008661284787308e+00
-2.197199624916071955e-04,1.346451668489831877e-03,-9.801655256608704292e+00
-2.604162699432342482e-03,-4.497735285217868521e-03,-9.795519585992336076e+00
-1.221658576556425291e-02,-1.796619642820438539e-03,-9.804829021901184660e+00
-5.202920533663894960e-03,-7.058660411262773424e-03,-9.798805794031702376e+00
-2.024940316630108230e-03,3.670857915482705295e-03,-9.798171626977682180e+00
2.230345329550240292e-03,-2.749030109826555365e-03,-9.796779298429065364e+00
-1.916772487479338326e-04,-9.189349713126801836e-03,-9.788478233685566465e+00
4.926496923151638292e-03,2.157127799934106804e-03,-9.789416278025749207e+00
-1.896795635020699818e-03,1.914414094842072046e-03,-9.794883799124971091e+00
-2.630433841371362935e-03,-2.833243301985061569e-03,-9.793127955062146839e+00
-3.979423340243730053e-03,1.637818370468632420e-03,-9.799558057401368316e+00
4.733377538148958973e-03,-1.896337720322964146e-04,-9.799429980813204821e+00
1.982935407333222613e-03,8.436422476402452488e-05,-9.798108529426578173e+00
-3.450128289659615093e-03,3.331425222362649832e-03,-9.790514247088328403e+00
4.795672082805410921e-03,9.764956696186916259e-04,-9.786373112771961758e+00
2.363293989302643529e-03,-4.407548123182104122e-03,-9.796682533407278015e+00
-2.594694659054400283e-03,1.488037915142487178e-03,-9.799238419105119391e+00
-4.337513384983077841e-03,5.580079185950283759e-03,-9.786065852697067413e+00
8.464426702745025521e-04,2.499887750502676181e-03,-9.800601639567290135e+00
-8.862857594696987862e-03,3.203571812236370719e-03,-9.787996085225890042e+00
-3.084527715890082993e-03,2.703446027083626548e-03,-9.791322171793247264e+00
-1.153992335014783141e-02,1.627142124594079670e-03,-9.791476683811346504e+00
-1.324894204877228969e-03,1.673530511393664941e-03,-9.792336107369889575e+00
-1.435736420747371362e-03,-3.229916539786807910e-03,-9.788894060764144811e+00
-3.263954939557740104e-03,5.143250556770740875e-03,-9.794154624842427381e+00
-4.411126230800963000e-03,4.972728088050487952e-03,-9.792473743714213086e+00
1.343020759320350324e-02,-3.852097862282688684e-04,-9.795366420247093586e+00
1.727911314282315394e-03,-2.748872075296465971e-04,-9.790544706704350730e+00
1.034378536932404648e-02,1.186876828627475349e-03,-9.793143907834306106e+00
-4.556066816193139225e-03,-3.831510162919535495e-04,-9.790060903614319798e+00
1.418276936772859369e-03,-1.686970810299161412e-03,-9.794121797687241227e+00
-4.994577143220661503e-04,-3.680927829544326096e-03,-9.793716263455998217e+00
-2.275638299162488585e-03,-1.250083251758619517e-03,-9.794825269634399589e+00
4.890466399865422455e-03,2.586922657781699948e-03,-9.796244540742854667e+00
-3.415122758408686583e-03,1.585592863229525872e-03,-9.793280095941225838e+00
-3.545477654562603775e-03,1.255019267097721991e-02,-9.780117814328736614e+00
-7.689500990102104191e-04,3.050314058481985030e-03,-9.797034655035817607e+00
-1.161508947120758889e-04,7.952045494948900908e-03,-9.800079937002005082e+00
2.053607371587020097e-03,-7.683631331205796090e-03,-9.792549793955583226e+00
2.279367431031267127e-03,-1.432450968760715570e-03,-9.788106605515862313e+00
5.880137544368728604e-03,9.597965702339386271e-03,-9.789607704580513214e+00
3.428430304599307255e-03,-1.927090627731697578e-03,-9.796498035844924956e+00
-3.719591443285316830e-03,5.444413717920526356e-03,-9.799486353736661215e+00
-2.530300663703862786e-03,-8.462855273551159185e-03,-9.794048355779761295e+00
-1.551765372696712122e-03,6.107475915471072443e-03,-9.790019959911976599e+00
5.972821156213912151e-03,-2.243686116480917304e-03,-9.793172746733295853e+00
4.710805824675385473e-03,2.183997642956100708e-03,-9.788755502186109680e+00
-1.993496441336734069e-03,1.274351487564893363e-03,-9.795047602469763248e+00
1.022124482219690343e-02,4.671108486324699466e-03,-9.806634835597337840e+00
-1.198096875556578034e-03,-2.926317860069195878e-03,-9.793407652977565547e+00
5.780278619488200126e-03,-1.077504346448559906e-02,-9.788443909521756581e+00
-1.975704390040642147e-03,2.676108507346230958e-03,-9.795846842817336864e+00
2.055577643273211012e-03,3.891832177188592375e-03,-9.794349566568094190e+00
8.394627037492038979e-03,-2.979976460159834781e-04,-9.795060069764218724e+00
-1.575290719749106172e-02,7.692741159981086006e-03,-9.795517660570135732e+00
7.670311892120866733e-03,-3.128434452805070598e-03,-9.796142209108547050e+00
4.597664842449980874e-03,9.276409532614779754e-03,-9.794391517806673164e+00
2.422082435525733414e-03,7.060334815718331998e-04,-9.793815421953452116e+00
1.335256972751240612e-03,2.428276340276841038e-03,-9.784582331029152868e+00
-8.937582177674684766e-05,-8.223273432574033578e-03,-9.791622659096258730e+00
-5.220186575564513508e-03,-7.980249815136758245e-04,-9.797858283228098486e+00
3.136006145362130529e-03,-3.371476935675229124e-03,-9.788185849231515689e+00
1.287185117926706963e-03,-1.861649277148013900e-03,-9.794190811472969216e+00
-4.855825429324599771e-04,-8.138777711560365568e-04,-9.792445912085176118e+00
3.176796242917234898e-03,1.031371982911959834e-02,-9.783300296483320224e+00
-1.038694334567519424e-02,-3.021065300938993422e-04,-9.788414015944141511e+00
4.059465959502924978e-03,2.564850569615162359e-03,-9.807448238005429531e+00
-1.625539561849234302e-03,-3.633830487923083016e-04,-9.795411795480932327e+00
-5.035267232763896436e-04,5.982078820442024263e-03,-9.796985241904987873e+00
2.227074783049341842e-03,-1.087947323250955433e-03,-9.790290752580167677e+00
1.355654469761424612e-02,9.281686621337673516e-04,-9.802708198021743868e+00
3.027372855037531191e-03,2.077220908998073491e-04,-9.795116362740941440e+00
7.416754318240240812e-03,-1.241468866783950733e-03,-9.797685450294455478e+00
-2.056791373234406577e-03,-2.881378911596475800e-03,-9.783182427340797460e+00
-1.122920599655957176e-02,5.825490427767784744e-03,-9.795619803593432096e+00
9.425516989675526962e-04,-4.667604457839725010e-03,-9.798177811375607504e+00
2.049947914701983741e-03,2.436433425546799189e-03,-9.801814088805565817e+00
-2.108964088511078305e-06,-9.150808772758263487e-03,-9.796584030519571940e+00
-8.406954156239250606e-04,2.556837571658298561e-03,-9.790921821322156049e+00
-4.771286971759923848e-03,1.386036860863417396e-02,-9.794970968179038451e+00
-3.903632662437764994e-03,1.457663634734945044e-03,-9.791888585376790743e+00
6.510516646023229749e-03,1.078037491184345720e-02,-9.792038294513867314e+00
-1.371258399691905640e-03,7.442259293450046494e-04,-9.801666343783582036e+00
-6.924489447434461695e-03,-7.151301809917117629e-04,-9.803367140460657936e+00
-3.172563507493023505e-03,3.563684368219953349e-03,-9.795211423644799353e+00
-2.543402524542734498e-05,1.743416923655373126e-03,-9.792904421148467264e+00
6.546896457801959501e-03,9.948836713083348410e-03,-9.795791399301384317e+00
2.365318192840336516e-03,4.846666122990025407e-04,-9.789384691261906468e+00
-2.390032191500260361e-03,-2.599314639171232790e-04,-9.801113954163373165e+00
5.784713916427190565e-03,-3.450432044059329774e-03,-9.794209028121686700e+00
-2.535032525322913205e-03,8.362960033146628249e-04,-9.787083727273980571e+00
5.791064525204804407e-03,1.616723965094657434e-03,-9.801700445108876281e+00
-3.437065106676093305e-03,-4.592715215470656543e-04,-9.799971236351380455e+00
-4.653680341638350738e-03,6.571458492958583315e-03,-9.796008798172286092e+00
-5.192470169562248168e-03,8.772400589218486795e-05,-9.802735417452552724e+00
-3.882701997654133038e-03,2.168159454727767825e-03,-9.797857709678785554e+00
-1.539298912251747375e-03,1.246580246943649467e-02,-9.806779983002140710e+00
6.777790036365940324e-03,6.805830152416078582e-03,-9.785208230745020330e+00
4.024705262008437465e-03,-2.726559699976423322e-04,-9.793211239974922933e+00
4.724345765855458932e-05,6.778835302511305484e-04,-9.794489393424383294e+00
6.794969777703141998e-03,6.183904008738892906e-03,-9.793975205688855823e+00
6.826991428573350555e-03,-6.300435268018760027e-03,-9.788825943419242392e+00
1.166922064888948306e-03,-1.397963355534132413e-03,-9.787109372727510248e+00
-3.849293821877946935e-03,-1.202484297834499789e-02,-9.799644719313736374e+00
1.845562704321468406e-02,1.031044577603129619e-02,-9.802551131411506802e+00
5.591642691410890964e-04,-5.409428701813696547e-03,-9.790830460077716069e+00
4.340952512549810238e-03,2.286232627782497015e-03,-9.800898665154688771e+00
4.668077045329854097e-04,-7.087504921754724310e-03,-9.790452692627480857e+00
7.754049613380375409e-04,-1.042422740884713442e-02,-9.796494155010387672e+00
7.919371454595809483e-04,-5.731148884598384272e-03,-9.800917643366435783e+00
-7.023802515495856935e-03,-4.140109921834252485e-03,-9.796072378549105508e+00
5.336207888878425655e-03,5.414552354155688710e-03,-9.786660141937620239e+00
-4.691285794052114759e-03,-5.858956220712453755e-03,-9.794094120674124326e+00
-5.919367033505894271e-03,-1.861412752220442841e-04,-9.791077275112723299e+00
7.589841087661015548e-03,-1.324569846392728957e-03,-9.784318176259652944e+00
7.066854927452158493e-03,-2.550438865178935796e-03,-9.789969224179667862e+00
9.761086036911817334e-04,3.122228065250007767e-04,-9.793056222043055925e+00
2.572904519002561187e-04,5.163191253446387276e-03,-9.792128830339565937e+00
-5.822465892260544722e-03,-2.509011225483197445e-03,-9.794562396065263243e+00
3.051662831626571985e-03,-2.235882672081731647e-03,-9.797749251664614079e+00
6.284247368069649162e-03,2.192363659252920174e-03,-9.790445028383501835e+00
3.091481466897618748e-03,6.119164655445308992e-03,-9.788243536611808793e+00
8.094562815256545240e-04,-6.205670632382350414e-03,-9.792642414553878183e+00
4.473761234772854513e-03,-4.110980475417891876e-03,-9.800008371813438757e+00
9.759130341934872319e-03,2.522632954075565426e-03,-9.799375493382424196e+00
-1.092975905731871601e-03,4.327850063239927457e-04,-9.796273721821592062e+00
2.509440730635385895e-03,-6.771805654307655464e-03,-9.799466773024770205e+00
-5.305725202979774333e-03,6.620784942983317517e-03,-9.797228155832888419e+00
-6.448993325607542751e-03,2.666277779432356214e-04,-9.796869863352696939e+00
-3.825771519785021394e-03,-3.241908405483814870e-03,-9.794557574260227995e+00
-6.812488510188682324e-03,1.998367638538364678e-04,-9.793900658313859253e+00
7.057162685116969304e-04,6.545939102058710192e-03,-9.793726383946939507e+00
2.487166720061129502e-03,9.467792336580120160e-04,-9.793305675416577927e+00
5.237473913587254760e-03,2.387368107808125663e-03,-9.793972077215236993e+00
4.243890165539418273e-03,6.870407516560281778e-03,-9.796019230222341889e+00
-3.180760572057534947e-03,-1.999493960396842972e-03,-9.798076429673974630e+00
-3.030313183265579118e-03,6.752927484532612531e-03,-9.788497506069219867e+00
8.033674170346451334e-04,-1.466197414198242791e-03,-9.796794596053130633e+00
1.775884443339636846e-03,-3.760220610022829008e-03,-9.798005114908349356e+00
1.781655085339955633e-03,6.283732923633015329e-04,-9.789867007538072485e+00
-1.079267049045679917e-03,-5.990412630475911576e-03,-9.798950108793087921e+00
-9.957773922255155116e-04,2.005827857495315596e-03,-9.788312837962090285e+00
3.145334118638601177e-03,9.687788390368258029e-04,-9.786878935319768047e+00
-4.763732074118295391e-03,3.736870298200474939e-03,-9.790187671102781763e+00
7.823327290637080086e-03,7.760754264789546109e-03,-9.788474934653542903e+00
4.912143297230029543e-03,2.145476518552271762e-03,-9.791508677066619981e+00
-8.941820913696660496e-05,1.180095390336051387e-03,-9.791534870524602141e+00
