gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707029563017618842e+06,4.688716496409745887e+06,3.360426451124672312e+06,-1.041023033691066552e-02,-6.753642135772570942e-03,1.344141509797204016e-02
-2.707029659227433614e+06,4.688711829019299708e+06,3.360434468195477966e+06,-3.926652759263789087e-03,-1.000911995058508626e-03,1.194607248419901797e-02
-2.707027802556965500e+06,4.688710672471372411e+06,3.360420493855416775e+06,-2.778861013590381429e-02,1.089904960585489913e-01,5.869960259044737505e-02
-2.707032812570278533e+06,4.688712218213232234e+06,3.360424671561617870e+06,-5.494952346023138784e-02,2.890117840577278996e-02,-3.405942760265601166e-02
-2.707031479207559023e+06,4.688708223423774354e+06,3.360434708377007861e+06,-1.793543680633155613e-02,5.457156202116163896e-02,-5.823263149569882918e-03
-2.707028982338753063e+06,4.688713026581693441e+06,3.360435206001490355e+06,4.031010387111208515e-02,4.215019229291944863e-02,-8.910042882381469243e-02
-2.707030485664706212e+06,4.688714564358446747e+06,3.360427286184996832e+06,-7.699844402608233170e-03,4.499614423892323023e-02,4.409767786305422016e-02
-2.707033436823847704e+06,4.688711739352677017e+06,3.360419256486592349e+06,-3.847683108212637815e-02,-3.510836156427901006e-02,3.618510589402366279e-02
-2.707033791900376789e+06,4.688708110626757145e+06,3.360428614672242664e+06,1.770168595874921022e-02,2.074389676151366241e-02,3.365680378346391083e-02
-2.707031195151693188e+06,4.688719268847559579e+06,3.360431923444021028e+06,1.414462826092856632e-02,-2.213227076357911216e-02,3.958505357163263905e-02
-2.707032033058076631e+06,4.688712602901773527e+06,3.360422168525593355e+06,8.752397439335124485e-02,-3.602862884780833053e-02,-5.154858274424021364e-02
-2.707031123707934283e+06,4.688717029463863000e+06,3.360418218768563587e+06,-5.818327285036892227e-02,-8.630592632334690983e-03,-2.375262403982405721e-02
-2.707034502870860044e+06,4.688704740765999071e+06,3.360430531250927597e+06,-2.914295945428171941e-02,-2.979725770397665535e-02,1.595446310014907859e-02
-2.707022202869325411e+06,4.688710361322384328e+06,3.360414865679198876e+06,8.721391128069461152e-02,-3.938504998618648500e-02,-3.521645089504175929e-02
-2.707026783464075532e+06,4.688719079994481988e+06,3.360431097697509918e+06,-1.431219467456471689e-02,2.020202497772303595e-04,5.875769636076101643e-02
-2.707035542461199686e+06,4.688712012500075623e+06,3.360424335815716535e+06,6.376564766377139371e-02,-1.480887594177118516e-01,4.902687870945644094e-02
-2.707032780764648225e+06,4.688714199329140596e+06,3.360432536238480359e+06,5.381845647329949744e-02,1.012541737423140742e-02,-7.417936801620554632e-02
-2.707032043254277669e+06,4.688711244067974389e+06,3.360427128002988640e+06,3.752799860833347378e-02,-1.102771007203799392e-01,-4.435389851340359318e-02
-2.707025649763836060e+06,4.688712679420669563e+06,3.360427847651960794e+06,-1.171277119487385563e-03,-3.626007911231675374e-02,2.192638335309837067e-02
-2.707026295817894861e+06,4.688708527883639559e+06,3.360445329076370224e+06,5.749072453685775269e-02,-8.703123150534740338e-02,1.069202845676724412e-01
-2.707033655545739457e+06,4.688715617019362748e+06,3.360438775633612182e+06,1.182629300829272923e-02,-5.931807572038875348e-02,6.668747892829123003e-02
-2.707036049056816846e+06,4.688710220963791944e+06,3.360436599773865193e+06,8.175202637690358320e-03,3.733116514649142265e-02,-3.896647581699443780e-02
-2.707033994186440948e+06,4.688715700119837187e+06,3.360433312893485650e+06,-8.458305773861224397e-02,4.277955692014419331e-02,-6.093276206856160920e-02
-2.707029068829380907e+06,4.688710450810203329e+06,3.360427710960689932e+06,4.222211146830054385e-02,-3.289915440832977267e-02,-3.244532787337450763e-02
-2.707026906882842537e+06,4.688714316797425039e+06,3.360422813733121380e+06,7.413450086931498706e-02,-8.272112884075372152e-02,-4.347994906158594852e-02
-2.707022901381229516e+06,4.688706246759093367e+06,3.360443818466336001e+06,-1.837247783133852050e-02,6.633337646855128056e-02,-7.397154040060920088e-02
-2.707036119036417454e+06,4.688711843249581754e+06,3.360434853003333788e+06,1.003602695339003183e-02,-2.720044154257018204e-02,-4.879689782052191310e-02
-2.707021884114467073e+06,4.688712107181617990e+06,3.360441057249497622e+06,7.118135031738045959e-02,-2.404729810114475484e-03,9.650698166402275902e-02
-2.707019513249844313e+06,4.688712292313915677e+06,3.360416715681483503e+06,5.820642845053626557e-02,8.650002619081142638e-03,3.992805975362023752e-02
-2.707026596567316912e+06,4.688714342062106356e+06,3.360435183948525693e+06,-1.015415257796187243e-02,5.392313199672010143e-02,1.962744695492378566e-02
-2.707037072700873017e+06,4.688706802722060122e+06,3.360442447828469332e+06,-5.346373284817002025e-02,-9.514970526010459173e-02,-1.304757958748209157e-01
-2.707029511211054865e+06,4.688704418160487898e+06,3.360432956710539293e+06,-7.128257106973549806e-02,4.622878486830502703e-02,-2.397955759451728466e-02
