gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
4.438349943531042507e-01,5.127787849997155201e-01,1.928177727021497534e-01
5.333111932388095999e-01,5.048349505353244560e-01,-1.565661701010582774e-01
4.882115816650031692e-01,5.190954211705675059e-01,-4.826784051339622073e-01
5.436953105312964940e-01,4.753135298660843833e-01,-7.330989419329906331e-01
4.802329717869398551e-01,5.491967280563083698e-01,-1.034321053984915029e+00
4.791923045002896009e-01,5.109238577095872591e-01,-1.351478348068557711e+00
4.916471675720336942e-01,5.039606808928640547e-01,-1.735449424948231290e+00
4.958476799772540411e-01,4.769229136542686986e-01,-2.033181035832122951e+00
4.831284853210159880e-01,4.130463887543774915e-01,-2.345353253126825521e+00
5.283326317115552007e-01,4.836855856762710681e-01,-2.704797980548360403e+00
5.026761233725460798e-01,4.541264854936193918e-01,-2.966526100078652473e+00
4.877978720679088664e-01,4.547944214988381972e-01,-3.293440347868406892e+00
4.693432289583490680e-01,5.384379469024186404e-01,-3.649356286429795038e+00
4.507618491811619665e-01,4.304441354938335351e-01,-3.889750074393932167e+00
4.509203313646469868e-01,4.786271427175925464e-01,-4.197154854627300757e+00
4.259197597336868424e-01,4.873803050365198564e-01,-4.496817111739334294e+00
4.708664648301917333e-01,4.674768381989085619e-01,-4.834101260924801302e+00
4.124790171826102636e-01,4.160261907569001161e-01,-5.190670152439261997e+00
4.214948565684672466e-01,4.429745110013507681e-01,-5.508259497587147280e+00
3.726878718828045001e-01,4.504518083768482284e-01,-5.749486814020741576e+00
4.566040786562498566e-01,4.859043567317607448e-01,-6.115567160494256527e+00
4.668051371640243308e-01,4.184280977325269824e-01,-6.483393777311355244e+00
4.974986059507767733e-01,4.092760856138888959e-01,-6.761572666728095982e+00
4.847793338351760184e-01,4.201304874748713614e-01,-7.074323714953009379e+00
4.563044745265650848e-01,4.436664266320545780e-01,-7.412970166162645036e+00
4.523791959444194433e-01,5.160170307722624639e-01,-7.728498177770483757e+00
4.231581937899877577e-01,4.140965413651919724e-01,-7.957098932064938346e+00
4.171192986545460002e-01,4.112991396323307791e-01,-8.336239445532143577e+00
3.725097343123024984e-01,4.332427866566378460e-01,-8.594970233649778635e+00
3.707330141803484858e-01,3.592709548697721189e-01,-8.975796321929585986e+00
4.246810912018026962e-01,4.041938125117003899e-01,-9.287532997830073356e+00
4.682935884155480233e-01,4.169977477399460231e-01,-9.633716406249021702e+00
4.231416866015992873e-01,4.398880633314717903e-01,-9.881760018684721203e+00
4.554233010157491823e-01,4.121019304875651046e-01,-1.023229036806530345e+01
4.314213304882867916e-01,3.734547569990460669e-01,-1.058781684846444726e+01
4.321039377800854897e-01,4.295690967013398032e-01,-1.085298684663208668e+01
3.799726199268291804e-01,3.538871871789119883e-01,-1.112617620662132545e+01
4.546351318459422863e-01,4.306392305222125350e-01,-1.157640811286387361e+01
3.632784335609652304e-01,3.718371073275814620e-01,-1.176181093789462651e+01
4.709748646621292334e-01,4.036988956895624092e-01,-1.208497212822989830e+01
3.864404476389160514e-01,3.216365166511834794e-01,-1.250673397322885272e+01
3.821455927717823386e-01,3.988918656277100072e-01,-1.282184873731597285e+01
4.269662885821179921e-01,4.051798365267905155e-01,-1.301700693578737855e+01
3.568319068255682569e-01,4.179837973093752379e-01,-1.334384938295431589e+01
4.167694658633591120e-01,3.636587679575866150e-01,-1.364669074003712623e+01
2.817309051206732806e-01,3.529634231066000050e-01,-1.395395057284112639e+01
4.081996627508120978e-01,4.400904600050178361e-01,-1.432438716888385599e+01
3.760230275081095086e-01,4.132039150222912016e-01,-1.465726108079460666e+01
2.978454200743131941e-01,3.667566074053111858e-01,-1.502281374781912326e+01
4.005947321432604125e-01,2.788255063850747506e-01,-1.529641493965889509e+01
2.129966408897780994e-01,3.138792942891758253e-01,-1.558324279880618590e+01
4.276934078476883894e-01,3.032063180985587469e-01,-1.582382838895187227e+01
2.961275382429038872e-01,3.156999327386624810e-01,-1.618936368671183956e+01
3.074884616692816763e-01,3.506945803308741394e-01,-1.652269742552351062e+01
3.765070017817715997e-01,3.528976685013615056e-01,-1.678350036710295967e+01
4.399130040208527048e-01,3.223722893531610345e-01,-1.720535930978934402e+01
3.384425601842299680e-01,3.879951358779687443e-01,-1.745073694391966157e+01
3.267142138137454910e-01,2.626981490244509332e-01,-1.781069310300245334e+01
3.654501043196289323e-01,3.903040337260006432e-01,-1.810986507508570753e+01
3.489893934917326912e-01,3.427239632864486629e-01,-1.838258322960108870e+01
3.223730849184626157e-01,3.621373769139934473e-01,-1.872051316835653623e+01
2.174986878486892539e-01,2.850311496321170091e-01,-1.904035417719344991e+01
3.246933351498019760e-01,2.898572926095500657e-01,-1.934877432025519184e+01
2.796547738568224695e-01,4.098787744682471645e-01,-1.973800497791293296e+01
3.617159723175942809e-01,3.727216297127578515e-01,-2.004827729486247989e+01
3.557303134538488676e-01,3.331441167532656622e-01,-2.034637261555504040e+01
3.003727701872163647e-01,3.222147073092048175e-01,-2.056674289475188289e+01
2.928286749578019044e-01,2.596539985449199950e-01,-2.098172905002114419e+01
2.752257166060807503e-01,2.936114411328247242e-01,-2.123002031153322022e+01
3.226788734994620045e-01,3.393391130965350833e-01,-2.163882034129551002e+01
3.053164553534223336e-01,3.061853758018284744e-01,-2.183706228472412647e+01
2.868243257878789199e-01,3.602307287954092940e-01,-2.213349181758779238e+01
2.869576774327665669e-01,2.661768649582465507e-01,-2.253633882025532031e+01
3.274393341028801752e-01,3.012781928908516704e-01,-2.279433499341910618e+01
3.228103950492356988e-01,2.909125918524657073e-01,-2.303013576330038603e+01
