gyro_only_with_bias_x (deg/s),gyro_only_with_bias_y (deg/s),gyro_only_with_bias_z (deg/s)
4.971352110243459355e-01,4.971352110243459355e-01,1.848732126780472107e-01
4.942704220486918154e-01,4.942704220486918154e-01,-1.302535746439056064e-01
4.914056330730376398e-01,4.914056330730376398e-01,-4.453803619658583401e-01
4.885408440973835198e-01,4.885408440973835198e-01,-7.605071492878112682e-01
4.856760551217293997e-01,4.856760551217293997e-01,-1.075633936609764252e+00
4.828112661460753352e-01,4.828112661460753352e-01,-1.390760723931717235e+00
4.799464771704212152e-01,4.799464771704212152e-01,-1.705887511253669997e+00
4.770816881947670951e-01,4.770816881947670951e-01,-2.021014298575622536e+00
4.742168992191129195e-01,4.742168992191129195e-01,-2.336141085897575298e+00
4.713521102434587995e-01,4.713521102434587995e-01,-2.651267873219528060e+00
4.684873212678047349e-01,4.684873212678047349e-01,-2.966394660541480377e+00
4.656225322921506149e-01,4.656225322921506149e-01,-3.281521447863432694e+00
4.627577433164965504e-01,4.627577433164965504e-01,-3.596648235185385900e+00
4.598929543408424303e-01,4.598929543408424303e-01,-3.911775022507339106e+00
4.570281653651882547e-01,4.570281653651882547e-01,-4.226901809829292311e+00
4.541633763895341347e-01,4.541633763895341347e-01,-4.542028597151245073e+00
4.512985874138800146e-01,4.512985874138800146e-01,-4.857155384473197834e+00
4.484337984382259501e-01,4.484337984382259501e-01,-5.172282171795151484e+00
4.455690094625717745e-01,4.455690094625717745e-01,-5.487408959117104246e+00
4.427042204869177100e-01,4.427042204869177100e-01,-5.802535746439057007e+00
4.398394315112635344e-01,4.398394315112635344e-01,-6.117662533761010657e+00
4.369746425356094144e-01,4.369746425356094144e-01,-6.432789321082963419e+00
4.341098535599553498e-01,4.341098535599553498e-01,-6.747916108404917068e+00
4.312450645843011743e-01,4.312450645843011743e-01,-7.063042895726869830e+00
4.283802756086471097e-01,4.283802756086471097e-01,-7.378169683048820815e+00
4.255154866329929342e-01,4.255154866329929342e-01,-7.693296470370773577e+00
4.226506976573388696e-01,4.226506976573388696e-01,-8.008423257692726338e+00
4.197859086816847496e-01,4.197859086816847496e-01,-8.323550045014680876e+00
4.169211197060305740e-01,4.169211197060305740e-01,-8.638676832336633638e+00
4.140563307303765095e-01,4.140563307303765095e-01,-8.953803619658586399e+00
4.111915417547223339e-01,4.111915417547223339e-01,-9.268930406980539161e+00
4.083267527790682694e-01,4.083267527790682694e-01,-9.584057194302491922e+00
4.054619638034141493e-01,4.054619638034141493e-01,-9.899183981624444684e+00
4.025971748277600293e-01,4.025971748277600293e-01,-1.021431076894639922e+01
3.997323858521059092e-01,3.997323858521059092e-01,-1.052943755626835198e+01
3.968675968764517337e-01,3.968675968764517337e-01,-1.084456434359030474e+01
3.940028079007976691e-01,3.940028079007976691e-01,-1.115969113091225751e+01
3.911380189251435491e-01,3.911380189251435491e-01,-1.147481791823421027e+01
3.882732299494894290e-01,3.882732299494894290e-01,-1.178994470555616303e+01
3.854084409738353090e-01,3.854084409738353090e-01,-1.210507149287811757e+01
3.825436519981811889e-01,3.825436519981811889e-01,-1.242019828020007033e+01
3.796788630225270689e-01,3.796788630225270689e-01,-1.273532506752202309e+01
3.768140740468729488e-01,3.768140740468729488e-01,-1.305045185484397585e+01
3.739492850712188843e-01,3.739492850712188843e-01,-1.336557864216592861e+01
3.710844960955647087e-01,3.710844960955647087e-01,-1.368070542948788137e+01
3.682197071199105887e-01,3.682197071199105887e-01,-1.399583221680983591e+01
3.653549181442564686e-01,3.653549181442564686e-01,-1.431095900413179045e+01
3.624901291686023486e-01,3.624901291686023486e-01,-1.462608579145374321e+01
3.596253401929482840e-01,3.596253401929482840e-01,-1.494121257877569597e+01
3.567605512172941085e-01,3.567605512172941085e-01,-1.525633936609764518e+01
3.538957622416400439e-01,3.538957622416400439e-01,-1.557146615341959794e+01
3.510309732659858684e-01,3.510309732659858684e-01,-1.588659294074155248e+01
3.481661842903318038e-01,3.481661842903318038e-01,-1.620171972806350524e+01
3.453013953146776838e-01,3.453013953146776838e-01,-1.651684651538545623e+01
3.424366063390235082e-01,3.424366063390235082e-01,-1.683197330270741077e+01
3.395718173633694437e-01,3.395718173633694437e-01,-1.714710009002936530e+01
3.367070283877152681e-01,3.367070283877152681e-01,-1.746222687735131629e+01
3.338422394120612036e-01,3.338422394120612036e-01,-1.777735366467327083e+01
3.309774504364070835e-01,3.309774504364070835e-01,-1.809248045199522181e+01
3.281126614607529635e-01,3.281126614607529635e-01,-1.840760723931717635e+01
3.252478724850988434e-01,3.252478724850988434e-01,-1.872273402663913089e+01
3.223830835094446678e-01,3.223830835094446678e-01,-1.903786081396108187e+01
3.195182945337906033e-01,3.195182945337906033e-01,-1.935298760128303641e+01
3.166535055581364833e-01,3.166535055581364833e-01,-1.966811438860498740e+01
3.137887165824823632e-01,3.137887165824823632e-01,-1.998324117592694193e+01
3.109239276068282432e-01,3.109239276068282432e-01,-2.029836796324889292e+01
3.080591386311741231e-01,3.080591386311741231e-01,-2.061349475057084746e+01
3.051943496555200031e-01,3.051943496555200031e-01,-2.092862153789280200e+01
3.023295606798658830e-01,3.023295606798658830e-01,-2.124374832521475298e+01
2.994647717042117629e-01,2.994647717042117629e-01,-2.155887511253670752e+01
2.965999827285576429e-01,2.965999827285576429e-01,-2.187400189985865850e+01
2.937351937529035228e-01,2.937351937529035228e-01,-2.218912868718061304e+01
2.908704047772494028e-01,2.908704047772494028e-01,-2.250425547450256758e+01
2.880056158015952827e-01,2.880056158015952827e-01,-2.281938226182451857e+01
2.851408268259411627e-01,2.851408268259411627e-01,-2.313450904914647310e+01
2.822760378502870426e-01,2.822760378502870426e-01,-2.344963583646842409e+01
2.794112488746329226e-01,2.794112488746329226e-01,-2.376476262379037863e+01
2.765464598989788025e-01,2.765464598989788025e-01,-2.407988941111232961e+01
2.736816709233247380e-01,2.736816709233247380e-01,-2.439501619843428415e+01
2.708168819476705624e-01,2.708168819476705624e-01,-2.471014298575623869e+01
2.679520929720164424e-01,2.679520929720164424e-01,-2.502526977307818967e+01
2.650873039963623223e-01,2.650873039963623223e-01,-2.534039656040014421e+01
2.622225150207082023e-01,2.622225150207082023e-01,-2.565552334772209520e+01
2.593577260450541377e-01,2.593577260450541377e-01,-2.597065013504404973e+01
2.564929370693999622e-01,2.564929370693999622e-01,-2.628577692236600427e+01
2.536281480937458976e-01,2.536281480937458976e-01,-2.660090370968795526e+01
2.507633591180917221e-01,2.507633591180917221e-01,-2.691603049700990979e+01
2.478985701424376298e-01,2.478985701424376298e-01,-2.723115728433186433e+01
2.450337811667835375e-01,2.450337811667835375e-01,-2.754628407165381887e+01
2.421689921911293897e-01,2.421689921911293897e-01,-2.786141085897576986e+01
2.393042032154752696e-01,2.393042032154752696e-01,-2.817653764629772439e+01
2.364394142398211218e-01,2.364394142398211218e-01,-2.849166443361967538e+01
2.335746252641670295e-01,2.335746252641670295e-01,-2.880679122094162992e+01
2.307098362885129372e-01,2.307098362885129372e-01,-2.912191800826358090e+01
2.278450473128587894e-01,2.278450473128587894e-01,-2.943704479558553544e+01
2.249802583372046971e-01,2.249802583372046971e-01,-2.975217158290748642e+01
2.221154693615505493e-01,2.221154693615505493e-01,-3.006729837022944096e+01
2.192506803858964293e-01,2.192506803858964293e-01,-3.038242515755139195e+01
2.163858914102423370e-01,2.163858914102423370e-01,-3.069755194487335004e+01
2.135211024345881892e-01,2.135211024345881892e-01,-3.101267873219529747e+01
2.106563134589340969e-01,2.106563134589340969e-01,-3.132780551951725556e+01
2.077915244832799491e-01,2.077915244832799491e-01,-3.164293230683920299e+01
2.049267355076258568e-01,2.049267355076258568e-01,-3.195805909416116108e+01
2.020619465319717367e-01,2.020619465319717367e-01,-3.227318588148310852e+01
1.991971575563175889e-01,1.991971575563175889e-01,-3.258831266880506661e+01
1.963323685806634966e-01,1.963323685806634966e-01,-3.290343945612701759e+01
1.934675796050093488e-01,1.934675796050093488e-01,-3.321856624344897568e+01
1.906027906293552565e-01,1.906027906293552565e-01,-3.353369303077091956e+01
1.877380016537011642e-01,1.877380016537011642e-01,-3.384881981809287765e+01
1.848732126780470164e-01,1.848732126780470164e-01,-3.416394660541482864e+01
1.820084237023928964e-01,1.820084237023928964e-01,-3.447907339273678673e+01
1.791436347267387486e-01,1.791436347267387486e-01,-3.479420018005873771e+01
1.762788457510846563e-01,1.762788457510846563e-01,-3.510932696738068870e+01
1.734140567754305640e-01,1.734140567754305640e-01,-3.542445375470263969e+01
1.705492677997764162e-01,1.705492677997764162e-01,-3.573958054202459778e+01
1.680484122536052005e-01,1.680484122536052005e-01,-3.601467465210343022e+01
1.659636180559243834e-01,1.659636180559243834e-01,-3.624400201384832343e+01
1.642543214689836661e-01,1.642543214689836661e-01,-3.643202463841179650e+01
1.628838273800024550e-01,1.628838273800024550e-01,-3.658277898819973473e+01
1.618189407862294371e-01,1.618189407862294371e-01,-3.669991651351476492e+01
1.610296333814405512e-01,1.610296333814405512e-01,-3.678674032804153882e+01
1.604887419004398796e-01,1.604887419004398796e-01,-3.684623839095161202e+01
1.601716951965890812e-01,1.601716951965890812e-01,-3.688111352837520940e+01
1.600562673155250248e-01,1.600562673155250248e-01,-3.689381059529225126e+01
1.601223540889096242e-01,1.601223540889096242e-01,-3.688654105021993956e+01
1.603517710079113145e-01,1.603517710079113145e-01,-3.686130518912975873e+01
1.607280703495089225e-01,1.607280703495089225e-01,-3.681991226155402330e+01
1.612363757217719351e-01,1.612363757217719351e-01,-3.676399867060508342e+01
1.618632323689477848e-01,1.618632323689477848e-01,-3.669504443941574579e+01
1.625964717352215982e-01,1.625964717352215982e-01,-3.661438810912562047e+01
1.634250889290004005e-01,1.634250889290004005e-01,-3.652324021780995622e+01
1.643391318589368377e-01,1.643391318589368377e-01,-3.642269549551694752e+01
1.653296009299501657e-01,1.653296009299501657e-01,-3.631374389770547850e+01
1.663883582933972372e-01,1.663883582933972372e-01,-3.619728058772630419e+01
1.675080457413528345e-01,1.675080457413528345e-01,-3.607411496845119103e+01
1.686820104216422422e-01,1.686820104216422422e-01,-3.594497885361935374e+01
1.699042376286918621e-01,1.699042376286918621e-01,-3.581053386084389700e+01
1.711692899962221903e-01,1.711692899962221903e-01,-3.567137810041555923e+01
1.724722524820013203e-01,1.724722524820013203e-01,-3.552805222697985954e+01
1.738086825929616164e-01,1.738086825929616164e-01,-3.538104491477422187e+01
1.751745653515293100e-01,1.751745653515293100e-01,-3.523079781133177590e+01
1.765662725515645681e-01,1.765662725515645681e-01,-3.507771001932790256e+01
1.779805258953204294e-01,1.779805258953204294e-01,-3.492214215151475543e+01
1.794143636417530607e-01,1.794143636417530607e-01,-3.476441999940716698e+01
1.808651104317215985e-01,1.808651104317215985e-01,-3.460483785251062727e+01
1.823303499874774358e-01,1.823303499874774358e-01,-3.444366150137748406e+01
1.838079004126638993e-01,1.838079004126638993e-01,-3.428113095460697934e+01
1.852957918451254293e-01,1.852957918451254293e-01,-3.411746289703621215e+01
1.867922462384181692e-01,1.867922462384181692e-01,-3.395285291377400227e+01
1.882956590692624332e-01,1.882956590692624332e-01,-3.378747750238112957e+01
1.898045827874876579e-01,1.898045827874876579e-01,-3.362149589337635547e+01
1.913177118424966572e-01,1.913177118424966572e-01,-3.345505169732537354e+01
1.928338691360834689e-01,1.928338691360834689e-01,-3.328827439503081820e+01
1.943519937657435803e-01,1.943519937657435803e-01,-3.312128068576821249e+01
1.958711299355547775e-01,1.958711299355547775e-01,-3.295417570708897870e+01
1.973904169234171335e-01,1.973904169234171335e-01,-3.278705413842411787e+01
1.989090800040314577e-01,1.989090800040314577e-01,-3.262000119955654043e+01
2.004264222365824133e-01,2.004264222365824133e-01,-3.245309355397593976e+01
2.019418170347599684e-01,2.019418170347599684e-01,-3.228640012617640309e+01
2.034547014446023427e-01,2.034547014446023427e-01,-3.211998284109374424e+01
2.049645700627382161e-01,2.049645700627382161e-01,-3.195389729309879456e+01
2.064709695340291307e-01,2.064709695340291307e-01,-3.178819335125680112e+01
2.079734935734239287e-01,2.079734935734239287e-01,-3.162291570692336862e+01
2.094717784620925005e-01,2.094717784620925005e-01,-3.145810436916982411e+01
2.109654989726632290e-01,2.109654989726632290e-01,-3.129379511300704664e+01
2.124543646826905496e-01,2.124543646826905496e-01,-3.113001988490404770e+01
2.139381166393737876e-01,2.139381166393737876e-01,-3.096680716966888625e+01
2.154165243420689824e-01,2.154165243420689824e-01,-3.080418232237241227e+01
2.168893830123236610e-01,2.168893830123236610e-01,-3.064216786864439612e+01
2.183565111240466927e-01,2.183565111240466927e-01,-3.048078377635486547e+01
2.198177481690354318e-01,2.198177481690354318e-01,-3.032004770140610717e+01
2.212729526354407505e-01,2.212729526354407505e-01,-3.015997521010152482e+01
2.227220001788877968e-01,2.227220001788877968e-01,-3.000057998032234252e+01
2.241647819679007114e-01,2.241647819679007114e-01,-2.984187398353092391e+01
2.256012031870284207e-01,2.256012031870284207e-01,-2.968386764942687961e+01
2.270311816826498241e-01,2.270311816826498241e-01,-2.952657001490852196e+01
2.284546467378677503e-01,2.284546467378677503e-01,-2.936998885883454591e+01
2.298715379641949608e-01,2.298715379641949608e-01,-2.921413082393855731e+01
2.312818042989073231e-01,2.312818042989073231e-01,-2.905900152712019491e+01
2.326854030979990384e-01,2.326854030979990384e-01,-2.890460565922010616e+01
2.340822993156325416e-01,2.340822993156325416e-01,-2.875094707528042548e+01
2.354724647618448852e-01,2.354724647618448852e-01,-2.859802887619706269e+01
2.368558774310550730e-01,2.368558774310550730e-01,-2.844585348258394575e+01
2.382325208946286799e-01,2.382325208946286799e-01,-2.829442270159084316e+01
2.396023837513976962e-01,2.396023837513976962e-01,-2.814373778734625375e+01
2.409654591306140681e-01,2.409654591306140681e-01,-2.799379949563245162e+01
2.423217442423435120e-01,2.423217442423435120e-01,-2.784460813334221641e+01
2.436712399707788024e-01,2.436712399707788024e-01,-2.769616360321433390e+01
2.450139505063851919e-01,2.450139505063851919e-01,-2.754846544429762645e+01
2.463498830131777839e-01,2.463498830131777839e-01,-2.740151286855044432e+01
2.476790473277845073e-01,2.476790473277845073e-01,-2.725530479394370786e+01
2.490014556872666429e-01,2.490014556872666429e-01,-2.710983987440067011e+01
2.503171224829569552e-01,2.503171224829569552e-01,-2.696511652687473415e+01
2.516260640378367719e-01,2.516260640378367719e-01,-2.682113295583795676e+01
2.529282984052096950e-01,2.529282984052096950e-01,-2.667788717542693888e+01
