mag_x (uT),mag_y (uT),mag_z (uT)
3.281133984678447035e+01,9.629980700939054852e-03,3.742021266206586461e+01
3.281223922758186262e+01,-4.965283434134160068e-03,3.743100401582662329e+01
3.281560922772101918e+01,5.027649629938856640e-03,3.742467729337613491e+01
3.280186414449965326e+01,1.939052057860822520e-02,3.741355249782617420e+01
3.281629371013504937e+01,3.441656350246764806e-02,3.740300437708366132e+01
3.280526282876172672e+01,2.831180770689969983e-02,3.742344765531445461e+01
3.282022089024582812e+01,3.998809870170469405e-02,3.743087460625780238e+01
3.282288759919471488e+01,3.783787461013163322e-02,3.741054636490994056e+01
3.281256030833935711e+01,7.215957438722782336e-02,3.742392912739521904e+01
3.280400455379174218e+01,7.843029743964724521e-02,3.740486924883085607e+01
3.281239042292136077e+01,1.008713780022088141e-01,3.743935987703175527e+01
3.281371160188678715e+01,1.066611274700068612e-01,3.742565785447222737e+01
3.281047072751704974e+01,1.240658826494116379e-01,3.741012825307015532e+01
3.281621935875071472e+01,1.529422731126358070e-01,3.742422808460171524e+01
3.280880206407424282e+01,1.732695937808096387e-01,3.742384554847186706e+01
3.280927698670871706e+01,1.929878094221513796e-01,3.742063507411692314e+01
3.281162734888167876e+01,1.995769068191875495e-01,3.741376414649300131e+01
3.281663732032802017e+01,2.456400137591728816e-01,3.740466091389867387e+01
3.281582893828997527e+01,2.791616794940587898e-01,3.740617289698521830e+01
3.281182945930423500e+01,3.236020355684125493e-01,3.742805624770509354e+01
3.279860552167622956e+01,3.344243327976432756e-01,3.741799287086411852e+01
3.279438726200840648e+01,3.650833017237086753e-01,3.742085019269478607e+01
3.280236798929321651e+01,4.097719669895837913e-01,3.741280138651588771e+01
3.281062745480726051e+01,4.632088415223563072e-01,3.744197495095426831e+01
3.281590206936884613e+01,4.999024988024110550e-01,3.743052571762303415e+01
3.279949080547548590e+01,5.419276347826983420e-01,3.741361285581179175e+01
3.280280043209257457e+01,5.630575121871210786e-01,3.742194275076088417e+01
3.280733761088145428e+01,6.498662743322173307e-01,3.740661671186425252e+01
3.279217394426484589e+01,6.575072264754385776e-01,3.740657311726140222e+01
3.280117783511246898e+01,7.361196342539279014e-01,3.741227510731329886e+01
3.280796677720774568e+01,7.705494663849909998e-01,3.742544143319884142e+01
3.280853541340826496e+01,7.995645380974514271e-01,3.742511753157634757e+01
3.280643794158463322e+01,8.717354176633392848e-01,3.741789777317686116e+01
3.279901982233348434e+01,9.139733988330948078e-01,3.742971362777360866e+01
3.277550309204754342e+01,9.886497050972877787e-01,3.742899159747140203e+01
3.280259125801001829e+01,1.046911778186031539e+00,3.739425806516666739e+01
3.278480975669809538e+01,1.069442440277921680e+00,3.741789100494324316e+01
3.278204513028548206e+01,1.167531154432273510e+00,3.742865634380186179e+01
3.278147774537443127e+01,1.203461189768979755e+00,3.743449028772419496e+01
3.278541785276622988e+01,1.278052029659771049e+00,3.742663548448867061e+01
3.278761879438238225e+01,1.368834352496316020e+00,3.742585058493379790e+01
3.278381282170060729e+01,1.417133963740313751e+00,3.741961107507351869e+01
3.279032522010837880e+01,1.481875862988375703e+00,3.740193243924807831e+01
3.277481855667172539e+01,1.562067656805977256e+00,3.742277046215529879e+01
3.276780494176458092e+01,1.618247849134155869e+00,3.742785212387966709e+01
3.276449824717406756e+01,1.678658360474774014e+00,3.742384437141477349e+01
3.277149788200986791e+01,1.773496203842116481e+00,3.742625210718652085e+01
3.276261323810363990e+01,1.837941189324450164e+00,3.743163065713890347e+01
3.275846954307819914e+01,1.916107589453661664e+00,3.741073558915509523e+01
3.276423083200966602e+01,2.000913244597367857e+00,3.742411511159625093e+01
3.274512346196394930e+01,2.077616112077024457e+00,3.742134167369457742e+01
3.274150229783782606e+01,2.184902975285824667e+00,3.741668728563617918e+01
3.275341701915152015e+01,2.256432946773029524e+00,3.741926366995458864e+01
3.272102068035064804e+01,2.338543400586318377e+00,3.741967118124553338e+01
3.270897032358013945e+01,2.435301767158157826e+00,3.741992378710661171e+01
3.272598686610762542e+01,2.530753704190058073e+00,3.742650722233246086e+01
3.270909007769261478e+01,2.613420383255885771e+00,3.743864935433575880e+01
3.269423567465003089e+01,2.703975196144555060e+00,3.743276557540799843e+01
3.269247301428120522e+01,2.806661571941507116e+00,3.741396371966629175e+01
3.270609563428293143e+01,2.901994430275642856e+00,3.741105416730756161e+01
3.266682236526106919e+01,2.987195300918652929e+00,3.739815254471802319e+01
3.269267749331777395e+01,3.104218800242914078e+00,3.744065847451430074e+01
3.266650203590052115e+01,3.229833735482953827e+00,3.742641424992807231e+01
3.263301394191157101e+01,3.291383000857693197e+00,3.740774747089786700e+01
3.263875619288737795e+01,3.404058565603925945e+00,3.741909174296221607e+01
3.263506176684431637e+01,3.514637636773661811e+00,3.743173881160271321e+01
3.259519386532868879e+01,3.610487630226721922e+00,3.742668349168058484e+01
3.260739193732937480e+01,3.753980812732177874e+00,3.743047126153707183e+01
3.259751027825517156e+01,3.859510410249442636e+00,3.741298269843349544e+01
3.258667025130502992e+01,3.957867772261443928e+00,3.741895317025395684e+01
3.255269255790715022e+01,4.072085925802798378e+00,3.743381976551771828e+01
3.254654811529783132e+01,4.179187807487035222e+00,3.742390373769072909e+01
3.251873137313670981e+01,4.289807869410374508e+00,3.740992435584990261e+01
3.251224438282055473e+01,4.403434319258547447e+00,3.741160534505713997e+01
3.250426053289537975e+01,4.531507003562224689e+00,3.740418402838822942e+01
3.247443130532072075e+01,4.671265134603447500e+00,3.742891743729774845e+01
3.245492848590264146e+01,4.794327368726802874e+00,3.742880622682790914e+01
3.242753175440242330e+01,4.906385954716553144e+00,3.741714168866235468e+01
3.241043865698747339e+01,5.049857995843505698e+00,3.740367643878748538e+01
3.240248380791768312e+01,5.157076744853396733e+00,3.741428394547675396e+01
3.238871269274038411e+01,5.291847623579458038e+00,3.741214457332193177e+01
3.234991044741991573e+01,5.416835330678060778e+00,3.743047561606130813e+01
3.234630249580865780e+01,5.544731727787940656e+00,3.744110212667560234e+01
3.233102203854081580e+01,5.690611739368295119e+00,3.743115871511786708e+01
3.230923698703352187e+01,5.814169329585293866e+00,3.741455222206037234e+01
3.226628631645789369e+01,5.957710587181749062e+00,3.742709019140033888e+01
3.223064574821000861e+01,6.106098603089320953e+00,3.742237302642514862e+01
3.221812040213641382e+01,6.234524437274177266e+00,3.741432460376795888e+01
3.218947490992167815e+01,6.390919341591000169e+00,3.742622536697818703e+01
3.215023498630507959e+01,6.526943412595253236e+00,3.740547895293139646e+01
