ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.000000000000000000e+00,0.000000000000000000e+00,-2.864788975654116165e-01
0.000000000000000000e+00,0.000000000000000000e+00,-5.729577951308232331e-01
0.000000000000000000e+00,0.000000000000000000e+00,-8.594366926962347941e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.145915590261646466e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.432394487827058249e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.718873385392469810e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.005352282957881371e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.291831180523292932e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.578310078088704493e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.864788975654116054e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.151267873219527171e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.437746770784938732e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.724225668350350293e+00
0.000000000000000000e+00,0.000000000000000000e+00,-4.010704565915761854e+00
0.000000000000000000e+00,0.000000000000000000e+00,-4.297183463481173860e+00
0.000000000000000000e+00,0.000000000000000000e+00,-4.583662361046585865e+00
0.000000000000000000e+00,0.000000000000000000e+00,-4.870141258611997870e+00
0.000000000000000000e+00,0.000000000000000000e+00,-5.156620156177409875e+00
0.000000000000000000e+00,0.000000000000000000e+00,-5.443099053742821880e+00
0.000000000000000000e+00,0.000000000000000000e+00,-5.729577951308232997e+00
0.000000000000000000e+00,0.000000000000000000e+00,-6.016056848873645002e+00
0.000000000000000000e+00,0.000000000000000000e+00,-6.302535746439057007e+00
0.000000000000000000e+00,0.000000000000000000e+00,-6.589014644004469012e+00
0.000000000000000000e+00,0.000000000000000000e+00,-6.875493541569881017e+00
0.000000000000000000e+00,0.000000000000000000e+00,-7.161972439135292134e+00
0.000000000000000000e+00,0.000000000000000000e+00,-7.448451336700704140e+00
0.000000000000000000e+00,0.000000000000000000e+00,-7.734930234266115257e+00
0.000000000000000000e+00,0.000000000000000000e+00,-8.021409131831527262e+00
0.000000000000000000e+00,0.000000000000000000e+00,-8.307888029396940155e+00
0.000000000000000000e+00,0.000000000000000000e+00,-8.594366926962351272e+00
0.000000000000000000e+00,0.000000000000000000e+00,-8.880845824527762389e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.167324722093175282e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.453803619658586399e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.740282517223999292e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.002676141478941041e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.031324031235482330e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.059971920992023442e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.088619810748564554e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.117267700505105843e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.145915590261646955e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.174563480018188244e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.203211369774729356e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.231859259531270645e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.260507149287811757e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.289155039044352868e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.317802928800894158e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.346450818557435269e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.375098708313976559e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.403746598070517670e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.432394487827058782e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.461042377583599894e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.489690267340141006e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.518338157096682295e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.546986046853223407e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.575633936609764696e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.604281826366305808e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.632929716122847097e+01
