ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.281072656359680906e+01,0.000000000000000000e+00,3.742187116036371464e+01
3.281072652258340128e+01,1.640536327496283728e-03,3.742187116036371464e+01
3.281072619447613903e+01,4.921608966083488440e-03,3.742187116036371464e+01
3.281072508711412894e+01,9.843217821430775422e-03,3.742187116036371464e+01
3.281072246225607358e+01,1.640536259824160875e-02,3.742187116036371464e+01
3.281071733558039227e+01,2.460804261569346160e-02,3.742187116036371464e+01
3.281070847668545554e+01,3.445125656135744618e-02,3.742187116036371464e+01
3.281069440909002566e+01,4.593500218359806292e-02,3.742187116036371464e+01
3.281067341023413064e+01,5.905927592245320545e-02,3.742187116036371464e+01
3.281064351148022951e+01,7.382407247899487601e-02,3.742187116036371464e+01
3.281060249811518048e+01,9.022938432317106905e-02,3.742187116036371464e+01
3.281054790935279897e+01,1.082752011401297149e-01,3.742187116036371464e+01
3.281047703833756657e+01,1.279615092150260813e-01,3.742187116036371464e+01
3.281038693214939883e+01,1.492882907563147510e-01,3.742187116036371464e+01
3.281027439180993355e+01,1.722555231575292056e-01,3.742187116036371464e+01
3.281013597229043910e+01,1.968631781975506700e-01,3.742187116036371464e+01
3.280996798252173363e+01,2.231112211793711830e-01,3.742187116036371464e+01
3.280976648540634244e+01,2.509996100073540459e-01,3.742187116036371464e+01
3.280952729783330568e+01,2.805282942029981297e-01,3.742187116036371464e+01
3.280924599069582115e+01,3.116972138592120078e-01,3.742187116036371464e+01
3.280891788891228344e+01,3.445062985331064920e-01,3.742187116036371464e+01
3.280853807145096113e+01,3.789554660773145622e-01,3.742187116036371464e+01
3.280810137135880922e+01,4.150446214098498787e-01,3.742187116036371464e+01
3.280760237579475813e+01,4.527736552225171685e-01,3.742187116036371464e+01
3.280703542606801193e+01,4.921424426278893649e-01,3.742187116036371464e+01
3.280639461768183907e+01,5.331508417448684867e-01,3.742187116036371464e+01
3.280567380038324643e+01,5.757986922228499616e-01,3.742187116036371464e+01
3.280486657821914775e+01,6.200858137045132112e-01,3.742187116036371464e+01
3.280396630959955218e+01,6.660120042272644758e-01,3.742187116036371464e+01
3.280296610736828455e+01,7.135770385633567470e-01,3.742187116036371464e+01
3.280185883888187703e+01,7.627806664987250018e-01,3.742187116036371464e+01
3.280063712609717896e+01,8.136226110505652143e-01,3.742187116036371464e+01
3.279929334566836729e+01,8.661025666237019971e-01,3.742187116036371464e+01
3.279781962905394010e+01,9.202201971057859531e-01,3.742187116036371464e+01
3.279620786263441801e+01,9.759751339013690297e-01,3.742187116036371464e+01
3.279444968784138581e+01,1.033366973904911834e+00,3.742187116036371464e+01
3.279253650129864184e+01,1.092395277412780752e+00,3.742187116036371464e+01
3.279045945497611569e+01,1.153059565974296818e+00,3.742187116036371464e+01
3.278820945635739292e+01,1.215359320181907288e+00,3.742187116036371464e+01
3.278577716862152158e+01,1.279293977400557614e+00,3.742187116036371464e+01
3.278315301083996047e+01,1.344862929436338117e+00,3.742187116036371464e+01
3.278032715818950038e+01,1.412065520144502262e+00,3.742187116036371464e+01
3.277728954218190438e+01,1.480901042976948911e+00,3.742187116036371464e+01
3.277402985091118381e+01,1.551368738469269593e+00,3.742187116036371464e+01
3.277053752931946917e+01,1.623467791667477123e+00,3.742187116036371464e+01
3.276680177948213668e+01,1.697197329494530393e+00,3.742187116036371464e+01
3.276281156091343405e+01,1.772556418056786542e+00,3.742187116036371464e+01
3.275855559089321645e+01,1.849544059890517067e+00,3.742187116036371464e+01
3.275402234481600772e+01,1.928159191148634655e+00,3.742187116036371464e+01
3.274920005656326083e+01,2.008400678727789046e+00,3.742187116036371464e+01
3.274407671889977678e+01,2.090267317335996466e+00,3.742187116036371464e+01
3.273864008389540459e+01,2.173757826500984702e+00,3.742187116036371464e+01
3.273287766337301719e+01,2.258870847519441227e+00,3.742187116036371464e+01
3.272677672938377214e+01,2.345604940347363332e+00,3.742187116036371464e+01
3.272032431471087932e+01,2.433958580431734742e+00,3.742187116036371464e+01
3.271350721340279932e+01,2.523930155483734339e+00,3.742187116036371464e+01
3.270631198133716566e+01,2.615517962193745216e+00,3.742187116036371464e+01
3.269872493681644698e+01,2.708720202888389661e+00,3.742187116036371464e+01
3.269073216119656422e+01,2.803534982129875175e+00,3.742187116036371464e+01
3.268231949954968485e+01,2.899960303257933081e+00,3.742187116036371464e+01
3.267347256136228140e+01,2.997994064874633047e+00,3.742187116036371464e+01
3.266417672126978999e+01,3.097634057272411923e+00,3.742187116036371464e+01
3.265441711982905559e+01,3.198877958805618871e+00,3.742187116036371464e+01
3.264417866432978599e+01,3.301723332205951600e+00,3.742187116036371464e+01
3.263344602964639307e+01,3.406167620842121657e+00,3.742187116036371464e+01
3.262220365913139375e+01,3.512208144924155118e+00,3.742187116036371464e+01
