accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
2.875451554955151499e-03,-1.510661855865218922e-04,-9.793839045245716690e+00
-1.044218689933814042e-03,9.009760355588434036e-03,-9.795180473739909743e+00
-5.858402147883750785e-03,-1.117464985074980441e-03,-9.798677082818398887e+00
-1.742916912946649004e-03,6.410879975904200303e-04,-9.794597689797987172e+00
9.559303623656052046e-03,-1.757607409319269891e-03,-9.793992310325291939e+00
-6.664235374422472317e-03,2.251987076923580243e-04,-9.784951825504007772e+00
-9.179501028634280343e-03,-9.201011426883549385e-04,-9.795643718433201030e+00
-3.638869986069279486e-03,-9.027873861448599581e-04,-9.791555848792706129e+00
-1.809893378164541267e-02,5.047678145777015346e-03,-9.792228726532812288e+00
-2.054938016971098041e-02,4.096319130496725580e-03,-9.797857092296830217e+00
-3.217854995926109490e-02,-1.282955482045224169e-03,-9.790590683895690205e+00
-2.857465024822312613e-02,3.564132270847405505e-03,-9.792843367541891553e+00
-3.321643220008810987e-02,-2.039396458042458740e-03,-9.797947189596740714e+00
-4.880622283730877420e-02,2.708838802576620484e-03,-9.797207589076185386e+00
-5.461808642947512532e-02,3.906517628854430310e-03,-9.796879864644964186e+00
-6.674378757432419818e-02,-1.113620654285786419e-03,-9.795033748573585441e+00
-6.680796243595210626e-02,-1.490303136015536187e-03,-9.801248730238857121e+00
-8.132625364126265521e-02,-3.516279051044230233e-03,-9.793124016685693434e+00
-8.970143237776487255e-02,2.695502041269650251e-03,-9.791602740194097265e+00
-9.523664642279792980e-02,1.388228944724015194e-03,-9.793351371529778859e+00
-9.716382360568301402e-02,5.659083155475945134e-03,-9.806728628822515503e+00
-1.229508998198085706e-01,2.717904196640293611e-03,-9.798125978524199198e+00
-1.238827393612891986e-01,-1.307541286507629425e-03,-9.791224561763366196e+00
-1.439970617519051310e-01,4.700254439013208663e-03,-9.787562344797819947e+00
-1.407389174175484314e-01,8.726042077074048359e-03,-9.796235206418753449e+00
-1.558734886036411971e-01,-3.314318870240686495e-03,-9.793401997984281238e+00
-1.705684853504285947e-01,1.132525919542182527e-02,-9.790058037353562170e+00
-1.884695622135008353e-01,-1.611032011836138929e-03,-9.796702672489519870e+00
-1.974579824805936523e-01,-1.172954560181227804e-02,-9.789573593480783487e+00
-2.099301008725131534e-01,7.107517409807345872e-03,-9.790138097722341115e+00
-2.260783313438805286e-01,3.570456038928009751e-03,-9.793660584188653928e+00
-2.384856783754525644e-01,-1.020184907766211006e-02,-9.787294649350002373e+00
-2.545092740418391508e-01,-3.503252721745044474e-03,-9.786259370108195910e+00
-2.726329957516045455e-01,9.316614264923929120e-03,-9.788828527800982116e+00
-2.870082619957936010e-01,-3.464010662380882788e-03,-9.796926786868047188e+00
-3.127185715352054363e-01,-6.216350725456711891e-03,-9.787082137859107078e+00
-3.240875003412663213e-01,-3.727173611937770713e-03,-9.791325371636361297e+00
-3.516407844729134702e-01,1.145270060896102712e-04,-9.787658265921496792e+00
-3.724177007955055685e-01,-4.453312544405608336e-03,-9.778194090636352698e+00
-3.861849068308210731e-01,-4.974769587088783383e-03,-9.790075158344050621e+00
-4.073311146212454936e-01,4.845887210780476517e-03,-9.786176862175267388e+00
-4.140244825592053757e-01,4.840099507716659130e-03,-9.781748607596727041e+00
-4.284031333140776443e-01,-3.518131577963070494e-03,-9.779795259046398570e+00
-4.646309318877520078e-01,-5.314125589222183903e-05,-9.780865861085020541e+00
-4.832487898928973236e-01,-1.122723436154201247e-02,-9.783722743782741205e+00
-4.940445269672870676e-01,2.651087050388261160e-03,-9.790374014895931509e+00
-5.248850633006993949e-01,-2.366753631152016370e-04,-9.780100064913932911e+00
-5.525233281629083892e-01,-3.808531299065691031e-03,-9.780315105294572930e+00
-5.815244579050268259e-01,5.280138010886894877e-03,-9.779848161292814979e+00
-6.027354387159666871e-01,-7.923250017146409030e-03,-9.783359164511979955e+00
-6.265246549195708781e-01,7.185054971069296768e-03,-9.773239209680998130e+00
-6.527941202758108519e-01,2.291466859220562570e-03,-9.769120035803908308e+00
-6.767325750893702363e-01,-1.065124671059359401e-02,-9.774710156084328361e+00
-7.040161655434913346e-01,4.407505055759281670e-03,-9.773405227752244073e+00
-7.292581846247080390e-01,-1.865636680670808723e-04,-9.773046620833888198e+00
-7.547542676455789579e-01,-7.263654477309439833e-04,-9.770251742991741040e+00
-7.814334501129400756e-01,-9.395672379565346913e-03,-9.763609850943662849e+00
-8.131445794592604415e-01,8.832744152850074623e-03,-9.754831591216031939e+00
-8.360137854424684045e-01,-7.842223185626967519e-03,-9.763473783474401202e+00
-8.630153776853456415e-01,-2.439046104216488573e-03,-9.761412812452391563e+00
-8.930395158405243228e-01,-4.596255973902029814e-03,-9.759776346307567962e+00
-9.277981294597332784e-01,3.316348185511341310e-03,-9.745764595865349378e+00
-9.528271125231978500e-01,8.979428012496881153e-04,-9.755430376601953668e+00
-9.833003001910135543e-01,-5.703500435267964269e-03,-9.744900036913961117e+00
-1.023744888646120677e+00,5.809616160369193705e-03,-9.742155990039689684e+00
-1.047092543008781185e+00,-5.109836526157969169e-03,-9.736359361285071401e+00
-1.079709132419824469e+00,-3.295251693874719310e-04,-9.736398662041773733e+00
-1.107334549717815753e+00,-7.050181708170847467e-03,-9.724773853055413753e+00
-1.147837013313485643e+00,-4.461554219104900409e-03,-9.728126721690856016e+00
-1.182026355762295422e+00,8.174483269268579405e-03,-9.722370847193976928e+00
-1.210395426633664284e+00,-3.334690670777448306e-03,-9.719306839735475378e+00
-1.249027686335351772e+00,8.435589413449936028e-04,-9.724867766374700295e+00
-1.279160423088588017e+00,-6.737285900913493955e-03,-9.707330147633477679e+00
-1.315227651049302837e+00,2.090382804400907867e-03,-9.695146719102288202e+00
-1.356190692834460698e+00,1.091237117223686076e-02,-9.701511567226607013e+00
-1.382645770479935088e+00,1.046131025465763323e-02,-9.696358632567509517e+00
-1.423870106761563559e+00,-1.063490076846354635e-03,-9.698589755135291313e+00
-1.454703178971115118e+00,-2.331570020850473081e-03,-9.684322283002503085e+00
-1.498473294117112165e+00,4.189353173078480194e-03,-9.673492979791181057e+00
-1.548783950839131895e+00,-4.627134011775163938e-03,-9.677195574882590634e+00
-1.588427286133148320e+00,-8.066089796130984299e-04,-9.669461327140210116e+00
-1.621152378085185086e+00,-4.439134526456205848e-03,-9.664134277333603862e+00
-1.656979722742047301e+00,-5.371200021813347589e-03,-9.655337041940336817e+00
-1.701401499615537771e+00,2.369199997611888715e-03,-9.640522785716472143e+00
-1.730539581400546423e+00,-4.195119145520800896e-03,-9.636017041664912242e+00
-1.788577386247330203e+00,-8.732074250289097216e-04,-9.628224900525019336e+00
-1.818389546351518060e+00,-5.101745089606693571e-04,-9.628099592966547604e+00
-1.863070027031004106e+00,2.517333035204617937e-03,-9.614570818134859920e+00
-1.905519342614390821e+00,-9.828093071821428564e-04,-9.601132260244144234e+00
-1.942849987203657980e+00,5.405803392556018765e-03,-9.601963337082505490e+00
-1.995368419195823639e+00,1.749638787404672689e-03,-9.593670140774896993e+00
-2.036174564191195913e+00,-5.140299848396817292e-03,-9.582442643342247379e+00
-2.079197449455477020e+00,4.112612835149422573e-03,-9.576265464085864210e+00
-2.122923313084450925e+00,1.029515930800619337e-02,-9.567073974208065934e+00
-2.174822745995644180e+00,-4.653528013186505798e-04,-9.546845532669669510e+00
-2.210935018890460846e+00,-5.089856746255221054e-03,-9.541379701457659124e+00
-2.261925491644505293e+00,-3.513407502637031464e-03,-9.537962408732228781e+00
-2.300292349564634353e+00,-2.122182287067491541e-03,-9.520398897997816690e+00
-2.350505399877103940e+00,9.412526614122975616e-03,-9.505289094035955344e+00
-2.385506479366596988e+00,-3.032823661810039092e-04,-9.494515619076663526e+00
-2.450807200907773709e+00,-4.373554172033010216e-03,-9.483127290208376081e+00
-2.488441398750778522e+00,-3.496291467906477782e-03,-9.471601541424854886e+00
-2.543783716330379807e+00,1.020703321655253189e-02,-9.454500535661075844e+00
-2.588056450917451734e+00,1.115814299875847590e-03,-9.445852151895939741e+00
-2.648288318424872223e+00,5.204501822023564067e-03,-9.424169841222441946e+00
-2.691297396917790241e+00,1.316957458064076146e-03,-9.416582872212551081e+00
-2.741573524088477765e+00,-1.242495107874412238e-03,-9.404628739223396039e+00
-2.780436705502966621e+00,-6.785556488716628677e-03,-9.377623302778333780e+00
-2.840671713894480810e+00,4.438142605244294742e-03,-9.370477601351479890e+00
-2.893559726989550551e+00,-1.913291171747823986e-03,-9.360997435949906631e+00
-2.944856336406282971e+00,-8.587330854019877609e-04,-9.339684664959525762e+00
-2.997726368152846543e+00,2.877044044817456646e-03,-9.323943132445844384e+00
-3.042365459630743452e+00,-2.882044820228218084e-03,-9.312607265595318040e+00
-3.104208935888131293e+00,-7.548743889865650036e-03,-9.289866673285239074e+00
-3.155919277032841030e+00,4.620692930279548735e-03,-9.274311596147347458e+00
-3.204353384600142185e+00,-1.139521180992688308e-02,-9.254834734655492667e+00
-3.252754495300742121e+00,-4.951040678966316631e-03,-9.227011812675474545e+00
-3.320126850667019625e+00,-3.997455639670006652e-03,-9.220821644715016419e+00
-3.363840920338108997e+00,4.233922539581510755e-03,-9.194645266919954096e+00
-3.425548707005339644e+00,-5.250960858995209861e-03,-9.180997784561714781e+00
-3.476573970932979041e+00,5.062739365236209460e-03,-9.157903196717397165e+00
-3.523007716661061384e+00,3.097729019464163375e-03,-9.133546329420621390e+00
-3.580781014919650396e+00,3.595143597837534549e-03,-9.111799618774361065e+00
-3.635252337061682049e+00,3.457513269429789409e-03,-9.089708761680345361e+00
-3.692360513333218908e+00,-6.713081139252860194e-03,-9.087680827114878568e+00
-3.756222929906551045e+00,3.501706312074849298e-03,-9.044614653367647250e+00
-3.796223748173952917e+00,3.234906382231814408e-03,-9.026067873659306073e+00
-3.853832422025558646e+00,4.065986734048763346e-03,-8.994282530355178551e+00
-3.909835071050322242e+00,-1.142932382717797490e-03,-8.980945946192491647e+00
-3.960884852111832277e+00,6.319464785634133601e-03,-8.960157155653911687e+00
-4.020779091638331693e+00,-7.190671994942931904e-03,-8.938159403329361652e+00
-4.064359661084323783e+00,3.598270762374274154e-03,-8.904849381200442338e+00
-4.113987147704644798e+00,-8.907406945578833640e-03,-8.882975504527683697e+00
-4.170175035762493820e+00,3.465445853262040608e-03,-8.862335012920992128e+00
-4.222576063299942284e+00,6.512884141919618453e-04,-8.838634206664560011e+00
-4.274793387624155727e+00,-6.243125839651145897e-03,-8.808236560803115012e+00
-4.320650532888804740e+00,-7.537302640258592736e-03,-8.787626206828974773e+00
-4.378020394443684182e+00,2.825667668434647499e-03,-8.758519615855556495e+00
-4.428375806761577493e+00,1.296735970705454634e-03,-8.736598683770724350e+00
-4.471658786592568546e+00,9.181366758369160054e-04,-8.715665539544071194e+00
-4.518541686074977193e+00,5.530202916645026931e-03,-8.687927398676968949e+00
-4.568523104963333026e+00,-3.240569898480394687e-03,-8.663725601399017151e+00
-4.618137963282771707e+00,2.498279495844265446e-04,-8.631363864000036301e+00
-4.663782522786267926e+00,-3.613975579541602381e-03,-8.600323781955504288e+00
-4.712696554990910336e+00,-1.748079925851695263e-03,-8.581594414805973514e+00
-4.766651041049986048e+00,6.687109695906158328e-03,-8.560626878083242630e+00
-4.805251848575253781e+00,7.421960617473839436e-03,-8.540270976292267946e+00
-4.854398956808293697e+00,-3.425818107495747725e-03,-8.512305795489810478e+00
-4.902119167363605534e+00,7.231131465213462388e-03,-8.476916126657922490e+00
-4.944947646606155267e+00,-1.248485339269993959e-03,-8.446003328593494786e+00
-4.991669985797541287e+00,6.519295366207099839e-03,-8.420974356403871042e+00
-5.046492030636847481e+00,1.535295545122490005e-03,-8.393757148059057371e+00
-5.091410863898185646e+00,-3.090238787065378075e-03,-8.370610932689613648e+00
-5.138619859065187256e+00,5.132739939996160648e-03,-8.343188005116674688e+00
-5.183987227257313535e+00,-2.577989593856528446e-04,-8.322130711109375412e+00
-5.224310441329636845e+00,-4.013223323216848042e-03,-8.281333255236257074e+00
-5.266725658291066203e+00,2.848092178927050244e-03,-8.257771192257139958e+00
-5.307294662457930023e+00,3.446867867927955360e-03,-8.228593564261419857e+00
-5.352809019820036873e+00,2.835361545739250450e-03,-8.202296323661093069e+00
-5.383518036702984233e+00,-4.670540147069016622e-03,-8.174629080980004403e+00
-5.438083449495218602e+00,-4.503009136095606664e-03,-8.141724359619431084e+00
-5.475890706815658149e+00,-3.863986213322346684e-04,-8.121463423739879062e+00
-5.519738042875705020e+00,-1.596692188962897663e-03,-8.091582716575118184e+00
-5.565255569463323226e+00,-3.076653198321811604e-03,-8.070332142519371033e+00
-5.608396411695663275e+00,-1.666659188872952890e-03,-8.028476774734736310e+00
-5.642273392932361631e+00,-2.451659845381308597e-04,-8.000003296961576638e+00
-5.679989816015412529e+00,-7.515771470058753290e-03,-7.976491439031847541e+00
-5.726828310479525008e+00,3.507579071736424345e-03,-7.944771307548100125e+00
-5.762339127573778974e+00,-4.765786132043274038e-03,-7.922747306600951056e+00
-5.802293913098256262e+00,-7.285134324669054629e-04,-7.890136242556218704e+00
-5.833438566593191155e+00,-2.403421109018772078e-03,-7.865183183180197268e+00
