gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707026650420502294e+06,4.688713059153211303e+06,3.360425844816113822e+06,-2.438444206129176603e-02,-9.214991141309088196e-03,3.794445621695859833e-02
-2.707031498996345326e+06,4.688712238689926453e+06,3.360421380705515388e+06,-3.170196083662597808e-02,-9.496162709230562826e-02,-6.332502472870164822e-02
-2.707025986091224477e+06,4.688708209112292156e+06,3.360434981150450185e+06,-2.198969293254458141e-02,-9.076379025574493609e-02,4.196350548617414772e-02
-2.707028548283327837e+06,4.688720840391690843e+06,3.360429099369332660e+06,-6.990931041446483973e-02,-2.570173370663854460e-03,-1.458913890603268093e-01
-2.707032599116151221e+06,4.688702111573063768e+06,3.360433858462582342e+06,-9.388295933206353833e-03,-6.188374832453519270e-03,-5.999311851954524516e-03
-2.707032154927772470e+06,4.688711625609126873e+06,3.360427780661034398e+06,5.666575303491516030e-02,2.496344953838051939e-02,-1.178041472102023812e-01
-2.707027106280580163e+06,4.688710448741250671e+06,3.360427720853798091e+06,-2.074297579863038782e-02,-1.951786409112624132e-02,-1.994658742862851289e-02
-2.707036855552726891e+06,4.688703003801865503e+06,3.360431590374299325e+06,3.864594995503146252e-02,1.127539833915217407e-02,-1.019996070090636309e-01
-2.707025742584660184e+06,4.688710976645374671e+06,3.360433822567953262e+06,4.964769617329083638e-03,-4.150717760451619331e-02,2.479634707795763324e-02
-2.707036622474902775e+06,4.688713977603022940e+06,3.360424485492433887e+06,-1.570921265080499687e-02,-2.067669958190457985e-02,-1.259723914816708308e-04
-2.707032342405109666e+06,4.688713224483935162e+06,3.360423219389501959e+06,-5.994388850267027419e-02,-2.581762644104360765e-02,4.551209180664191056e-02
-2.707030937438633293e+06,4.688712227055695839e+06,3.360443940616240259e+06,-3.887751026873242921e-02,-5.502441099653422596e-02,-2.707368528008542718e-02
-2.707029919476604555e+06,4.688713506351648830e+06,3.360430936002650764e+06,5.052638068323581089e-02,-2.990994632574459078e-02,1.946868663593311760e-02
-2.707024629365850706e+06,4.688716111575666815e+06,3.360426200909020845e+06,3.312501108558178753e-02,-8.994529165956177685e-02,-4.226302910440735139e-02
-2.707025737076995429e+06,4.688715676180763170e+06,3.360429070765295066e+06,3.343842835803509383e-02,6.082547711609213176e-02,-1.451132626961174933e-02
-2.707027439992113039e+06,4.688708464839693159e+06,3.360433184484752826e+06,-6.692595209138643871e-03,-9.265427249288950284e-02,-3.448615633068684294e-02
-2.707031347952879034e+06,4.688713981058586389e+06,3.360438928084008396e+06,-3.578157569332264532e-02,-3.078106296019824176e-02,-3.568158551755968438e-02
-2.707022696562996134e+06,4.688716534762951545e+06,3.360417076798056252e+06,-2.444551776858952183e-02,1.055839243500811188e-04,-1.986241337546128770e-03
-2.707028523356846534e+06,4.688714958105783910e+06,3.360422388669905253e+06,4.204468598091573583e-02,-2.327676712071498344e-02,1.151862311668469668e-01
