gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
4.699531717910681583e-01,2.411224921299943702e-01,5.975289872751130549e-01
5.223003417823363081e-01,-8.329964549880684854e-03,4.741520765632785683e-01
4.706483667804823301e-01,-2.092869437428747093e-01,4.465506523300531438e-01
5.118236776712765668e-01,-5.190358891825438414e-01,5.757124123488657208e-01
5.452644564928252890e-01,-8.163292770247866370e-01,4.516712991375591013e-01
5.683212748249485413e-01,-1.113763799281243250e+00,4.221116257097893287e-01
4.514290020902906320e-01,-1.335263456293054096e+00,4.505083166595283961e-01
5.225954931002141368e-01,-1.548869397285173699e+00,4.019955864745005103e-01
5.065490989064282967e-01,-1.814444754951509697e+00,4.877674862980317383e-01
4.792939759866055027e-01,-2.067189483762813307e+00,4.541151928457342613e-01
4.587017494447873101e-01,-2.350671306447443154e+00,4.137842669990186573e-01
4.495601391145641057e-01,-2.608659140313433600e+00,5.072336681011606618e-01
5.049152404078798284e-01,-2.908961120719707694e+00,4.124815841217476242e-01
4.676568674900016265e-01,-3.137200613005035610e+00,4.292119364017044081e-01
4.892551676895139368e-01,-3.300911920780068343e+00,4.235162886963729223e-01
4.936473019170551368e-01,-3.620469208996973887e+00,4.170442447060445645e-01
4.504053947774114830e-01,-3.901008972814351328e+00,5.338289822100478199e-01
3.944457629959630118e-01,-4.135614221841818150e+00,4.869074440511607094e-01
4.596222952931029448e-01,-4.369791232479535381e+00,3.548351396919758871e-01
4.057924121357944780e-01,-4.711315858146036817e+00,3.732978404675123540e-01
4.389784121686762242e-01,-4.948566751120962337e+00,4.776095305711205996e-01
4.887171654116050368e-01,-5.131150511780328216e+00,4.666662851280201640e-01
4.495854641115514805e-01,-5.419520481577841942e+00,4.413490333156662171e-01
4.016132534214624239e-01,-5.634725031670223316e+00,3.696557349691859673e-01
4.278105260484166283e-01,-5.942643015057719857e+00,3.718582219179242809e-01
4.468045181768379726e-01,-6.241694206386756427e+00,4.898254306675831060e-01
4.321748410973684229e-01,-6.474885549135140472e+00,4.051083519350704432e-01
3.385269135399055496e-01,-6.767394709462493552e+00,3.599948725956159112e-01
3.977981245699478974e-01,-6.946608153772777960e+00,4.123596026382434498e-01
4.256108747489326105e-01,-7.178025034250640424e+00,4.264374162811732094e-01
4.385938428722462312e-01,-7.492274936830339627e+00,3.792645497615543260e-01
3.489055817419851047e-01,-7.712486102277185118e+00,4.861335175538420983e-01
4.700104835689906668e-01,-7.976512880997536747e+00,4.099240618189707308e-01
3.483867070716384351e-01,-8.223631914683117827e+00,3.807679455154713288e-01
4.252637037278291232e-01,-8.517029536043965621e+00,3.380838129333456621e-01
