gyro_only_with_bias_x (deg/s),gyro_only_with_bias_y (deg/s),gyro_only_with_bias_z (deg/s)
4.971352110243459355e-01,2.421689921911295285e-01,4.971352110243459355e-01
4.942704220486918154e-01,-1.566201561774095696e-02,4.942704220486918154e-01
4.914056330730376398e-01,-2.734930234266113591e-01,4.914056330730376398e-01
4.885408440973835198e-01,-5.313240312354818862e-01,4.885408440973835198e-01
4.856760551217293997e-01,-7.891550390443523577e-01,4.856760551217293997e-01
4.828112661460753352e-01,-1.046986046853223051e+00,4.828112661460753352e-01
4.799464771704212152e-01,-1.304817054662093634e+00,4.799464771704212152e-01
4.770816881947670951e-01,-1.562648062470963994e+00,4.770816881947670951e-01
4.742168992191129195e-01,-1.820479070279834133e+00,4.742168992191129195e-01
4.713521102434587995e-01,-2.078310078088704493e+00,4.713521102434587995e-01
4.684873212678047349e-01,-2.336141085897574854e+00,4.684873212678047349e-01
4.656225322921506149e-01,-2.593972093706445214e+00,4.656225322921506149e-01
4.627577433164965504e-01,-2.851803101515315575e+00,4.627577433164965504e-01
4.598929543408424303e-01,-3.109634109324186380e+00,4.598929543408424303e-01
4.570281653651882547e-01,-3.367465117133057184e+00,4.570281653651882547e-01
4.541633763895341347e-01,-3.625296124941927989e+00,4.541633763895341347e-01
4.512985874138800146e-01,-3.883127132750798349e+00,4.512985874138800146e-01
4.484337984382259501e-01,-4.140958140559669154e+00,4.484337984382259501e-01
4.455690094625717745e-01,-4.398789148368539514e+00,4.455690094625717745e-01
4.427042204869177100e-01,-4.656620156177410763e+00,4.427042204869177100e-01
4.398394315112635344e-01,-4.914451163986281124e+00,4.398394315112635344e-01
4.369746425356094144e-01,-5.172282171795151484e+00,4.369746425356094144e-01
4.341098535599553498e-01,-5.430113179604022733e+00,4.341098535599553498e-01
4.312450645843011743e-01,-5.687944187412893093e+00,4.312450645843011743e-01
4.283802756086471097e-01,-5.945775195221763454e+00,4.283802756086471097e-01
4.255154866329929342e-01,-6.203606203030633814e+00,4.255154866329929342e-01
4.226506976573388696e-01,-6.461437210839504175e+00,4.226506976573388696e-01
4.197859086816847496e-01,-6.719268218648374535e+00,4.197859086816847496e-01
4.169211197060305740e-01,-6.977099226457244896e+00,4.169211197060305740e-01
4.140563307303765095e-01,-7.234930234266115257e+00,4.140563307303765095e-01
4.111915417547223339e-01,-7.492761242074985617e+00,4.111915417547223339e-01
4.083267527790682694e-01,-7.750592249883855978e+00,4.083267527790682694e-01
4.054619638034141493e-01,-8.008423257692726338e+00,4.054619638034141493e-01
4.025971748277600293e-01,-8.266254265501597587e+00,4.025971748277600293e-01
3.997323858521059092e-01,-8.524085273310468835e+00,3.997323858521059092e-01
3.968675968764517337e-01,-8.781916281119338308e+00,3.968675968764517337e-01
3.940028079007976691e-01,-9.039747288928209557e+00,3.940028079007976691e-01
3.911380189251435491e-01,-9.297578296737080805e+00,3.911380189251435491e-01
3.882732299494894290e-01,-9.555409304545950278e+00,3.882732299494894290e-01
3.854084409738353090e-01,-9.813240312354821526e+00,3.854084409738353090e-01
3.825436519981811889e-01,-1.007107132016369277e+01,3.825436519981811889e-01
3.796788630225270689e-01,-1.032890232797256402e+01,3.796788630225270689e-01
3.768140740468729488e-01,-1.058673333578143350e+01,3.768140740468729488e-01
3.739492850712188843e-01,-1.084456434359030474e+01,3.739492850712188843e-01
3.710844960955647087e-01,-1.110239535139917599e+01,3.710844960955647087e-01
3.682197071199105887e-01,-1.136022635920804547e+01,3.682197071199105887e-01
3.653549181442564686e-01,-1.161805736701691671e+01,3.653549181442564686e-01
3.624901291686023486e-01,-1.187588837482578796e+01,3.624901291686023486e-01
3.596253401929482840e-01,-1.213371938263465744e+01,3.596253401929482840e-01
3.567605512172941085e-01,-1.239155039044352868e+01,3.567605512172941085e-01
3.538957622416400439e-01,-1.264938139825239993e+01,3.538957622416400439e-01
3.510309732659858684e-01,-1.290721240606126941e+01,3.510309732659858684e-01
3.481661842903318038e-01,-1.316504341387014065e+01,3.481661842903318038e-01
3.453013953146776838e-01,-1.342287442167901190e+01,3.453013953146776838e-01
3.424366063390235082e-01,-1.368070542948788137e+01,3.424366063390235082e-01
3.395718173633694437e-01,-1.393853643729675085e+01,3.395718173633694437e-01
3.367070283877152681e-01,-1.419636744510562210e+01,3.367070283877152681e-01
3.338422394120612036e-01,-1.445419845291449334e+01,3.338422394120612036e-01
3.309774504364070835e-01,-1.471202946072336282e+01,3.309774504364070835e-01
3.281126614607529635e-01,-1.496986046853223407e+01,3.281126614607529635e-01
3.252478724850988434e-01,-1.522769147634110531e+01,3.252478724850988434e-01
3.223830835094446678e-01,-1.548552248414997479e+01,3.223830835094446678e-01
3.195182945337906033e-01,-1.574335349195884604e+01,3.195182945337906033e-01
3.166535055581364833e-01,-1.600118449976771728e+01,3.166535055581364833e-01
3.137887165824823632e-01,-1.625901550757658853e+01,3.137887165824823632e-01
3.109239276068282432e-01,-1.651684651538545623e+01,3.109239276068282432e-01
3.080591386311741231e-01,-1.677467752319432748e+01,3.080591386311741231e-01
3.051943496555200031e-01,-1.703250853100319873e+01,3.051943496555200031e-01
3.023295606798658830e-01,-1.729033953881206997e+01,3.023295606798658830e-01
2.994647717042117629e-01,-1.754817054662094122e+01,2.994647717042117629e-01
2.965999827285576429e-01,-1.780600155442981247e+01,2.965999827285576429e-01
2.937351937529035228e-01,-1.806383256223868372e+01,2.937351937529035228e-01
2.908704047772494028e-01,-1.832166357004755142e+01,2.908704047772494028e-01
2.880056158015952827e-01,-1.857949457785642267e+01,2.880056158015952827e-01
2.851408268259411627e-01,-1.883732558566529391e+01,2.851408268259411627e-01
2.822760378502870426e-01,-1.909515659347416516e+01,2.822760378502870426e-01
2.794112488746329226e-01,-1.935298760128303641e+01,2.794112488746329226e-01
2.765464598989788025e-01,-1.961081860909190766e+01,2.765464598989788025e-01
2.736816709233247380e-01,-1.986864961690077536e+01,2.736816709233247380e-01
2.708168819476705624e-01,-2.012648062470964661e+01,2.708168819476705624e-01
2.679520929720164424e-01,-2.038431163251851785e+01,2.679520929720164424e-01
2.650873039963623223e-01,-2.064214264032738910e+01,2.650873039963623223e-01
2.622225150207082023e-01,-2.089997364813626035e+01,2.622225150207082023e-01
2.593577260450541377e-01,-2.115780465594513160e+01,2.593577260450541377e-01
2.564929370693999622e-01,-2.141563566375399930e+01,2.564929370693999622e-01
2.536281480937458976e-01,-2.167346667156287054e+01,2.536281480937458976e-01
2.507633591180917221e-01,-2.193129767937174179e+01,2.507633591180917221e-01
2.478985701424376298e-01,-2.218912868718061304e+01,2.478985701424376298e-01
2.450337811667835375e-01,-2.244695969498948429e+01,2.450337811667835375e-01
2.421689921911293897e-01,-2.270479070279835554e+01,2.421689921911293897e-01
2.393042032154752696e-01,-2.296262171060722324e+01,2.393042032154752696e-01
2.364394142398211218e-01,-2.322045271841609448e+01,2.364394142398211218e-01
2.335746252641670295e-01,-2.347828372622496573e+01,2.335746252641670295e-01
2.307098362885129372e-01,-2.373611473403383698e+01,2.307098362885129372e-01
2.278450473128587894e-01,-2.399394574184270823e+01,2.278450473128587894e-01
2.249802583372046971e-01,-2.425177674965157948e+01,2.249802583372046971e-01
2.221154693615505493e-01,-2.450960775746045073e+01,2.221154693615505493e-01
2.192506803858964293e-01,-2.476743876526931842e+01,2.192506803858964293e-01
2.163858914102423370e-01,-2.502526977307818967e+01,2.163858914102423370e-01
2.135211024345881892e-01,-2.528310078088706092e+01,2.135211024345881892e-01
2.106563134589340969e-01,-2.554093178869593217e+01,2.106563134589340969e-01
2.077915244832799491e-01,-2.579876279650480342e+01,2.077915244832799491e-01
2.049267355076258568e-01,-2.605659380431367467e+01,2.049267355076258568e-01
2.020619465319717367e-01,-2.631442481212254236e+01,2.020619465319717367e-01
1.991971575563175889e-01,-2.657225581993141361e+01,1.991971575563175889e-01
1.963323685806634966e-01,-2.683008682774028486e+01,1.963323685806634966e-01
1.934675796050093488e-01,-2.708791783554915611e+01,1.934675796050093488e-01
1.906027906293552565e-01,-2.734574884335802736e+01,1.906027906293552565e-01
1.877380016537011642e-01,-2.760357985116689861e+01,1.877380016537011642e-01
1.848732126780470164e-01,-2.786141085897576630e+01,1.848732126780470164e-01
1.820084237023928964e-01,-2.811924186678463755e+01,1.820084237023928964e-01
1.791436347267387486e-01,-2.837707287459350880e+01,1.791436347267387486e-01
1.762788457510846563e-01,-2.863490388240238360e+01,1.762788457510846563e-01
1.734140567754305640e-01,-2.889273489021125130e+01,1.734140567754305640e-01
1.705492677997764162e-01,-2.915056589802012610e+01,1.705492677997764162e-01
1.680484122536052005e-01,-2.937564289717553123e+01,1.680484122536052005e-01
1.659636180559243834e-01,-2.956327437496680588e+01,1.659636180559243834e-01
