mag_x (uT),mag_y (uT),mag_z (uT)
3.281033192558234646e+01,7.714300096653502583e-04,3.743603481358486107e+01
3.280073595496717331e+01,4.212409869029172700e-03,3.743276212122835744e+01
3.281792208294864821e+01,1.699166479053253881e-02,3.741226337736712537e+01
3.282133469793876657e+01,-4.543530550529426351e-03,3.741586047960221606e+01
3.281370366343969636e+01,7.724308680882246460e-03,3.739601274389691810e+01
3.281427028597454409e+01,-4.419377019263159151e-03,3.738635100350525420e+01
3.285329291233179561e+01,-5.367391541370354797e-03,3.737991332210859241e+01
3.286170806598187255e+01,3.017876356282646246e-03,3.737637918569833317e+01
3.287328495907450332e+01,-5.295465271822475187e-03,3.735282220895712868e+01
3.289207751137301017e+01,6.824044501608956224e-03,3.735094719291753762e+01
3.289866248833875773e+01,1.169506528769931851e-02,3.734459143317795338e+01
3.293211895260876076e+01,-1.442854925099140663e-03,3.732199719734683185e+01
3.295255791868210338e+01,1.917978847555490505e-03,3.729054445583421540e+01
3.298122559900178175e+01,-1.041425498261785293e-02,3.726674301351290808e+01
3.300498310169844274e+01,-6.583506856156155773e-03,3.725831027621766367e+01
3.302377204424943358e+01,-3.951091802506804390e-03,3.724030651221983845e+01
3.305707468213507383e+01,4.580052348051157594e-03,3.719335475133377855e+01
3.308777929582050348e+01,2.971222441257481695e-02,3.716698688952000396e+01
3.311761371174181079e+01,1.051569447518596601e-02,3.713641167290658984e+01
3.314316082082728343e+01,-1.770875392160387810e-03,3.709909666650590765e+01
3.320429302791706760e+01,-1.411819387910481088e-02,3.708593949669170797e+01
3.324842088995919198e+01,8.404238334646195810e-03,3.702978283982706387e+01
3.329522748397683785e+01,-7.458594130411760198e-03,3.702008004105539385e+01
3.331825931414899600e+01,-9.865733853960620761e-03,3.697351597295033088e+01
3.337079504259776996e+01,-2.916967649135546441e-03,3.691846338800488070e+01
3.341803667224451146e+01,2.785363456070105628e-03,3.687189838317418378e+01
3.347490499841828182e+01,2.763439590264058898e-03,3.683088469294867906e+01
3.349296721384601483e+01,-1.723787570676177036e-02,3.677989586231255714e+01
3.357272342629511286e+01,3.491718455229110910e-03,3.675346675528435014e+01
3.361819886349243092e+01,-8.413000010371152193e-03,3.670332890466761455e+01
3.368160755292692699e+01,-1.114270650636163019e-02,3.664398286408781047e+01
3.372360400627604093e+01,1.479807062442301847e-03,3.659321906940752456e+01
3.378292621120385775e+01,-2.214235977290898716e-02,3.654038153394412802e+01
3.384801659778431571e+01,1.866614891921470005e-03,3.649475537584739016e+01
3.391844212392035729e+01,-2.305032718308526636e-03,3.642603383289613816e+01
3.395416757265710572e+01,1.735633298511638249e-03,3.637013129475661799e+01
3.403188186508993596e+01,7.657512177652026878e-05,3.632132224739527970e+01
3.409188279733581339e+01,-2.113261576357292146e-03,3.625772215143370403e+01
3.417303575157857409e+01,-1.477332211403792339e-02,3.619183844917541393e+01
