q0 (),q1,q2,q3
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999996874999741e-01,0.000000000000000000e+00,-2.499999999733756997e-05,0.000000000000000000e+00
9.999999971874999893e-01,0.000000000000000000e+00,-7.499999992951270338e-05,0.000000000000000000e+00
9.999999887500000684e-01,0.000000000000000000e+00,-1.499999994375945044e-04,0.000000000000000000e+00
9.999999687500001899e-01,0.000000000000000000e+00,-2.499999973956947789e-04,0.000000000000000000e+00
9.999999296875008437e-01,0.000000000000000000e+00,-3.749999912109517968e-04,0.000000000000000000e+00
9.999998621875031413e-01,0.000000000000000000e+00,-5.249999758829215161e-04,0.000000000000000000e+00
9.999997550000100377e-01,0.000000000000000000e+00,-6.999999428334796690e-04,0.000000000000000000e+00
9.999995950000273304e-01,0.000000000000000000e+00,-8.999998785001278546e-04,0.000000000000000000e+00
9.999993671875667678e-01,0.000000000000000000e+00,-1.124999762695370192e-03,0.000000000000000000e+00
9.999990546876489361e-01,0.000000000000000000e+00,-1.374999566731715823e-03,0.000000000000000000e+00
9.999986387503088103e-01,0.000000000000000000e+00,-1.649999251312753244e-03,0.000000000000000000e+00
9.999980987506024155e-01,0.000000000000000000e+00,-1.949998764187631239e-03,0.000000000000000000e+00
9.999974121886161527e-01,0.000000000000000000e+00,-2.274998037576055846e-03,0.000000000000000000e+00
9.999965546894783452e-01,0.000000000000000000e+00,-2.624996985352700575e-03,0.000000000000000000e+00
9.999955000033750041e-01,0.000000000000000000e+00,-2.999995500002138743e-03,0.000000000000000000e+00
9.999942200055680352e-01,0.000000000000000000e+00,-3.399993449337189444e-03,0.000000000000000000e+00
9.999926846964189986e-01,0.000000000000000000e+00,-3.824990672983352973e-03,0.000000000000000000e+00
9.999908622014166415e-01,0.000000000000000000e+00,-4.274986978628892917e-03,0.000000000000000000e+00
9.999887187712110936e-01,0.000000000000000000e+00,-4.749982138041015933e-03,0.000000000000000000e+00
9.999862187816537240e-01,0.000000000000000000e+00,-5.249975882845935721e-03,0.000000000000000000e+00
9.999833247338443254e-01,0.000000000000000000e+00,-5.774967900076828815e-03,0.000000000000000000e+00
9.999799972541852933e-01,0.000000000000000000e+00,-6.324957827487916705e-03,0.000000000000000000e+00
9.999761950944462408e-01,0.000000000000000000e+00,-6.899945248630241605e-03,0.000000000000000000e+00
9.999718751318357191e-01,0.000000000000000000e+00,-7.499929687697593980e-03,0.000000000000000000e+00
9.999669923690855944e-01,0.000000000000000000e+00,-8.124910604136382358e-03,0.000000000000000000e+00
9.999614999345450839e-01,0.000000000000000000e+00,-8.774887387019479276e-03,0.000000000000000000e+00
9.999553490822880031e-01,0.000000000000000000e+00,-9.449859349190705554e-03,0.000000000000000000e+00
9.999484891922333363e-01,0.000000000000000000e+00,-1.014982572116844908e-02,0.000000000000000000e+00
9.999408677702792403e-01,0.000000000000000000e+00,-1.087478564482220224e-02,0.000000000000000000e+00
