ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.281072656359680906e+01,0.000000000000000000e+00,3.742187116036371464e+01
3.281259761614064274e+01,0.000000000000000000e+00,3.742023057725887725e+01
3.281633947512914062e+01,0.000000000000000000e+00,3.741694913040158355e+01
3.282195164829384026e+01,0.000000000000000000e+00,3.741202625855809316e+01
3.282943339705663277e+01,0.000000000000000000e+00,3.740546112003167423e+01
3.283878373631944214e+01,0.000000000000000000e+00,3.739725259284724501e+01
3.285000143418375274e+01,0.000000000000000000e+00,3.738739927499777593e+01
3.286308501160026907e+01,0.000000000000000000e+00,3.737589948475236667e+01
3.287803274194872927e+01,0.000000000000000000e+00,3.736275126102635369e+01
3.289484265054798584e+01,0.000000000000000000e+00,3.734795236381331307e+01
3.291351251409656697e+01,0.000000000000000000e+00,3.733150027467939225e+01
3.293403986004382489e+01,0.000000000000000000e+00,3.731339219732003443e+01
3.295642196589193418e+01,0.000000000000000000e+00,3.729362505817923790e+01
3.298065585842889647e+01,0.000000000000000000e+00,3.727219550713182628e+01
3.300673831289280002e+01,0.000000000000000000e+00,3.724909991822879363e+01
3.303466585206768258e+01,0.000000000000000000e+00,3.722433439050605131e+01
3.306443474531111093e+01,0.000000000000000000e+00,3.719789474885698866e+01
3.309604100751393929e+01,0.000000000000000000e+00,3.716977654496908912e+01
3.312948039799258737e+01,0.000000000000000000e+00,3.713997505832501389e+01
3.316474841931394479e+01,0.000000000000000000e+00,3.710848529726849421e+01
3.320184031605363373e+01,0.000000000000000000e+00,3.707530200013553667e+01
3.324075107348776470e+01,0.000000000000000000e+00,3.704041963645121172e+01
3.328147541621869010e+01,0.000000000000000000e+00,3.700383240819266462e+01
3.332400780673522434e+01,0.000000000000000000e+00,3.696553425111869018e+01
3.336834244390774984e+01,0.000000000000000000e+00,3.692551883616645370e+01
3.341447326141879159e+01,0.000000000000000000e+00,3.688377957091582005e+01
3.346239392612944386e+01,0.000000000000000000e+00,3.684030960112190201e+01
3.351209783638229567e+01,0.000000000000000000e+00,3.679510181231626831e+01
3.356357812024140230e+01,0.000000000000000000e+00,3.674814883147764988e+01
3.361682763366983551e+01,0.000000000000000000e+00,3.669944302877239295e+01
3.367183895864556575e+01,0.000000000000000000e+00,3.664897651936568224e+01
3.372860440121610281e+01,0.000000000000000000e+00,3.659674116530384680e+01
3.378711598949278994e+01,0.000000000000000000e+00,3.654272857746858705e+01
3.384736547158532716e+01,0.000000000000000000e+00,3.648693011760392579e+01
3.390934431347722011e+01,0.000000000000000000e+00,3.642933690041625283e+01
3.397304369684297853e+01,0.000000000000000000e+00,3.636993979574858571e+01
3.403845451680782475e+01,0.000000000000000000e+00,3.630872943082949433e+01
3.410556737965063689e+01,0.000000000000000000e+00,3.624569619259766995e+01
3.417437260045110747e+01,0.000000000000000000e+00,3.618083023010272825e+01
3.424486020068177794e+01,0.000000000000000000e+00,3.611412145698328402e+01
3.431701990574602235e+01,0.000000000000000000e+00,3.604555955402287992e+01
3.439084114246278290e+01,0.000000000000000000e+00,3.597513397178484240e+01
3.446631303649908062e+01,0.000000000000000000e+00,3.590283393332666861e+01
3.454342440975111828e+01,0.000000000000000000e+00,3.582864843699506707e+01
3.462216377767526154e+01,0.000000000000000000e+00,3.575256625930241938e+01
3.470251934656960202e+01,0.000000000000000000e+00,3.567457595788548730e+01
3.478447901080745908e+01,0.000000000000000000e+00,3.559466587454746644e+01
3.486803035002368034e+01,0.000000000000000000e+00,3.551282413838423935e+01
3.495316062625506959e+01,0.000000000000000000e+00,3.542903866899567333e+01
3.503985678103597223e+01,0.000000000000000000e+00,3.534329717978313568e+01
3.512810543245021222e+01,0.000000000000000000e+00,3.525558718133397917e+01
3.521789287214072317e+01,0.000000000000000000e+00,3.516589598489420609e+01
3.530920506227800360e+01,0.000000000000000000e+00,3.507421070593008494e+01
3.540202763248871065e+01,0.000000000000000000e+00,3.498051826777991380e+01
3.549634587674584196e+01,0.000000000000000000e+00,3.488480540539687524e+01
3.559214475022164947e+01,0.000000000000000000e+00,3.478705866918397760e+01
3.568940886610489116e+01,0.000000000000000000e+00,3.468726442892221229e+01
3.578812249238376353e+01,0.000000000000000000e+00,3.458540887779287942e+01
3.588826954859588625e+01,0.000000000000000000e+00,3.448147803649524690e+01
3.598983360254707975e+01,0.000000000000000000e+00,3.437545775746050936e+01
3.609279786700022186e+01,0.000000000000000000e+00,3.426733372916316256e+01
3.619714519633593852e+01,0.000000000000000000e+00,3.415709148053085187e+01
3.630285808318663499e+01,0.000000000000000000e+00,3.404471638545385304e+01
3.640991865504559399e+01,0.000000000000000000e+00,3.393019366739514453e+01
