accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
2.187384735677383712e-03,6.775281363067332027e-04,-9.783930171531180164e+00
1.398222430487927083e-02,1.847299572358779242e-03,-9.789816983241504289e+00
2.071353563400792769e-03,6.713023275838581397e-03,-9.793362065490207158e+00
-6.988178292848101075e-04,3.719139379469234459e-04,-9.800237169235039403e+00
-4.411915889429051437e-04,9.040706346796694576e-03,-9.788894248338573689e+00
-1.153604577057321112e-02,3.881197406722527478e-03,-9.786497400842229411e+00
2.278166376084168453e-03,6.109520282480071680e-03,-9.800165753415155834e+00
-4.302005334321175149e-03,1.392153129009067458e-02,-9.801092027065797296e+00
4.980754958957647228e-03,1.121553815564071098e-02,-9.796933210725129015e+00
4.954689524560532132e-03,2.345814063967441299e-02,-9.798700720634673900e+00
4.096075785161882796e-03,3.493671352204403419e-02,-9.796153847915306301e+00
5.307320727864517709e-03,2.994377346203400472e-02,-9.792508703171016293e+00
-3.508018931085380571e-03,3.933898899950460937e-02,-9.784713401204070848e+00
1.869238113040557446e-03,3.990679572985634388e-02,-9.791890319910885765e+00
2.705073578460895291e-04,4.831228250653419459e-02,-9.796767817706500736e+00
3.926328900296858528e-03,5.075351697518577093e-02,-9.785104183880545037e+00
-1.282144159445870388e-03,7.544614091139813239e-02,-9.798451344393873441e+00
1.115095694293169806e-03,7.654485610800804141e-02,-9.792643970281044830e+00
-4.470254777905923599e-03,7.853829550778985980e-02,-9.799489797156304860e+00
1.040413056275565733e-02,9.269336554908452763e-02,-9.792907627614152233e+00
2.995496337212111152e-04,1.111775994919270982e-01,-9.781274697748594704e+00
-8.031108952853220281e-03,1.133480947745968276e-01,-9.792820142091599678e+00
-3.491311802875604088e-03,1.209150599440790425e-01,-9.797185129597060893e+00
8.781113298222040925e-03,1.401772192239116033e-01,-9.784456647494979009e+00
2.390367092127162248e-03,1.455629668544649036e-01,-9.797189474097791617e+00
-1.427876856349432570e-03,1.619460808918280759e-01,-9.791129377288536162e+00
-4.773075313219500571e-03,1.732246694747713867e-01,-9.791486533103793022e+00
8.167254406454722837e-03,1.909104541310643333e-01,-9.787749480774136757e+00
-3.515217408503862415e-03,2.002299178770113042e-01,-9.792370627129175276e+00
3.952933755195466546e-03,2.098008165785733292e-01,-9.796804533661980230e+00
-3.177676814452579102e-04,2.280556424919152336e-01,-9.796619977806050983e+00
-7.880080665000385731e-03,2.409719655978053710e-01,-9.802189417159539175e+00
5.059469414214711608e-03,2.527064089700120086e-01,-9.780873430435050864e+00
1.024697153563406890e-02,2.844612964810462330e-01,-9.790085847806798469e+00
-6.405498649494581302e-03,2.925815998424950992e-01,-9.790696028081761426e+00
5.834102396028302898e-03,3.070722813927007633e-01,-9.781053983583730016e+00
-7.451459837842957026e-03,3.277196965242731852e-01,-9.793003721322030231e+00
-9.029468342202171677e-04,3.461074779021931502e-01,-9.789763510668285207e+00
-5.641885916748137601e-03,3.717229460238288818e-01,-9.792098478385323546e+00
7.844982466088928214e-03,3.798623690292100008e-01,-9.790035515579537773e+00
3.492939150489312878e-03,4.008254307149802242e-01,-9.795326584447948903e+00
3.119581247856329821e-03,4.268115461410421640e-01,-9.777625116750209955e+00
1.286033561690054505e-03,4.464017978711375401e-01,-9.780341662560219973e+00
3.903447665496085316e-03,4.548675172801391886e-01,-9.777563804331382613e+00
4.307815535512131595e-03,4.870899142635806700e-01,-9.786528314800017725e+00
2.924911039755604715e-03,5.135720145286331029e-01,-9.783567913325383003e+00
4.888543166009378521e-03,5.302749811191862506e-01,-9.783381261776213478e+00
-9.396018518168073892e-04,5.512108450174921792e-01,-9.780896178832795940e+00
-5.696716664071331884e-03,5.793046089882890604e-01,-9.767962095581113502e+00
1.900347332921388955e-03,5.921980439830795140e-01,-9.778151378182599274e+00
-3.037207514647246361e-03,6.260721556458737069e-01,-9.778818010939902550e+00
-4.361165927863123971e-04,6.538549739897948632e-01,-9.771223694533452075e+00
-2.278025460521570025e-03,6.797092850468356984e-01,-9.768442146670107462e+00
-8.878060140622799981e-03,6.981288649166369487e-01,-9.773151639915967692e+00
-4.154877104409799779e-03,7.235579073885953783e-01,-9.768941915649982377e+00
4.566172589074187285e-03,7.523831138865798573e-01,-9.763317636472962135e+00
5.041299491643374403e-03,7.726292192344652587e-01,-9.762497869843866027e+00
-3.368593206706132267e-05,8.120535901893153330e-01,-9.762649937707243097e+00
-7.274952818936814523e-03,8.305971210115642434e-01,-9.764425952804758779e+00
2.269833447115640265e-03,8.675835228175484692e-01,-9.765454787073366560e+00
-2.643820082999296522e-03,8.977269753201809754e-01,-9.755846485499436227e+00
3.239570967366431527e-03,9.326310253811521678e-01,-9.751334556507091023e+00
-7.512551025285212417e-03,9.584951900176826856e-01,-9.753235718604660320e+00
7.016653326745557993e-03,9.985880072508619421e-01,-9.743104429038602632e+00
7.079712846575092087e-04,1.018271910144721515e+00,-9.746034767718388281e+00
-7.056422779641600106e-03,1.051066540964599838e+00,-9.732605775860523778e+00
9.884436341723710009e-03,1.083953957169111026e+00,-9.733595056467072126e+00
-1.413913721507500162e-03,1.107992437485006088e+00,-9.735609580827912168e+00
-8.830646026754949973e-03,1.150974940234722466e+00,-9.731164879979317561e+00
5.135664636356487324e-03,1.182212045028220970e+00,-9.714285294058322862e+00
-1.181055347277479642e-03,1.213299936051324135e+00,-9.710078898636361089e+00
9.814297335744969625e-04,1.247934967943955309e+00,-9.713129916024698218e+00
-6.676693716830607063e-04,1.291701081670752371e+00,-9.703087638214402233e+00
7.852055106463324413e-03,1.327828883199081433e+00,-9.708036919830911771e+00
5.437442662470817582e-03,1.363696929449887074e+00,-9.696907771038727475e+00
5.755756264807308353e-04,1.397199806699245039e+00,-9.687042371237678751e+00
-6.722609343265623441e-03,1.429341356466753421e+00,-9.690016399931861812e+00
-1.900828858516396018e-04,1.464023627016018736e+00,-9.690128168425991007e+00
-7.324609595973651010e-04,1.507489798365052147e+00,-9.678296856301672690e+00
5.194654183255147106e-03,1.542015674978026496e+00,-9.675486803616006881e+00
8.473615776571224306e-03,1.570779440650043046e+00,-9.664807021520966046e+00
4.884284162118559050e-03,1.614013156400375459e+00,-9.646259618821442672e+00
2.620680736849863041e-03,1.662945935768548100e+00,-9.648982914180212589e+00
-7.160141575402241988e-04,1.701945379620374066e+00,-9.655127040886883449e+00
-1.250892632242189134e-03,1.741800056878090697e+00,-9.638414949445914814e+00
2.261039355803243266e-04,1.772935095991091003e+00,-9.627711755924698522e+00
-8.436708002665041159e-03,1.828111551943126578e+00,-9.620193287997190978e+00
5.677248278248616178e-03,1.865538870220950995e+00,-9.616146012158905521e+00
1.317319213766020899e-03,1.908852254622894318e+00,-9.606025022995225982e+00
-4.036874812906213021e-03,1.951719217164489484e+00,-9.606977630716993843e+00
-6.575238337451689598e-03,1.984554574606809396e+00,-9.591421390185674412e+00
8.267553114131694298e-04,2.029906812657859660e+00,-9.582417394371738339e+00
-5.617888321112059387e-03,2.080827397674239965e+00,-9.565719946568567167e+00
6.105136111163430614e-03,2.123489410879709549e+00,-9.569076408570305503e+00
-7.852154643905746509e-03,2.164377356838860234e+00,-9.548090577869986717e+00
-1.485735057688164322e-03,2.221362696098781786e+00,-9.540092607411013503e+00
-3.010133454903679735e-03,2.268583777618524255e+00,-9.519415922845544387e+00
