accel_only_with_bias_x (m/s^2),accel_only_with_bias_y (m/s^2),accel_only_with_bias_z (m/s^2)
5.000000000000000104e-04,5.000000000000000104e-04,-9.794341972265039331e+00
5.000000000000000104e-04,9.897420984091927394e-04,-9.794341960021487381e+00
5.000000000000000104e-04,1.969226290330157621e-03,-9.794341862073068228e+00
5.000000000000000104e-04,3.438452547602723411e-03,-9.794341531497154918e+00
5.000000000000000104e-04,5.397420782073314091e-03,-9.794340747909819456e+00
5.000000000000000104e-04,7.846130790498973342e-03,-9.794339217465863001e+00
5.000000000000000104e-04,1.078458218108607584e-02,-9.794336572858897583e+00
5.000000000000000104e-04,1.421277428166376963e-02,-9.794332373321473995e+00
5.000000000000000104e-04,1.813070602949221760e-02,-9.794326104625328711e+00
5.000000000000000104e-04,2.253837584270574138e-02,-9.794317179081756919e+00
5.000000000000000104e-04,2.743578147339100978e-02,-9.794304935542172075e+00
5.000000000000000104e-04,3.282291984230058246e-02,-9.794288639398899932e+00
5.000000000000000104e-04,3.869978685520213818e-02,-9.794267482586256790e+00
5.000000000000000104e-04,4.506637720086385107e-02,-9.794240583581990123e+00
5.000000000000000104e-04,5.192268413067662597e-02,-9.794206987409152632e+00
5.000000000000000104e-04,5.926869921991393536e-02,-9.794165665638459473e+00
5.000000000000000104e-04,6.710441211063052080e-02,-9.794115516391252996e+00
5.000000000000000104e-04,7.542981023620098924e-02,-9.794055364343133618e+00
5.000000000000000104e-04,8.424487852750028871e-02,-9.793983960728370519e+00
5.000000000000000104e-04,9.354959910072775664e-02,-9.793899983345180971e+00
5.000000000000000104e-04,1.033439509268773565e-01,-9.793802036562004432e+00
5.000000000000000104e-04,1.136279094828566844e-01,-9.793688651324872652e+00
5.000000000000000104e-04,1.244014463842583323e-01,-9.793558285166000132e+00
5.000000000000000104e-04,1.356645289997872594e-01,-9.793409322213737056e+00
5.000000000000000104e-04,1.474171200473488597e-01,-9.793240073204000140e+00
5.000000000000000104e-04,1.596591771718025854e-01,-9.793048775493328861e+00
5.000000000000000104e-04,1.723906525043873428e-01,-9.792833593073735798e+00
5.000000000000000104e-04,1.856114922038250570e-01,-9.792592616589459453e+00
5.000000000000000104e-04,1.993216359791103454e-01,-9.792323863355834490e+00
5.000000000000000104e-04,2.135210165939940286e-01,-9.792025277380403736e+00
5.000000000000000104e-04,2.282095593531710542e-01,-9.791694729386465568e+00
5.000000000000000104e-04,2.433871815701825481e-01,-9.791330016839230765e+00
5.000000000000000104e-04,2.590537920170441488e-01,-9.790928863974782459e+00
5.000000000000000104e-04,2.752092903556136450e-01,-9.790488921832013247e+00
5.000000000000000104e-04,2.918535665507121513e-01,-9.790007768287765089e+00
5.000000000000000104e-04,3.089865002650150627e-01,-9.789482908095351377e+00
5.000000000000000104e-04,3.266079602357293554e-01,-9.788911772926695676e+00
5.000000000000000104e-04,3.447178036330770801e-01,-9.788291721418273639e+00
5.000000000000000104e-04,3.633158754006047264e-01,-9.787620039221126333e+00
5.000000000000000104e-04,3.824020075773426064e-01,-9.786893939055140379e+00
5.000000000000000104e-04,4.019760186018364045e-01,-9.786110560767834698e+00
5.000000000000000104e-04,4.220377125980792066e-01,-9.785266971397922120e+00
5.000000000000000104e-04,4.425868786433722613e-01,-9.784360165243867868e+00
5.000000000000000104e-04,4.636232900181440075e-01,-9.783387063937709627e+00
5.000000000000000104e-04,4.851467034377631715e-01,-9.782344516524414502e+00
5.000000000000000104e-04,5.071568582663783520e-01,-9.781229299547014477e+00
5.000000000000000104e-04,5.296534757128256166e-01,-9.780038117137825893e+00
5.000000000000000104e-04,5.526362580086429110e-01,-9.778767601116001629e+00
5.000000000000000104e-04,5.761048875682354131e-01,-9.777414311091728649e+00
5.000000000000000104e-04,6.000590261312409579e-01,-9.775974734577358660e+00
5.000000000000000104e-04,6.244983138871418316e-01,-9.774445287105749003e+00
5.000000000000000104e-04,6.494223685821792769e-01,-9.772822312356151286e+00
5.000000000000000104e-04,6.748307846086259998e-01,-9.771102082287939083e+00
5.000000000000000104e-04,7.007231320764760740e-01,-9.769280797282501538e+00
5.000000000000000104e-04,7.270989558676188569e-01,-9.767354586293603091e+00
5.000000000000000104e-04,7.539577746725601992e-01,-9.765319507006585908e+00
5.000000000000000104e-04,7.812990800097672217e-01,-9.763171546006695678e+00
5.000000000000000104e-04,8.091223352277088221e-01,-9.760906618956910918e+00
5.000000000000000104e-04,8.374269744896729595e-01,-9.758520570785597315e+00
5.000000000000000104e-04,8.662124017414459809e-01,-9.756009175884370777e+00
5.000000000000000104e-04,8.954779896619414759e-01,-9.753368138316488967e+00
5.000000000000000104e-04,9.252230785968738047e-01,-9.750593092036153209e+00
5.000000000000000104e-04,9.554469754755723354e-01,-9.747679601119120463e+00
5.000000000000000104e-04,9.861489527110444131e-01,-9.744623160004932672e+00
5.000000000000000104e-04,1.017328247083389980e+00,-9.741419193751209349e+00
5.000000000000000104e-04,1.048984058606687864e+00,-9.738063058300364006e+00
5.000000000000000104e-04,1.081115549379469298e+00,-9.734550040759122780e+00
5.000000000000000104e-04,1.113721842418906371e+00,-9.730875359691268045e+00
5.000000000000000104e-04,1.146802020478846496e+00,-9.727034165423990686e+00
5.000000000000000104e-04,1.180355124851830251e+00,-9.723021540368272042e+00
5.000000000000000104e-04,1.214380154155235036e+00,-9.718832499353695198e+00
5.000000000000000104e-04,1.248876063101697520e+00,-9.714461989978117273e+00
5.000000000000000104e-04,1.283841761253970981e+00,-9.709904892972613055e+00
5.000000000000000104e-04,1.319276111764378312e+00,-9.705156022582116293e+00
5.000000000000000104e-04,1.355177930099036088e+00,-9.700210126962225843e+00
5.000000000000000104e-04,1.391545982747022903e+00,-9.695061888592546140e+00
5.000000000000000104e-04,1.428378985914683375e+00,-9.689705924707077145e+00
5.000000000000000104e-04,1.465675604205252780e+00,-9.684136787742049890e+00
5.000000000000000104e-04,1.503434449284011709e+00,-9.678348965801680137e+00
5.000000000000000104e-04,1.541654078529169247e+00,-9.672336883142287789e+00
5.000000000000000104e-04,1.580332993668705166e+00,-9.666094900675245682e+00
5.000000000000000104e-04,1.619469639403380512e+00,-9.659617316489224947e+00
5.000000000000000104e-04,1.659062402016164617e+00,-9.652898366392182794e+00
5.000000000000000104e-04,1.699109607968311231e+00,-9.645932224473597216e+00
5.000000000000000104e-04,1.739609522482341131e+00,-9.638713003687392700e+00
5.000000000000000104e-04,1.780560348112188773e+00,-9.631234756456056090e+00
5.000000000000000104e-04,1.821960223300783666e+00,-9.623491475296408026e+00
5.000000000000000104e-04,1.863807220925350672e+00,-9.615477093467534431e+00
5.000000000000000104e-04,1.906099346830708585e+00,-9.607185485641339895e+00
5.000000000000000104e-04,1.948834538350879830e+00,-9.598610468596241674e+00
5.000000000000000104e-04,1.992010662819308608e+00,-9.589745801934478564e+00
5.000000000000000104e-04,2.035625516068017671e+00,-9.580585188823537379e+00
5.000000000000000104e-04,2.079676820916026347e+00,-9.571122276762201508e+00
5.000000000000000104e-04,2.124162225647380442e+00,-9.561350658371699396e+00
5.000000000000000104e-04,2.169079302479135940e+00,-9.551263872212503614e+00
5.000000000000000104e-04,2.214425546019672453e+00,-9.540855403627222842e+00
5.000000000000000104e-04,2.260198371717700994e+00,-9.530118685610144524e+00
5.000000000000000104e-04,2.306395114302362881e+00,-9.519047099703923820e+00
5.000000000000000104e-04,2.353013026214810566e+00,-9.507633976923891339e+00
5.000000000000000104e-04,2.400049276031687828e+00,-9.495872598710557000e+00
5.000000000000000104e-04,2.447500946880929895e+00,-9.483756197910762964e+00
5.000000000000000104e-04,2.495365034850320907e+00,-9.471277959788023892e+00
5.000000000000000104e-04,2.543638447389257262e+00,-9.458431023062566112e+00
5.000000000000000104e-04,2.592318001704174701e+00,-9.445208480981564847e+00
5.000000000000000104e-04,2.641400423148124954e+00,-9.431603382420112425e+00
5.000000000000000104e-04,2.690882343604976246e+00,-9.417608733013411282e+00
5.000000000000000104e-04,2.740760299868749250e+00,-9.403217496320703361e+00
5.000000000000000104e-04,2.791030732018600524e+00,-9.388422595021467032e+00
5.000000000000000104e-04,2.841689981789984998e+00,-9.373216912144355817e+00
5.000000000000000104e-04,2.892734290942538422e+00,-9.357593292329426049e+00
5.000000000000000104e-04,2.944159799625237106e+00,-9.341544543124122413e+00
5.000000000000000104e-04,2.995962544739416256e+00,-9.325063436313547172e+00
5.000000000000000104e-04,3.048138458300219344e+00,-9.308142709285514016e+00
5.000000000000000104e-04,3.100683365797093138e+00,-9.290775066430866147e+00
5.000000000000000104e-04,3.153592984553942991e+00,-9.272953180579584398e+00
5.000000000000000104e-04,3.206862922089575907e+00,-9.254669694473141917e+00
5.000000000000000104e-04,3.260430006200333075e+00,-9.235937929002695057e+00
5.000000000000000104e-04,3.314223053438723809e+00,-9.216775562049429382e+00
5.000000000000000104e-04,3.368177864971531932e+00,-9.197199443851472367e+00
5.000000000000000104e-04,3.422236566171984240e+00,-9.177225651454527622e+00
5.000000000000000104e-04,3.476347008212390399e+00,-9.156869536998376802e+00
5.000000000000000104e-04,3.530462225909926310e+00,-9.136145771030740548e+00
5.000000000000000104e-04,3.584539946599770488e+00,-9.115068381775325079e+00
5.000000000000000104e-04,3.638542145285819984e+00,-9.093650791072745321e+00
