gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707027690340919886e+06,4.688715908523099497e+06,3.360438282439702190e+06,1.520191812718004777e-02,-5.805761676854606645e-03,2.522791529172530370e-03
-2.707030256973504089e+06,4.688710218269156292e+06,3.360430902404902969e+06,-8.510773880332426870e-04,3.604904887862974555e-02,3.808612498854958145e-02
-2.707021404789248481e+06,4.688719865795944817e+06,3.360426960063870065e+06,5.995090405805713479e-02,-1.041180790233716263e-01,6.409677197106219970e-02
-2.707032043766326737e+06,4.688712957397835329e+06,3.360431125610590447e+06,-4.274172313504507464e-02,-1.038911368139454339e-02,6.087723391340313199e-03
-2.707017525677013677e+06,4.688710540169322863e+06,3.360433327481863089e+06,7.049694922622033039e-03,1.058270001498025636e-01,-4.719258972063423291e-02
-2.707026918209941126e+06,4.688702091874532402e+06,3.360432101436287630e+06,-1.637561864110551393e-02,-3.110719646508172676e-02,7.370710991156508365e-03
-2.707025812492786907e+06,4.688715728958168998e+06,3.360433114662883803e+06,3.289268313307543157e-02,-3.680273964554158644e-02,1.253004940141584922e-01
-2.707029546135080978e+06,4.688716316827389412e+06,3.360431009750160389e+06,6.341943189813484261e-02,6.541544463442257318e-02,5.605597503849329977e-02
-2.707017420669740997e+06,4.688708158947857097e+06,3.360430987674859352e+06,4.440421004429107033e-02,-1.321033756974485662e-01,3.337251973843670394e-02
-2.707026030439347029e+06,4.688705398476523347e+06,3.360439504097207915e+06,-1.578866328905344230e-02,1.899218091142656009e-02,-5.450706581623688055e-03
-2.707032168406513054e+06,4.688712761058564298e+06,3.360437329430327285e+06,1.722330019046968211e-02,5.569335648944745074e-03,4.855359919723150133e-03
-2.707026638861609623e+06,4.688712006982724182e+06,3.360423083656728268e+06,-7.520659384580472007e-02,-1.466558177564484915e-02,-2.068787354678149060e-02
-2.707019807406807318e+06,4.688711447888911702e+06,3.360441139122850262e+06,-7.538796359722936546e-02,-4.830165742432823706e-02,-9.474728092439969884e-02
-2.707031840989089105e+06,4.688705664767197333e+06,3.360423918497949373e+06,-1.598463870494547939e-02,1.140346766621740809e-02,3.493794319715733815e-02
-2.707033243516666349e+06,4.688710732322707772e+06,3.360433535890579224e+06,3.305235902139735255e-02,-3.160119652730061096e-02,3.794426684077314982e-02
-2.707030593520937022e+06,4.688714240566528402e+06,3.360430826704798266e+06,2.826896634723405008e-02,5.800619349043251161e-02,-3.835770603313284899e-02
-2.707031911744864658e+06,4.688715874050465412e+06,3.360427945577743929e+06,-7.347432451360435234e-03,3.055837408177971073e-02,-2.196228001382105610e-02
-2.707028884906146210e+06,4.688715228127323091e+06,3.360423217128380202e+06,2.146032613019412116e-02,8.494494645698655311e-02,6.374730997522425058e-02
-2.707030599941556342e+06,4.688708750284987502e+06,3.360430609711909667e+06,-5.220034385702672364e-02,-1.532760312364151237e-02,1.533480781616404325e-02
-2.707021334302587435e+06,4.688714104626002721e+06,3.360419641714945901e+06,-1.651128846345287227e-03,1.388195487978193844e-02,3.706838359242372455e-02
-2.707031095880244393e+06,4.688712797799338587e+06,3.360431763597503770e+06,3.447384213702134326e-02,-4.857690952619381219e-02,-5.642620124443908924e-02
-2.707029146461313590e+06,4.688713979912493378e+06,3.360430319465097040e+06,3.569810343028814031e-02,2.892798878758616465e-03,-2.448319442660200004e-02
-2.707026305494944099e+06,4.688713890046316199e+06,3.360421849722649902e+06,7.695308281114340843e-02,-2.211777698015444590e-02,-2.340647438951034068e-02
-2.707020332598264329e+06,4.688708694950830191e+06,3.360439418478265870e+06,1.551673397552389734e-02,-3.913270754939329743e-02,2.596836948879497481e-03
-2.707026075685618911e+06,4.688709860579541884e+06,3.360422640349950176e+06,-2.092851430273684823e-02,-2.030659883170997035e-02,-2.364655914829645253e-02
-2.707027733157059643e+06,4.688715504929875024e+06,3.360434120155427605e+06,-9.898887039395985049e-03,-6.285176114984498963e-02,3.291840162402102227e-02
-2.707033422098901123e+06,4.688709304576571099e+06,3.360437620394749101e+06,7.735040399444395587e-02,-3.635587410882491072e-02,-6.356673475143796714e-02
-2.707020182036011945e+06,4.688713451408967376e+06,3.360433771583457943e+06,-3.600981994671580144e-02,1.105915735316492440e-02,-5.987051992984206150e-02
-2.707029672482985537e+06,4.688708764991047792e+06,3.360426528829619288e+06,3.654859152197127009e-02,-7.576389758743144742e-02,8.702835813171744261e-02
-2.707024269721528515e+06,4.688711390942313708e+06,3.360419841434299946e+06,3.829313516900799408e-02,5.480583210853784415e-02,-7.657883502260320885e-02
-2.707029780719113071e+06,4.688708964484201744e+06,3.360433494295967277e+06,7.332368145515219537e-02,1.075887289578484479e-02,-4.211386293780156748e-02
-2.707033283483930863e+06,4.688700414140797220e+06,3.360445185012110975e+06,-5.375177318280689731e-02,-4.258862387056581988e-02,1.092483429691500367e-04
-2.707036017835206818e+06,4.688711336704743095e+06,3.360426460984776728e+06,8.369626135876422068e-02,-9.298329973091659650e-02,5.793479269444058721e-02
-2.707033099170099478e+06,4.688711912579191849e+06,3.360439372189182322e+06,-3.832668547340567500e-02,1.960690186840197483e-02,2.279634036162032917e-02
-2.707040741197740659e+06,4.688713547318918630e+06,3.360420495291818399e+06,-5.233504638636904405e-02,-3.188435062448785173e-03,8.153727123601167692e-02
-2.707037443465070333e+06,4.688708813919334672e+06,3.360425332102904096e+06,1.192400166147124935e-01,-4.846598013342923172e-02,2.390067487597266605e-04
-2.707030917351071723e+06,4.688714273634989746e+06,3.360430292393354233e+06,-2.103755527947897760e-02,2.742720234339829019e-02,-2.741338987086877621e-02
-2.707026445278287865e+06,4.688712854750877246e+06,3.360443169987597503e+06,-2.263903292482560836e-02,5.983062812396559675e-03,1.143717318694215113e-01
-2.707021416109902784e+06,4.688717753121928312e+06,3.360432329999895301e+06,3.620464006080845870e-02,-1.154212002779926236e-02,3.084061822261872227e-02
-2.707044091630817391e+06,4.688705764694713987e+06,3.360437541038117371e+06,-2.944383605683813503e-03,5.194667079004906818e-02,-2.651262182796218156e-02
-2.707025540813691448e+06,4.688717219483230263e+06,3.360440052692391444e+06,-4.399052612645114844e-03,-7.571422201701279164e-02,5.243397050472806825e-02
-2.707034566941182595e+06,4.688707152885298245e+06,3.360435321674227249e+06,2.869746807181605686e-02,-3.027264246133197848e-02,-3.119081669505181786e-02
-2.707029010438376106e+06,4.688712172543589957e+06,3.360433798343246803e+06,-1.269674554505010981e-02,-1.645154487642395275e-02,-5.814417267668680472e-02
-2.707035111276742537e+06,4.688711036140918732e+06,3.360424626254137140e+06,8.669775690658403089e-02,-1.562580755016646644e-02,5.716234158827031980e-02
-2.707026229944901075e+06,4.688711756136679091e+06,3.360425425287535414e+06,6.936605363214647102e-02,-1.685021012799597581e-02,-1.886000463344895267e-02
-2.707025275491717737e+06,4.688708835844999179e+06,3.360437520435773302e+06,2.308439588419004471e-02,1.152754366021464805e-01,-3.352764335634570575e-02
-2.707029343564528506e+06,4.688700328406652436e+06,3.360426947611597367e+06,2.295585517934772162e-04,8.092705174034075730e-03,-2.822082538285730288e-02
-2.707027593654035125e+06,4.688707263603655621e+06,3.360426766902300529e+06,-4.383565503760691179e-02,9.016806976852291544e-02,1.763952813693457980e-02
-2.707029367077069357e+06,4.688712138185624965e+06,3.360432331507143099e+06,1.611076554648993575e-02,5.021585834489637051e-02,-3.471362035291141596e-02
-2.707033273731254507e+06,4.688721970545645803e+06,3.360423087255043909e+06,4.470770767391227252e-02,-4.917663117549236906e-03,3.862807812965098238e-03
-2.707035980536329560e+06,4.688709593284002505e+06,3.360438517706995830e+06,-3.865169929833438961e-02,3.852169851849217980e-02,2.860508980908502835e-02
-2.707032517055409495e+06,4.688703193513601087e+06,3.360437865186127368e+06,1.044376424246469259e-01,-8.708235175603484812e-02,5.484791435419144462e-02
-2.707030511544595007e+06,4.688712608258087188e+06,3.360430471213883255e+06,-2.274263813644787635e-02,-3.005143544640535153e-02,3.061308954577676364e-02
-2.707033070211971644e+06,4.688715708807981573e+06,3.360429240308663342e+06,4.223733939217113459e-02,2.331042460179316711e-02,1.004441453878044017e-02
-2.707024663306590635e+06,4.688703905955607072e+06,3.360429866144360043e+06,2.885835031244223317e-02,7.011081263257500085e-02,4.311752376339197251e-02
-2.707027232615880668e+06,4.688717577532428317e+06,3.360431109687900636e+06,9.344221309912140172e-02,-7.866979041183300159e-02,-4.855624072646094053e-02
-2.707020625098031014e+06,4.688709120309296064e+06,3.360424354537729174e+06,-5.243547826465401462e-02,8.816851473168237086e-02,-1.030044989831385704e-02
-2.707016107936407905e+06,4.688702824680763297e+06,3.360442051473015454e+06,8.978215567978134470e-03,7.641811632194006609e-02,2.587785745142516525e-02
-2.707025559768546838e+06,4.688709916367813013e+06,3.360426845084388275e+06,-1.142183454809109558e-02,-5.626008861919300913e-02,-6.252158863305737335e-02
-2.707027689955509733e+06,4.688708268299992196e+06,3.360426084314506501e+06,-6.863570521148136538e-02,-7.507052764722119131e-02,-4.493550176030390586e-02
-2.707029541149003897e+06,4.688712486365152523e+06,3.360435585123120341e+06,1.339377144379863271e-01,-1.098331216758528794e-02,1.353924876435399875e-02
-2.707033440328121185e+06,4.688713997061776929e+06,3.360425066872043069e+06,-4.918259746144216377e-02,-2.334945962807146932e-02,8.919823859456833814e-02
-2.707026675531115383e+06,4.688713947215803899e+06,3.360423176475467160e+06,-1.052999040773928280e-02,5.405109365036980112e-02,6.859787250400366243e-02
-2.707028714951333590e+06,4.688721429776268080e+06,3.360423163953940384e+06,2.913872947272537484e-02,-6.305903641024723782e-02,5.136998039488999135e-02
-2.707029072451038286e+06,4.688708907397093251e+06,3.360436189682885073e+06,-1.658024645273595624e-02,3.228092086891885815e-02,-8.016452539984111891e-02
-2.707031758405751549e+06,4.688712735722715035e+06,3.360427495017507579e+06,-1.506760029991285931e-03,2.619607104495186300e-02,2.123563496675386769e-02
-2.707022551562876906e+06,4.688717624763892964e+06,3.360428361891581211e+06,-6.538576974072271564e-03,-2.069742454300866480e-02,-3.770466342270109572e-02
-2.707032549224245362e+06,4.688710873262588866e+06,3.360424493587769568e+06,-5.938930923268999351e-02,-7.691780469555924149e-03,3.034778636952481512e-02
-2.707029989442995749e+06,4.688708990814330056e+06,3.360438092880254611e+06,-1.168565513469772832e-01,-1.078261827144029114e-02,1.235715941645515042e-01
-2.707016939301932231e+06,4.688717648555990309e+06,3.360430365229961928e+06,6.424626325072690242e-03,-1.929530790575810506e-02,3.350782364898060445e-02
-2.707029565342267044e+06,4.688717135332209989e+06,3.360434493785221595e+06,1.086326973802932520e-02,5.931500749870899022e-03,-6.457949211004336554e-02
-2.707028439713028260e+06,4.688715542274475098e+06,3.360433011368899141e+06,1.490063598976758275e-01,2.972491123559986223e-02,3.671366080956724870e-02
-2.707029048936340492e+06,4.688704735331299715e+06,3.360425276410838123e+06,-4.986095928036629599e-02,4.679603874719683032e-02,-5.275845185627290809e-03
-2.707032096405095886e+06,4.688713593995185569e+06,3.360433013866644353e+06,-4.195216705987078049e-02,-2.276837631655072650e-02,5.783083730658215849e-03
-2.707030171067312825e+06,4.688705944986714050e+06,3.360420978371523786e+06,-6.163400327985181504e-02,1.635160858466299869e-02,-4.712231257716981148e-02
-2.707025819686009083e+06,4.688707003043318167e+06,3.360429850087151863e+06,-5.428408457571726187e-02,6.308612070610059366e-03,-1.843354986506540519e-02
