gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
2.143322739839287616e-01,5.078957856038625041e-01,5.090675080225206539e-01
-9.232936362104825212e-02,5.518545819404402364e-01,5.160211308681430520e-01
-4.011675323932122339e-01,4.573544025886873698e-01,4.740667714304374614e-01
-7.540635206360168930e-01,4.847455544925514115e-01,4.843708982244413486e-01
-1.101818610991694092e+00,4.619279834154739195e-01,4.947208729330402344e-01
-1.291657347875889927e+00,4.864106869789867060e-01,5.387047399020911120e-01
-1.716268805734273650e+00,5.216184658639501093e-01,5.374668061793648199e-01
-2.085938985202252294e+00,5.388929905781590923e-01,5.157851644267826829e-01
-2.339207413644707856e+00,4.717468295320914051e-01,4.165815747375600231e-01
-2.614371753672367849e+00,3.953048680719473684e-01,4.748210153941608280e-01
-2.966495664611675576e+00,4.086337631760084688e-01,4.522036030956716468e-01
-3.251585326207046656e+00,4.613166086709716285e-01,3.953884831677127454e-01
-3.552445482849160285e+00,4.103902637711453472e-01,4.598043997256531235e-01
-3.897152236724755969e+00,5.143809393536773467e-01,4.861016325130494420e-01
-4.158376175894367144e+00,4.816688273481563587e-01,4.262312716248175537e-01
-4.533487682548710040e+00,4.548869687775799475e-01,4.267606009946791623e-01
-4.893708691573699809e+00,3.758509697442973807e-01,4.881805460243192063e-01
-5.182876468998967034e+00,3.811632651163505137e-01,4.106884508586313709e-01
-5.523151895865677119e+00,4.463678283390566381e-01,4.632748209391334138e-01
-5.747922750593302155e+00,3.786059621690672783e-01,4.823518570507897563e-01
-6.119549406267969616e+00,4.001516194749287769e-01,3.782304122402381785e-01
-6.379139995202161018e+00,4.394818748183100254e-01,4.951064725246412945e-01
-6.755856089259586916e+00,4.707033479250184449e-01,4.040643891951787303e-01
-7.113382426436784201e+00,3.975425751308259148e-01,4.850976709145124466e-01
-7.379934249638453458e+00,4.667922056652606400e-01,4.675762106452175937e-01
-7.727254523088492810e+00,4.151892939893814805e-01,4.224171467444362005e-01
-8.033128858401514805e+00,4.362152668633884622e-01,4.749687275074189197e-01
-8.322787512325783510e+00,3.641818669903636452e-01,4.049744878901262446e-01
-8.626494571353282126e+00,3.789713299373672073e-01,4.187611785382401308e-01
-8.926267942874742900e+00,4.845086560659784825e-01,4.680808410908505746e-01
-9.268744622000621547e+00,4.138333834413877588e-01,4.556254745356390079e-01
-9.532004100359923626e+00,3.728703667361588092e-01,3.714119989629238727e-01
-9.875787391487435229e+00,3.067796815290720902e-01,3.501306044086416880e-01
-1.019110267396333924e+01,4.512637050647544945e-01,4.354752431897964127e-01
-1.053855545902969659e+01,4.398910688111418721e-01,3.868250189590685673e-01
-1.087545234129951943e+01,4.188368958362758132e-01,3.451507428036333924e-01
-1.114947435763536809e+01,3.677334248873738165e-01,3.804335123491841553e-01
-1.148210568830182510e+01,4.323417151072952436e-01,4.277190307510242429e-01
-1.182697233929558323e+01,2.772627925335114374e-01,3.901003183775799688e-01
-1.202288968331160923e+01,4.045487250267388313e-01,3.569194791292742419e-01
-1.234649127628826548e+01,3.021165048270389453e-01,3.404985551149602996e-01
