mag_x (uT),mag_y (uT),mag_z (uT)
3.279585356615121583e+01,-5.490980666955107801e-03,3.741568558415265500e+01
3.281016731490576888e+01,9.743190221447626392e-03,3.741368562206000803e+01
3.281765987720265798e+01,-9.606965931306513107e-03,3.742465417839677855e+01
3.281312193089564033e+01,-8.327109863479479832e-03,3.741780293730965212e+01
3.281163695356320176e+01,-2.080788180995376407e-02,3.741920314992259478e+01
3.282091376383912973e+01,-3.050460234503109963e-02,3.743313617658242975e+01
3.281177484891696139e+01,-3.072492353410931007e-02,3.741731763933466937e+01
3.282062221384977363e+01,-4.136622932489724541e-02,3.743036608954462707e+01
3.279857704534833829e+01,-6.780479320069945914e-02,3.741391310976361240e+01
3.280019871353469085e+01,-8.622153513724059581e-02,3.742267418156884418e+01
3.280158582895199970e+01,-1.043283455594664899e-01,3.743134171729359139e+01
3.281924899835922105e+01,-1.134058175644842709e-01,3.739912796801078798e+01
3.282248342342639091e+01,-1.545743443293641217e-01,3.741180092230059273e+01
3.282842620919353038e+01,-1.787212097958223722e-01,3.742398239293866880e+01
3.283513634365458955e+01,-1.975706251128092894e-01,3.742520744013846468e+01
3.280824363790089393e+01,-2.315577985100231162e-01,3.743160300297940779e+01
3.281271497345372978e+01,-2.572769776361661931e-01,3.741398629474091564e+01
3.281112935985876788e+01,-2.903439952141948499e-01,3.742638962585664331e+01
3.281782713809726459e+01,-3.291485935314888422e-01,3.742195579730812227e+01
3.279295654811463123e+01,-3.424692110214481167e-01,3.743380120958052260e+01
3.279078000375780988e+01,-4.072370927436364529e-01,3.741453365220338867e+01
3.281365277186678497e+01,-4.398795276736573445e-01,3.740725515607106644e+01
3.282092201043833768e+01,-4.788391736014545041e-01,3.742247693758006477e+01
3.281068308552541168e+01,-5.237840901451533693e-01,3.740986397839273536e+01
3.282032383342655635e+01,-5.637377023253264952e-01,3.743044050872676110e+01
3.280712535050711409e+01,-5.931944437417385751e-01,3.740966879549352342e+01
3.279669076908579939e+01,-6.727420556774630356e-01,3.742341577938360331e+01
3.283111884995166463e+01,-7.177443820261550922e-01,3.740334774011004271e+01
3.282591195578950760e+01,-7.743640890338929772e-01,3.743316479913067951e+01
3.281479580619637204e+01,-7.938998420077867380e-01,3.742205377955575329e+01
3.279160020330196801e+01,-8.693559831770092394e-01,3.740107075920834490e+01
3.282033498910735148e+01,-9.376070049138800488e-01,3.741213614019788736e+01
3.282123757152131560e+01,-9.743213899020483071e-01,3.740627923874446026e+01
3.280659214935712242e+01,-1.067643975958611602e+00,3.741991535405588820e+01
3.281523884785865874e+01,-1.112329017985441260e+00,3.741024541938338643e+01
3.281668649300230101e+01,-1.174358010895409699e+00,3.740694561412639985e+01
3.280866530463258357e+01,-1.244114595081727614e+00,3.741115686762465486e+01
3.282306938978669564e+01,-1.310973862904224907e+00,3.740080764427445814e+01
3.281202782691472208e+01,-1.392759844621991538e+00,3.738400888252833454e+01
3.281195870040274087e+01,-1.465319048613803243e+00,3.738004732158754706e+01
3.278986552608301253e+01,-1.524832686541826465e+00,3.737328200347792517e+01
3.280462410322915190e+01,-1.619467638324050718e+00,3.736356907936495020e+01
3.281120765552406482e+01,-1.689880088004638958e+00,3.739091716076996619e+01
3.283251200164239236e+01,-1.803402928833453878e+00,3.737364456526020717e+01
3.280421643941659227e+01,-1.847964140649257070e+00,3.737818669407285910e+01
3.282048561084774718e+01,-1.940301118564953686e+00,3.735954905251691827e+01
3.281661220300137671e+01,-2.035519642036426102e+00,3.736280285516490096e+01
3.281832444370293445e+01,-2.114086968172644632e+00,3.735545041765782770e+01
3.281654243431936635e+01,-2.201563309919269962e+00,3.737653500454690203e+01
3.281300858542445553e+01,-2.297990511934650204e+00,3.735553380091373299e+01
3.281572785672123160e+01,-2.386269036663915433e+00,3.733566656260595096e+01
3.281786677837564525e+01,-2.485362100720880374e+00,3.732470623115374053e+01
3.279515194406581458e+01,-2.570865882224369514e+00,3.735492053106096932e+01
3.281489414038495056e+01,-2.678431206242995799e+00,3.730830644614908209e+01
3.280080008132579650e+01,-2.774603680423059604e+00,3.731580276932678686e+01
3.279440028494112624e+01,-2.876015714242214472e+00,3.732148209017086771e+01
3.283380946368900055e+01,-2.993467191958207874e+00,3.730239187559804037e+01
3.281088833573866737e+01,-3.078925560755484181e+00,3.730419875368848182e+01
3.282381805359938198e+01,-3.202054313983563549e+00,3.726863690667695295e+01
3.279202551269093391e+01,-3.309571621059340440e+00,3.725208334340680238e+01
3.282872780637713817e+01,-3.413493652898992092e+00,3.727058087069663372e+01
3.280173064137224515e+01,-3.538484555177180191e+00,3.726349605361516382e+01
3.279407303287682396e+01,-3.647100959544258281e+00,3.724713560843633786e+01
3.281142105703430190e+01,-3.758641127640689028e+00,3.723821222829791822e+01
3.281035887961815689e+01,-3.888369097380181216e+00,3.721341715050132848e+01
3.280686429319612074e+01,-4.008561980647207257e+00,3.721438294792801571e+01
3.281552570105303346e+01,-4.115374345697720315e+00,3.719510337137940326e+01
3.282498040203606848e+01,-4.247785525890084735e+00,3.716621775355136492e+01
3.282054126948170847e+01,-4.376267018603527070e+00,3.715818592707314849e+01
3.279969366045342127e+01,-4.497286794362376661e+00,3.714988255647762116e+01
3.281444488066547649e+01,-4.626999889034039803e+00,3.713166688477141264e+01
3.280013522558822103e+01,-4.779291677988761755e+00,3.711777291851193183e+01
3.281196731556558177e+01,-4.896296905636490671e+00,3.710259527898777066e+01
3.281149359141156907e+01,-5.044253622359123668e+00,3.707453602998732123e+01
3.278907240442532611e+01,-5.189554029380844646e+00,3.705521213586486340e+01
3.282180627641427861e+01,-5.294187258600249635e+00,3.704712424307108876e+01
3.279765640001647853e+01,-5.470251290417764700e+00,3.702022336174866979e+01
3.280887500322245387e+01,-5.591069133969541305e+00,3.699017176461740064e+01
3.282488028411072634e+01,-5.745957087319030876e+00,3.697429924557637548e+01
3.281950557415164127e+01,-5.865907383219941984e+00,3.695681188322481603e+01
3.281663338477758174e+01,-6.034056677289290072e+00,3.692538536255801063e+01
3.280685786426402473e+01,-6.200053963234518406e+00,3.693302933737263061e+01
3.281544033710904529e+01,-6.336609647024626035e+00,3.687887292568314734e+01
3.281030836644056592e+01,-6.488555833290402752e+00,3.684997796753799548e+01
3.281792205083724667e+01,-6.627092345356986769e+00,3.685640248355353776e+01
3.279983203431554983e+01,-6.801001500937651656e+00,3.679407935450113598e+01
3.280588935760786029e+01,-6.959800153385390153e+00,3.675829750950288854e+01
3.280658373992908139e+01,-7.121745555454481291e+00,3.673589690304959277e+01
3.281975424964325327e+01,-7.283448128020539869e+00,3.671202937997762916e+01
3.281843236032736399e+01,-7.440426994219856205e+00,3.668548597362448760e+01
3.282219769951198884e+01,-7.618554962867128744e+00,3.664909083708062809e+01
3.281737662073503969e+01,-7.797662632090637480e+00,3.661031055743065110e+01
3.281791194348016205e+01,-7.944276697988230218e+00,3.655761777306639715e+01
3.280516446286716814e+01,-8.120142323383058525e+00,3.654342926472640585e+01
3.281383707600614486e+01,-8.279019027094536298e+00,3.651083519615955453e+01
3.282615349569124419e+01,-8.457482034331269105e+00,3.645300624902967712e+01
3.281529624047773552e+01,-8.619688503766022691e+00,3.639971380380838184e+01
3.281339581749821122e+01,-8.810527485344284315e+00,3.637588140703775252e+01
3.280782122870838435e+01,-8.986385577705314986e+00,3.632739448973094198e+01
3.279222982708640188e+01,-9.177834461328801652e+00,3.628489833705629763e+01
3.280703133917995729e+01,-9.341874357487998992e+00,3.624351559031140368e+01
3.280639667860656772e+01,-9.534831273689087894e+00,3.618523639282961568e+01
3.280722545998229123e+01,-9.725380044575929972e+00,3.613053285895649225e+01
3.282248799131737371e+01,-9.900369424703994170e+00,3.610425185668994885e+01
3.281534236732117193e+01,-1.007831194648311168e+01,3.603414876464320571e+01
3.281197281263912657e+01,-1.026602380517653224e+01,3.597831408991438451e+01
3.281355202204286314e+01,-1.048201933009994846e+01,3.593381534622542972e+01
3.281531578994711396e+01,-1.067028104823642387e+01,3.586339113634192444e+01
3.279553305891057136e+01,-1.084259599933854723e+01,3.581524304434528716e+01
3.281095295747818597e+01,-1.106022220177753113e+01,3.574539466530654863e+01
3.281076675087274452e+01,-1.126362932375173642e+01,3.570636117238102969e+01
3.280206644678317929e+01,-1.146096785047476452e+01,3.560934138216749290e+01
3.280816313515474292e+01,-1.165310874956881371e+01,3.557575114841690578e+01
3.281221350792466041e+01,-1.186777002242705770e+01,3.549574333754157607e+01
3.282656684148670223e+01,-1.205910061042672510e+01,3.543726584381221301e+01
3.281296677913153559e+01,-1.224982428801179424e+01,3.536871078304862692e+01
3.280531990232778128e+01,-1.244631068048090761e+01,3.530506498559503115e+01
3.281457446271328138e+01,-1.264732386558587862e+01,3.521674545209179286e+01
3.279710592413646708e+01,-1.287009365322734489e+01,3.513316552444587870e+01
3.280762326463892720e+01,-1.308211737494881888e+01,3.507283792055925176e+01
3.280515373109431465e+01,-1.329006700286714171e+01,3.499638301704931109e+01
3.282169759259010533e+01,-1.350146157357761290e+01,3.491758690579241886e+01
3.281538873385242283e+01,-1.369611183410661681e+01,3.482738052739505008e+01
3.281035119216628004e+01,-1.389920493905247945e+01,3.472283111205498329e+01
3.283016438578734153e+01,-1.409588207413850824e+01,3.465335886066776538e+01
3.280438001293783401e+01,-1.430503204472647205e+01,3.457977578871842184e+01
3.281398974757062348e+01,-1.452359654528570054e+01,3.448717230254439414e+01
3.280317223318694886e+01,-1.470918867368100535e+01,3.440753487885617545e+01
3.280117361370277962e+01,-1.492608601471071061e+01,3.432424415341733948e+01
3.281091928511308708e+01,-1.511075380681897151e+01,3.422502579853821203e+01
3.282948536685921681e+01,-1.532760629099702498e+01,3.413709769263359561e+01
3.280722147333366934e+01,-1.552193236629269535e+01,3.404724517658956984e+01
3.283238882206592990e+01,-1.573441980388501449e+01,3.397660194477307272e+01
3.280974772355699542e+01,-1.591816308742764008e+01,3.385513370062491134e+01
3.282012988202026804e+01,-1.611807446087398787e+01,3.377108315637852343e+01
3.282364388706039904e+01,-1.631713163554258372e+01,3.367886247241268904e+01
3.281237084391068493e+01,-1.651790414000239338e+01,3.358562523692599910e+01
3.279812893319539313e+01,-1.669740106538194624e+01,3.346718185443733518e+01
3.281061046983509755e+01,-1.688856638481329853e+01,3.338548057260893387e+01
3.281376625112500278e+01,-1.709043351489843943e+01,3.329540245126997178e+01
3.280541280339164700e+01,-1.727442595953379723e+01,3.321700368772841472e+01
3.280387472068362342e+01,-1.746507653744281541e+01,3.307644695005213009e+01
3.279307574952650839e+01,-1.765354448256075770e+01,3.299823862106376993e+01
3.280114912361375445e+01,-1.784418641624316848e+01,3.290998602423640307e+01
3.282378532440444019e+01,-1.803608305123794509e+01,3.280903490155392888e+01
3.280353676550608100e+01,-1.821122311302885777e+01,3.268176278932576651e+01
3.281620282523225285e+01,-1.837217845417082884e+01,3.258744782743536916e+01
3.279868294290170638e+01,-1.856801355306998147e+01,3.248710248928803423e+01
3.281071104139839179e+01,-1.873496543375531331e+01,3.240127126604870966e+01
3.280864631721815527e+01,-1.891687164158817680e+01,3.227060999209695069e+01
3.280225281750639255e+01,-1.909467706564133493e+01,3.219109765059956629e+01
3.282653058678030078e+01,-1.927551099897060638e+01,3.208127356800825680e+01
3.280366759844075375e+01,-1.943367003844767638e+01,3.197480178270406270e+01
3.281243611943410343e+01,-1.960719691300616674e+01,3.187294359029950286e+01
3.282013140210039381e+01,-1.979252268243891422e+01,3.177434079403655787e+01
3.282949613741059380e+01,-1.996427483179490636e+01,3.166937864944297587e+01
3.280242583023139957e+01,-2.010833290142987195e+01,3.155889543184184731e+01
3.279569995519577219e+01,-2.029938927892106904e+01,3.145575653363451707e+01
3.280674281670158621e+01,-2.044443590517127873e+01,3.134096910555622273e+01
3.281971398304570897e+01,-2.061759235875726404e+01,3.123213904835311894e+01
3.281139088871535847e+01,-2.077065595480196691e+01,3.112445239974616484e+01
3.282371184121044649e+01,-2.092317013697811845e+01,3.100581003407645753e+01
3.282281930616426280e+01,-2.108516057776043340e+01,3.091521076370663579e+01
3.280352447849990938e+01,-2.124139035699004907e+01,3.081644164678077047e+01
3.280815107595234537e+01,-2.141872227386024008e+01,3.068529639058889913e+01
3.281620688137348907e+01,-2.156138030624423862e+01,3.058003196399114998e+01
3.280005801448685787e+01,-2.173910203393040419e+01,3.047028367469401644e+01
3.281895926313475798e+01,-2.187697383779083893e+01,3.038065859439669580e+01
3.283150314406121595e+01,-2.202018736749147720e+01,3.027278674194973007e+01
3.282472029994181639e+01,-2.215189604251157007e+01,3.013946718571869710e+01
3.281835389068454845e+01,-2.229835930840590663e+01,3.005152014533102900e+01
3.281541175823348055e+01,-2.245210581683055651e+01,2.994384215343852773e+01
3.280924396447463209e+01,-2.259195442497121675e+01,2.982003984344200376e+01
3.279394976972177744e+01,-2.274663308485421709e+01,2.971499590692796389e+01
3.282138187612810043e+01,-2.288390051770702271e+01,2.960522011898024175e+01
3.280674366300429767e+01,-2.304010680914294085e+01,2.951057857108603244e+01
3.281156863250772204e+01,-2.316246392393896869e+01,2.939716868704312347e+01
3.282120802955155625e+01,-2.331040757620448645e+01,2.926822311617148742e+01
3.280951358010639751e+01,-2.344836437159209552e+01,2.916147932379633900e+01
3.281075508209568170e+01,-2.357847148704304274e+01,2.905685175119505459e+01
3.281615542972578226e+01,-2.371298406846504037e+01,2.894680506403330256e+01
3.282622483919826095e+01,-2.384708283850007504e+01,2.883741919033867163e+01
3.281442305236444668e+01,-2.398790507146666684e+01,2.871494071258072012e+01
3.281115584280843223e+01,-2.411422224330772934e+01,2.862523135302222244e+01
3.280341458859641079e+01,-2.425991144910526032e+01,2.850998654533068333e+01
3.279442060042571683e+01,-2.437553590255225089e+01,2.837921525261568334e+01
3.280689280368974181e+01,-2.451840246775219256e+01,2.829281242997613433e+01
3.279944984141712894e+01,-2.464636178188351323e+01,2.816965737533726255e+01
3.281840447166570840e+01,-2.473655630888411849e+01,2.807535125135767018e+01
3.279421173145216528e+01,-2.488677365337992953e+01,2.795553104083375473e+01
3.281261844081118539e+01,-2.497988525755329192e+01,2.782170846056284219e+01
3.282069717209000004e+01,-2.513120849876573004e+01,2.773719243642359089e+01
3.282117186591908364e+01,-2.524694076715392654e+01,2.760802888842887981e+01
3.280710543733619033e+01,-2.537846414080771495e+01,2.752338076411243506e+01
3.280584781757412571e+01,-2.550773343431035300e+01,2.741129085384732278e+01
3.280840775278141308e+01,-2.560172470164586045e+01,2.727996258915510452e+01
3.282080378088642192e+01,-2.569335847327305800e+01,2.718507704102319877e+01
3.281317263934085560e+01,-2.584017289805583673e+01,2.707233436876076738e+01
3.280063054729140504e+01,-2.597577642035421874e+01,2.695502072809401639e+01
