ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.864788975647439631e-03
0.000000000000000000e+00,0.000000000000000000e+00,-8.594366926942318893e-03
0.000000000000000000e+00,0.000000000000000000e+00,-1.718873385393552763e-02
0.000000000000000000e+00,0.000000000000000000e+00,-2.864788975652528269e-02
0.000000000000000000e+00,0.000000000000000000e+00,-4.297183463481336896e-02
0.000000000000000000e+00,0.000000000000000000e+00,-6.016056848874890006e-02
0.000000000000000000e+00,0.000000000000000000e+00,-8.021409131833186212e-02
0.000000000000000000e+00,0.000000000000000000e+00,-1.031324031235622690e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.289155039044401208e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.575633936609653896e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.890760723931890208e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.234535401010091793e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.606957967845276447e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.008028424436935966e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.437746770785069517e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.896113006889677655e-01
0.000000000000000000e+00,0.000000000000000000e+00,-4.383127132750760380e-01
0.000000000000000000e+00,0.000000000000000000e+00,-4.898789148368317137e-01
0.000000000000000000e+00,0.000000000000000000e+00,-5.443099053742856963e-01
0.000000000000000000e+00,0.000000000000000000e+00,-6.016056848873871932e-01
0.000000000000000000e+00,0.000000000000000000e+00,-6.617662533760851895e-01
0.000000000000000000e+00,0.000000000000000000e+00,-7.247916108404814928e-01
0.000000000000000000e+00,0.000000000000000000e+00,-7.906817572805252547e-01
0.000000000000000000e+00,0.000000000000000000e+00,-8.594366926962164754e-01
0.000000000000000000e+00,0.000000000000000000e+00,-9.310564170876061141e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.005540930454592141e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.082890232797276475e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.163104324115557642e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.246183204409536893e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.332126873679163603e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.420935331924437772e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.512608579145359400e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.607146615341979334e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.704549440514195879e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.804817054662110731e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.907949457785621972e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.013946649884831963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.122808630959688969e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.234535401010193656e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.349126960036396206e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.466583308038195810e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.586904445015642651e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.710090370968787798e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.836141085897580627e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.965056589802020692e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.096836882682108438e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.231481964537843421e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.368991835369225640e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.509366495176306611e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.652605943958983747e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.798710181717359635e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.947679208451382760e+00
0.000000000000000000e+00,0.000000000000000000e+00,-4.099513024161052677e+00
0.000000000000000000e+00,0.000000000000000000e+00,-4.254211628846371163e+00
0.000000000000000000e+00,0.000000000000000000e+00,-4.411775022507335997e+00
0.000000000000000000e+00,0.000000000000000000e+00,-4.572203205143948956e+00
