accel_only_with_bias_x (m/s^2),accel_only_with_bias_y (m/s^2),accel_only_with_bias_z (m/s^2)
5.000000000000000104e-04,5.000000000000000104e-04,-9.794341972265039331e+00
5.000000000000000104e-04,1.025790159080717297e-05,-9.794341960021487381e+00
5.000000000000000104e-04,-9.692262903301575999e-04,-9.794341862073068228e+00
5.000000000000000104e-04,-2.438452547602723390e-03,-9.794341531497154918e+00
5.000000000000000104e-04,-4.397420782073314938e-03,-9.794340747909819456e+00
5.000000000000000104e-04,-6.846130790498974189e-03,-9.794339217465863001e+00
5.000000000000000104e-04,-9.784582181086074956e-03,-9.794336572858897583e+00
5.000000000000000104e-04,-1.321277428166376874e-02,-9.794332373321473995e+00
5.000000000000000104e-04,-1.713070602949221671e-02,-9.794326104625328711e+00
5.000000000000000104e-04,-2.153837584270574049e-02,-9.794317179081756919e+00
5.000000000000000104e-04,-2.643578147339100889e-02,-9.794304935542172075e+00
5.000000000000000104e-04,-3.182291984230058157e-02,-9.794288639398899932e+00
5.000000000000000104e-04,-3.769978685520213729e-02,-9.794267482586256790e+00
5.000000000000000104e-04,-4.406637720086385018e-02,-9.794240583581990123e+00
5.000000000000000104e-04,-5.092268413067662508e-02,-9.794206987409152632e+00
5.000000000000000104e-04,-5.826869921991393447e-02,-9.794165665638459473e+00
5.000000000000000104e-04,-6.610441211063051992e-02,-9.794115516391252996e+00
5.000000000000000104e-04,-7.442981023620098835e-02,-9.794055364343133618e+00
5.000000000000000104e-04,-8.324487852750028782e-02,-9.793983960728370519e+00
5.000000000000000104e-04,-9.254959910072775575e-02,-9.793899983345180971e+00
5.000000000000000104e-04,-1.023439509268773556e-01,-9.793802036562004432e+00
5.000000000000000104e-04,-1.126279094828566835e-01,-9.793688651324872652e+00
5.000000000000000104e-04,-1.234014463842583315e-01,-9.793558285166000132e+00
5.000000000000000104e-04,-1.346645289997872585e-01,-9.793409322213737056e+00
5.000000000000000104e-04,-1.464171200473488588e-01,-9.793240073204000140e+00
5.000000000000000104e-04,-1.586591771718025845e-01,-9.793048775493328861e+00
5.000000000000000104e-04,-1.713906525043873419e-01,-9.792833593073735798e+00
5.000000000000000104e-04,-1.846114922038250561e-01,-9.792592616589459453e+00
5.000000000000000104e-04,-1.983216359791103445e-01,-9.792323863355834490e+00
5.000000000000000104e-04,-2.125210165939940277e-01,-9.792025277380403736e+00
5.000000000000000104e-04,-2.272095593531710533e-01,-9.791694729386465568e+00
5.000000000000000104e-04,-2.423871815701825472e-01,-9.791330016839230765e+00
5.000000000000000104e-04,-2.580537920170441479e-01,-9.790928863974782459e+00
5.000000000000000104e-04,-2.742092903556136441e-01,-9.790488921832013247e+00
5.000000000000000104e-04,-2.908535665507121504e-01,-9.790007768287765089e+00
5.000000000000000104e-04,-3.079865002650150618e-01,-9.789482908095351377e+00
5.000000000000000104e-04,-3.256079602357293545e-01,-9.788911772926695676e+00
5.000000000000000104e-04,-3.437178036330770792e-01,-9.788291721418273639e+00
5.000000000000000104e-04,-3.623158754006047255e-01,-9.787620039221126333e+00
5.000000000000000104e-04,-3.814020075773426055e-01,-9.786893939055140379e+00
5.000000000000000104e-04,-4.009760186018364037e-01,-9.786110560767834698e+00
5.000000000000000104e-04,-4.210377125980792057e-01,-9.785266971397922120e+00
5.000000000000000104e-04,-4.415868786433722604e-01,-9.784360165243867868e+00
5.000000000000000104e-04,-4.626232900181440066e-01,-9.783387063937709627e+00
5.000000000000000104e-04,-4.841467034377631706e-01,-9.782344516524414502e+00
5.000000000000000104e-04,-5.061568582663784621e-01,-9.781229299547014477e+00
5.000000000000000104e-04,-5.286534757128257267e-01,-9.780038117137825893e+00
5.000000000000000104e-04,-5.516362580086430212e-01,-9.778767601116001629e+00
5.000000000000000104e-04,-5.751048875682355233e-01,-9.777414311091728649e+00
5.000000000000000104e-04,-5.990590261312410680e-01,-9.775974734577358660e+00
5.000000000000000104e-04,-6.234983138871419417e-01,-9.774445287105749003e+00
5.000000000000000104e-04,-6.484223685821793870e-01,-9.772822312356151286e+00
5.000000000000000104e-04,-6.738307846086261099e-01,-9.771102082287939083e+00
5.000000000000000104e-04,-6.997231320764761842e-01,-9.769280797282501538e+00
5.000000000000000104e-04,-7.260989558676189670e-01,-9.767354586293603091e+00
5.000000000000000104e-04,-7.529577746725603093e-01,-9.765319507006585908e+00
5.000000000000000104e-04,-7.802990800097673318e-01,-9.763171546006695678e+00
5.000000000000000104e-04,-8.081223352277089322e-01,-9.760906618956910918e+00
5.000000000000000104e-04,-8.364269744896730696e-01,-9.758520570785597315e+00
5.000000000000000104e-04,-8.652124017414460910e-01,-9.756009175884370777e+00
5.000000000000000104e-04,-8.944779896619415860e-01,-9.753368138316488967e+00
5.000000000000000104e-04,-9.242230785968739148e-01,-9.750593092036153209e+00
5.000000000000000104e-04,-9.544469754755724455e-01,-9.747679601119120463e+00
5.000000000000000104e-04,-9.851489527110445232e-01,-9.744623160004932672e+00
5.000000000000000104e-04,-1.016328247083390091e+00,-9.741419193751209349e+00
5.000000000000000104e-04,-1.047984058606687974e+00,-9.738063058300364006e+00
5.000000000000000104e-04,-1.080115549379469408e+00,-9.734550040759122780e+00
5.000000000000000104e-04,-1.112721842418906482e+00,-9.730875359691268045e+00
5.000000000000000104e-04,-1.145802020478846606e+00,-9.727034165423990686e+00
5.000000000000000104e-04,-1.179355124851830361e+00,-9.723021540368272042e+00
5.000000000000000104e-04,-1.213380154155235147e+00,-9.718832499353695198e+00
5.000000000000000104e-04,-1.247876063101697630e+00,-9.714461989978117273e+00
5.000000000000000104e-04,-1.282841761253971091e+00,-9.709904892972613055e+00
5.000000000000000104e-04,-1.318276111764378422e+00,-9.705156022582116293e+00
5.000000000000000104e-04,-1.354177930099036198e+00,-9.700210126962225843e+00
5.000000000000000104e-04,-1.390545982747023013e+00,-9.695061888592546140e+00
5.000000000000000104e-04,-1.427378985914683485e+00,-9.689705924707077145e+00
5.000000000000000104e-04,-1.464675604205252890e+00,-9.684136787742049890e+00
5.000000000000000104e-04,-1.502434449284011819e+00,-9.678348965801680137e+00
5.000000000000000104e-04,-1.540654078529169357e+00,-9.672336883142287789e+00
5.000000000000000104e-04,-1.579332993668705276e+00,-9.666094900675245682e+00
5.000000000000000104e-04,-1.618469639403380622e+00,-9.659617316489224947e+00
5.000000000000000104e-04,-1.658062402016164727e+00,-9.652898366392182794e+00
5.000000000000000104e-04,-1.698109607968311341e+00,-9.645932224473597216e+00
5.000000000000000104e-04,-1.738609522482341241e+00,-9.638713003687392700e+00
5.000000000000000104e-04,-1.779560348112188883e+00,-9.631234756456056090e+00
5.000000000000000104e-04,-1.820960223300783776e+00,-9.623491475296408026e+00
5.000000000000000104e-04,-1.862807220925350782e+00,-9.615477093467534431e+00
5.000000000000000104e-04,-1.905099346830708695e+00,-9.607185485641339895e+00
5.000000000000000104e-04,-1.947834538350879940e+00,-9.598610468596241674e+00
5.000000000000000104e-04,-1.991010662819308719e+00,-9.589745801934478564e+00
5.000000000000000104e-04,-2.034625516068017337e+00,-9.580585188823537379e+00
5.000000000000000104e-04,-2.078676820916026013e+00,-9.571122276762201508e+00
