gyro_only_with_bias_x (deg/s),gyro_only_with_bias_y (deg/s),gyro_only_with_bias_z (deg/s)
8.151267873219527615e-01,5.028647889756541201e-01,5.028647889756541201e-01
1.130253574643905523e+00,5.057295779513082401e-01,5.057295779513082401e-01
1.445380361965858285e+00,5.085943669269623602e-01,5.085943669269623602e-01
1.760507149287811268e+00,5.114591559026164802e-01,5.114591559026164802e-01
2.075633936609763808e+00,5.143239448782706003e-01,5.143239448782706003e-01
2.390760723931717013e+00,5.171887338539247203e-01,5.171887338539247203e-01
2.705887511253669775e+00,5.200535228295788404e-01,5.200535228295788404e-01
3.021014298575622536e+00,5.229183118052328494e-01,5.229183118052328494e-01
3.336141085897574854e+00,5.257831007808870805e-01,5.257831007808870805e-01
3.651267873219528060e+00,5.286478897565412005e-01,5.286478897565412005e-01
3.966394660541480377e+00,5.315126787321953206e-01,5.315126787321953206e-01
4.281521447863432250e+00,5.343774677078494406e-01,5.343774677078494406e-01
4.596648235185385900e+00,5.372422566835034496e-01,5.372422566835034496e-01
4.911775022507338662e+00,5.401070456591575697e-01,5.401070456591575697e-01
5.226901809829291423e+00,5.429718346348118008e-01,5.429718346348118008e-01
5.542028597151245073e+00,5.458366236104659208e-01,5.458366236104659208e-01
5.857155384473197834e+00,5.487014125861200409e-01,5.487014125861200409e-01
6.172282171795150596e+00,5.515662015617740499e-01,5.515662015617740499e-01
6.487408959117104246e+00,5.544309905374281700e-01,5.544309905374281700e-01
6.802535746439057007e+00,5.572957795130824010e-01,5.572957795130824010e-01
7.117662533761009769e+00,5.601605684887365211e-01,5.601605684887365211e-01
7.432789321082963419e+00,5.630253574643905301e-01,5.630253574643905301e-01
7.747916108404917956e+00,5.658901464400446502e-01,5.658901464400446502e-01
8.063042895726871606e+00,5.687549354156987702e-01,5.687549354156987702e-01
8.378169683048822591e+00,5.716197243913528903e-01,5.716197243913528903e-01
8.693296470370775353e+00,5.744845133670071213e-01,5.744845133670071213e-01
9.008423257692728114e+00,5.773493023426611304e-01,5.773493023426611304e-01
9.323550045014680876e+00,5.802140913183152504e-01,5.802140913183152504e-01
9.638676832336635414e+00,5.830788802939693705e-01,5.830788802939693705e-01
9.953803619658588175e+00,5.859436692696234905e-01,5.859436692696234905e-01
1.026893040698054094e+01,5.888084582452777216e-01,5.888084582452777216e-01
1.058405719430249370e+01,5.916732472209317306e-01,5.916732472209317306e-01
1.089918398162444646e+01,5.945380361965858507e-01,5.945380361965858507e-01
1.121431076894639922e+01,5.974028251722399707e-01,5.974028251722399707e-01
1.152943755626835376e+01,6.002676141478940908e-01,6.002676141478940908e-01
1.184456434359030652e+01,6.031324031235482108e-01,6.031324031235482108e-01
1.215969113091225928e+01,6.059971920992023309e-01,6.059971920992023309e-01
1.247481791823421204e+01,6.088619810748564509e-01,6.088619810748564509e-01
1.278994470555616481e+01,6.117267700505105710e-01,6.117267700505105710e-01
1.310507149287811757e+01,6.145915590261646910e-01,6.145915590261646910e-01
1.342019828020007033e+01,6.174563480018188111e-01,6.174563480018188111e-01
1.373532506752202487e+01,6.203211369774729311e-01,6.203211369774729311e-01
1.405045185484397763e+01,6.231859259531270512e-01,6.231859259531270512e-01
1.436557864216592861e+01,6.260507149287811712e-01,6.260507149287811712e-01
1.468070542948788137e+01,6.289155039044352913e-01,6.289155039044352913e-01
1.499583221680983769e+01,6.317802928800894113e-01,6.317802928800894113e-01
1.531095900413179045e+01,6.346450818557435314e-01,6.346450818557435314e-01
1.562608579145374499e+01,6.375098708313976514e-01,6.375098708313976514e-01
1.594121257877569775e+01,6.403746598070517715e-01,6.403746598070517715e-01
1.625633936609764874e+01,6.432394487827058915e-01,6.432394487827058915e-01
1.657146615341959972e+01,6.461042377583600116e-01,6.461042377583600116e-01
1.688659294074155426e+01,6.489690267340141316e-01,6.489690267340141316e-01
1.720171972806350524e+01,6.518338157096682517e-01,6.518338157096682517e-01
1.751684651538545978e+01,6.546986046853223717e-01,6.546986046853223717e-01
1.783197330270741077e+01,6.575633936609764918e-01,6.575633936609764918e-01
1.814710009002936530e+01,6.604281826366306118e-01,6.604281826366306118e-01
1.846222687735131984e+01,6.632929716122847319e-01,6.632929716122847319e-01
1.877735366467327083e+01,6.661577605879388519e-01,6.661577605879388519e-01
1.909248045199522537e+01,6.690225495635929720e-01,6.690225495635929720e-01
1.940760723931717635e+01,6.718873385392469810e-01,6.718873385392469810e-01
1.972273402663913089e+01,6.747521275149012121e-01,6.747521275149012121e-01
2.003786081396108543e+01,6.776169164905553322e-01,6.776169164905553322e-01
2.035298760128303641e+01,6.804817054662094522e-01,6.804817054662094522e-01
2.066811438860499095e+01,6.833464944418635723e-01,6.833464944418635723e-01
2.098324117592694193e+01,6.862112834175175813e-01,6.862112834175175813e-01
2.129836796324889647e+01,6.890760723931718124e-01,6.890760723931718124e-01
2.161349475057084746e+01,6.919408613688259324e-01,6.919408613688259324e-01
2.192862153789280200e+01,6.948056503444800525e-01,6.948056503444800525e-01
2.224374832521475653e+01,6.976704393201341725e-01,6.976704393201341725e-01
2.255887511253670752e+01,7.005352282957881815e-01,7.005352282957881815e-01
2.287400189985866206e+01,7.034000172714424126e-01,7.034000172714424126e-01
2.318912868718061304e+01,7.062648062470965327e-01,7.062648062470965327e-01
2.350425547450256758e+01,7.091295952227506527e-01,7.091295952227506527e-01
2.381938226182452212e+01,7.119943841984046617e-01,7.119943841984046617e-01
2.413450904914647310e+01,7.148591731740587818e-01,7.148591731740587818e-01
2.444963583646842764e+01,7.177239621497130129e-01,7.177239621497130129e-01
2.476476262379037863e+01,7.205887511253671329e-01,7.205887511253671329e-01
2.507988941111233316e+01,7.234535401010212530e-01,7.234535401010212530e-01
2.539501619843428415e+01,7.263183290766752620e-01,7.263183290766752620e-01
2.571014298575623869e+01,7.291831180523293821e-01,7.291831180523293821e-01
2.602526977307819323e+01,7.320479070279836131e-01,7.320479070279836131e-01
2.634039656040014421e+01,7.349126960036377332e-01,7.349126960036377332e-01
2.665552334772209875e+01,7.377774849792918532e-01,7.377774849792918532e-01
2.697065013504404973e+01,7.406422739549458623e-01,7.406422739549458623e-01
2.728577692236600427e+01,7.435070629305999823e-01,7.435070629305999823e-01
2.760090370968795881e+01,7.463718519062542134e-01,7.463718519062542134e-01
