gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707031443856447004e+06,4.688716291316605173e+06,3.360415728732213844e+06,2.148754188094587330e-03,-4.228945646052237328e-03,-4.851325712845047655e-02
-2.707030639933335129e+06,4.688715559828883037e+06,3.360427852293309756e+06,-8.664415875661128641e-03,-6.935260806436949199e-02,1.716909362253679974e-02
-2.707033065515585709e+06,4.688713166977643967e+06,3.360423793921919540e+06,-4.489314168433160973e-02,-9.517343312162164504e-02,6.374243079887008390e-02
-2.707029495409937110e+06,4.688706829146893695e+06,3.360437603340142872e+06,-7.763981276074855345e-03,-9.926172409898365023e-02,-7.915529535779002035e-02
-2.707032705760078039e+06,4.688707848313557915e+06,3.360436020165535621e+06,1.940276783934644089e-02,1.820752782846099191e-02,-6.829636294904201099e-02
-2.707031596875614952e+06,4.688711972588204779e+06,3.360434088326653931e+06,3.417660073038785579e-02,-6.624712579910391197e-02,1.504327963130215606e-02
-2.707025138015737291e+06,4.688716060268184170e+06,3.360424820689722430e+06,1.183983585473412023e-02,5.507877972741678785e-02,-9.150218369194690338e-02
-2.707031998078393284e+06,4.688704748541370034e+06,3.360432601106952410e+06,3.134813734920532946e-02,4.696796392705592481e-03,6.192768021811165952e-02
-2.707030033692172263e+06,4.688705815988890827e+06,3.360432402196276002e+06,2.518857264143797500e-02,-4.857940519314418032e-02,-3.432774991425457251e-02
-2.707034526449262630e+06,4.688707185756871477e+06,3.360437710398779716e+06,-7.080898436361636461e-02,-3.537911704121765588e-02,-9.660299650195264265e-02
-2.707026956611674745e+06,4.688714962558950298e+06,3.360428919260545634e+06,-2.558606115983764421e-03,1.906899614006817359e-02,-6.021568618055425995e-03
-2.707034709480386227e+06,4.688711719884092920e+06,3.360434225157710724e+06,2.054962808187174930e-02,2.316783868663114740e-02,7.261029503925875428e-03
-2.707028948154490441e+06,4.688708180246239528e+06,3.360435339068337344e+06,4.584729732136826269e-04,-7.841566659517721152e-03,3.130599547792876566e-03
-2.707031897628243547e+06,4.688705759438673034e+06,3.360434635033709928e+06,-5.972100330652177491e-02,6.642177943956102670e-02,-3.791018270569142951e-02
-2.707031501832697075e+06,4.688717273593707010e+06,3.360415390522268601e+06,-4.446780728266319649e-02,-5.384004731610255411e-03,6.806352200264516317e-02
-2.707025724251898937e+06,4.688717157063200139e+06,3.360436064060864039e+06,-4.182866968601320345e-02,-4.635500707743217541e-02,-4.919449288187212159e-03
-2.707029755501425825e+06,4.688712165121403523e+06,3.360432825588041451e+06,2.038773454918055977e-02,-2.185951004045176560e-02,1.783797116805589320e-02
-2.707035979175717570e+06,4.688709046629135497e+06,3.360429528878551442e+06,7.480112519285936866e-03,-1.126249666043034198e-01,1.373913253343728505e-02
-2.707031189202270936e+06,4.688713446084658615e+06,3.360423712071510032e+06,-2.508974233657410707e-02,-1.557114537253928696e-03,4.624401062719597083e-02
-2.707024657602401450e+06,4.688712982511247508e+06,3.360429144588720053e+06,5.698978570248770803e-02,1.870310793419658821e-02,-2.189090450323537274e-02
-2.707030600744190626e+06,4.688707594426175579e+06,3.360426240805282257e+06,2.104086207268371367e-02,-2.943927950369604890e-02,1.169495012935823502e-01
-2.707024515492675360e+06,4.688719876703972928e+06,3.360440833201098256e+06,-1.945955609619064858e-02,3.380136271394775654e-02,-1.919673604762135765e-03
-2.707030213122111745e+06,4.688710567526853643e+06,3.360437741497491021e+06,-1.048139497425239208e-02,3.705898910368588678e-02,6.387664355786046300e-02
-2.707025216340580489e+06,4.688722207996232435e+06,3.360431080870891921e+06,-6.113359112451168670e-03,6.501973313572258217e-02,-5.682794477442400238e-02
-2.707031908745054621e+06,4.688716678219281137e+06,3.360428090742597822e+06,4.246508397444519189e-02,-2.512885066959921407e-02,2.747246923380837827e-02
-2.707022940137410536e+06,4.688712455644693226e+06,3.360426236707026139e+06,4.700533807223938876e-02,-2.579167199757708209e-02,-2.973956717235128056e-02
