gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
5.040628482025573120e-01,7.647265050450260393e-01,5.542124028620514231e-01
5.183236729077672633e-01,1.054909420189002578e+00,4.883104307307063463e-01
5.175045116811277657e-01,1.260572045155679222e+00,5.039842789520403432e-01
5.138689253260357859e-01,1.544467570912999355e+00,5.127244366770395967e-01
4.917936427648451625e-01,1.831525536932858023e+00,5.559738464639445432e-01
5.296190801335715070e-01,2.041363825943919963e+00,5.145219924448856119e-01
4.966941807703945666e-01,2.308095802251642681e+00,4.331354518466924985e-01
4.653538390397136681e-01,2.670332936793096135e+00,5.059853703365709832e-01
5.255960889604723851e-01,2.814372398921084706e+00,4.901210888998613902e-01
5.496197557340294360e-01,3.047105518516521006e+00,5.415746004683854586e-01
5.338051031016263215e-01,3.388581341932451085e+00,4.792031439258352954e-01
5.920155056388114456e-01,3.601830300163406662e+00,5.754352901621809790e-01
5.592262552444335899e-01,3.838918921517345151e+00,5.482815923533582714e-01
5.287075523370854402e-01,4.076602780093363521e+00,5.768204762324050661e-01
5.136988232904672325e-01,4.397206963028385651e+00,5.938026081023846103e-01
4.947308203928136305e-01,4.576087793553015537e+00,6.219325074863536473e-01
4.787458357659131192e-01,4.908598918139442269e+00,5.348743730067883062e-01
5.280533620554416219e-01,5.107206137858828932e+00,5.339977198749792375e-01
5.483330152162967375e-01,5.332915738605168876e+00,5.561548283922082003e-01
5.519390642489236942e-01,5.685135111171984335e+00,4.876500334398931602e-01
5.653549167925251417e-01,5.854033031844551260e+00,5.862926739334703985e-01
6.056348970093171635e-01,6.121707355208673818e+00,5.378919300339927156e-01
6.463416293862124240e-01,6.401981367397925560e+00,5.491986832004168706e-01
5.224752936346175325e-01,6.736583745307833659e+00,5.748081946989309632e-01
4.961750966588996947e-01,6.998450439492835073e+00,5.341910614790383871e-01
4.988719572049835072e-01,7.234643709923844312e+00,5.832665997931641977e-01
5.758536851340837481e-01,7.354826001321441709e+00,5.885715703567943047e-01
5.732311615369085622e-01,7.711271120307945814e+00,5.488138884308589871e-01
5.730798846948300662e-01,7.930088450560075941e+00,6.400925660254264127e-01
4.938771711132903808e-01,8.227824893691190411e+00,5.693831094070006538e-01
5.871596184456345791e-01,8.492989165341544577e+00,4.902105013489147511e-01
5.782315842511267512e-01,8.774234703607781682e+00,5.466245787001117185e-01
6.210779045762330197e-01,8.993131702154055773e+00,6.286156191544827188e-01
6.013165875124305559e-01,9.218297737109589107e+00,5.958795672418045752e-01
6.444774428922244169e-01,9.488267246465998284e+00,6.118602455834729614e-01
5.654802832422823888e-01,9.786822637828690219e+00,5.708901340631694632e-01
5.760767304862783877e-01,1.007034764519970516e+01,6.904882294626062400e-01
5.563725954957582376e-01,1.029328356595810767e+01,6.477660080241194329e-01
7.019459747955053563e-01,1.063247585504978154e+01,5.303266953748486667e-01
6.632382468351334381e-01,1.085861601925292241e+01,5.758578035559588360e-01
5.524451864782742305e-01,1.102743099947264582e+01,6.352655574435265295e-01
6.194045750608755396e-01,1.136303353770813551e+01,6.170462611432949718e-01
5.991547295525968542e-01,1.157890134479703548e+01,5.962068808099750816e-01
5.936233638638273025e-01,1.186040724893254783e+01,5.923367122920853989e-01
7.064801854288729199e-01,1.207197322607525258e+01,5.785920364539560712e-01
6.586933879156597893e-01,1.233914618276594588e+01,6.322818890760932842e-01
6.547332087970475500e-01,1.265923944097342435e+01,6.317831770519201084e-01
6.537431945647722564e-01,1.284809327992759442e+01,5.985662327814111894e-01
6.549221427628149073e-01,1.312684679897988005e+01,6.310560951584327505e-01
6.440710969112229956e-01,1.338411383479133399e+01,6.466532026500247943e-01
6.871482055383324461e-01,1.364286450359718827e+01,5.777928664734431896e-01
6.904058885314330318e-01,1.384422801684045901e+01,6.086997824676353419e-01
6.441924596908872314e-01,1.416597060307823419e+01,6.707997496685027539e-01
6.090273568377229108e-01,1.434308187924098910e+01,6.583485753822293507e-01
6.998487009400092829e-01,1.474624667751309559e+01,7.029822441283934964e-01
6.232793752615372052e-01,1.499020278027095721e+01,6.599947214746347823e-01
7.251229354376385050e-01,1.522497649278871634e+01,6.912335023094587916e-01
6.675699045531007236e-01,1.541536706497197606e+01,6.700437422916697416e-01
5.504369640462593027e-01,1.567801055135815957e+01,6.564143394562785838e-01
6.874260307477217946e-01,1.597563816271349069e+01,6.663169917207157900e-01
7.300809796507600202e-01,1.627060053277125817e+01,6.484787613220407421e-01
6.970973870977897890e-01,1.647780246267160820e+01,7.045083609925263390e-01
7.194879292574719587e-01,1.677389789467790848e+01,6.925054656573871315e-01
7.276825281319326821e-01,1.698133536310004033e+01,6.629878005161706778e-01
6.505802141295204954e-01,1.739854411142524881e+01,7.169892076512374146e-01
6.216058822840144771e-01,1.754846378691910758e+01,6.649413193400955935e-01
6.947907404183790714e-01,1.782828560598905199e+01,7.011012439747748015e-01
6.687073263167799819e-01,1.809071193368227526e+01,6.987895347280543845e-01
6.508588400901639259e-01,1.831824010291445148e+01,6.746058580200798849e-01
6.980840389789028100e-01,1.855042666719229416e+01,6.562972825287027856e-01
6.823547448168314489e-01,1.882155100340279574e+01,6.711070650383405001e-01
7.352460891836662960e-01,1.905973192441229003e+01,6.557015988492567171e-01
7.037668676397463852e-01,1.934668813699276413e+01,7.379032077635052644e-01
7.770311854084902548e-01,1.953534737907465413e+01,6.737522780211724349e-01
7.598449423578751416e-01,1.986189730228371886e+01,7.296077386453680980e-01
7.252062317728469321e-01,2.018385733018386929e+01,8.813412575690835471e-01
6.936488495103402263e-01,2.039883954676264821e+01,7.617827999031755448e-01
7.925713823179151296e-01,2.056229741260582955e+01,6.742399070465173727e-01
7.997398919297227238e-01,2.089913501147498565e+01,7.502487841051483919e-01
7.889780714939457207e-01,2.116448986633665896e+01,6.756251892640178225e-01
7.421828451096049717e-01,2.143489781956860796e+01,7.451692335171041792e-01
7.058032522082889892e-01,2.173071649736550626e+01,6.929605173101286431e-01
7.550533542870520032e-01,2.193756689319958753e+01,6.135398405340306560e-01
7.021792181565470470e-01,2.213444321432594109e+01,7.134393474339147945e-01
6.797564845552936941e-01,2.239172257685218170e+01,7.438628704685547044e-01
7.015590325832758989e-01,2.269861507986610150e+01,8.011339658124301266e-01
7.616759790746918668e-01,2.288929939536130220e+01,7.301413474820914740e-01
7.459203315655626998e-01,2.313923129496653530e+01,7.617610870165021364e-01
7.335760362734569107e-01,2.346899558179346101e+01,7.304889938957647155e-01
7.787569813449911615e-01,2.368315396285620622e+01,7.356257289133942834e-01
6.163596625152020225e-01,2.396081433621041512e+01,7.721664339072277228e-01
