ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,0.000000000000000000e+00,-9.794841972265039942e+00
4.897420984091928374e-04,0.000000000000000000e+00,-9.794841960021487992e+00
1.469226290330157610e-03,0.000000000000000000e+00,-9.794841862073068839e+00
2.938452547602723400e-03,0.000000000000000000e+00,-9.794841531497155529e+00
4.897420782073314514e-03,0.000000000000000000e+00,-9.794840747909820067e+00
7.346130790498973766e-03,0.000000000000000000e+00,-9.794839217465863612e+00
1.028458218108607540e-02,0.000000000000000000e+00,-9.794836572858898194e+00
1.371277428166376919e-02,0.000000000000000000e+00,-9.794832373321474606e+00
1.763070602949221716e-02,0.000000000000000000e+00,-9.794826104625329322e+00
2.203837584270574093e-02,0.000000000000000000e+00,-9.794817179081757530e+00
2.693578147339100934e-02,0.000000000000000000e+00,-9.794804935542172686e+00
3.232291984230058202e-02,0.000000000000000000e+00,-9.794788639398900543e+00
3.819978685520213774e-02,0.000000000000000000e+00,-9.794767482586257401e+00
4.456637720086385063e-02,0.000000000000000000e+00,-9.794740583581990734e+00
5.142268413067662552e-02,0.000000000000000000e+00,-9.794706987409153243e+00
5.876869921991393492e-02,0.000000000000000000e+00,-9.794665665638460084e+00
6.660441211063052036e-02,0.000000000000000000e+00,-9.794615516391253607e+00
7.492981023620098879e-02,0.000000000000000000e+00,-9.794555364343134229e+00
8.374487852750028827e-02,0.000000000000000000e+00,-9.794483960728371130e+00
9.304959910072775620e-02,0.000000000000000000e+00,-9.794399983345181582e+00
1.028439509268773561e-01,0.000000000000000000e+00,-9.794302036562005043e+00
1.131279094828566839e-01,0.000000000000000000e+00,-9.794188651324873263e+00
1.239014463842583319e-01,0.000000000000000000e+00,-9.794058285166000744e+00
1.351645289997872590e-01,0.000000000000000000e+00,-9.793909322213737667e+00
1.469171200473488592e-01,0.000000000000000000e+00,-9.793740073204000751e+00
1.591591771718025849e-01,0.000000000000000000e+00,-9.793548775493329472e+00
1.718906525043873423e-01,0.000000000000000000e+00,-9.793333593073736409e+00
1.851114922038250565e-01,0.000000000000000000e+00,-9.793092616589460064e+00
1.988216359791103449e-01,0.000000000000000000e+00,-9.792823863355835101e+00
2.130210165939940281e-01,0.000000000000000000e+00,-9.792525277380404347e+00
2.277095593531710538e-01,0.000000000000000000e+00,-9.792194729386466179e+00
2.428871815701825476e-01,0.000000000000000000e+00,-9.791830016839231376e+00
2.585537920170441484e-01,0.000000000000000000e+00,-9.791428863974783070e+00
2.747092903556136445e-01,0.000000000000000000e+00,-9.790988921832013858e+00
2.913535665507121508e-01,0.000000000000000000e+00,-9.790507768287765700e+00
3.084865002650150623e-01,0.000000000000000000e+00,-9.789982908095351988e+00
3.261079602357293550e-01,0.000000000000000000e+00,-9.789411772926696287e+00
3.442178036330770796e-01,0.000000000000000000e+00,-9.788791721418274250e+00
3.628158754006047260e-01,0.000000000000000000e+00,-9.788120039221126945e+00
3.819020075773426059e-01,0.000000000000000000e+00,-9.787393939055140990e+00
4.014760186018364041e-01,0.000000000000000000e+00,-9.786610560767835310e+00
4.215377125980792061e-01,0.000000000000000000e+00,-9.785766971397922731e+00
4.420868786433722608e-01,0.000000000000000000e+00,-9.784860165243868479e+00
4.631232900181440071e-01,0.000000000000000000e+00,-9.783887063937710238e+00
4.846467034377631711e-01,0.000000000000000000e+00,-9.782844516524415113e+00
5.066568582663784071e-01,0.000000000000000000e+00,-9.781729299547015088e+00
5.291534757128256716e-01,0.000000000000000000e+00,-9.780538117137826504e+00
5.521362580086429661e-01,0.000000000000000000e+00,-9.779267601116002240e+00
5.756048875682354682e-01,0.000000000000000000e+00,-9.777914311091729260e+00
5.995590261312410130e-01,0.000000000000000000e+00,-9.776474734577359271e+00
6.239983138871418866e-01,0.000000000000000000e+00,-9.774945287105749614e+00
6.489223685821793319e-01,0.000000000000000000e+00,-9.773322312356151897e+00
6.743307846086260549e-01,0.000000000000000000e+00,-9.771602082287939695e+00
7.002231320764761291e-01,0.000000000000000000e+00,-9.769780797282502149e+00
7.265989558676189120e-01,0.000000000000000000e+00,-9.767854586293603703e+00
7.534577746725602543e-01,0.000000000000000000e+00,-9.765819507006586520e+00
7.807990800097672768e-01,0.000000000000000000e+00,-9.763671546006696289e+00
8.086223352277088772e-01,0.000000000000000000e+00,-9.761406618956911529e+00
8.369269744896730145e-01,0.000000000000000000e+00,-9.759020570785597926e+00
8.657124017414460360e-01,0.000000000000000000e+00,-9.756509175884371388e+00
8.949779896619415309e-01,0.000000000000000000e+00,-9.753868138316489578e+00
9.247230785968738598e-01,0.000000000000000000e+00,-9.751093092036153820e+00
9.549469754755723905e-01,0.000000000000000000e+00,-9.748179601119121074e+00
9.856489527110444682e-01,0.000000000000000000e+00,-9.745123160004933283e+00
1.016828247083390035e+00,0.000000000000000000e+00,-9.741919193751209960e+00
1.048484058606687919e+00,0.000000000000000000e+00,-9.738563058300364617e+00
1.080615549379469353e+00,0.000000000000000000e+00,-9.735050040759123391e+00
1.113221842418906427e+00,0.000000000000000000e+00,-9.731375359691268656e+00
1.146302020478846551e+00,0.000000000000000000e+00,-9.727534165423991297e+00
1.179855124851830306e+00,0.000000000000000000e+00,-9.723521540368272653e+00
1.213880154155235092e+00,0.000000000000000000e+00,-9.719332499353695809e+00
1.248376063101697575e+00,0.000000000000000000e+00,-9.714961989978117884e+00
