q0 (),q1,q2,q3
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999996874999741e-01,0.000000000000000000e+00,2.499999999739583567e-05,0.000000000000000000e+00
9.999999971874999893e-01,0.000000000000000000e+00,7.499999992968750388e-05,0.000000000000000000e+00
9.999999887500000684e-01,0.000000000000000000e+00,1.499999994375000162e-04,0.000000000000000000e+00
9.999999687500001899e-01,0.000000000000000000e+00,2.499999973958333399e-04,0.000000000000000000e+00
9.999999296875008437e-01,0.000000000000000000e+00,3.749999912109375937e-04,0.000000000000000000e+00
9.999998621875031413e-01,0.000000000000000000e+00,5.249999758828128790e-04,0.000000000000000000e+00
9.999997550000100377e-01,0.000000000000000000e+00,6.999999428333348196e-04,0.000000000000000000e+00
9.999995950000273304e-01,0.000000000000000000e+00,8.999998785000050145e-04,0.000000000000000000e+00
9.999993671875667678e-01,0.000000000000000000e+00,1.124999762695327692e-03,0.000000000000000000e+00
9.999990546876489361e-01,0.000000000000000000e+00,1.374999566731811883e-03,0.000000000000000000e+00
9.999986387503088103e-01,0.000000000000000000e+00,1.649999251312601889e-03,0.000000000000000000e+00
9.999980987506024155e-01,0.000000000000000000e+00,1.949998764187734889e-03,0.000000000000000000e+00
9.999974121886161527e-01,0.000000000000000000e+00,2.274998037576028524e-03,0.000000000000000000e+00
9.999965546894783452e-01,0.000000000000000000e+00,2.624996985352600828e-03,0.000000000000000000e+00
9.999955000033750041e-01,0.000000000000000000e+00,2.999995500002024685e-03,0.000000000000000000e+00
9.999942200055680352e-01,0.000000000000000000e+00,3.399993449337119621e-03,0.000000000000000000e+00
9.999926846964189986e-01,0.000000000000000000e+00,3.824990672983385499e-03,0.000000000000000000e+00
9.999908622014166415e-01,0.000000000000000000e+00,4.274986978629086339e-03,0.000000000000000000e+00
9.999887187712110936e-01,0.000000000000000000e+00,4.749982138040983841e-03,0.000000000000000000e+00
9.999862187816537240e-01,0.000000000000000000e+00,5.249975882845737095e-03,0.000000000000000000e+00
9.999833247338443254e-01,0.000000000000000000e+00,5.774967900076965859e-03,0.000000000000000000e+00
9.999799972541852933e-01,0.000000000000000000e+00,6.324957827488003441e-03,0.000000000000000000e+00
9.999761950944462408e-01,0.000000000000000000e+00,6.899945248630336148e-03,0.000000000000000000e+00
9.999718751318357191e-01,0.000000000000000000e+00,7.499929687697754442e-03,0.000000000000000000e+00
9.999669923690855944e-01,0.000000000000000000e+00,8.124910604136222764e-03,0.000000000000000000e+00
9.999614999345450839e-01,0.000000000000000000e+00,8.774887387019501828e-03,0.000000000000000000e+00
9.999553490822880031e-01,0.000000000000000000e+00,9.449859349190525143e-03,0.000000000000000000e+00
9.999484891922333363e-01,0.000000000000000000e+00,1.014982572116856878e-02,0.000000000000000000e+00
9.999408677702792403e-01,0.000000000000000000e+00,1.087478564482223520e-02,0.000000000000000000e+00
9.999324304484544790e-01,0.000000000000000000e+00,1.162473816680828498e-02,0.000000000000000000e+00
9.999231209850840685e-01,0.000000000000000000e+00,1.239968223177634679e-02,0.000000000000000000e+00
9.999128812649750175e-01,0.000000000000000000e+00,1.319961667533954205e-02,0.000000000000000000e+00
9.999016512996200534e-01,0.000000000000000000e+00,1.402454021681107110e-02,0.000000000000000000e+00
9.998893692274214429e-01,0.000000000000000000e+00,1.487445145170680251e-02,0.000000000000000000e+00
9.998759713139373506e-01,0.000000000000000000e+00,1.574934884401392454e-02,0.000000000000000000e+00
9.998613919521501803e-01,0.000000000000000000e+00,1.664923071822569170e-02,0.000000000000000000e+00
9.998455636627607834e-01,0.000000000000000000e+00,1.757409525114236176e-02,0.000000000000000000e+00
