ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.281072656359680906e+01,0.000000000000000000e+00,3.742187116036371464e+01
3.280885542902615981e+01,0.000000000000000000e+00,3.742351164991387691e+01
3.280511291382313743e+01,0.000000000000000000e+00,3.742679234833375546e+01
3.279949852593441761e+01,0.000000000000000000e+00,3.743171269420096081e+01
3.279201152745551440e+01,0.000000000000000000e+00,3.743827184522815799e+01
3.278265093484134240e+01,0.000000000000000000e+00,3.744646867807863799e+01
3.277141551918715834e+01,0.000000000000000000e+00,3.745630178812048428e+01
3.275830380657978225e+01,0.000000000000000000e+00,3.746776948911956140e+01
3.274331407851953202e+01,0.000000000000000000e+00,3.748086981287125496e+01
3.272644437241247317e+01,0.000000000000000000e+00,3.749560050877129669e+01
3.270769248213379399e+01,0.000000000000000000e+00,3.751195904332573861e+01
3.268705595866177305e+01,0.000000000000000000e+00,3.752994259960029666e+01
3.266453211078319896e+01,0.000000000000000000e+00,3.754954807660929106e+01
3.264011800586990120e+01,0.000000000000000000e+00,3.757077208864446050e+01
3.261381047072706707e+01,0.000000000000000000e+00,3.759361096454385631e+01
3.258560609251319562e+01,0.000000000000000000e+00,3.761806074690115764e+01
3.255550121973235633e+01,0.000000000000000000e+00,3.764411719121573441e+01
3.252349196329874559e+01,0.000000000000000000e+00,3.767177576498379921e+01
3.248957419767402399e+01,0.000000000000000000e+00,3.770103164673100338e+01
3.245374356207769750e+01,0.000000000000000000e+00,3.773187972498691778e+01
3.241599546177093316e+01,0.000000000000000000e+00,3.776431459720174644e+01
3.237632506941415755e+01,0.000000000000000000e+00,3.779833056860584151e+01
3.233472732649892833e+01,0.000000000000000000e+00,3.783392165101236060e+01
3.229119694485429193e+01,0.000000000000000000e+00,3.787108156156372019e+01
3.224572840822827402e+01,0.000000000000000000e+00,3.790980372142222876e+01
3.219831597394488654e+01,0.000000000000000000e+00,3.795008125440556057e+01
3.214895367463704901e+01,0.000000000000000000e+00,3.799190698556759571e+01
3.209763532005599984e+01,0.000000000000000000e+00,3.803527343972529451e+01
3.204435449895770205e+01,0.000000000000000000e+00,3.808017283993217461e+01
3.198910458106673005e+01,0.000000000000000000e+00,3.812659710589910844e+01
3.193187871911818831e+01,0.000000000000000000e+00,3.817453785236313735e+01
