accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.607542378420154586e-03,1.842145076226015194e-03,-9.791614024607973477e+00
-5.594243903418578273e-03,2.651479979520355440e-03,-9.806077721653077006e+00
-3.558429699133863755e-03,-5.813050751982296038e-03,-9.793119809143620458e+00
-2.676926744155594612e-04,-5.876075741132961994e-03,-9.797264388261186951e+00
-2.167300558131595670e-03,6.935230729661151505e-03,-9.786770106183498186e+00
5.676241407802243635e-04,3.955015140857800343e-03,-9.797948287377909793e+00
8.521831527524472566e-04,1.217917817987562452e-03,-9.792462034874732879e+00
-5.647276621068571256e-03,3.720654693734279980e-03,-9.800786199689708766e+00
5.093521493663545965e-04,-1.234581741985844514e-03,-9.787695847807924565e+00
1.341047600679416869e-02,3.231180448570861174e-03,-9.787719039984201785e+00
1.565307128137504887e-03,-5.440868393197169015e-03,-9.803431654775671689e+00
4.772438425647906185e-03,-4.375733472878607071e-04,-9.794552179381312840e+00
-8.181356712503903839e-03,-4.075939205186292214e-03,-9.788294082330986967e+00
-1.408223536596701865e-03,1.277881116586232014e-04,-9.800439411608422802e+00
-9.465736324216229153e-03,1.844020730075523508e-03,-9.792895829634115756e+00
5.637735889373714920e-03,7.282054766805338454e-03,-9.795936418193209150e+00
1.429179365662662515e-03,7.854628048955879932e-03,-9.793144519442957829e+00
1.685879319765877125e-03,-2.465774908832165562e-04,-9.796684929536661812e+00
2.298016454078104058e-03,-7.301929217034396069e-03,-9.790540154472688883e+00
-1.898146989145077556e-03,-3.983155562449085946e-03,-9.790437029675151948e+00
-5.128400361251833108e-03,-3.343068615525401736e-03,-9.789992009932651840e+00
-3.014267710416006132e-03,1.435510949738077763e-03,-9.802298849436629880e+00
-3.581273881113346616e-03,4.595193457536481813e-03,-9.789612388706368407e+00
2.660528176398247683e-03,9.516626240455785743e-03,-9.793763612283374442e+00
-3.520232788395524955e-04,-1.840322446456332979e-03,-9.796944369613965975e+00
3.420187592894202797e-03,1.551947758592697691e-03,-9.792318734953491699e+00
6.598030730761722138e-05,4.453611531477039143e-03,-9.795295089240168451e+00
2.753362200031695718e-03,1.278966588414129140e-03,-9.797612831486883778e+00
-1.020687038218186368e-03,1.939800384306578735e-03,-9.791782123399485727e+00
1.922182128053490091e-02,5.777709102926561167e-03,-9.798492552471065764e+00
-5.233686299881832454e-03,-8.297617230998755034e-03,-9.782826199410399326e+00
2.445283962347497508e-04,-8.300029489449108414e-03,-9.793112551707128688e+00
8.837048645175254059e-04,1.173442354235026529e-03,-9.795863830179214915e+00
2.476896640069854022e-03,-6.859161764963098845e-03,-9.795499197734514496e+00
5.281179115037230171e-03,6.995847081561898211e-03,-9.789400894152173294e+00
5.268180000597782152e-03,-5.949291815182100422e-03,-9.782055653566573028e+00
-3.019049091737190972e-03,1.275640976706244115e-02,-9.796053076814256855e+00
-2.961580466118078712e-04,5.546672173738155694e-03,-9.803462300103896965e+00
5.243624134005698580e-03,1.856319010653079702e-03,-9.792793741388395645e+00
6.718000517726576901e-03,5.589467388269169293e-03,-9.797077187503724360e+00
7.523055330640100215e-03,-1.117598178573990910e-03,-9.784169340775754620e+00
7.343082597646550212e-04,-2.450099437975773340e-04,-9.793384656598462357e+00
-1.186509717855501259e-04,-8.465335101363089627e-04,-9.794696261526018688e+00
3.105627573687016422e-03,1.129233289109153604e-02,-9.795529887475048270e+00
-2.694578677593261005e-03,4.553314017068783165e-03,-9.807804887535231941e+00
4.407976686561579371e-04,-5.747286144734814299e-03,-9.798285135951765312e+00
2.185533852043036306e-03,1.366205936427164220e-04,-9.799306540746748340e+00
4.843264473233225079e-03,-3.237371228113279957e-04,-9.795607057722946820e+00
