mag_x (uT),mag_y (uT),mag_z (uT)
3.281705032734188876e+01,1.402849019256297187e-02,3.740995474848708113e+01
3.281255518332449839e+01,2.439488470861679147e-03,3.741066024162665116e+01
3.281386650778934211e+01,8.123897251540104433e-03,3.740545659782421239e+01
3.281281156932285370e+01,-4.538179183430098192e-03,3.741904129301812532e+01
3.280018893079186881e+01,-8.028696400813231659e-03,3.742743984881413155e+01
3.280135837585478242e+01,-3.510918150283220268e-02,3.742388615631323745e+01
3.282037289798880408e+01,-3.833493002916926046e-02,3.742804496342422738e+01
3.281172189376807324e+01,-4.759276873604559310e-02,3.742261689873149777e+01
3.281343928607349625e+01,-7.718889981161933256e-02,3.743011444709004820e+01
3.280384160885951417e+01,-6.962109167530095011e-02,3.743056312793969909e+01
3.281358686639426736e+01,-9.698672478334981195e-02,3.740855242903018762e+01
3.282733773520269693e+01,-1.045052002786060474e-01,3.741289017836705000e+01
3.282300093453606138e+01,-1.273848490194648964e-01,3.742225779658350859e+01
3.281121081446926269e+01,-1.247391673679907886e-01,3.743357755924890284e+01
3.281253146091832917e+01,-1.625807581603983254e-01,3.742053854788415634e+01
3.281156760880784873e+01,-1.933423462853442465e-01,3.741988386128092969e+01
3.280540538323198518e+01,-2.131409624338532760e-01,3.742057752412406302e+01
3.281346025932963073e+01,-2.354824806337199039e-01,3.742329404470822141e+01
3.279717105210627182e+01,-2.848019228421140303e-01,3.742215035426967518e+01
3.279523159695016687e+01,-3.189192730465180703e-01,3.743875827354355579e+01
3.279963843032906112e+01,-3.422980724101247207e-01,3.741445454134324677e+01
3.280384965472232039e+01,-3.626445033722501821e-01,3.741847282502320127e+01
3.279645913924275646e+01,-4.332405958635238141e-01,3.742919429963593814e+01
3.281095594177027408e+01,-4.538405002267237309e-01,3.742333533583425265e+01
3.282362296713091609e+01,-4.829874561008555833e-01,3.742845528957027312e+01
3.281386562668648565e+01,-5.459877106221022736e-01,3.742323769343898476e+01
3.280962183878998673e+01,-5.645601648069313860e-01,3.742196980223183544e+01
3.280685782753354829e+01,-6.202261926879134579e-01,3.743060233865967490e+01
3.280503029560017580e+01,-6.710669117490349889e-01,3.742782303768629504e+01
3.279126698543154106e+01,-7.029914368599498031e-01,3.741959433604574059e+01
3.280606181395146592e+01,-7.703327701887608958e-01,3.742742231965024757e+01
3.279461256308864847e+01,-8.053210077257230148e-01,3.743156401338895023e+01
3.281718929911353655e+01,-8.669041010139768577e-01,3.739913311524056638e+01
3.280602323175934032e+01,-9.232023419875428072e-01,3.743141810395112401e+01
3.278930513824820991e+01,-9.703691367300520954e-01,3.739777688739374639e+01
3.279574328726491927e+01,-1.041460138994888096e+00,3.742079170539378197e+01
3.278177824073895863e+01,-1.095392269193454116e+00,3.743395965769887823e+01
3.278263680220237575e+01,-1.153208843061764632e+00,3.743555141637736483e+01
3.277871922316015230e+01,-1.235427072068430832e+00,3.742754791825787919e+01
3.279127905432673629e+01,-1.269641204711889682e+00,3.740653945141885117e+01
3.280057363464413100e+01,-1.363154589733551081e+00,3.743839266760652862e+01
3.277671985374666974e+01,-1.443307134745332787e+00,3.741941080609085901e+01
3.278687298128744487e+01,-1.473853343579768271e+00,3.741697047493211414e+01
3.275543897484520528e+01,-1.553043076202323292e+00,3.741653166798027286e+01
3.278286797739171021e+01,-1.610687596080338180e+00,3.742444242000735244e+01
3.275927251314203659e+01,-1.705187437760129265e+00,3.741882471976435909e+01
3.275763659289984986e+01,-1.767389376855613037e+00,3.741410790656809837e+01
3.276769789667652333e+01,-1.856447422040864215e+00,3.740784527122200132e+01
3.275538607886792875e+01,-1.938561441910120031e+00,3.744842464348427313e+01
3.273752880306984991e+01,-2.009516816922003013e+00,3.743613821141757825e+01
3.275144181295711121e+01,-2.082088700420878347e+00,3.741844442322732078e+01
3.274856267191432124e+01,-2.172270862575879757e+00,3.742750644744314314e+01
3.272933266041819422e+01,-2.259391553090124294e+00,3.741752091018909709e+01
3.272895156493274982e+01,-2.343277729715322888e+00,3.743039240740539242e+01
