ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.864788975654116148e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.594366926962349745e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.718873385392469949e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.864788975654116235e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.297183463481174526e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.016056848873644475e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.021409131831526429e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.031324031235481969e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.289155039044352358e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.575633936609764085e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.890760723931716736e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.234535401010210587e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.606957967845245361e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.008028424436821613e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.437746770784939065e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.896113006889597719e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.383127132750797572e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.898789148368538626e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.443099053742820326e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.016056848873644336e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.617662533761009547e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.247916108404914848e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.906817572805361349e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.594366926962349051e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.310564170875877954e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.005540930454594806e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.082890232797255825e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.163104324115571186e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.246183204409540668e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.332126873679164270e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.420935331924441769e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.512608579145373611e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.607146615341959572e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.704549440514199432e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.804817054662093634e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.907949457785641956e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.013946649884844398e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.122808630959700960e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.234535401010211420e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.349126960036376222e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.466583308038194922e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.586904445015668408e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.710090370968795348e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.836141085897576186e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.965056589802011811e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.096836882682101333e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.231481964537844753e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.368991835369242516e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.509366495176294176e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.652605943958999735e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.798710181717359635e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.947679208451373878e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.099513024161042019e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.254211628846364945e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.411775022507341326e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.572203205143971161e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.735496176756256226e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.901653937344194745e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.070676486907788494e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.242563825447035697e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.417315952961936354e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.594932869452492241e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.775414574918701582e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.958761069360565266e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.144972352778083291e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.334048425171254770e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.525989286540080592e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.720794936884560755e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.918465376204695261e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.119000604500483220e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.322400621771925522e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.528665428019021277e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.737795023241772263e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.949789407440177591e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.164648580614237261e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.382372542763949497e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.602961293889315186e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.826414833990337883e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.052733163067014033e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.281916281119343637e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.513964188147326695e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.748876884150963207e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.986654369130254949e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.022729664308520192e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.047080370601580235e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.071717555792205623e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.096641219880396356e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.121851362866152613e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.147347984749474392e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.173131085530361517e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.199200665208813810e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.225556723784831803e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.252199261258415142e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.279128277629563826e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.306343772898278033e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.333845747064557408e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.361634200128402306e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389709132089812726e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.418070542948788670e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.446718432705329604e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.475652801359436239e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.504873648911108219e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.534380975360345545e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.564174780707148216e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.594255064951516232e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.624621828093449949e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.655275070132949367e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.686214791070013774e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.717440990904643527e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.748953669636838981e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.780752827266599780e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.812838463793925570e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.845210579218817060e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.877869173541273895e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.910814246761296076e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.944009405535935642e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.977413043730343034e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.010987611583444945e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.044699228845444594e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.078517334766821634e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.112414371428677384e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.146365497238633679e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.180348327718974843e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.214342700987422319e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.248330465578531445e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.282295288477740414e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.316222481442789771e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.350098843870612697e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.383912520633717946e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.417652873460195906e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.451310364567295608e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.484876451381402163e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.518343491288407066e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.551704655459067084e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.584953850884932081e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.618085649842767637e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.651095226079898381e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.683978297080275865e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.716731071832075628e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.749350203572779705e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.781832747037626774e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.814176119782470309e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.846378067192938133e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.878436630828763043e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.910350119785591261e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.942117084786843506e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.973736294745577524e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.005206715561064712e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.036527490937223206e+01,0.000000000000000000e+00,0.000000000000000000e+00
